Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,1.126218557357788,2.673607587814331,105.90865325927734,1.8043283740217402,-1.6363963766034735,-113.03999106648742,-0.3119529,-1.5996807,5.9597282,13.131175,-13.391019,25.384745,22.581717,-11.996243,36.830067,4.9775805,-0.56643367,4.7257314,20.474602,-31.006735,37.334064,27.418436,8.050931,1.998011,-13.422021,-3.1192412,6.998251,24.263811,7.27591,-0.59553665,0.0,9.41451,-4.6951294,-21.33229,4.7213492,-11.322371,0.0
1,1.1282790899276733,2.6919565200805664,105.91337585449219,1.8005606381571047,-1.6393448127818446,-113.06806249214483,-0.32122383,-1.5919489,5.981046,13.131183,-13.391182,25.400259,22.71009,-12.003481,36.820675,4.9795136,-0.5712286,4.7223086,20.482588,-31.01165,37.3368,27.409405,8.062073,1.9958369,-13.4170685,-3.0826874,6.9922323,24.304417,7.1967897,-0.5417512,0.0,9.396139,-4.692211,-21.306871,4.72476,-11.307192,0.0
2,1.1326088905334473,2.7305240631103516,105.9075698852539,1.7188563359095441,-1.610903839778643,-113.14282338646208,-0.27027264,-1.507262,6.029297,13.135177,-13.620416,25.451183,23.229095,-12.208225,35.887383,4.8166814,-0.47355896,4.163156,20.504215,-31.075777,37.536064,26.358633,9.675308,2.6067505,-13.115161,-3.3095298,7.1944213,24.315737,7.5704465,-0.687328,0.0,9.298523,-4.600616,-21.186716,4.751305,-11.289035,0.0
3,1.1376312971115112,2.7634079456329346,105.90167999267578,1.672765979027346,-1.5956187249542642,-113.19897857064625,-0.24745867,-1.4571177,6.0616035,13.143995,-13.876085,25.503498,23.637987,-12.472189,35.254807,4.6045856,-0.3253103,3.9268663,20.525555,-31.140377,37.781208,25.68554,10.658079,3.0326545,-13.094416,-3.4595563,7.319939,24.32745,7.8187594,-0.7793325,0.0,9.230803,-4.551215,-21.106632,4.771754,-11.271412,0.0
4,1.1433477401733398,2.8106260299682617,105.89595031738281,1.619101791751649,-1.5762415925765216,-113.26958127508719,-0.22763906,-1.3914224,6.0900984,13.160009,-14.147261,25.55571,23.973366,-12.794524,34.58785,4.5349035,-0.20209047,3.7968435,20.545422,-31.205288,38.0704,25.002491,11.548636,3.3833666,-13.079004,-3.6261272,7.4624577,24.344975,8.080064,-0.86969894,0.0,9.138565,-4.4945097,-21.002941,4.80661,-11.253239,0.0
5,1.1454839706420898,2.858837127685547,105.88915252685547,1.5562899436182986,-1.5483513705914496,-113.3530846508979,-0.2104116,-1.3095773,6.112169,13.183765,-14.428487,25.606918,24.260471,-13.179074,33.856384,4.6497865,-0.083969906,3.7524104,20.562412,-31.273703,38.40556,24.281197,12.33782,3.6901217,-13.072877,-3.8100688,7.6249275,24.370975,8.360241,-0.9618356,0.0,9.039288,-4.4233727,-20.886126,4.8256364,-11.2202635,0.0
6,1.1485549211502075,2.906991958618164,105.88102722167969,1.486464713154686,-1.5144067984396405,-113.44594861250204,-0.19529916,-1.215627,6.1295505,13.214912,-14.716247,25.656416,24.515575,-13.622629,33.07449,4.893129,0.035251092,3.7756777,20.575668,-31.34718,38.782288,23.533129,13.057043,3.966051,-13.076978,-4.021102,7.8064156,24.394184,8.683107,-1.0744307,0.0,8.923904,-4.347272,-20.753162,4.8558393,-11.191628,0.0
7,1.1593725681304932,2.9649839401245117,105.87162017822266,1.4104973572479622,-1.4816820660754704,-113.55519797802286,-0.18096001,-1.1092387,6.146941,13.255443,-15.0057745,25.703436,24.749605,-14.116677,32.233562,5.18013,0.13833489,3.8385396,20.584213,-31.426306,39.19148,22.738754,13.789438,4.226386,-13.057498,-4.2540774,8.005275,24.422153,9.047644,-1.204275,0.0,8.790746,-4.2704554,-20.597408,4.9024873,-11.163914,0.0
8,1.1695200204849243,3.0341930389404297,105.86087799072266,1.32938879552438,-1.4574758065001474,-113.68726958495013,-0.16638985,-0.9897898,6.169381,13.308763,-15.29164,25.747086,24.969872,-14.649249,31.324507,5.4289074,0.20714329,3.9128838,20.587122,-31.510523,39.619183,21.878468,14.616724,4.4888225,-12.977867,-4.4757195,8.217442,24.475977,9.411542,-1.3267984,0.0,8.672003,-4.1813197,-20.4274,4.919291,-11.111698,0.0
9,1.176081895828247,3.098759889602661,105.8471450805664,1.2418631413031065,-1.441461745224585,-113.84493007941877,-0.14856009,-0.85497844,6.1970263,13.376668,-15.569091,25.786526,25.182661,-15.216704,30.358143,5.6722727,0.22652201,3.9849222,20.583729,-31.59926,40.057625,20.951952,15.562889,4.775463,-12.811373,-4.69937,8.453014,24.54757,9.822966,-1.4805105,0.0,8.55006,-4.089333,-20.228746,4.9592423,-11.075612,0.0
10,1.1842056512832642,3.1744022369384766,105.83264923095703,1.1476537262670594,-1.430719640626643,-114.02445555386784,-0.12880954,-0.7060843,6.2276335,13.459087,-15.836695,25.821005,25.393002,-15.81821,29.338749,5.9323764,0.20420372,4.0550265,20.573284,-31.692858,40.504333,19.96559,16.583517,5.0830784,-12.571917,-4.9219403,8.705119,24.638245,10.244649,-1.6343348,0.0,8.238063,-4.056249,-19.946354,5.371184,-11.216977,0.0
