Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0.009855162352323532,2.8117992877960205,106.84049224853516,3.422796989340232,6.5102097964770875,-108.28005707578342,-1.9485105,-5.691285,1.7816947,8.390165,-18.009302,26.172512,25.494019,-15.085575,34.956093,7.4299903,0.029441003,4.2956476,26.11489,-30.708683,31.174929,29.772797,1.575846,-0.45601693,-13.98474,6.5551305,-11.3481045,24.03211,5.539621,-9.606409,0.0,-15.648541,-21.41676,-1.0108491,51.850803,-1.7143515,0.0
1,0.09444970637559891,2.530447483062744,106.68338775634766,3.591121815530528,6.403086203413581,-108.34304313572012,-2.064972,-5.9220467,1.9804884,8.384264,-18.113956,26.21945,25.729635,-15.103696,33.93727,7.509423,0.066591896,4.047913,26.156456,-30.772442,31.18532,29.712383,1.5607673,-0.49356204,-13.936298,6.898757,-11.7044735,24.019371,5.486873,-9.880654,0.0,-18.059834,-21.716087,0.40024993,55.11768,-0.70884264,0.0
2,0.18493300676345825,2.254312753677368,106.5191879272461,3.7560322208831027,6.302333984181494,-108.40275922289926,-2.1721551,-6.150288,2.1728628,8.37871,-18.280912,26.262749,25.931545,-15.144581,32.84217,7.561172,0.19049525,3.791283,26.200075,-30.82861,31.210121,29.659002,1.5513871,-0.5373297,-13.90309,7.225544,-12.050501,23.99815,5.4491506,-10.148277,0.0,-20.48386,-21.960148,1.8803933,58.372536,0.31423274,0.0
3,0.2683936655521393,1.9783453941345215,106.34088134765625,3.9263962626829296,6.203521646982848,-108.4611169005723,-2.2944393,-6.3837247,2.3612072,8.376732,-18.482834,26.302238,26.109581,-15.198903,31.730227,7.6797585,0.33033073,3.564396,26.245464,-30.87813,31.242493,29.603506,1.5397439,-0.5867195,-13.872648,7.5647135,-12.410233,23.975086,5.391795,-10.429046,0.0,-22.893578,-22.094753,3.4583428,61.53093,1.3113638,0.0
4,0.35353386402130127,1.686898112297058,106.15105438232422,4.096090784880011,6.110656710589553,-108.51539146728864,-2.4565127,-6.619506,2.5398176,8.382608,-18.697035,26.336899,26.271456,-15.256098,30.589567,7.955078,0.4612387,3.3721938,26.291622,-30.921013,31.275278,29.534256,1.5228561,-0.64591867,-13.823538,7.9000063,-12.772789,23.94971,5.348488,-10.769606,0.0,-25.249716,-22.055204,5.1120934,64.49338,2.262719,0.0
5,0.456932932138443,1.3855929374694824,105.95149993896484,4.272837430241314,6.023333893710325,-108.5773602112058,-2.6666226,-6.8663516,2.7036026,8.401842,-18.908413,26.369898,26.439487,-15.307843,29.418388,8.470324,0.5711822,3.1994302,26.343292,-30.961817,31.302233,29.44342,1.4869013,-0.7322649,-13.718162,8.259165,-13.167863,23.923454,5.273213,-11.171542,0.0,-27.59197,-21.838556,6.877297,67.329315,3.4029253,0.0
6,0.5462051630020142,1.0650980472564697,105.72843933105469,4.45207479452722,5.940108532381541,-108.6415673661897,-2.91399,-7.118697,2.8554463,8.434951,-19.11017,26.39963,26.6155,-15.349138,28.218111,9.1574745,0.66279036,3.0273721,26.399292,-30.999832,31.31842,29.331104,1.4361455,-0.8391801,-13.567138,8.615437,-13.573759,23.893213,5.21469,-11.635781,0.0,-29.897127,-21.42533,8.747847,70.06291,4.698267,0.0
7,0.6426347494125366,0.7418276071548462,105.50769805908203,4.619986163607237,5.86293164940721,-108.68907608398393,-3.1855643,-7.3645205,3.0046642,8.476274,-19.297817,26.422234,26.782326,-15.377083,26.988901,9.88628,0.74822485,2.8633046,26.454542,-31.02967,31.3209,29.215296,1.3882632,-0.93240124,-13.427516,8.977934,-13.965115,23.86279,5.1279225,-12.104195,0.0,-32.037754,-20.797935,10.577005,72.53631,5.7142606,0.0
8,0.7002507448196411,0.42095744609832764,105.26949310302734,4.759025226700392,5.798251759751183,-108.69932585156076,-3.4692965,-7.5897083,3.1556566,8.516763,-19.469212,26.435501,26.929684,-15.395341,25.731167,10.5333185,0.8404733,2.7209167,26.505568,-31.048162,31.312365,29.113573,1.3623834,-0.97655135,-13.359294,9.282768,-14.280149,23.833134,5.1101007,-12.584762,0.0,-33.91208,-20.020027,12.14872,74.604225,5.9734087,0.0
9,0.7375641465187073,0.09557558596134186,105.05082702636719,4.879202926506502,5.742044218609665,-108.6657829886747,-3.7699838,-7.815006,3.3131223,8.552067,-19.623535,26.439667,27.06528,-15.411071,24.429213,11.04923,0.9482378,2.605096,26.551786,-31.056797,31.297009,29.022583,1.3404461,-0.9400755,-13.400777,9.586126,-14.55266,23.824766,5.021763,-13.010709,0.0,-35.470062,-19.176214,13.373524,76.21864,5.0476117,0.0
