Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0.0829879641532898,3.134798526763916,105.9640884399414,1.0875212713389684,-1.0433635721427952,-92.82900848820682,-3.2581215,-1.3869182,4.242182,2.5800314,-1.8549151,19.825184,23.240482,-13.150539,44.617226,24.964092,-7.352123,-6.181007,16.206257,-20.394386,9.434878,48.125683,-19.983727,-9.237586,-4.3700604,3.015707,5.033381,6.494173,5.6061306,-6.3047757,0.0,3.4888084,-6.284949,-10.914485,5.261953,-9.787031,0.0
1,0.0816388726234436,3.1345627307891846,105.96443176269531,1.0878779554455709,-1.0436791321524457,-92.82906796607337,-3.258054,-1.3870023,4.242254,2.5800416,-1.8549213,19.827715,23.251898,-13.151005,44.616512,24.963614,-7.3525968,-6.180957,16.208403,-20.412014,9.435038,48.12514,-19.983454,-9.237934,-4.37004,3.0205052,5.03307,6.496086,5.5973463,-6.298626,0.0,3.4892411,-6.2844963,-10.914569,5.262722,-9.788063,0.0
2,0.07878304272890091,3.137709856033325,105.96444702148438,1.0891663197235923,-1.0449506781555327,-92.82924230802767,-3.2578428,-1.3873441,4.242728,2.5800633,-1.8549337,19.83247,23.273813,-13.151958,44.61505,24.962683,-7.3535714,-6.1808724,16.21248,-20.445797,9.4354,48.124084,-19.98293,-9.23863,-4.3699465,3.023439,5.03287,6.497559,5.5906434,-6.2915506,0.0,3.48838,-6.2841887,-10.914306,5.2628107,-9.786408,0.0
3,0.08198335021734238,3.137444257736206,105.96640014648438,1.089256051085286,-1.0456406737371373,-92.82953964138187,-3.2575872,-1.3878258,4.2434235,2.580086,-1.8549459,19.837193,23.295506,-13.1529455,44.61354,24.961752,-7.3545885,-6.180803,16.216589,-20.479084,9.435799,48.123028,-19.982416,-9.239339,-4.3698025,3.0342553,5.029538,6.5018764,5.5710335,-6.280335,0.0,3.4893866,-6.286344,-10.914308,5.2627325,-9.786195,0.0
4,0.0852072611451149,3.1405906677246094,105.9672622680664,1.089422573020309,-1.0468954273340072,-92.82969842563266,-3.2572403,-1.388456,4.244364,2.5801098,-1.854958,19.841887,23.316944,-13.153951,44.61198,24.960804,-7.3556447,-6.180749,16.2207,-20.51188,9.436244,48.12196,-19.981892,-9.240069,-4.3696117,3.0305722,5.0277863,6.500974,5.57717,-6.2814713,0.0,3.4914548,-6.288104,-10.914868,5.2569885,-9.7810545,0.0
5,0.08586207032203674,3.1409642696380615,105.96647644042969,1.0892820252275048,-1.046979307297305,-92.82972691067091,-3.257216,-1.3884946,4.244419,2.580111,-1.8549587,19.842123,23.317976,-13.153997,44.611908,24.960758,-7.355695,-6.1807466,16.220907,-20.513456,9.436267,48.121906,-19.981865,-9.240103,-4.3696017,3.0178847,5.029202,6.4964542,5.600743,-6.29399,0.0,3.488818,-6.2888923,-10.913989,5.2619076,-9.783049,0.0
6,0.08497811108827591,3.1449530124664307,105.96512603759766,1.089432471569439,-1.0481941940669581,-92.82958532057367,-3.2568913,-1.3889943,4.245136,2.580123,-1.8549649,19.844553,23.328718,-13.154492,44.611103,24.960234,-7.356242,-6.1807337,16.223045,-20.529907,9.436516,48.121365,-19.981588,-9.24048,-4.369486,3.0086405,5.030652,6.4928856,5.6164412,-6.3017645,0.0,3.4871252,-6.2885823,-10.913662,5.2627864,-9.78125,0.0
7,0.08276042342185974,3.1473777294158936,105.96467590332031,1.0896610347113629,-1.0489486307373117,-92.82940638857434,-3.2565348,-1.3895528,4.24594,2.5801349,-1.854971,19.846977,23.339363,-13.154981,44.610287,24.959677,-7.3568015,-6.180729,16.22518,-20.54621,9.436775,48.120808,-19.981293,-9.240872,-4.3693595,3.0116308,5.031514,6.493424,5.609883,-6.2992253,0.0,3.4870129,-6.2872314,-10.913928,5.2617435,-9.779622,0.0
8,0.08642803877592087,3.149731159210205,105.96499633789062,1.0887777823814728,-1.0496394037087684,-92.8294194712665,-3.2563798,-1.389831,4.246398,2.5801408,-1.8549743,19.84821,23.3447,-13.155225,44.60987,24.95939,-7.3570857,-6.1807284,16.22627,-20.554365,9.436908,48.120525,-19.981136,-9.241075,-4.3692913,3.0090399,5.030981,6.4924445,5.6131883,-6.3006682,0.0,3.4858778,-6.288584,-10.913524,5.2619476,-9.777704,0.0
9,0.08196679502725601,3.1503281593322754,105.96578216552734,1.090126526475624,-1.0500089171930969,-92.82934866491472,-3.2562852,-1.3901393,4.246925,2.580147,-1.8549778,19.849516,23.350357,-13.155491,44.60942,24.959093,-7.3573933,-6.180728,16.227425,-20.562988,9.437058,48.120213,-19.980967,-9.241297,-4.3692126,3.0222507,5.030415,6.4967875,5.5879188,-6.286811,0.0,3.4859657,-6.287215,-10.913742,5.262495,-9.778467,0.0
10,0.08185189217329025,3.1511728763580322,105.96595764160156,1.0904021786415548,-1.0503195379353556,-92.82936875181916,-3.25629,-1.390213,4.2470694,2.5801487,-1.8549788,19.849846,23.351778,-13.1555605,44.60931,24.959023,-7.357471,-6.1807275,16.227716,-20.565145,9.4370985,48.120136,-19.98092,-9.241354,-4.369192,3.0207393,5.0305996,6.4962945,5.5902553,-6.2859607,0.0,3.4856453,-6.287476,-10.913673,5.2623954,-9.7777605,0.0
