Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0.9514214396476746,3.5575222969055176,105.76493835449219,0.9912637678041335,-0.4759992097914626,-85.56924894707878,-2.1442351,-0.71681374,1.9610016,-4.7260895,-4.2167573,18.785324,19.397758,-0.8855482,58.283524,-5.759135,0.37827927,-11.937627,19.899323,-20.491863,15.8679495,44.986965,17.388159,13.070926,3.716864,2.456983,0.07031652,24.74987,9.374109,-12.022576,0.0,5.9384522,-4.0511575,-28.791811,4.6768265,-8.309174,0.0
1,0.97133469581604,3.5617902278900146,105.7679443359375,0.9834689834341936,-0.47769929928996036,-85.57109933243594,-2.144573,-0.7217538,1.9603329,-4.726138,-4.2167983,18.797112,19.472742,-0.8836788,58.283447,-5.7604055,0.3778555,-11.9391775,19.908823,-20.55455,15.868986,44.985832,17.389517,13.070378,3.7183833,2.4666693,0.062015526,24.755043,9.354664,-12.016773,0.0,5.938641,-4.054304,-28.791492,4.673927,-8.297067,0.0
2,0.9885659217834473,3.5703630447387695,105.76919555664062,0.9755712350869423,-0.4801607746884465,-85.57399449314684,-2.1449776,-0.73023796,1.9594272,-4.726188,-4.216839,18.808815,19.546038,-0.88102955,58.283524,-5.761954,0.3774384,-11.9407015,19.91833,-20.615831,15.869928,44.984695,17.391054,13.069746,3.720074,2.4575145,0.063244514,24.756262,9.371452,-12.025944,0.0,5.9348054,-4.0577908,-28.789225,4.675896,-8.28582,0.0
3,1.0040420293807983,3.5752811431884766,105.77006530761719,0.9677478697622632,-0.48198575135139626,-85.5776865318489,-2.145413,-0.7419657,1.9584256,-4.726241,-4.2168775,18.820408,19.617544,-0.87753516,58.283806,-5.763778,0.3770514,-11.942097,19.927801,-20.675526,15.870707,44.983597,17.39278,13.069053,3.7218962,2.4490988,0.06591647,24.75802,9.390122,-12.037625,0.0,5.93495,-4.0587406,-28.787624,4.6719027,-8.273687,0.0
4,1.0232632160186768,3.582606554031372,105.77046966552734,0.9588653745865015,-0.48413614410775335,-85.58238230050996,-2.1460578,-0.75712,1.9579029,-4.726297,-4.216916,18.831984,19.687756,-0.8730052,58.284412,-5.7659,0.37674728,-11.94314,19.937283,-20.733847,15.87116,44.982624,17.394756,13.068358,3.7237759,2.4345179,0.06988954,24.759077,9.420425,-12.055114,0.0,5.9331245,-4.06137,-28.784708,4.6692443,-8.259965,0.0
5,1.0443570613861084,3.5959560871124268,105.77165985107422,0.9505065117751739,-0.48663399301302707,-85.5910656579116,-2.1471565,-0.7890743,1.958715,-4.726417,-4.2169914,18.85226,19.816622,-0.86154956,58.286514,-5.7709684,0.37641844,-11.944265,19.953848,-20.83971,15.871088,44.9809,17.399603,13.067097,3.7278104,2.4197328,0.07036159,24.763498,9.445253,-12.0678625,0.0,5.925971,-4.0675287,-28.777637,4.6695175,-8.243615,0.0
6,1.0633752346038818,3.5996813774108887,105.77222442626953,0.941400397505578,-0.4880658271415161,-85.59651253143481,-2.1489358,-0.8099192,1.9603531,-4.726484,-4.2170296,18.864029,19.88371,-0.854385,58.288162,-5.77384,0.37644786,-11.944016,19.963425,-20.894342,15.870331,44.980396,17.402422,13.066632,3.729714,2.4099486,0.07319193,24.76595,9.468685,-12.084024,0.0,5.924398,-4.0701017,-28.774035,4.6678247,-8.232328,0.0
7,1.0854965448379517,3.605743408203125,105.77244567871094,0.9332374449707637,-0.48982991851631075,-85.60636954190265,-2.1518204,-0.8514485,1.9647905,-4.7266283,-4.217107,18.884645,20.007347,-0.83718693,58.29265,-5.780415,0.37690714,-11.94187,19.98005,-20.993267,15.867421,44.979797,17.409046,13.06594,3.7335494,2.3997157,0.07265405,24.772034,9.49236,-12.100693,0.0,5.92178,-4.0758796,-28.767307,4.664562,-8.217219,0.0
8,1.1124531030654907,3.6232709884643555,105.77369689941406,0.9308947473348547,-0.49189903664904566,-85.61941238017965,-2.1525693,-0.9181028,1.9720119,-4.726939,-4.217264,18.917444,20.218077,-0.7972984,58.30366,-5.7956424,0.37847206,-11.934975,20.006218,-21.15898,15.859181,44.978367,17.424757,13.064515,3.742078,2.3924906,0.056585226,24.782454,9.496109,-12.103657,0.0,5.91239,-4.0937185,-28.757711,4.6617837,-8.193233,0.0
9,1.1377898454666138,3.6396257877349854,105.7750015258789,0.9255265577087743,-0.4945244630445219,-85.62801509856422,-2.1520374,-0.9558382,1.9760976,-4.727109,-4.217344,18.937973,20.33041,-0.77375096,58.310345,-5.804039,0.37963584,-11.929528,20.02237,-21.246485,15.853416,44.977867,17.433458,13.06368,3.7460635,2.3797615,0.048625182,24.787857,9.512971,-12.112168,0.0,5.904907,-4.1061497,-28.751106,4.6600237,-8.171565,0.0
10,1.1658048629760742,3.6516122817993164,105.73638916015625,1.0910321298976624,-0.46878478739078544,-85.6707010620401,-2.1285996,-1.2761894,1.9544041,-4.9532223,-4.3178434,19.008913,21.117695,0.060979605,59.12464,-6.723204,-0.14392385,-11.795736,20.089458,-21.899267,15.799809,44.8737,18.92277,12.922287,4.4652815,2.3288388,-0.17418294,24.80979,9.550235,-12.152739,0.0,5.2147264,-4.69939,-28.52068,6.0618405,-8.812843,0.0
11,1.187157392501831,3.659846305847168,105.73346710205078,1.0811551884561177,-0.4715760240602157,-85.67241105746322,-2.1285083,-1.2811992,1.9551499,-4.953254,-4.317857,19.014387,21.138899,0.065030485,59.12535,-6.7235026,-0.14381537,-11.795049,20.094624,-21.917402,15.799075,44.87392,18.923086,12.922268,4.465106,2.2846835,-0.15656768,24.801123,9.64333,-12.200923,0.0,5.1864576,-4.717041,-28.510672,6.118124,-8.826189,0.0
