Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.6075409054756165,-1.528605580329895,106.79486083984375,-0.26103116180147873,-2.0442786359378076,-98.44996365145921,-4.331897,-0.40915668,8.429043,6.335706,-4.403864,25.687067,20.955116,-8.253542,40.25145,6.2514367,-1.9099076,-8.887942,21.926916,-27.959597,29.475393,33.564724,-18.093391,-4.8097677,1.7337948,11.684014,2.7704685,22.49177,4.727203,-10.29687,0.0,8.041281,-3.4011886,-10.750717,5.362311,-10.730429,0.0
1,-0.6104567050933838,-1.5930322408676147,106.79253387451172,-0.26448916020639535,-1.9903480556914543,-98.4750706155519,-4.340185,-0.44605935,8.500022,6.3358502,-4.404374,25.733051,21.490765,-8.250821,40.219246,6.205005,-1.927586,-8.907499,21.952625,-28.06745,29.464653,33.559944,-18.086155,-4.8099737,1.730708,11.675564,2.7617457,22.516657,4.705396,-10.308113,0.0,8.015948,-3.4034932,-10.728864,5.3569403,-10.748061,0.0
2,-0.6142992377281189,-1.6523017883300781,106.7890625,-0.2694945191061718,-1.9382494334394567,-98.50421014910685,-4.350938,-0.47754055,8.572462,6.335994,-4.404891,25.76993,21.810432,-8.245941,40.19106,6.16689,-1.9422905,-8.92054,21.974098,-28.146317,29.454021,33.557167,-18.080317,-4.8088746,1.7272369,11.647891,2.7630775,22.537754,4.7252083,-10.339904,0.0,7.98302,-3.4048426,-10.701518,5.362398,-10.767044,0.0
3,-0.6207384467124939,-1.7155882120132446,106.78562927246094,-0.2665734750643971,-1.8679919777062937,-98.53088352965824,-4.3600082,-0.5258904,8.653194,6.3368936,-4.4081964,25.815384,22.208332,-8.231339,40.061996,5.9778056,-2.002465,-8.9855995,21.999899,-28.258453,29.416372,33.533638,-18.051208,-4.8082833,1.7133784,11.606651,2.753892,22.559978,4.7265673,-10.359147,0.0,7.9329734,-3.4150364,-10.677167,5.363074,-10.783231,0.0
4,-0.6293032169342041,-1.775580883026123,106.78509521484375,-0.24945262386059053,-1.7711496448589814,-98.53004493128844,-4.3832126,-0.5845535,8.715179,6.383994,-4.5862136,25.875769,22.617445,-8.303318,39.481903,4.8170033,-1.9191245,-9.4020405,22.030003,-28.386742,29.348051,33.35213,-17.880844,-4.7068973,1.7262021,11.522089,2.7361102,22.550953,4.7290125,-10.367487,0.0,7.8524513,-3.439987,-10.679763,5.366318,-10.798319,0.0
5,-0.6417888402938843,-1.8289167881011963,106.78547668457031,-0.22759610063695768,-1.6720357624273818,-98.51251511252303,-4.405068,-0.65839636,8.763311,6.38647,-4.593265,25.929379,22.898932,-8.342364,39.37138,4.739563,-1.9519478,-9.425756,22.057758,-28.493057,29.30872,33.323273,-17.857826,-4.716129,1.7309517,11.427801,2.7188199,22.51411,4.730905,-10.370585,0.0,7.7712984,-3.4649992,-10.689781,5.3645415,-10.812084,0.0
6,-0.6560183763504028,-1.8839908838272095,106.78707122802734,-0.1877471469373688,-1.537718587972748,-98.47540701651359,-4.4386725,-0.7564656,8.788787,6.4532766,-4.7614827,25.988829,23.15686,-8.423452,38.963223,4.4736586,-1.8776151,-9.521147,22.087492,-28.602266,29.23303,33.193268,-17.761747,-4.7158213,1.8198867,11.28057,2.687415,22.434628,4.739521,-10.369705,0.0,7.6509633,-3.5115664,-10.720947,5.3642287,-10.823505,0.0
7,-0.6691941022872925,-1.9295575618743896,106.78816986083984,-0.15040512170075246,-1.3939799737653114,-98.40427734588026,-4.4808426,-0.85843563,8.807361,6.509973,-4.8982215,26.047241,23.367266,-8.496342,38.724644,4.3436947,-1.8713949,-9.524435,22.1171,-28.702211,29.156307,33.104664,-17.69512,-4.7247353,1.8935114,11.100307,2.6696887,22.323097,4.7671294,-10.36478,0.0,7.5211177,-3.5508044,-10.779815,5.36049,-10.831651,0.0
8,-0.6886381506919861,-1.964984655380249,106.79273986816406,-0.11551865307348234,-1.2233389565982116,-98.27216186704568,-4.5441923,-0.9682225,8.808139,6.5453057,-5.0310345,26.103718,23.542953,-8.553104,38.599922,4.097888,-1.9231641,-9.470356,22.146637,-28.792559,29.075113,33.010185,-17.604206,-4.7040734,1.9656566,10.859524,2.6735094,22.151274,4.810234,-10.341789,0.0,7.3658457,-3.5762002,-10.89531,5.3522677,-10.836296,0.0
9,-0.7108923196792603,-1.9985486268997192,106.7967758178711,-0.07276240077572962,-1.0154743172334901,-98.08011440678607,-4.631389,-1.103145,8.778433,6.54773,-5.182029,26.157522,23.693483,-8.594912,38.608475,3.6237285,-2.0699892,-9.3617735,22.17618,-28.872175,28.985548,32.88213,-17.497124,-4.627261,2.0474231,10.5486355,2.685157,21.9097,4.8698144,-10.306761,0.0,7.1777883,-3.6036532,-11.067606,5.339393,-10.839541,0.0
10,-0.7354344725608826,-2.0241265296936035,106.798828125,-0.021439035306957586,-0.7755552856342767,-97.83768635950504,-4.7381897,-1.257587,8.723086,6.515872,-5.3579297,26.208042,23.826315,-8.624575,38.722347,2.986249,-2.301058,-9.216938,22.205803,-28.940634,28.885836,32.726646,-17.380163,-4.5060034,2.1413467,10.174511,2.7022543,21.607933,4.9437866,-10.259774,0.0,6.955729,-3.6347418,-11.285518,5.3253694,-10.839338,0.0
