Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,1.6356769800186157,1.3604494333267212,106.52764129638672,0.6735413405033747,0.20506600288493498,-88.52310162108805,-2.445228,-1.929675,0.25077823,0.96865565,-4.675327,19.057035,26.3502,-32.80418,37.337852,15.173405,2.7243183,5.8038483,20.093746,-19.450905,14.41023,41.220837,-17.384132,-5.4497066,4.501741,5.55266,2.7054546,9.704722,5.3576765,-10.326214,0.0,5.8016095,-5.1728845,-11.296174,5.1336417,-10.121846,0.0
1,1.6853402853012085,1.40538489818573,106.5337905883789,0.6661587262972964,0.223210109975675,-88.50508955603264,-2.4453855,-1.9163772,0.32543778,0.9687184,-4.6756325,19.071266,26.476658,-32.81781,37.3335,15.179885,2.7219641,5.7981625,20.11503,-20.00723,14.391724,41.174786,-17.337812,-5.479928,4.50735,5.492721,2.6842,9.680111,5.358693,-10.295595,0.0,5.7520385,-5.197551,-11.299215,5.1286283,-10.081958,0.0
2,1.7319351434707642,1.4578485488891602,106.54104614257812,0.6584612930970571,0.24001652356193018,-88.48723782818368,-2.4428759,-1.9067088,0.40034202,0.96877325,-4.6759367,19.08309,26.56102,-32.831696,37.33066,15.186668,2.7206783,5.793135,20.125511,-20.294056,14.3713455,41.13286,-17.297668,-5.5066338,4.5103064,5.432967,2.6645963,9.655878,5.354239,-10.257943,0.0,5.700006,-5.220176,-11.301478,5.122383,-10.03765,0.0
3,1.784360408782959,1.5219379663467407,106.54287719726562,0.6893338303476247,0.34718402726320696,-88.45288971425968,-2.4377518,-1.9464936,0.47032973,0.98385656,-4.8525105,19.103497,26.778336,-32.96822,37.02484,15.464186,2.8297627,5.555801,20.17371,-20.987028,14.228949,39.82221,-15.009624,-5.935954,5.3185563,5.2129927,2.6014664,9.547698,5.4120483,-10.225952,0.0,5.521349,-5.299964,-11.288364,5.1322017,-9.974982,0.0
4,1.8316470384597778,1.5800585746765137,106.54964447021484,0.6811784733396422,0.3725257796448393,-88.4288392818312,-2.4438577,-1.9451823,0.550423,0.9840234,-4.853557,19.118988,26.89126,-33.001972,37.01818,15.478388,2.826355,5.548264,20.198467,-21.219051,14.188725,39.77589,-14.957461,-5.959457,5.311982,5.133786,2.582723,9.514289,5.4140882,-10.185172,0.0,5.4547973,-5.3231783,-11.293817,5.1275315,-9.926067,0.0
5,1.8897202014923096,1.64467191696167,106.55120849609375,0.7085949164013703,0.49072606286572734,-88.37645241359915,-2.4611402,-1.9926561,0.60819864,1.0163015,-5.104325,19.14043,27.094162,-33.231987,36.725246,15.941278,2.8669748,5.3315783,20.250051,-21.579538,13.977601,38.781586,-13.124782,-6.067796,5.4405146,4.901751,2.5210617,9.395525,5.459026,-10.139802,0.0,5.267056,-5.400752,-11.303168,5.133587,-9.860076,0.0
6,1.9535518884658813,1.7080180644989014,106.55369567871094,0.7207573461350365,0.580030036848895,-88.32610822581441,-2.4831667,-2.0271268,0.6737289,1.0538573,-5.3391676,19.162012,27.290346,-33.483105,36.531006,16.266207,2.864806,5.224785,20.30325,-21.814688,13.769777,38.205196,-12.009553,-6.097341,5.3540225,4.717018,2.4724743,9.301651,5.4877124,-10.093469,0.0,5.1176405,-5.4613976,-11.319817,5.1370587,-9.799789,0.0
7,2.0170342922210693,1.7866339683532715,106.55902862548828,0.7364931160930946,0.6824665649722342,-88.27058385242378,-2.5128613,-2.069273,0.7369936,1.0954164,-5.5697193,19.183512,27.482286,-33.75969,36.33465,16.622047,2.8521285,5.1172023,20.356684,-21.961794,13.533289,37.666386,-10.97219,-6.160865,5.1749187,4.506166,2.419769,9.196553,5.5136795,-10.033193,0.0,4.943296,-5.5268755,-11.335256,5.1385837,-9.725919,0.0
8,2.080778121948242,1.864650845527649,106.56497192382812,0.7539218087526907,0.8026416572422859,-88.21111617384011,-2.5497143,-2.1176322,0.79769194,1.1384783,-5.8044734,19.204971,27.671017,-34.053997,36.108536,16.986317,2.869291,4.991564,20.409552,-22.047464,13.271378,37.127834,-10.021635,-6.2398806,4.974687,4.27428,2.3645222,9.082095,5.534943,-9.966412,0.0,4.7450275,-5.5954666,-11.347347,5.143411,-9.64859,0.0
9,2.154747486114502,1.939376950263977,106.57270050048828,0.7711849955294445,0.9399194876863602,-88.14501959223061,-2.5946913,-2.1698034,0.85493714,1.1795098,-6.0430155,19.226305,27.858784,-34.36704,35.841057,17.437813,2.920573,4.8195477,20.461246,-22.089247,12.986942,36.575165,-9.137879,-6.3316956,4.774257,4.0202217,2.3041525,8.955416,5.557021,-9.897524,0.0,4.526899,-5.6698,-11.359028,5.149116,-9.567501,0.0
10,2.2306673526763916,2.036724090576172,106.57867431640625,0.7893317189952908,1.0942834609856746,-88.07214938476984,-2.6332643,-2.2316132,0.9051931,1.2882262,-6.672829,19.362246,28.701242,-35.260468,35.14,17.393791,3.1195557,4.809608,20.773024,-22.116201,12.252431,35.85472,-8.405032,-6.4856653,4.8234625,3.6107857,2.260358,8.778269,5.8084707,-9.925736,0.0,4.271955,-5.748105,-11.369546,5.1588774,-9.47083,0.0
11,2.3064892292022705,2.1314122676849365,106.5874252319336,0.8120287658549769,1.265726607423573,-87.99957603818862,-2.6809735,-2.3073852,0.95915574,1.3198119,-6.9673247,19.94899,30.042253,-35.842606,33.472343,16.936207,3.332921,4.5693007,21.721094,-22.068707,11.579694,34.27236,-7.810782,-6.5126786,4.548413,3.1732452,2.2105742,8.593182,6.0741076,-9.959217,0.0,3.9240096,-5.8466597,-11.346299,5.304935,-9.43776,0.0
12,2.3810067176818848,2.22460675239563,106.59686279296875,0.8417889306897074,1.4583126980182608,-87.93227149400423,-2.7461245,-2.3907971,1.0080076,1.3804923,-7.3146815,20.502615,30.501278,-35.8815,32.50304,17.191137,3.5426764,4.3763123,22.377539,-22.022226,11.186777,33.052345,-7.13539,-6.5455666,4.1594524,2.753007,2.144257,8.419942,6.2567744,-9.948272,0.0,3.5176485,-5.960699,-11.301146,5.5075693,-9.424531,0.0
13,2.462806224822998,2.333395004272461,106.60660552978516,0.8798129401986394,1.6762663937478386,-87.87157425838632,-2.8186986,-2.4858437,1.0509797,1.4648874,-7.7227373,20.993868,30.809479,-35.86759,31.660511,17.284071,3.821263,4.2418885,22.81094,-21.971437,10.834182,32.06569,-6.5070553,-6.6258993,3.7967744,2.3010895,2.0600746,8.245936,6.4231935,-9.918145,0.0,3.0259132,-6.099522,-11.225106,5.786466,-9.430101,0.0
14,2.5520031452178955,2.460498809814453,106.61705780029297,0.9242155759964363,1.9169115870959879,-87.81447715631862,-2.8982086,-2.591066,1.0899736,1.565804,-8.180231,21.37728,31.027004,-35.864838,30.939322,17.213278,4.1476817,4.13498,23.034021,-21.915966,10.512553,31.293125,-5.9115124,-6.7489123,3.4624794,1.8164042,1.9608247,8.068503,6.5783844,-9.869518,0.0,2.4646757,-6.257393,-11.125505,6.1155415,-9.440837,0.0
15,2.6407415866851807,2.5743637084960938,106.6252212524414,0.9739014919213443,2.1732646806049476,-87.7607272162721,-2.9841866,-2.7090273,1.1393248,1.6797572,-8.706092,21.825644,31.23199,-35.771645,30.14539,16.937244,4.4710336,4.034251,23.171074,-21.8612,10.218627,30.59527,-5.3513265,-6.8863926,3.1322777,1.3400077,1.8507318,7.897736,6.6939616,-9.805599,0.0,1.8701296,-6.424664,-11.009235,6.4794416,-9.469548,0.0
16,2.7344188690185547,2.694192409515381,106.63320922851562,1.0272899774658746,2.438152215977178,-87.71036681370701,-3.0757923,-2.8411918,1.214385,1.8029816,-9.317565,22.26872,31.378351,-35.60584,29.359755,16.38323,4.7179923,3.923999,23.199171,-21.80752,9.960979,29.990795,-4.824697,-7.0323696,2.8150926,0.8477967,1.7319449,7.7276363,6.81164,-9.737825,0.0,1.2476321,-6.6011214,-10.8773775,6.861602,-9.495333,0.0
17,2.8216731548309326,2.8447155952453613,106.63884735107422,1.0877364503233704,2.728882949905761,-87.66219556003855,-3.176428,-2.991582,1.2949772,1.9283795,-10.005228,22.717916,31.481272,-35.391026,28.570063,15.461505,4.930523,3.773819,23.138466,-21.755568,9.738929,29.45693,-4.336363,-7.183827,2.51114,0.27012536,1.6105801,7.5397053,6.9950523,-9.679991,0.0,0.49055713,-6.7980075,-10.692744,7.3922606,-9.5714,0.0
18,2.9158401489257812,3.0071258544921875,106.64067077636719,1.1544805879957944,3.0427159231909053,-87.6165154084578,-3.2851343,-3.158151,1.381051,2.0599968,-10.764198,23.18157,31.54219,-35.120567,27.762411,14.235209,5.130992,3.6054568,23.004673,-21.706022,9.545711,28.980143,-3.8872705,-7.3419085,2.2145832,-0.36530167,1.4780467,7.341792,7.2205195,-9.632854,0.0,-0.3435725,-7.0123677,-10.475395,7.990765,-9.666464,0.0
19,3.009460210800171,3.1807596683502197,106.63933563232422,1.221072328474497,3.343248096318469,-87.57585196840047,-3.394521,-3.3337166,1.5170817,2.2108588,-11.619234,23.662937,31.539879,-34.730038,26.921915,12.866571,5.222432,3.4749484,22.81221,-21.65947,9.378622,28.545748,-3.4693277,-7.500858,1.9159847,-1.0208055,1.3475363,7.1431794,7.5051804,-9.6117115,0.0,-1.2100195,-7.2306733,-10.236152,8.659679,-9.783223,0.0
20,3.090691566467285,3.384913444519043,106.62723541259766,1.2814482948282497,3.594282318644701,-87.5428321961559,-3.4969835,-3.5119028,1.7478402,2.393916,-12.595847,24.15999,31.447805,-34.156105,26.040676,11.519968,5.1041975,3.4343088,22.574389,-21.61654,9.23589,28.13947,-3.0741851,-7.6550655,1.6056752,-1.7424884,1.2429556,6.9298854,8.004552,-9.6894245,0.0,-2.151565,-7.452088,-9.954097,9.543671,-9.984405,0.0
