Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.014133332297205925,2.9222867488861084,106.33464813232422,-0.5752327680161696,-1.1082371307667456,-88.5820675248994,-4.3735733,0.2548871,4.06862,3.9219606,-7.553236,14.822252,20.65529,-18.474792,46.8045,20.938852,-9.468825,2.7663567,15.943908,-19.566448,16.43196,47.64365,-0.6640246,-2.9083843,0.19805484,1.6886601,2.1473477,17.134703,8.860865,-10.000101,0.0,2.2338798,-3.2635584,-11.546037,10.730025,-10.782566,0.0
1,-0.009714776650071144,2.9222540855407715,106.33903503417969,-0.5752845111103659,-1.1068711353747898,-88.58160547194373,-4.372929,0.25277373,4.072136,3.9219897,-7.5533,14.826682,20.688808,-18.476059,46.803833,20.938173,-9.469416,2.7660923,15.949761,-19.605972,16.433456,47.642784,-0.66390353,-2.9089203,0.1988273,1.7121539,2.1379278,17.141344,8.811436,-9.981282,0.0,2.26024,-3.2582893,-11.548248,10.67688,-10.768309,0.0
2,-0.013517751358449459,2.9243922233581543,106.34027862548828,-0.5736722984429778,-1.105541992700475,-88.57962824963073,-4.3710017,0.24520499,4.083305,3.9220428,-7.5534377,14.834573,20.75055,-18.478367,46.80243,20.936604,-9.470652,2.7654302,15.960048,-19.679735,16.437645,47.64082,-0.6645959,-2.9100692,0.20073153,1.7109748,2.1381857,17.13886,8.808584,-9.982938,0.0,2.256146,-3.2580738,-11.54171,10.682039,-10.783138,0.0
3,-0.020072201266884804,2.9332997798919678,106.34000396728516,-0.5708320061922957,-1.1075879558064718,-88.5774379203213,-4.367442,0.22837512,4.1095805,3.9221437,-7.5537434,14.847977,20.86227,-18.482887,46.798977,20.932941,-9.473561,2.763618,15.977128,-19.814352,16.44867,47.635582,-0.66760194,-2.9129794,0.20566608,1.698834,2.142329,17.132395,8.82854,-9.99279,0.0,2.2379339,-3.2602193,-11.530228,10.716184,-10.81074,0.0
4,-0.023730959743261337,2.9367852210998535,106.33939361572266,-0.5691806391784523,-1.11145148249332,-88.57848253220783,-4.363812,0.21059945,4.141659,3.9222386,-7.554084,14.86089,20.969074,-18.48797,46.79468,20.929129,-9.477001,2.7609122,15.992735,-19.943556,16.462948,47.628277,-0.67259157,-2.916879,0.21196438,1.6902143,2.14647,17.12951,8.853204,-10.00932,0.0,2.2294953,-3.2608118,-11.519856,10.739762,-10.835924,0.0
5,-0.028710683807730675,2.936889171600342,106.28587341308594,-0.5523552541960843,-1.252184710636188,-88.60084156901785,-4.3566847,0.13160557,4.4094415,4.039659,-8.071003,14.9205885,21.766975,-18.769735,45.978832,19.614882,-9.662351,1.7909329,16.068913,-20.873701,16.942396,46.45589,-0.7373636,-2.8548908,1.4609921,1.4800385,2.2429416,17.022696,9.641935,-10.443904,0.0,2.024606,-3.3472338,-11.349559,11.482652,-11.2547245,0.0
6,-0.03019135817885399,2.936095714569092,106.28289031982422,-0.5527349834036663,-1.2514837008089883,-88.60115001675469,-4.356639,0.13124461,4.410381,4.0396605,-8.0710125,14.921256,21.769903,-18.769915,45.97881,19.614859,-9.662354,1.7908608,16.06968,-20.876982,16.942764,46.455784,-0.73745257,-2.8549242,1.4610593,1.437069,2.2571762,17.011744,9.728576,-10.492995,0.0,1.9921588,-3.3502007,-11.336512,11.546674,-11.304169,0.0
7,-0.035150863230228424,2.9377923011779785,106.2813720703125,-0.5545475445963974,-1.2494684502706626,-88.60914884114787,-4.355016,0.123498686,4.4334044,4.0396824,-8.071176,14.929568,21.811573,-18.773718,45.977856,19.614977,-9.66271,1.7887753,16.077988,-20.924559,16.950684,46.452396,-0.7404326,-2.8563104,1.4629794,1.4023229,2.27254,17.008804,9.795989,-10.532313,0.0,1.9641986,-3.3475854,-11.31894,11.593967,-11.343671,0.0
8,-0.04293146729469299,2.946241855621338,106.2120590209961,-0.5806158191268502,-1.4095240955078228,-88.6831765157327,-4.3046594,0.094231755,4.767571,4.0941415,-8.596357,14.985646,22.414352,-19.06649,45.025196,19.345774,-9.350122,0.729863,16.146143,-21.593437,17.569447,45.01855,-1.3494248,-2.6000485,2.1430707,1.0774738,2.4707098,16.933727,10.874709,-11.1168785,0.0,1.7291673,-3.388434,-11.122776,12.410903,-11.792537,0.0
9,-0.04941665008664131,2.955111265182495,106.20576477050781,-0.5807536236666051,-1.4110127032756972,-88.69036442828097,-4.3058004,0.093143255,4.7754846,4.0941477,-8.596432,14.989527,22.432665,-19.069296,45.024513,19.347178,-9.350366,0.7289428,16.149834,-21.61283,17.573816,45.016556,-1.3511922,-2.6009855,2.1436756,1.0152763,2.4926836,16.921703,10.996683,-11.183359,0.0,1.6682003,-3.395666,-11.093407,12.522933,-11.858852,0.0
