Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.3023250102996826,3.5009145736694336,106.62881469726562,0.452718892684769,-1.5306036485582397,-91.87855438555594,-1.6234969,-0.7033395,1.8651259,4.788306,-1.6030461,15.286599,22.31496,-34.220207,35.20845,17.682499,2.3078406,-6.053556,16.42761,-20.653564,32.24464,32.94266,13.046925,9.112421,-12.893516,7.023247,0.43131602,16.032518,5.420545,-8.0978155,0.0,5.384847,-2.6634433,-23.754421,8.104761,-12.249195,0.0
1,-0.3170483410358429,3.5330984592437744,106.63793182373047,0.4469796072016011,-1.4774803753951258,-91.82654569421025,-1.6291233,-0.70607793,1.8853248,4.901636,-1.5163054,15.303368,23.04772,-34.729553,34.555717,16.68705,2.2691638,-6.010204,16.480896,-21.556204,32.731987,32.090645,14.144534,9.173593,-12.851749,6.9250126,0.45809117,15.960413,5.4202647,-8.054631,0.0,5.345589,-2.6259944,-23.798569,8.017038,-12.186086,0.0
2,-0.33379068970680237,3.558783531188965,106.64161682128906,0.4522058009492143,-1.4766480398291064,-91.80557692821128,-1.6204023,-0.71144056,1.9057996,4.9016767,-1.5161445,15.307854,23.122347,-34.7362,34.554424,16.685913,2.2686138,-6.010159,16.494625,-21.640936,32.739235,32.089428,14.145185,9.173387,-12.851474,6.9015083,0.4665735,15.938389,5.421578,-8.032861,0.0,5.32736,-2.621095,-23.812706,8.023365,-12.179773,0.0
3,-0.34941983222961426,3.5936686992645264,106.64827728271484,0.4530008600321724,-1.4480485223927129,-91.753896141026,-1.6112866,-0.7266254,1.9549371,4.9017386,-1.5150894,15.316095,23.324028,-34.760395,34.540176,16.67752,2.261477,-6.0096884,16.524492,-21.868568,32.76678,32.07604,14.151609,9.168449,-12.847609,6.832224,0.48516726,15.882511,5.421893,-7.993789,0.0,5.291236,-2.6017,-23.850225,7.9906406,-12.147142,0.0
4,-0.36314254999160767,3.6336774826049805,106.65657806396484,0.4529516992714211,-1.4144330048071523,-91.70432442345937,-1.6064358,-0.74071985,1.9969331,4.9017015,-1.5135943,15.322876,23.504581,-34.78287,34.51828,16.665682,2.2502046,-6.0087643,16.55348,-22.06858,32.794838,32.055794,14.160684,9.160456,-12.841141,6.7546663,0.5038991,15.825942,5.419631,-7.9497385,0.0,5.2500234,-2.580475,-23.885899,7.946336,-12.103715,0.0
5,-0.3849109411239624,3.6846048831939697,106.67273712158203,0.42766083407602756,-1.2632201688487348,-91.61102722055205,-1.6441547,-0.73930997,1.9631612,4.855349,-0.910249,15.344645,23.969732,-35.14878,33.732292,15.806782,2.2907007,-5.920937,16.613958,-22.566511,33.218296,31.250675,14.935839,9.267655,-12.907007,6.5090065,0.56828266,15.656785,5.42758,-7.8707833,0.0,5.1272917,-2.4936566,-23.962135,7.758312,-11.967925,0.0
6,-0.40661153197288513,3.733921766281128,106.67965698242188,0.4313180719410621,-1.2534871045212026,-91.57101406907661,-1.6318746,-0.7590276,2.016032,4.8551493,-0.9085594,15.356154,24.109463,-35.16614,33.723354,15.802693,2.286751,-5.919716,16.648018,-22.708826,33.243694,31.242908,14.93799,9.265916,-12.904608,6.458643,0.58409256,15.614252,5.4215145,-7.8249826,0.0,5.086037,-2.4818037,-23.987677,7.7608457,-11.947826,0.0
7,-0.4224301874637604,3.790015459060669,106.69065856933594,0.4272233043717209,-1.198900900152816,-91.50608329393354,-1.6287788,-0.78573406,2.076638,4.853802,-0.89997494,15.370147,24.343433,-35.214474,33.655354,15.772883,2.2551906,-5.909339,16.695763,-22.943527,33.328335,31.181616,14.957913,9.246592,-12.886757,6.338336,0.6125491,15.5329,5.4227524,-7.764848,0.0,5.0213113,-2.4484873,-24.03458,7.6911736,-11.880514,0.0
8,-0.43710899353027344,3.852524518966675,106.70292663574219,0.41974557797244744,-1.0927546373226462,-91.42811385637853,-1.6399658,-0.8005452,2.0982304,4.7068815,-0.07643846,15.394923,24.650322,-35.450203,33.035988,15.217186,2.3215601,-5.7575493,16.758974,-23.240623,33.67347,30.558868,15.414968,9.389314,-13.003679,6.1429186,0.64757234,15.394069,5.4309916,-7.692406,0.0,4.8801312,-2.4172366,-24.08487,7.6395507,-11.808937,0.0
9,-0.46374043822288513,3.9228665828704834,106.71458435058594,0.4237593904854031,-1.0149899002992533,-91.36472442909815,-1.6262363,-0.81615716,2.1439059,4.578366,0.58298564,15.420359,24.907318,-35.62841,32.730133,14.919084,2.3747792,-5.640514,16.822533,-23.4794,33.94984,30.266273,15.672927,9.436888,-13.173869,5.982098,0.67280895,15.294196,5.435543,-7.619802,0.0,4.7381697,-2.4054775,-24.113503,7.6490602,-11.769179,0.0
10,-0.4778747856616974,3.9895036220550537,106.7259292602539,0.42982211742434323,-0.9283460800287785,-91.30033844869902,-1.606058,-0.8302404,2.190866,4.459458,1.1423845,15.445801,25.12463,-35.761536,32.46172,14.67605,2.3977578,-5.5364714,16.886015,-23.673603,34.17002,30.034912,15.854454,9.44914,-13.315555,5.810889,0.6885952,15.190586,5.4398336,-7.548001,0.0,4.5846295,-2.405917,-24.1391,7.664112,-11.728873,0.0
11,-0.4934934973716736,4.061931610107422,106.73828125,0.43793956974245823,-0.8367996460563277,-91.2350041575271,-1.583829,-0.84601885,2.243067,4.342308,1.6449654,15.471016,25.31017,-35.857697,32.217987,14.464803,2.415072,-5.438284,16.94925,-23.83372,34.347443,29.832117,15.989006,9.450723,-13.431917,5.630035,0.70264405,15.08348,5.442606,-7.470419,0.0,4.417799,-2.4095876,-24.162382,7.686023,-11.687813,0.0
12,-0.5221964716911316,4.145989418029785,106.75080108642578,0.4474609659476291,-0.7444397269349321,-91.16869871052896,-1.563772,-0.867086,2.304636,4.219613,2.1213253,15.495952,25.469297,-35.91816,32.004097,14.27831,2.437302,-5.3419776,17.012117,-23.96739,34.492302,29.647467,16.09562,9.445945,-13.524558,5.4411583,0.7222309,14.973191,5.445155,-7.3839874,0.0,4.228056,-2.4130068,-24.180717,7.7371764,-11.657401,0.0
13,-0.5403849482536316,4.225805759429932,106.76358032226562,0.4578076295609742,-0.653775095769225,-91.10169585257884,-1.5489867,-0.8964325,2.3749726,4.0874505,2.5963733,15.520642,25.606062,-35.94386,31.821672,14.118788,2.4720342,-5.247822,17.074585,-24.080124,34.61419,29.473587,16.187616,9.435597,-13.590601,5.2551193,0.73494536,14.862592,5.448775,-7.300818,0.0,4.0524354,-2.420018,-24.2034,7.76962,-11.617796,0.0
14,-0.5594925284385681,4.316230297088623,106.7770004272461,0.4683013904166069,-0.5620769704191976,-91.03377630891278,-1.5366329,-0.93162215,2.452539,3.944855,3.0819495,15.545088,25.723814,-35.93813,31.661976,13.980966,2.5149696,-5.1577754,17.136608,-24.176294,34.71982,29.308767,16.268902,9.419676,-13.639141,5.0635796,0.7471612,14.749752,5.4475493,-7.2083516,0.0,3.8610177,-2.4301357,-24.222878,7.8168154,-11.579039,0.0
15,-0.5858825445175171,4.4034013748168945,106.79058837890625,0.48085954934720004,-0.46618042092353074,-90.96479378730213,-1.52204,-0.9675341,2.5399885,3.7897208,3.574548,15.5692425,25.825115,-35.902702,31.51785,13.849529,2.5556586,-5.070927,17.198101,-24.259415,34.81157,29.1535,16.340502,9.398414,-13.684523,4.8640275,0.761593,14.633366,5.4532137,-7.118677,0.0,3.6705062,-2.4362698,-24.243841,7.856086,-11.539186,0.0
16,-0.609254002571106,4.509598255157471,106.80552673339844,0.49431893900874746,-0.3629966967521982,-90.89472950515075,-1.5005533,-0.9989341,2.640443,3.6188881,4.0618844,15.592984,25.912037,-35.83857,31.382942,13.709799,2.5824492,-4.9864416,17.258965,-24.332241,34.88928,29.007307,16.402172,9.372919,-13.738653,4.64449,0.7734356,14.511648,5.4559336,-7.015378,0.0,3.444691,-2.4518623,-24.256262,7.921969,-11.498482,0.0
17,-0.6368367075920105,4.625664234161377,106.82038116455078,0.5085790149393181,-0.2518730541658118,-90.82452186481235,-1.4677209,-1.0231824,2.754126,3.4270332,4.5335126,15.6161375,25.98652,-35.74844,31.250614,13.5633,2.5911832,-4.9113674,17.319187,-24.396824,34.951843,28.869005,16.462961,9.342556,-13.812169,4.408232,0.7864529,14.386084,5.458142,-6.9039016,0.0,3.1879077,-2.472452,-24.260157,8.017299,-11.465862,0.0
