Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,-0.08698868006467819,2.8350908756256104,106.51565551757812,0.07692137462126639,0.34537902434802525,-88.73072999546703,-1.5757408,1.141946,0.77253836,2.7866416,-6.643762,16.104935,18.86508,-5.01847,55.4985,-3.9956284,-2.0533395,-7.6391206,10.914066,-17.939602,-4.919698,57.483715,-12.586042,-5.676706,1.3766569,1.2887638,0.3808816,9.208764,5.65947,-7.497393,0.0,1.881837,-1.2747664,-7.557864,5.6900873,-8.701728,0.0
1,-0.0869918242096901,2.835089683532715,106.51617431640625,0.07691664499392167,0.34537786925983677,-88.73073001049752,-1.5757408,1.141946,0.77253836,2.7866416,-6.643762,16.104935,18.86508,-5.01847,55.4985,-3.9956284,-2.0533395,-7.6391206,10.914066,-17.939602,-4.919698,57.483715,-12.586042,-5.676706,1.3766569,1.2887117,0.38088813,9.208628,5.6596174,-7.4974933,0.0,1.8890018,-1.2738036,-7.5599246,5.676266,-8.694911,0.0
2,-0.08699683845043182,2.8350889682769775,106.51628875732422,0.07690584250725262,0.34537693238711314,-88.730730043685,-1.5757408,1.141946,0.77253836,2.7866416,-6.643762,16.104935,18.86508,-5.01847,55.4985,-3.9956284,-2.0533395,-7.6391206,10.914066,-17.939602,-4.919698,57.483715,-12.586042,-5.676706,1.3766569,1.2885995,0.38101926,9.208468,5.659611,-7.4973965,0.0,1.8904825,-1.2735324,-7.5603857,5.6732497,-8.693393,0.0
3,-0.08881019800901413,2.8347256183624268,106.51579284667969,0.07733467607874732,0.34540683891973706,-88.73272831642778,-1.5774462,1.140871,0.77291405,2.7866561,-6.6438,16.107817,18.88549,-5.018365,55.499126,-3.9959848,-2.053561,-7.63969,10.916469,-17.96264,-4.92063,57.484657,-12.585825,-5.676927,1.3769284,1.2894737,0.38162377,9.210125,5.659198,-7.497677,0.0,1.8833125,-1.273873,-7.556849,5.686943,-8.700384,0.0
4,-0.09239599108695984,2.835192918777466,106.51526641845703,0.07789469107127836,0.3452471347162621,-88.73465393478115,-1.5791932,1.1397811,0.77327186,2.7866707,-6.6438375,16.110733,18.905872,-5.018256,55.499763,-3.9963648,-2.053779,-7.640271,10.918886,-17.985611,-4.9215612,57.4856,-12.585602,-5.677158,1.3772154,1.2895118,0.38311833,9.211487,5.659615,-7.4976196,0.0,1.8739173,-1.2735707,-7.5527935,5.7041645,-8.708676,0.0
5,-0.0929584875702858,2.834444761276245,106.51528930664062,0.07800565316953692,0.3453881140323494,-88.73508337454558,-1.579547,1.1396358,0.7733042,2.7866743,-6.6438465,16.111479,18.91092,-5.0182276,55.499924,-3.9964595,-2.0538297,-7.6404138,10.919498,-17.991287,-4.9217916,57.485832,-12.585546,-5.6772146,1.3772868,1.289703,0.38338062,9.211879,5.6597714,-7.497986,0.0,1.8763385,-1.2730341,-7.55313,5.7002482,-8.707253,0.0
6,-0.09347324073314667,2.8337039947509766,106.51531219482422,0.07820925965222715,0.34553899108599717,-88.73524197484353,-1.5796454,1.1396724,0.7732739,2.7866762,-6.6438513,16.111855,18.913446,-5.018212,55.50001,-3.9965065,-2.053853,-7.640484,10.919807,-17.994123,-4.9219074,57.48595,-12.585516,-5.6772428,1.3773227,1.2906945,0.38338256,9.2123165,5.6587834,-7.4979916,0.0,1.8781489,-1.27272,-7.553492,5.697225,-8.706076,0.0
7,-0.09325417131185532,2.8325297832489014,106.51545715332031,0.07829224603074217,0.34580374732414354,-88.73534779055981,-1.5796605,1.1398175,0.77319205,2.786678,-6.6438556,16.112236,18.915974,-5.018195,55.500095,-3.9965532,-2.0538747,-7.640553,10.920115,-17.996954,-4.9220247,57.486065,-12.5854845,-5.677271,1.3773589,1.2907999,0.38325116,9.212497,5.6591716,-7.4986672,0.0,1.8805683,-1.2726389,-7.5540266,5.693447,-8.704803,0.0
8,-0.0932595506310463,2.832345962524414,106.51573181152344,0.0783408931100556,0.3458139494140322,-88.73536695439029,-1.5796528,1.139874,0.7731627,2.7866786,-6.643857,16.112331,18.916607,-5.018191,55.50012,-3.9965641,-2.0538795,-7.64057,10.920192,-17.99766,-4.922055,57.48609,-12.585476,-5.677278,1.377368,1.2937919,0.38273,9.213396,5.654168,-7.4963937,0.0,1.8848058,-1.2721592,-7.5552425,5.685932,-8.701231,0.0
9,-0.0948655754327774,2.8294405937194824,106.51605224609375,0.07926937080118163,0.346663480504985,-88.7355857172521,-1.5795346,1.1409148,0.7725807,2.7866867,-6.6438746,16.113907,18.926968,-5.0181284,55.500504,-3.9967408,-2.0539544,-7.6408563,10.92143,-18.0092,-4.9225545,57.486565,-12.585323,-5.677403,1.3775208,1.2918515,0.38300976,9.212861,5.659582,-7.5007033,0.0,1.8868674,-1.2720761,-7.5556326,5.6833377,-8.701668,0.0
