Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
0,0.30379095673561096,2.4962828159332275,105.23308563232422,-0.18780480494262922,-0.9021755613009261,-91.47781349168147,-3.8950496,-0.6850823,6.275198,0.9448035,-13.530765,18.254427,21.49372,-20.725157,34.76993,15.441606,-0.5193718,-1.8492635,13.937619,-18.822985,17.344252,39.90118,-8.402323,-8.278303,1.2268993,4.127968,3.4844975,9.130286,8.3835125,-9.29161,0.0,6.3524013,-2.7455735,-20.730423,5.5351477,-11.8793545,0.0
1,0.30568841099739075,2.4855899810791016,105.23146057128906,-0.19108975516023063,-0.8990504051784985,-91.48454048364364,-3.8998396,-0.6874542,6.280225,0.9448246,-13.530972,18.26497,21.547544,-20.727991,34.767567,15.439828,-0.5209211,-1.8496852,13.94654,-18.900202,17.34578,39.8987,-8.400132,-8.279841,1.2276769,4.1013865,3.490331,9.12433,8.440092,-9.324254,0.0,6.376372,-2.7355752,-20.730618,5.489492,-11.864,0.0
2,0.3112837076187134,2.4842793941497803,105.22927856445312,-0.19574384884413595,-0.8969645602607124,-91.4960371774688,-3.9071293,-0.6921785,6.2896256,0.9448541,-13.531188,18.27536,21.599777,-20.730684,34.764797,15.437843,-0.5227316,-1.8502188,13.955255,-18.974667,17.347097,39.89596,-8.397724,-8.281505,1.2283914,4.068727,3.4963078,9.120207,8.5032425,-9.356471,0.0,6.372437,-2.7353432,-20.718508,5.4893713,-11.865409,0.0
3,0.328208863735199,2.489906072616577,105.22808074951172,-0.20291646637329247,-0.8948294607413529,-91.50932593107315,-3.916535,-0.6983132,6.3024635,0.94489217,-13.531414,18.285618,21.650545,-20.733206,34.761597,15.435605,-0.5248176,-1.8508277,13.963758,-19.046629,17.348194,39.89294,-8.395085,-8.283308,1.2290436,4.0237055,3.5009887,9.11482,8.5845785,-9.39592,0.0,6.384913,-2.731258,-20.710875,5.445043,-11.837152,0.0
4,0.3446502983570099,2.492938995361328,105.22695922851562,-0.2108966090694653,-0.8898331581262344,-91.52034346641884,-3.9293146,-0.7050083,6.3172903,0.9449377,-13.531651,18.295681,21.699598,-20.735512,34.757908,15.433025,-0.5272177,-1.8514533,13.971991,-19.115864,17.348997,39.889637,-8.3921795,-8.285252,1.2296145,3.9732254,3.5065272,9.107781,8.673156,-9.440623,0.0,6.3967595,-2.7257302,-20.705244,5.399856,-11.810335,0.0
5,0.36964574456214905,2.493330717086792,105.22594451904297,-0.22013470687946202,-0.8782040293599993,-91.52642740465569,-3.9605887,-0.7158012,6.342154,0.94504595,-13.532155,18.312819,21.78761,-20.73934,34.749035,15.42655,-0.53293604,-1.8525004,13.985741,-19.23989,17.350065,39.88203,-8.38554,-8.289702,1.2307674,3.9032395,3.5107157,9.093926,8.786901,-9.500018,0.0,6.414004,-2.7196603,-20.706781,5.3326426,-11.771662,0.0
6,0.3979422152042389,2.4772090911865234,105.22492980957031,-0.2295865820274004,-0.8611786148071728,-91.51870751572183,-4.0031843,-0.72485286,6.362055,0.94516844,-13.532693,18.329527,21.870506,-20.742352,34.73858,15.418542,-0.5396444,-1.853236,13.998873,-19.355846,17.350437,39.873512,-8.378042,-8.294669,1.2318971,3.835805,3.512624,9.072029,8.894872,-9.562866,0.0,6.47035,-2.7016408,-20.731426,5.1993065,-11.710078,0.0
7,0.4415658414363861,2.456993341445923,105.178466796875,-0.23734944046433,-0.7646087723909925,-91.33121261668519,-4.332491,-0.738606,6.3644867,1.1560173,-14.280406,18.422949,22.520922,-21.020584,33.67188,13.514917,-0.87195855,-2.0877807,14.073207,-20.215473,17.538864,38.801117,-6.624285,-8.406787,1.905943,3.1450531,3.591671,8.698982,9.940227,-10.055954,0.0,5.9292264,-2.8888938,-20.783207,6.165526,-12.202081,0.0
8,0.48212674260139465,2.419593572616577,105.17118835449219,-0.25573954158558815,-0.7489259523331102,-91.31889912630032,-4.3516955,-0.7357182,6.3679514,1.1561215,-14.280804,18.446032,22.584963,-21.024666,33.66955,13.513047,-0.87308437,-2.087851,14.091794,-20.287338,17.540932,38.79993,-6.6222315,-8.406931,1.9057014,3.0353959,3.6044621,8.6597805,10.155769,-10.183609,0.0,5.9780316,-2.8763952,-20.805832,6.0816946,-12.175811,0.0
9,0.5309083461761475,2.388646364212036,105.16878509521484,-0.27166127226838627,-0.7287472992178825,-91.28022516795944,-4.4072366,-0.72790223,6.3715,1.1563365,-14.2816725,18.482294,22.691528,-21.033535,33.66147,13.507792,-0.8775896,-2.0888984,14.120512,-20.405819,17.541952,38.79574,-6.615039,-8.408051,1.9040569,2.9424899,3.6041873,8.607173,10.311889,-10.272572,0.0,6.076749,-2.8499,-20.865145,5.8878736,-12.091502,0.0
10,0.5894067883491516,2.3618245124816895,105.16641998291016,-0.27815839190183667,-0.704960233558106,-91.20339381369091,-4.513088,-0.7206467,6.369405,1.1567864,-14.28356,18.533327,22.84895,-21.053185,33.638004,13.494013,-0.891357,-2.0939097,14.160018,-20.577345,17.53806,38.78293,-6.5934024,-8.412291,1.8985925,2.83324,3.587603,8.521133,10.471544,-10.3547535,0.0,6.168033,-2.8414488,-20.95538,5.7119985,-12.01509,0.0
11,0.6619977951049805,2.3192265033721924,105.11573791503906,-0.2693438253689265,-0.6561839338402106,-91.00485366090602,-4.768321,-0.7226629,6.3524837,1.3112288,-14.933298,18.636305,23.253613,-21.348076,32.902256,12.587447,-0.95650446,-2.3818004,14.238336,-20.991083,17.657528,38.224922,-5.4095197,-8.223165,1.8396136,2.3005197,3.6007924,8.164282,11.352764,-10.788395,0.0,5.731791,-3.0621774,-21.070385,6.6301923,-12.495652,0.0
12,0.7349807620048523,2.287902593612671,105.10604095458984,-0.28838363499131775,-0.6438137233755089,-90.96636294815542,-4.7930627,-0.71571994,6.3565373,1.3114703,-14.934724,18.693996,23.371574,-21.368544,32.892265,12.584656,-0.96146286,-2.3846297,14.2822275,-21.096874,17.65811,38.22073,-5.4006453,-8.223516,1.8361433,2.172956,3.5938213,8.098686,11.598377,-10.928939,0.0,5.7785645,-3.072197,-21.111702,6.564561,-12.469253,0.0
13,0.8156365752220154,2.2482800483703613,105.09825134277344,-0.2627107191063591,-0.6481517944591405,-90.90016761854345,-4.839641,-0.74976975,6.3782225,1.3120806,-14.941079,18.777098,23.565842,-21.443134,32.82393,12.56117,-0.9969396,-2.399378,14.34542,-21.266333,17.642317,38.193817,-5.345972,-8.229575,1.8181523,2.146702,3.5127912,8.03701,11.685171,-10.9985075,0.0,5.818794,-3.1566386,-21.181269,6.583245,-12.49131,0.0
14,0.9136045575141907,2.2182161808013916,105.05622863769531,-0.19939318459911853,-0.6767131057558233,-90.83023505466211,-4.862267,-0.8355823,6.4378533,1.3165776,-15.50395,18.884232,23.818398,-21.749964,32.215576,12.110671,-0.9635999,-2.490501,14.425156,-21.469189,17.653236,37.901665,-4.6568007,-8.101372,1.7100393,1.9678696,3.3957274,7.8935184,12.115163,-11.247034,0.0,5.473801,-3.4641707,-21.174572,7.448915,-12.924585,0.0
15,1.0145386457443237,2.1765708923339844,105.02995300292969,-0.1494067698106432,-0.6999255147791779,-90.78446682682825,-4.8496666,-0.9071813,6.479437,1.2687836,-15.908404,18.99222,24.024569,-22.025671,31.909983,11.902369,-0.8938695,-2.4156444,14.505017,-21.616512,17.629292,37.79865,-4.426919,-8.045673,1.6715348,1.9040972,3.2779028,7.822627,12.333447,-11.398829,0.0,5.333541,-3.6752892,-21.177347,7.8836555,-13.147141,0.0
16,1.1338903903961182,2.1297144889831543,105.00663757324219,-0.08050960695318603,-0.722510573036664,-90.72343623709655,-4.8488727,-0.99852663,6.5091467,1.18913,-16.212639,19.100515,24.19429,-22.272747,31.650795,11.776161,-0.84114707,-2.3626356,14.584489,-21.724728,17.557726,37.75701,-4.2731667,-8.0165,1.6339478,1.8846749,3.1187835,7.751094,12.465012,-11.511886,0.0,5.220318,-3.913635,-21.20159,8.277963,-13.347559,0.0
17,1.261024832725525,2.077418088912964,104.9801254272461,0.004314122624705264,-0.7401203842814698,-90.64197575821603,-4.864432,-1.1064273,6.519001,1.0902627,-16.449495,19.211147,24.337078,-22.498312,31.409647,11.724675,-0.77791905,-2.3689075,14.664999,-21.806177,17.442774,37.76441,-4.1641793,-7.990764,1.6028019,1.8716252,2.9313781,7.6610804,12.572308,-11.616888,0.0,5.080956,-4.1882668,-21.23338,8.732051,-13.578908,0.0
18,1.395298719406128,2.01389479637146,104.95159912109375,0.10771176908936841,-0.7575717546491452,-90.547904188408,-4.885153,-1.231941,6.511811,0.97671485,-16.642366,19.475672,24.530382,-22.722992,31.167944,11.732234,-0.7059833,-2.417353,14.854573,-21.899452,17.275635,37.80536,-4.0907497,-7.9710684,1.5834056,1.8850307,2.7124078,7.565134,12.636736,-11.708906,0.0,4.937583,-4.496565,-21.27241,9.218149,-13.830898,0.0
