Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
0,0.7279738783836365,1.67538583278656,66.0831298828125,1.810473064145378,-1.6318930779993805,-113.06594754370053,-0.030308707,4.83736,24.791626,6.283819,-3.1789148,0.0,8.540888,-3.7124257,-18.581255,6.527726,-13.215779,0.0,-0.48231938,6.184682,-1.7228355,12.123859,-12.649982,9.27918,21.485191,-29.2152,-53.01292,2.2694051,13.9728775,-12.210748,-0.09369864,-22.793066,50.492306,-57.855755,-13.884906,15.455194,2.4758463
1,0.7285880446434021,1.6844455003738403,66.0853042602539,1.8089730339768983,-1.6329583069192821,-113.08096676668134,-0.03351814,4.841947,24.80648,6.2839494,-3.1683617,0.0,8.530414,-3.7103212,-18.57095,6.5246735,-13.201185,0.0,-0.48920235,6.193217,-1.7195548,12.124018,-12.650182,9.277855,21.562258,-29.219866,-53.017334,2.2702763,13.970929,-12.210748,-0.09374205,-22.852814,50.49822,-57.860447,-13.889243,15.453486,2.4780722
2,0.7308421730995178,1.7115675210952759,66.0867691040039,1.7354991641264699,-1.6037080596546058,-113.16912351003302,-0.104525,4.950344,24.91009,6.397951,-3.2162528,0.0,8.398941,-3.6592562,-18.470339,6.639095,-13.21727,0.0,-0.4413701,6.2526917,-1.6398364,12.530358,-13.277219,9.965994,22.642458,-29.730227,-55.29942,3.2434175,14.230005,-12.210748,-0.0077837138,-23.748436,51.29825,-59.89789,-16.664854,15.933869,2.3008876
3,0.7329335808753967,1.7232533693313599,66.08761596679688,1.7357656025066304,-1.6060989384521795,-113.17488209467943,-0.11037516,4.9524374,24.917877,6.3953013,-3.2001243,0.0,8.390902,-3.657835,-18.467464,6.634796,-13.202208,0.0,-0.44423285,6.255402,-1.6387358,12.530382,-13.277267,9.965823,22.655403,-29.731691,-55.300167,3.2432482,14.229714,-12.210748,-0.0075292834,-23.759605,51.299427,-59.89842,-16.665775,15.933757,2.3012457
4,0.737123966217041,1.7545368671417236,66.0917739868164,1.718554792397906,-1.5996368775384844,-113.2386879474111,-0.12228807,4.9777975,24.973505,6.391937,-3.1776774,0.0,8.343219,-3.642821,-18.418144,6.625742,-13.154537,0.0,-0.46694708,6.2935214,-1.6112115,12.53082,-13.278215,9.953629,22.812523,-29.761707,-55.32609,3.237798,14.21849,-12.210748,-0.004936995,-23.886663,51.3178,-59.920174,-16.691471,15.927795,2.3144429
5,0.7367845177650452,1.7925653457641602,66.09569549560547,1.591856314252187,-1.5391763363165258,-113.37983198187499,-0.337976,5.2063174,25.135405,6.7978897,-3.3777564,0.0,8.172919,-3.5325904,-18.244562,6.6991444,-13.1279545,0.0,-0.37229288,6.3322453,-1.4475492,12.812649,-14.008558,10.324141,23.476091,-30.473516,-57.73026,3.1393156,14.560733,-12.210748,-0.09394159,-24.500391,52.09282,-62.00699,-19.718212,16.595133,2.237703
6,0.7376500368118286,1.8163079023361206,66.09889221191406,1.586991085524677,-1.539704612612521,-113.41965046318839,-0.32979,5.212243,25.172956,6.759826,-3.3349662,0.0,8.144531,-3.5262508,-18.214584,6.692479,-13.093015,0.0,-0.39151257,6.3465095,-1.4333148,12.812801,-14.008997,10.319172,23.538622,-30.49026,-57.7393,3.134684,14.5568075,-12.210748,-0.094968766,-24.555382,52.103786,-62.01422,-19.724045,16.592632,2.241162
7,0.7435322999954224,1.860304594039917,66.1034927368164,1.464248083264754,-1.4708898435308622,-113.58246557812969,-0.67125046,5.4906945,25.331823,7.4428773,-3.6808767,0.0,7.954864,-3.4249105,-18.028652,6.762679,-13.051159,0.0,-0.3243843,6.366446,-1.2572802,13.027605,-14.688374,10.353371,24.016363,-31.302557,-59.553223,2.6030998,14.775703,-12.210748,-0.38991687,-25.017992,52.893814,-63.53351,-21.730776,16.906452,2.1701293
8,0.748759388923645,1.9044054746627808,66.1077880859375,1.391962592732254,-1.445556174381744,-113.7145736715819,-0.83929706,5.651546,25.458338,7.7948155,-3.8452072,0.0,7.841237,-3.363388,-17.89198,6.7877865,-12.9953,0.0,-0.2967033,6.3886113,-1.1413912,13.194908,-15.216238,10.214442,24.384253,-32.012104,-60.51927,2.542619,14.851525,-12.210748,-0.68549186,-25.382427,53.58347,-64.34977,-23.12001,16.955978,2.0846481
9,0.751755952835083,1.945754885673523,66.11084747314453,1.313845604673451,-1.4291313952447304,-113.8722104623282,-1.0009091,5.8271084,25.605875,8.178786,-4.033427,0.0,7.7224207,-3.300791,-17.729433,6.834211,-12.947958,0.0,-0.26501596,6.417197,-1.0105922,13.337125,-15.644366,9.978326,24.676136,-32.67426,-61.413364,2.4605768,14.84024,-12.210748,-1.016269,-25.673416,54.195183,-65.14723,-24.489971,17.017502,2.1652036
