Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
0,0.045049890875816345,1.8076280355453491,66.44871520996094,3.1510403319262212,6.531385715871087,-108.1269241326196,7.532137,-9.076091,21.818832,5.494839,-9.65076,0.0,-16.369207,-18.292652,-6.6078897,58.21264,-5.7486405,0.0,-2.2665925,2.022531,-5.336712,7.6059427,-16.891708,8.57017,21.904224,-33.193943,-53.179276,-1.0842524,14.067953,-12.210748,5.403796,-22.563324,46.313423,-55.723427,-7.386111,14.004593,0.9959028
1,0.11295295506715775,1.6212724447250366,66.34455108642578,3.2649209210255865,6.429831445824851,-108.17982132453972,7.8177085,-9.303832,21.725964,5.474928,-9.874017,0.0,-18.381245,-18.686436,-6.0270224,61.549385,-4.8183966,0.0,-2.411535,2.2213495,-5.540555,7.898817,-17.528217,8.933948,22.966764,-33.558365,-55.21723,-0.21139693,14.194823,-12.210748,5.668879,-23.524858,46.961952,-56.969707,-8.467436,14.0231695,0.7308313
2,0.18467207252979279,1.4410860538482666,66.23190307617188,3.390148939935584,6.330845613145864,-108.23435321700296,8.098226,-9.541433,21.62753,5.4559727,-10.085819,0.0,-20.408157,-19.049437,-5.351611,64.86223,-3.8474107,0.0,-2.548113,2.4142444,-5.7516103,8.089004,-18.02908,9.126766,23.67657,-33.820553,-56.730503,0.1843311,14.31982,-12.210748,5.9378195,-24.192171,47.4236,-57.746754,-9.063883,14.043488,0.41444936
3,0.252755343914032,1.260310411453247,66.11038970947266,3.516842345891133,6.234609625110593,-108.2878338691041,8.382255,-9.783287,21.528025,5.4362054,-10.319495,0.0,-22.436192,-19.314867,-4.5554748,68.06765,-2.8763099,0.0,-2.7006857,2.6035507,-5.9660945,8.214758,-18.440693,9.1928005,24.185984,-34.01133,-58.01798,0.34542894,14.410281,-12.210748,6.1490326,-24.680637,47.748688,-58.347652,-9.46102,14.05727,0.1914232
4,0.3236260712146759,1.0698776245117188,65.98030853271484,3.639349954177198,6.144374451699595,-108.33889134636082,8.672872,-10.029404,21.428701,5.412578,-10.606021,0.0,-24.459612,-19.421007,-3.6270719,71.08952,-1.9312912,0.0,-2.892518,2.7846127,-6.181871,8.303529,-18.786821,9.174433,24.570477,-34.1552,-59.184063,0.2544684,14.468539,-12.210748,6.3112807,-25.050968,47.975258,-58.825478,-9.728123,14.049583,0.06451006
5,0.4106099605560303,0.8714576959609985,65.84230041503906,3.7555348473237817,6.060531397339857,-108.39902069448826,8.97852,-10.289187,21.329361,5.3833847,-10.969859,0.0,-26.575924,-19.353024,-2.5131736,74.07256,-0.7953963,0.0,-3.1326888,2.9531155,-6.401901,8.376129,-19.08121,9.112516,24.87108,-34.268826,-60.298702,-0.13735221,14.5026865,-12.210748,6.4329953,-25.337513,48.12998,-59.224224,-9.890497,14.00132,0.04677967
6,0.49180328845977783,0.6599820852279663,65.68964385986328,3.86638844483288,5.982060919947707,-108.46593473706308,9.29431,-10.558376,21.231003,5.349282,-11.38921,0.0,-28.749563,-19.079845,-1.2143509,76.97262,0.5447108,0.0,-3.407591,3.111083,-6.6255107,8.443196,-19.335068,9.024143,25.111744,-34.360867,-61.383583,-0.7539509,14.524082,-12.210748,6.5287423,-25.56089,48.232254,-59.565407,-9.975907,13.92129,0.1084831
7,0.5753056406974792,0.4497910439968109,65.5400619506836,3.97355531866011,5.9098673892249565,-108.51756199202168,9.599242,-10.81576,21.135754,5.3204565,-11.828969,0.0,-30.768091,-18.592377,0.114242084,79.479744,1.6952661,0.0,-3.7062948,3.2646492,-6.8461566,8.505751,-19.555702,8.89191,25.310406,-34.435425,-62.433582,-1.4524584,14.540337,-12.210748,6.6145735,-25.73641,48.29316,-59.85444,-10.021393,13.847889,0.18045628
8,0.6237698197364807,0.2467379868030548,65.38226318359375,4.077165999396995,5.845363878640701,-108.53058389479574,9.876639,-11.03727,21.044422,5.3066545,-12.2575445,0.0,-32.422516,-17.994087,1.2195596,81.35656,2.143071,0.0,-4.018037,3.420659,-7.057237,8.55898,-19.748295,8.691648,25.478321,-34.49579,-63.434246,-2.084962,14.553872,-12.210748,6.705417,-25.873564,48.318615,-60.09858,-10.061963,13.824447,0.19539477
9,0.6478230357170105,0.04847409576177597,65.2340316772461,4.196412502949106,5.78205552044086,-108.49335355456691,10.117858,-11.232581,20.97109,5.314425,-12.677941,0.0,-33.601357,-17.409294,1.9685485,82.54693,1.3975797,0.0,-4.3523626,3.5844913,-7.278719,8.601067,-19.916166,8.41315,25.626541,-34.545395,-64.39248,-2.585523,14.565083,-12.210748,6.804744,-25.98151,48.31405,-60.316917,-10.089776,13.893114,0.11664722
