Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
0,0.05296674370765686,1.9253379106521606,66.29425811767578,1.0643659414895332,-0.947304046153022,-92.82979271231525,2.1754904,4.000399,5.5947576,6.7436724,-6.990251,0.0,3.0752351,-4.9208612,-9.855044,6.675773,-11.358465,0.0,-3.3452094,4.415091,-1.3763219,2.2017083,-1.836612,11.076912,21.553852,-36.52752,-52.59976,-13.161728,7.2335825,-12.210748,5.3681693,-20.549168,24.8069,-45.79533,11.455457,4.31716,11.714147
1,0.05297749862074852,1.9253402948379517,66.29454040527344,1.0643668866291547,-0.9473024967167896,-92.82979741542577,2.1749992,4.000195,5.5949526,6.743892,-6.9884973,0.0,3.0750241,-4.920882,-9.855035,6.676139,-11.358633,0.0,-3.3452094,4.415091,-1.3763219,2.2017083,-1.836612,11.076912,21.553852,-36.52752,-52.59976,-13.161728,7.2335825,-12.210748,5.3681693,-20.549168,24.8069,-45.79533,11.455457,4.31716,11.714147
2,0.05298826843500137,1.9253389835357666,66.29459381103516,1.064369522491233,-0.9473045260149604,-92.82979745606893,2.1751342,3.9999561,5.595227,6.743329,-6.9863634,0.0,3.0752623,-4.9208508,-9.85506,6.6756244,-11.358339,0.0,-3.3452094,4.415091,-1.3763219,2.2017083,-1.836612,11.076912,21.553852,-36.52752,-52.59976,-13.161728,7.2335825,-12.210748,5.3681693,-20.549168,24.8069,-45.79533,11.455457,4.31716,11.714147
3,0.05300094932317734,1.9253380298614502,66.29479217529297,1.0643712886429364,-0.9473059211177157,-92.82979748363046,2.1750493,4.0001183,5.5953946,6.742808,-6.984384,0.0,3.0754206,-4.9208326,-9.855071,6.6752462,-11.358111,0.0,-3.3452094,4.415091,-1.3763219,2.2017083,-1.836612,11.076912,21.553852,-36.52752,-52.59976,-13.161728,7.2335825,-12.210748,5.3681693,-20.549168,24.8069,-45.79533,11.455457,4.31716,11.714147
4,0.05364659056067467,1.9261443614959717,66.29549407958984,1.0643778145690628,-0.9476172145044411,-92.82984400543691,2.174777,3.999721,5.59556,6.7419906,-6.982544,0.0,3.074985,-4.921314,-9.85502,6.6747794,-11.35683,0.0,-3.3451796,4.415157,-1.3763644,2.2017117,-1.8366141,11.076872,21.556158,-36.527756,-52.59994,-13.161695,7.233495,-12.210748,5.3681397,-20.55176,24.807081,-45.795498,11.455389,4.3171315,11.714178
5,0.05388297140598297,1.9263837337493896,66.2954330444336,1.0643635050312492,-0.947709792481092,-92.82985440423425,2.1745062,3.9997504,5.5954103,6.742686,-6.9838967,0.0,3.074857,-4.9215007,-9.854982,6.675021,-11.356821,0.0,-3.3451695,4.415177,-1.3763783,2.2017124,-1.8366147,11.076861,21.556734,-36.527813,-52.599983,-13.161686,7.233473,-12.210748,5.3681326,-20.552408,24.807127,-45.79554,11.455373,4.3171244,11.714186
6,0.053849585354328156,1.9267770051956177,66.29521942138672,1.0643708747035725,-0.9478261240141231,-92.82986049330648,2.1743941,3.9997249,5.595138,6.7431736,-6.9862514,0.0,3.0743973,-4.9215236,-9.854972,6.6753063,-11.356559,0.0,-3.3451598,4.415195,-1.3763918,2.201713,-1.8366151,11.076854,21.557163,-36.527855,-52.600018,-13.161678,7.233456,-12.210748,5.3681273,-20.552895,24.807161,-45.79557,11.455359,4.3171186,11.714192
7,0.05315794423222542,1.9285808801651,66.29500579833984,1.0645260091114301,-0.9484021516508409,-92.82984781395294,2.1736581,4.0002294,5.5948405,6.74257,-6.986351,0.0,3.073777,-4.920995,-9.855083,6.6746264,-11.354813,0.0,-3.3450997,4.4153056,-1.3764759,2.2017162,-1.8366175,11.076813,21.559454,-36.528088,-52.600204,-13.161635,7.2333646,-12.210748,5.3680983,-20.55548,24.807344,-45.79574,11.45529,4.317088,11.714226
8,0.05381137132644653,1.9301589727401733,66.29499053955078,1.0643660295915405,-0.9488977056156811,-92.82986569772764,2.1731808,4.0003376,5.594677,6.7421756,-6.986077,0.0,3.0727713,-4.92136,-9.855032,6.674342,-11.352968,0.0,-3.345058,4.415399,-1.3765444,2.2017188,-1.8366191,11.076781,21.561169,-36.528263,-52.60035,-13.161602,7.2332954,-12.210748,5.3680763,-20.557413,24.807484,-45.795868,11.4552355,4.3170643,11.7142515
9,0.053429264575242996,1.9305627346038818,66.29522705078125,1.0644664834281903,-0.9490393925103917,-92.82986808372645,2.1732154,4.00024,5.5946593,6.740892,-6.984171,0.0,3.0729353,-4.921042,-9.855101,6.673322,-11.352016,0.0,-3.3450477,4.4154334,-1.3765662,2.2017198,-1.8366196,11.076771,21.561739,-36.528324,-52.6004,-13.161592,7.2332716,-12.210748,5.3680687,-20.55806,24.807531,-45.795906,11.455217,4.3170557,11.714259
10,0.05344158411026001,1.9305665493011475,66.29532623291016,1.0644689974868626,-0.949037070627678,-92.82985842581223,2.1727233,4.0004787,5.5945992,6.7414713,-6.9828506,0.0,3.0726025,-4.9211082,-9.855077,6.6739836,-11.352362,0.0,-3.3450477,4.4154334,-1.3765662,2.2017198,-1.8366196,11.076771,21.561739,-36.528324,-52.6004,-13.161592,7.2332716,-12.210748,5.3680687,-20.55806,24.807531,-45.795906,11.455217,4.3170557,11.714259
11,0.05021773278713226,1.9326260089874268,66.2960205078125,1.0657243807787584,-0.9499866825151274,-92.82984892264821,2.1713667,4.0016785,5.594431,6.741562,-6.978865,0.0,3.072001,-4.91949,-9.8553705,6.6737657,-11.351122,0.0,-3.3450737,4.415781,-1.3767506,2.2017267,-1.8366245,11.0766735,21.56658,-36.52883,-52.600807,-13.161518,7.233071,-12.210748,5.3679976,-20.563494,24.80793,-45.79629,11.455056,4.3169775,11.714341
12,0.05022672191262245,1.9326701164245605,66.29586029052734,1.0657374559295156,-0.9500070002711045,-92.82984922003563,2.1716554,4.0019307,5.5944486,6.740672,-6.9773417,0.0,3.0721447,-4.919491,-9.855392,6.6730866,-11.35055,0.0,-3.345075,4.4157867,-1.3767531,2.2017267,-1.8366245,11.076672,21.566652,-36.52884,-52.600815,-13.161517,7.2330685,-12.210748,5.3679967,-20.563574,24.807936,-45.7963,11.455054,4.316976,11.714341
13,0.05016598105430603,1.9369659423828125,66.29536437988281,1.0662388795960107,-0.9514534533999771,-92.82991088932833,2.1695995,4.00154,5.5945306,6.7404323,-6.9736953,0.0,3.0702326,-4.9197907,-9.85545,6.671851,-11.346059,0.0,-3.3452044,4.4161763,-1.3769274,2.2017336,-1.8366294,11.076579,21.571198,-36.529327,-52.601208,-13.161456,7.2328777,-12.210748,5.3679237,-20.568655,24.808313,-45.796677,11.454891,4.316892,11.714422
14,0.05030479654669762,1.9384413957595825,66.29520416259766,1.0662716658504687,-0.9519750909416659,-92.82994993487372,2.169014,4.0013075,5.5945635,6.7400084,-6.9727874,0.0,3.0694294,-4.9199204,-9.855432,6.6717205,-11.344609,0.0,-3.3452747,4.4163346,-1.3769943,2.2017362,-1.8366314,11.076546,21.572905,-36.529514,-52.601353,-13.161434,7.232806,-12.210748,5.3678956,-20.57056,24.808453,-45.796818,11.454826,4.3168592,11.714453
15,0.05071282014250755,1.9386388063430786,66.29537200927734,1.0661876040509923,-0.9520872313267543,-92.82996959427332,2.1688519,4.0011916,5.594607,6.7400966,-6.973437,0.0,3.0694337,-4.9201574,-9.855395,6.67166,-11.344385,0.0,-3.3453047,4.416391,-1.3770161,2.201737,-1.836632,11.076534,21.573475,-36.529575,-52.601402,-13.1614275,7.2327824,-12.210748,5.367886,-20.571194,24.808498,-45.796867,11.4548025,4.316847,11.714463
16,0.050712332129478455,1.9386388063430786,66.2952880859375,1.0661897027164247,-0.9520871934847946,-92.82996961135991,2.1689038,4.0012097,5.5947537,6.740187,-6.9743066,0.0,3.069431,-4.920165,-9.855395,6.671689,-11.344411,0.0,-3.3453047,4.416391,-1.3770161,2.201737,-1.836632,11.076534,21.573475,-36.529575,-52.601402,-13.1614275,7.2327824,-12.210748,5.367886,-20.571194,24.808498,-45.796867,11.4548025,4.316847,11.714463
17,0.05072060227394104,1.9386932849884033,66.29529571533203,1.0661794594961815,-0.9521083271738705,-92.82996972289523,2.168964,4.0011334,5.595189,6.740212,-6.9750314,0.0,3.069451,-4.9201493,-9.85539,6.671527,-11.34425,0.0,-3.3453085,4.4163985,-1.3770174,2.2017372,-1.836632,11.076532,21.573545,-36.529583,-52.60141,-13.161427,7.23278,-12.210748,5.3678846,-20.571272,24.808504,-45.796875,11.454801,4.3168454,11.714465
18,0.050781626254320145,1.9389758110046387,66.29539489746094,1.0661353101090627,-0.952207097847402,-92.82997498474829,2.1689067,4.001291,5.5958204,6.7401524,-6.975535,0.0,3.0691748,-4.9201713,-9.85537,6.6718388,-11.344182,0.0,-3.3453207,4.4164286,-1.3770173,2.2017376,-1.8366323,11.076528,21.57383,-36.529613,-52.601433,-13.161423,7.2327676,-12.210748,5.3678794,-20.571589,24.808529,-45.796898,11.454788,4.3168387,11.714471
19,0.05040161684155464,1.9422533512115479,66.29566192626953,1.0661033331960674,-0.9533031726472115,-92.82999010262354,2.167705,4.001698,5.5964413,6.7387624,-6.9724417,0.0,3.067573,-4.9196672,-9.855453,6.6709228,-11.340692,0.0,-3.3454251,4.4168043,-1.3769594,2.2017426,-1.8366358,11.076465,21.577229,-36.529995,-52.60173,-13.161379,7.2326226,-12.210748,5.367819,-20.575361,24.808817,-45.7972,11.45465,4.3167644,11.714537
20,0.05033190920948982,1.9433048963546753,66.29592895507812,1.0661284043342842,-0.953653226412819,-92.82999851582451,2.167138,4.001907,5.596684,6.7387547,-6.971862,0.0,3.0673141,-4.919535,-9.855493,6.670195,-11.339393,0.0,-3.345455,4.4169335,-1.376925,2.2017446,-1.8366369,11.076445,21.578362,-36.530125,-52.60183,-13.161364,7.232574,-12.210748,5.367799,-20.576618,24.808914,-45.7973,11.454605,4.3167396,11.71456
21,0.05121256783604622,1.9447439908981323,66.29651641845703,1.0659762916177768,-0.9542126040087509,-92.83006534435177,2.1665041,4.001695,5.5965443,6.738295,-6.97028,0.0,3.0662045,-4.920116,-9.855393,6.670293,-11.337724,0.0,-3.3455293,4.417202,-1.3768357,2.201748,-1.8366393,11.076407,21.580622,-36.530388,-52.602028,-13.161337,7.2324777,-12.210748,5.367759,-20.579123,24.809113,-45.797497,11.454514,4.316689,11.714605
