Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
0,0.5837990641593933,2.2553038597106934,65.69635009765625,0.9559235645014625,-0.4905264279692051,-85.55850228441983,5.3994937,-0.99781215,23.849627,6.285392,-12.149916,0.0,6.538413,-2.8444803,-26.892677,6.4077024,-11.436589,0.0,-2.167781,2.1635535,-0.678829,-4.1725073,-3.9541214,13.648335,20.295427,-25.422926,-44.39046,23.052794,15.241807,-12.210748,6.777169,-20.909145,29.024666,-42.592876,-21.5858,22.103949,22.236828
1,0.5919955968856812,2.256901979446411,65.69821166992188,0.9530328670539274,-0.49096999480644776,-85.55888119724455,5.3991146,-1.0020531,23.850758,6.285769,-12.152471,0.0,6.537611,-2.8483088,-26.893192,6.405996,-11.427913,0.0,-2.1678596,2.1634676,-0.6796947,-4.1725245,-3.9541364,13.648174,20.305954,-25.42334,-44.39129,23.052958,15.241809,-12.210748,6.7769566,-20.918995,29.025448,-42.59374,-21.586193,22.10399,22.23743
2,0.603425920009613,2.2618680000305176,65.69908905029297,0.9471539678097121,-0.4924623146191941,-85.55986554660981,5.3972697,-1.0064437,23.852953,6.286105,-12.153926,0.0,6.535363,-2.8527775,-26.893164,6.4036694,-11.4147835,0.0,-2.16817,2.1631355,-0.68287724,-4.1725597,-3.9541662,13.647854,20.32748,-25.424006,-44.392887,23.053335,15.241816,-12.210748,6.7765317,-20.939075,29.027039,-42.595467,-21.587017,22.104063,22.238676
3,0.6129075884819031,2.2649309635162354,65.69974517822266,0.9407381804395497,-0.4937333244470193,-85.56122782071604,5.3967333,-1.0087005,23.855185,6.2866616,-12.156345,0.0,6.533619,-2.8553689,-26.892738,6.4025803,-11.404279,0.0,-2.1686523,2.1627085,-0.68753237,-4.1725965,-3.9541965,13.647546,20.349272,-25.42447,-44.39438,23.053755,15.241837,-12.210748,6.7761216,-20.959343,29.028616,-42.597168,-21.587877,22.104134,22.23994
4,0.6255761384963989,2.2696337699890137,65.70018768310547,0.9306904090163284,-0.4956052894202297,-85.56458132688783,5.396575,-1.0104458,23.859251,6.286707,-12.159296,0.0,6.530492,-2.8573415,-26.890463,6.4022646,-11.391672,0.0,-2.1697857,2.1621647,-0.6983196,-4.172668,-3.9542537,13.647057,20.389675,-25.42488,-44.39684,23.054636,15.241937,-12.210748,6.7754216,-20.99667,29.031475,-42.60024,-21.589592,22.104296,22.242332
5,0.6383517384529114,2.277359962463379,65.70101928710938,0.920598742367694,-0.49771205941082075,-85.56881068307734,5.3951197,-1.0127609,23.864084,6.2852,-12.15961,0.0,6.525199,-2.8595827,-26.887653,6.400339,-11.375565,0.0,-2.1714153,2.162236,-0.71152884,-4.172742,-3.9543104,13.646717,20.42976,-25.424726,-44.398785,23.055593,15.242157,-12.210748,6.774848,-21.033392,29.034101,-42.603046,-21.59142,22.104555,22.244684
6,0.6518716216087341,2.2806596755981445,65.70160675048828,0.9079597355295125,-0.4988825696673054,-85.57733362544919,5.3969617,-1.01341,23.871847,6.284751,-12.165108,0.0,6.520436,-2.8605855,-26.881025,6.400008,-11.362331,0.0,-2.1748328,2.1636758,-0.73968726,-4.1728954,-3.9544241,13.646426,20.506912,-25.42319,-44.401524,23.057728,15.242887,-12.210748,6.7740006,-21.103168,29.038834,-42.60818,-21.595434,22.10532,22.249414
7,0.6653680205345154,2.284229278564453,65.70185089111328,0.8976786602927881,-0.49985209934386926,-85.58597081709655,5.396977,-1.0156535,23.879648,6.286825,-12.171437,0.0,6.514515,-2.864053,-26.874363,6.4019656,-11.35031,0.0,-2.1783023,2.166203,-0.7699902,-4.1730547,-3.954538,13.646542,20.582844,-25.420273,-44.402973,23.060072,15.243954,-12.210748,6.7734413,-21.17098,29.042953,-42.612778,-21.599821,22.106339,22.254114
8,0.6818578839302063,2.2945244312286377,65.7030258178711,0.8873570481665455,-0.5013590731480877,-85.59469366842443,5.3937817,-1.0213947,23.88831,6.2860975,-12.172744,0.0,6.5059276,-2.8697684,-26.868227,6.3993936,-11.329331,0.0,-2.1812773,2.1695993,-0.8026762,-4.173221,-3.9546528,13.647034,20.658064,-25.415838,-44.40306,23.062635,15.245374,-12.210748,6.7730913,-21.237293,29.046432,-42.616882,-21.604572,22.107542,22.258732
9,0.6976413726806641,2.3047988414764404,65.70442199707031,0.8789088669092265,-0.502520415785412,-85.60378359489457,5.3909826,-1.0287598,23.897297,6.2834806,-12.172507,0.0,6.497805,-2.876435,-26.86208,6.395032,-11.306907,0.0,-2.1831806,2.1731453,-0.83735764,-4.173394,-3.9547682,13.647871,20.732483,-25.409784,-44.401707,23.065384,15.247162,-12.210748,6.772838,-21.301989,29.04922,-42.620564,-21.609652,22.10882,22.263178
