Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
0,-0.36541980504989624,-0.9765072464942932,66.62510681152344,-0.3990546872247086,-1.9565181396341649,-98.41058243149376,10.46282,2.3528905,19.298527,6.0781503,-11.393507,0.0,6.5423155,-2.6464682,-8.567675,6.817236,-11.309271,0.0,-4.43142,8.634307,-0.4136463,5.8931193,-4.3706684,13.226153,20.591381,-32.02574,-54.6354,6.504718,12.904605,-12.210748,4.455441,-21.652275,45.99436,-56.142666,12.127779,8.003586,16.09274
1,-0.3671107292175293,-1.0178005695343018,66.62188720703125,-0.4045429646224993,-1.9061006944129406,-98.43298244672805,10.454583,2.3497076,19.31984,6.0804944,-11.425161,0.0,6.524972,-2.6457272,-8.552086,6.8156714,-11.333411,0.0,-4.445612,8.69252,-0.4349205,5.8937335,-4.3712068,13.228596,21.039988,-32.043716,-54.67192,6.530618,12.887576,-12.210748,4.4564924,-22.035011,46.028572,-56.17927,12.108965,7.98734,16.09732
2,-0.3694505989551544,-1.0557957887649536,66.61802673339844,-0.41041662397466205,-1.8645271221522544,-98.45249888093038,10.453333,2.3477044,19.338602,6.080305,-11.452349,0.0,6.515573,-2.6436002,-8.53855,6.812186,-11.354372,0.0,-4.4575014,8.733812,-0.4475129,5.893892,-4.3713613,13.228722,21.16927,-32.04765,-54.68196,6.537956,12.883047,-12.210748,4.457567,-22.149519,46.036972,-56.188,12.103827,7.9836435,16.098618
3,-0.37363454699516296,-1.097831130027771,66.61277770996094,-0.4169113122025402,-1.8030490795323246,-98.48047899610363,10.438686,2.3451757,19.364561,6.0816274,-11.487197,0.0,6.486582,-2.6408186,-8.518918,6.8111115,-11.379278,0.0,-4.476524,8.812914,-0.47578475,5.894232,-4.3717413,13.226738,21.382458,-32.053955,-54.705624,6.554849,12.872312,-12.210748,4.459147,-22.340708,46.052547,-56.207375,12.0923395,7.9756756,16.101233
4,-0.379329651594162,-1.137471318244934,66.60897827148438,-0.4181769224629033,-1.7367260538012572,-98.4926810778268,10.411637,2.3422034,19.379248,6.0779605,-11.509689,0.0,6.455343,-2.6397786,-8.512927,6.8089433,-11.407036,0.0,-4.492779,8.891301,-0.51218766,5.8945937,-4.372187,13.222515,21.573391,-32.05922,-54.732494,6.5733094,12.859997,-12.210748,4.460337,-22.51475,46.06694,-56.228405,12.079635,7.9671865,16.10389
5,-0.3873266279697418,-1.1719963550567627,66.60482025146484,-0.41250332633521425,-1.6610133188728418,-98.4911147580495,10.372221,2.3360589,19.381166,6.072255,-11.528421,0.0,6.4162946,-2.641514,-8.519286,6.804872,-11.4364395,0.0,-4.5098405,8.967601,-0.56017905,5.8949833,-4.372685,13.215454,21.745699,-32.06478,-54.76308,6.591794,12.845813,-12.210748,4.4610023,-22.673647,46.08018,-56.251118,12.065786,7.9580016,16.106606
6,-0.39683836698532104,-1.2062047719955444,66.60140991210938,-0.3904860071789081,-1.5500540844468844,-98.47020472914183,10.289534,2.3194785,19.36614,6.0619464,-11.535323,0.0,6.348052,-2.6561444,-8.545433,6.7993865,-11.471156,0.0,-4.543846,9.046842,-0.6453351,5.8958316,-4.3738084,13.19571,21.998,-32.077618,-54.832806,6.6280336,12.813263,-12.210748,4.459882,-22.906755,46.1033,-56.303345,12.034819,7.9364285,16.112093
7,-0.40520521998405457,-1.2351850271224976,66.59794616699219,-0.36298705069301107,-1.430848734314742,-98.4222749982404,10.190571,2.3003275,19.332693,6.048279,-11.531243,0.0,6.2755904,-2.6734953,-8.595254,6.792757,-11.508804,0.0,-4.579326,9.101434,-0.7359043,5.8967247,-4.375048,13.172748,22.214113,-32.09175,-54.90756,6.6643896,12.777935,-12.210748,4.4582963,-23.10789,46.123627,-56.359962,12.000587,7.913006,16.118017
8,-0.41447365283966064,-1.248791217803955,66.59918212890625,-0.25851079220188794,-1.1304463493649894,-98.23168430511151,9.72042,2.2758327,19.155807,6.338262,-11.636592,0.0,6.055553,-2.7592552,-8.880572,6.7766986,-11.558757,0.0,-4.7517557,9.012209,-0.95274794,6.1834707,-4.8320622,13.853169,22.83151,-32.302006,-57.19883,8.315473,12.821845,-12.210748,5.0565457,-23.679745,46.456284,-58.521214,10.490837,8.455388,15.954937
9,-0.42890334129333496,-1.2738723754882812,66.59819793701172,-0.23558459538388088,-0.9971329089586713,-98.10166876881193,9.585359,2.2770023,19.070122,6.3198557,-11.602713,0.0,5.9896526,-2.7571063,-8.99718,6.767468,-11.614246,0.0,-4.782883,9.048183,-1.0484184,6.184471,-4.8342767,13.860256,23.05737,-32.32175,-57.216312,8.349014,12.81473,-12.210748,5.064651,-23.901346,46.480312,-58.538406,10.473577,8.453388,15.953736
10,-0.443533718585968,-1.2858392000198364,66.60195922851562,-0.14142445584063865,-0.6792474228232275,-97.80461380183384,9.131444,2.259911,18.789068,6.4685154,-11.606839,0.0,5.819234,-2.808264,-9.36931,6.6658726,-11.645518,0.0,-4.9864235,8.918146,-1.2650247,6.3097234,-5.2677073,13.846621,23.433905,-32.495262,-57.246403,9.704881,12.471068,-12.210748,5.365453,-24.257946,46.64161,-59.301838,9.875913,8.790472,15.717641
11,-0.46188807487487793,-1.2956204414367676,66.60466766357422,-0.08185738203571928,-0.42593229440419667,-97.5090484267134,8.757972,2.2727315,18.550072,6.586933,-11.58974,0.0,5.6842737,-2.8220627,-9.696113,6.619128,-11.70625,0.0,-5.1271715,8.85672,-1.429068,6.3481193,-5.6264997,13.658249,23.71062,-32.61422,-57.024467,10.527873,12.286721,-12.210748,5.516235,-24.526087,46.714268,-59.68536,9.538297,8.993821,15.605219
12,-0.4771729111671448,-1.2999895811080933,66.61853790283203,-0.04620463499089731,-0.17964309761934205,-97.14692164845191,8.332853,2.2794938,18.312693,6.7977834,-11.594461,0.0,5.575867,-2.8040504,-10.082498,6.55012,-11.761025,0.0,-5.273628,8.819044,-1.5533228,6.3317804,-5.942001,13.412423,23.916834,-32.693245,-56.648987,11.174593,12.166003,-12.210748,5.614416,-24.73029,46.728603,-59.92076,9.195667,9.138213,15.5469265
13,-0.4885477125644684,-1.3073439598083496,66.63619232177734,-0.035465055668515134,0.06976973759522095,-96.69386340701452,7.8317113,2.3375,18.157183,7.1103754,-11.517623,0.0,5.4854426,-2.753715,-10.552393,6.4856367,-11.835556,0.0,-5.4486666,8.798745,-1.6357092,6.285734,-6.2321644,13.133881,24.07171,-32.747055,-56.181114,11.665765,12.20466,-12.210748,5.68457,-24.888124,46.69883,-60.046177,8.854049,9.23184,15.472403
14,-0.502294659614563,-1.3051841259002686,66.6560287475586,-0.04125919684824534,0.3279946677574291,-96.16117626557259,7.240901,2.453051,18.14413,7.559391,-11.348715,0.0,5.3991876,-2.6737678,-11.097867,6.4169583,-11.915612,0.0,-5.6488028,8.787049,-1.6893457,6.220937,-6.5108666,12.826098,24.188646,-32.78266,-55.62667,12.078554,12.35487,-12.210748,5.737618,-25.01158,46.634964,-60.095436,8.504227,9.294304,15.384825
15,-0.5175244808197021,-1.2925618886947632,66.66511535644531,-0.07127867198217794,0.5708191395651789,-95.59321440371724,5.819598,2.8584995,18.236147,9.913153,-12.138614,0.0,5.32749,-2.5628953,-11.672092,6.3519917,-11.999433,0.0,-5.827414,8.803238,-1.7055227,6.136718,-6.788406,12.493475,24.276917,-32.796463,-55.041546,12.401734,12.564728,-12.210748,5.7717595,-25.110582,46.56503,-60.055405,8.0472145,9.333423,15.345907
16,-0.529159665107727,-1.277065634727478,66.65967559814453,-0.1278966135787922,0.7740453409285467,-95.03603388628522,4.3645782,3.27847,18.421442,12.491391,-13.140926,0.0,5.2880177,-2.4282176,-12.226515,6.291963,-12.084798,0.0,-5.9371614,8.866776,-1.677004,6.025132,-7.072842,12.147428,24.343264,-32.779,-54.472397,12.614813,12.766781,-12.210748,5.7710147,-25.193892,46.530384,-59.90241,7.3696833,9.358824,15.416981
17,-0.5340794920921326,-1.2725924253463745,66.64009094238281,-0.21696362601553817,0.9319466539661411,-94.48930266916437,3.0488064,3.6780736,18.813337,14.938183,-14.092283,0.0,5.297593,-2.2667005,-12.758017,6.2375546,-12.18319,0.0,-5.9777007,8.987871,-1.5982404,5.8849,-7.3713627,11.790815,24.392263,-32.72144,-53.925888,12.640257,12.964518,-12.210748,5.7162313,-25.26883,46.56169,-59.600876,6.30223,9.360869,15.573954
18,-0.5350942015647888,-1.269945740699768,66.60478210449219,-0.3345765276363961,1.0577490149428974,-93.93382277800673,1.8183894,4.091798,19.406443,17.330196,-14.984446,0.0,5.3394113,-2.077909,-13.28713,6.1920013,-12.292887,0.0,-5.969688,9.154733,-1.4751725,5.717453,-7.6871195,11.431681,24.42679,-32.623455,-53.382584,12.505209,13.169486,-12.210748,5.6014347,-25.340107,46.67457,-59.16938,4.9017596,9.351007,15.777186
19,-0.5357740521430969,-1.2697008848190308,66.5600357055664,-0.46705705805862163,1.1548937716718777,-93.38774894083164,0.72528714,4.5009103,20.183481,19.559992,-15.810884,0.0,5.407701,-1.8749874,-13.801138,6.153339,-12.409744,0.0,-5.896727,9.353294,-1.3216584,5.514047,-8.01665,11.086478,24.449621,-32.489384,-52.855553,12.351704,13.337661,-12.210748,5.436207,-25.410698,46.88625,-58.6705,3.4120257,9.375698,16.06451
20,-0.5391959547996521,-1.2885318994522095,66.50914001464844,-0.5998783467183298,1.225968915051534,-92.87008470412977,-0.17498404,4.8817773,21.127554,21.510103,-16.55899,0.0,5.5065546,-1.6734146,-14.285399,6.123726,-12.542597,0.0,-5.742512,9.569129,-1.1526387,5.2596383,-8.351929,10.7718,24.463675,-32.32844,-52.362137,12.332035,13.429925,-12.210748,5.232983,-25.48083,47.20988,-58.16996,2.0933557,9.484991,16.476095
21,-0.5353468060493469,-1.3132750988006592,66.453369140625,-0.7339432872432772,1.2640540998254084,-92.40426399633228,-0.8669809,5.2322536,22.300121,23.182732,-17.234446,0.0,5.631464,-1.481249,-14.716576,6.0955124,-12.673191,0.0,-5.481208,9.815418,-0.96367764,4.9392223,-8.695033,10.48104,24.472816,-32.152172,-51.922546,12.4991665,13.4417095,-12.210748,4.99344,-25.552608,47.64765,-57.65755,0.848383,9.7066555,17.013916
22,-0.5264622569084167,-1.3478460311889648,66.39277648925781,-0.8752377399764197,1.269400579037464,-91.97485030278862,-1.387669,5.565432,23.690811,24.655819,-17.857065,0.0,5.7867713,-1.2896155,-15.107652,6.0691476,-12.806055,0.0,-5.1277747,10.092816,-0.74958766,4.549782,-9.046995,10.206346,24.479523,-31.96608,-51.533375,12.790471,13.405475,-12.210748,4.712614,-25.626123,48.200005,-57.114258,-0.4045363,10.026557,17.647915
23,-0.5164204835891724,-1.3882976770401,66.32710266113281,-1.0195697646957949,1.2578756588193512,-91.54178380673567,-1.8074774,5.8923864,25.176594,26.017239,-18.477621,0.0,5.9480104,-1.0990665,-15.497168,6.0827374,-12.9663725,0.0,-4.7277126,10.36595,-0.5175559,3.7054508,-9.707714,10.03039,24.481945,-31.635775,-51.238773,13.097191,13.404961,-12.210748,3.9662075,-25.75784,49.377026,-56.45137,-1.8673898,10.499121,18.340328
24,-0.5061250925064087,-1.4439802169799805,66.26270294189453,-1.1434221483087872,1.243033806744738,-91.06248451388798,-2.1469865,6.1771317,26.619457,27.23092,-19.086922,0.0,6.105024,-0.9317162,-15.935468,6.1712785,-13.186837,0.0,-4.328376,10.603423,-0.29786468,3.0558665,-10.083516,9.906179,24.479006,-31.324749,-50.933628,13.495016,13.323894,-12.210748,3.464298,-25.862185,50.55668,-55.940746,-2.474421,10.916071,18.992348
25,-0.4962061047554016,-1.513936161994934,66.1991195678711,-1.2601834020081455,1.223036981935835,-90.53854824493922,-2.430743,6.447643,28.036274,28.361044,-19.723066,0.0,6.6763854,-0.65083367,-16.423466,5.405814,-12.972777,0.0,-3.9253638,10.805279,-0.07537498,2.4411483,-10.329415,9.843952,24.469124,-30.974411,-50.64215,13.957142,13.203154,-12.210748,2.9756927,-25.948881,51.829147,-55.50033,-2.1679575,11.319905,19.802057
26,-0.47619715332984924,-1.6101222038269043,66.13092803955078,-1.368637032423779,1.1917588440177471,-89.99189988632709,-2.6424594,6.697463,29.485027,29.405195,-20.381716,0.0,6.642257,-0.56845444,-16.92457,6.072595,-13.541344,0.0,-3.5107818,10.9845295,0.14480937,1.5964847,-10.555771,10.0137615,24.418,-30.27738,-50.4744,14.267579,13.061229,-12.210748,1.8228147,-26.094208,54.61715,-54.817474,-2.38349,11.702484,20.126287
27,-0.4524105191230774,-1.7141276597976685,66.06307983398438,-1.464301389787664,1.1603081886163586,-89.39746272218198,-2.7568412,6.8899426,30.892305,30.246002,-20.995588,0.0,7.1525245,-0.33337432,-17.476355,5.570033,-13.503047,0.0,-3.0854912,11.130214,0.36137527,0.90971434,-10.656781,10.108721,24.383867,-29.778055,-50.238148,14.78331,12.91206,-12.210748,1.1541412,-26.118357,56.339146,-54.385925,-1.286009,12.12883,21.057495
28,-0.42499393224716187,-1.8335415124893188,65.9923095703125,-1.534509970065538,1.1396651728114986,-88.73671651180662,-2.7579746,6.9849677,32.19056,30.783522,-21.504072,0.0,7.540284,-0.15381783,-18.08958,5.3875337,-13.661326,0.0,-2.6810403,11.2300625,0.55289096,0.15704192,-10.726631,10.254394,24.351088,-29.27992,-49.998695,15.331093,12.813639,-12.210748,0.5752961,-26.122456,57.83194,-54.109425,0.04579566,12.613294,22.135002
29,-0.386456698179245,-1.9689055681228638,65.91450500488281,-1.5846052508199542,1.1311061644070726,-88.0023858974012,-2.6357203,6.9712815,33.409046,30.97486,-21.888079,0.0,7.659606,-0.081596784,-18.771997,5.8477654,-14.183312,0.0,-2.301111,11.278764,0.7258141,-0.66562915,-10.758606,10.461152,24.317362,-28.77813,-49.758255,15.940327,12.777453,-12.210748,0.090201795,-26.118023,59.13596,-54.010345,1.7111427,13.185819,23.413248
30,-0.3566930592060089,-2.1044583320617676,65.83036804199219,-1.6194512899370805,1.1288256804524142,-87.20472392048539,-2.4095492,6.863619,34.567543,30.879501,-22.177494,0.0,7.979271,0.05828437,-19.515972,5.8974924,-14.509158,0.0,-1.9379463,11.283843,0.88406265,-1.5585625,-10.748998,10.745481,24.277332,-28.230116,-49.532635,16.58443,12.783058,-12.210748,-0.40869376,-26.089373,60.48699,-53.998184,3.6404843,13.797949,24.810324
31,-0.314205527305603,-2.2643134593963623,65.74402618408203,-1.6250731232086866,1.1324652934628925,-86.35002669842375,-2.1164942,6.666979,35.58125,30.560781,-22.38767,0.0,8.447669,0.22103009,-20.312803,5.6722236,-14.713886,0.0,-1.5921123,11.254004,1.0108588,-2.5024686,-10.719511,11.063971,24.238317,-27.687855,-49.301414,17.222887,12.821861,-12.210748,-0.8426014,-26.059557,61.652653,-54.112934,5.659546,14.3800955,26.263506
32,-0.26191574335098267,-2.440642833709717,65.65731811523438,-1.587048701489989,1.1411043553958358,-85.44500980307674,-1.792757,6.3888583,36.3663,30.086357,-22.538326,0.0,8.914688,0.345697,-21.157875,5.4977293,-14.9638815,0.0,-1.2656171,11.19804,1.0876416,-3.4899096,-10.688476,11.394888,24.20321,-27.162186,-49.05633,17.78643,12.886602,-12.210748,-1.2304486,-26.027658,62.585117,-54.33286,7.4346,14.880402,27.622766
33,-0.20606955885887146,-2.625643730163574,65.5704116821289,-1.4760854904767915,1.1542399846288645,-84.48472767672533,-1.4021332,5.997138,37.08262,29.404858,-22.656767,0.0,9.11639,0.30504245,-22.062521,5.9724417,-15.577489,0.0,-0.96375364,11.109798,1.087007,-4.5262084,-10.65991,11.736999,24.173344,-26.667654,-48.79499,18.291706,12.988794,-12.210748,-1.538327,-25.99979,63.215786,-54.683144,8.955692,15.316386,28.959133
34,-0.14238609373569489,-2.800326347351074,65.48471069335938,-1.32199073595087,1.1702466370835847,-83.46353222624306,-0.9565064,5.505615,37.78044,28.519657,-22.767822,0.0,9.5881605,0.3415852,-23.027712,5.835822,-15.867577,0.0,-0.6842543,10.988991,1.0394567,-5.6232743,-10.622672,12.115434,24.144127,-26.165625,-48.533127,18.744139,13.130742,-12.210748,-1.8106306,-25.956205,63.66005,-55.131954,10.31738,15.711167,30.282387
35,-0.08488673716783524,-2.990300178527832,65.40770721435547,-1.1223355831347617,1.185349139877063,-82.40038793867127,-0.5537309,4.9009542,37.976463,27.533232,-22.741623,0.0,9.900038,0.28189328,-24.039772,6.1192055,-16.395414,0.0,-0.41983676,10.851972,0.93641174,-6.721504,-10.580681,12.490269,24.119808,-25.693377,-48.24972,19.132475,13.278251,-12.210748,-2.0509799,-25.92568,63.920185,-55.69904,11.518471,16.046104,31.435411
36,-0.021626578643918037,-3.20169734954834,65.33515167236328,-0.8788955356927116,1.1917699539694389,-81.31218832556351,-0.20687202,4.249652,37.52013,26.509775,-22.503801,0.0,10.268982,0.20323291,-25.08372,6.33721,-16.89283,0.0,-0.16657285,10.718983,0.7725881,-7.8593225,-10.523611,12.864149,24.097862,-25.206013,-47.95041,19.388798,13.403574,-12.210748,-2.3318172,-25.89145,64.10439,-56.333706,12.471815,16.312956,32.216843
37,0.05385393649339676,-3.413630723953247,65.30084228515625,-0.5761833143821993,1.2129508515411505,-80.194324991438,0.22269425,3.5318058,36.540726,25.10813,-21.92927,0.0,10.6234865,0.104497075,-26.167828,6.4878454,-17.326675,0.0,0.07274345,10.558775,0.5334758,-9.033511,-10.440854,13.240631,24.081057,-24.745504,-47.642998,19.47484,13.505874,-12.210748,-2.6421514,-25.861889,64.18337,-57.04078,13.087684,16.533678,32.5781
38,0.13185666501522064,-3.62813663482666,65.29800415039062,-0.22941692620185283,1.2309772639646606,-79.035959852363,0.54981863,2.8536577,35.235153,23.862194,-21.391132,0.0,10.995172,-0.0101371845,-27.301035,6.5937223,-17.72005,0.0,0.29584512,10.383391,0.2372096,-10.206663,-10.339546,13.622293,24.06752,-24.300846,-47.32349,19.427784,13.597099,-12.210748,-2.9660206,-25.829296,64.13612,-57.829185,13.418553,16.72259,32.61396
39,0.20236815512180328,-3.8400325775146484,65.30427551269531,0.1487227846390814,1.220052071772285,-77.85701854708742,0.9600207,2.1359303,33.814648,22.467478,-20.734531,0.0,11.234719,-0.22918384,-28.485792,7.0824203,-18.252392,0.0,0.51525784,10.235727,-0.10626711,-11.391437,-10.238141,13.977187,24.057743,-23.838158,-46.967575,19.332645,13.663663,-12.210748,-3.3218236,-25.807215,64.011856,-58.71029,13.623712,16.858917,32.35808
40,0.2770122289657593,-4.054955005645752,65.31602478027344,0.5291305259847141,1.1514594284760933,-76.6696797630325,1.4524308,1.4391795,32.463707,21.067017,-20.030996,0.0,11.499995,-0.46824238,-29.742859,7.656126,-18.672894,0.0,0.736299,10.162241,-0.47240356,-12.590242,-10.152053,14.286268,24.046957,-23.288513,-46.55562,19.248966,13.694059,-12.210748,-3.7433448,-25.788755,63.878555,-59.667786,13.853921,16.918129,31.83827
41,0.355319082736969,-4.279900074005127,65.30278015136719,0.9756497906869108,1.0106086260690603,-75.48782337830936,1.9436184,0.76132166,31.224154,19.923594,-19.411976,0.0,11.048081,-1.249867,-31.111181,10.264375,-19.946848,0.0,0.96604997,10.180105,-0.9381011,-13.808441,-10.0822315,14.533332,24.04134,-22.649166,-46.073227,19.15683,13.677807,-12.210748,-4.2291336,-25.77824,63.734978,-60.725384,14.096595,16.949726,31.02033
42,0.44300082325935364,-4.504335403442383,65.24616241455078,1.5105107802175004,0.8127706428958856,-74.31125683729604,2.3471034,0.10462977,30.006062,19.177397,-18.964378,0.0,9.368113,-3.0057156,-32.564423,16.269436,-22.710817,0.0,1.2016225,10.26514,-1.5206738,-15.046279,-10.0155735,14.730021,24.040482,-21.938938,-45.52857,19.02458,13.621857,-12.210748,-4.768887,-25.772549,63.55589,-61.880035,14.284046,16.95505,29.901009
43,0.5281968712806702,-4.717746257781982,65.15516662597656,2.0603618342698184,0.5766871376987499,-73.13968058230692,2.6366003,-0.46551803,28.804672,18.82274,-18.70578,0.0,7.9470477,-4.83009,-34.086002,21.931362,-24.80443,0.0,1.440188,10.400412,-2.126282,-16.293001,-9.94974,14.884839,24.041075,-21.162092,-44.936275,18.926468,13.544101,-12.210748,-5.3677874,-25.776707,63.36794,-63.10817,14.492994,16.84344,28.556423
44,0.6091495752334595,-4.932718276977539,65.05817413330078,2.5526192432350947,0.3235451599556317,-71.97301375288913,2.8737316,-0.9283951,27.616459,18.660763,-18.559359,0.0,6.6653543,-6.727696,-35.60435,27.442755,-26.147598,0.0,1.6794146,10.567422,-2.660075,-17.537159,-9.886339,15.006169,24.039442,-20.324787,-44.307358,18.937654,13.460776,-12.210748,-6.029933,-25.795639,63.200172,-64.38931,14.80585,16.525549,27.062948
45,0.70334792137146,-5.162369251251221,64.96041870117188,2.976790881078082,0.05743252087958757,-70.80037183602171,3.0894458,-1.3003935,26.436852,18.615917,-18.49532,0.0,5.486976,-8.704765,-37.070644,32.945557,-26.77682,0.0,1.9137826,10.767262,-3.1076922,-18.783983,-9.838115,15.085923,24.037262,-19.427896,-43.633812,19.091585,13.375368,-12.210748,-6.7591443,-25.830921,63.0746,-65.69676,15.320187,15.933546,25.342358
46,0.8001948595046997,-5.389769554138184,64.86675262451172,3.3560005838021523,-0.23016871485100096,-69.62100970260975,3.2793603,-1.6037066,25.268778,18.6857,-18.488022,0.0,4.3985467,-10.764199,-38.451996,38.491325,-26.868923,0.0,2.1434677,11.006279,-3.5031388,-20.036812,-9.800436,15.121225,24.036345,-18.468283,-42.907547,19.33873,13.277697,-12.210748,-7.544008,-25.881725,62.973473,-67.05096,15.994443,15.139003,23.383429
