Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
0,1.0122339725494385,0.8446179628372192,66.39596557617188,0.7300962311424257,0.28831845542104,-88.52418753488985,4.703797,2.0701203,8.147394,6.3279696,-10.895788,0.0,4.896082,-4.1355734,-9.609944,6.4302235,-11.150428,0.0,-2.444402,0.41045052,-1.883102,0.8807932,-4.589787,3.4559069,21.917303,-50.351208,-55.81195,-7.961555,16.918661,-12.210748,8.604767,-19.96519,30.049706,-52.91647,9.620902,7.696512,18.942385
1,1.039452314376831,0.8672101497650146,66.39738464355469,0.7201835888406212,0.2965731796029133,-88.51335119073427,4.6756196,2.0575254,8.142639,6.321223,-10.874238,0.0,4.8717313,-4.148176,-9.616572,6.4237833,-11.124575,0.0,-2.441834,0.44606888,-1.8798362,0.8808285,-4.5899177,3.4572084,22.036488,-50.36291,-55.82185,-7.958466,16.914064,-12.210748,8.603465,-20.121284,30.051653,-52.929802,9.610605,7.68984,18.945902
2,1.0685151815414429,0.9004904627799988,66.40154266357422,0.71521325707787,0.32250564702979295,-88.49409341169195,4.6184983,2.0388525,8.131444,6.3131127,-10.840739,0.0,4.8222666,-4.1670837,-9.630295,6.417591,-11.090872,0.0,-2.438708,0.52396244,-1.8745389,0.88090926,-4.5902615,3.4601116,22.235163,-50.39023,-55.84509,-7.9533596,16.903442,-12.210748,8.594257,-20.369743,30.04653,-52.96618,9.581747,7.6713557,18.952335
3,1.1027202606201172,0.94557124376297,66.40333557128906,0.755269434439997,0.4342700532549276,-88.45415434846423,4.347366,1.986586,8.0757065,6.5415196,-10.9175005,0.0,4.6313825,-4.243801,-9.667389,6.5241575,-11.111035,0.0,-2.4358833,0.6242124,-1.9261086,0.9266964,-4.901423,3.9998376,23.096758,-51.023224,-57.95034,-7.3055334,17.280281,-12.210748,9.7221985,-21.435009,29.944836,-56.221687,6.7341604,7.7817364,19.086687
4,1.1267471313476562,0.9733263254165649,66.40454864501953,0.743972507536897,0.4395228621446536,-88.44527610281747,4.3208714,1.9767104,8.072647,6.530515,-10.89,0.0,4.6069694,-4.253222,-9.673449,6.513963,-11.078478,0.0,-2.4348805,0.6496122,-1.9262612,0.92671573,-4.9015102,4.001289,23.13908,-51.029575,-57.950695,-7.306381,17.280249,-12.210748,9.72218,-21.476175,29.94259,-56.223885,6.731185,7.780883,19.085676
5,1.1632870435714722,1.0130295753479004,66.41016387939453,0.7450798888683562,0.50127856271999,-88.40807942458997,4.2175803,1.9469458,8.048064,6.5199413,-10.844873,0.0,4.520885,-4.2830224,-9.703463,6.5063977,-11.0408325,0.0,-2.4512768,0.76419055,-1.9380424,0.9269182,-4.9024796,4.0076504,23.356672,-51.09276,-57.967976,-7.3215075,17.27224,-12.210748,9.702034,-21.673876,29.89378,-56.261658,6.682719,7.7640643,19.06833
6,1.2053085565567017,1.0610722303390503,66.41754150390625,0.7992568142720394,0.6680500963720877,-88.32883559447723,3.9661994,1.864047,7.959547,6.5558543,-10.80717,0.0,4.326935,-4.3706245,-9.794501,6.5189095,-11.015464,0.0,-2.4846215,0.8186865,-2.0298946,0.993131,-5.3136497,4.312267,23.891266,-51.809803,-59.072254,-7.868339,17.388054,-12.210748,10.309138,-22.179611,29.470995,-58.07355,4.0048842,7.85277,17.91871
7,1.240706205368042,1.1012587547302246,66.42123413085938,0.7885811822327381,0.6974120913971221,-88.30668699353585,3.9030466,1.8450702,7.947575,6.5411773,-10.765253,0.0,4.2728376,-4.3888507,-9.812509,6.504779,-10.971392,0.0,-2.4953463,0.88195896,-2.0384216,0.99324095,-5.3141437,4.314444,23.983294,-51.84054,-59.077595,-7.875948,17.385166,-12.210748,10.302087,-22.246164,29.443615,-58.082554,3.9883795,7.848312,17.9101
8,1.2825936079025269,1.1591594219207764,66.42814636230469,0.8385254805827852,0.8907293400394395,-88.21411055770577,3.5999835,1.7694298,7.854041,6.6062737,-10.731999,0.0,4.0302305,-4.4747596,-9.91212,6.552224,-10.955638,0.0,-2.5531912,0.9390248,-2.1303437,1.068013,-5.744621,4.4729314,24.367762,-52.566723,-59.865704,-8.504693,17.436817,-12.210748,10.610199,-22.536947,28.872885,-59.14391,1.9779843,7.756679,16.878355
9,1.327763319015503,1.2059476375579834,66.43537139892578,0.8595244714091608,1.0286245786622477,-88.14821556088515,3.4013965,1.7145774,7.7933326,6.604569,-10.6798935,0.0,3.8609722,-4.532105,-9.977317,6.563572,-10.922477,0.0,-2.5938392,0.9944914,-2.1859357,1.1287117,-6.103733,4.49055,24.66833,-53.178783,-60.356754,-8.781523,17.533474,-12.210748,10.808198,-22.724068,28.36496,-59.703403,1.0596738,7.6131907,16.46988
10,1.3741390705108643,1.267300009727478,66.44204711914062,0.8811915705313955,1.1811127932803973,-88.07582967040209,3.165714,1.6595347,7.726259,6.622945,-10.62581,0.0,3.6610858,-4.592458,-10.047072,6.5868354,-10.883459,0.0,-2.64616,1.047723,-2.2455745,1.1792431,-6.4215875,4.513584,24.907967,-53.74759,-60.81571,-9.161112,17.616308,-12.210748,10.897731,-22.843002,27.84809,-60.15578,0.2401085,7.4601474,16.131126
11,1.4210859537124634,1.3274204730987549,66.45000457763672,0.9055255927066667,1.3519999346839382,-88.00284169816855,2.921647,1.5995781,7.658581,6.620319,-10.561463,0.0,3.4411678,-4.6566396,-10.117101,6.6152306,-10.846089,0.0,-2.706142,1.1000208,-2.3127005,1.225747,-6.727872,4.538482,25.103516,-54.272057,-61.248974,-9.503766,17.714415,-12.210748,10.923583,-22.91677,27.321623,-60.531258,-0.5240219,7.2819386,15.807946
12,1.4670957326889038,1.3866236209869385,66.45803833007812,0.9337262400069459,1.5440539545115597,-87.9347660216091,2.6576817,1.535487,7.5951724,6.6174073,-10.498904,0.0,3.188466,-4.726927,-10.182426,6.664243,-10.815847,0.0,-2.7732482,1.1528869,-2.3894947,1.2762636,-7.051254,4.550343,25.26603,-54.7226,-61.650772,-9.63696,17.848688,-12.210748,10.9036045,-22.96029,26.79389,-60.851143,-1.2112386,7.085577,15.497989
13,1.5178353786468506,1.4554592370986938,66.4662094116211,0.9665579255899754,1.7612926318021618,-87.8727256240978,2.3727753,1.4608123,7.5380464,6.5933776,-10.420922,0.0,2.8980248,-4.807621,-10.243906,6.719346,-10.776833,0.0,-2.8479028,1.1991588,-2.4756432,1.3377957,-7.407916,4.5580745,25.403017,-55.0821,-62.027744,-9.565899,18.04868,-12.210748,10.848661,-22.98342,26.271227,-61.13185,-1.8242884,6.8748097,15.19293
14,1.5733333826065063,1.5356487035751343,66.4748306274414,1.0027765889075722,2.001109330630846,-87.81384022364455,2.0616438,1.3778622,7.484604,6.560012,-10.331223,0.0,2.570219,-4.8975544,-10.303296,6.7833195,-10.72955,0.0,-2.9308,1.240317,-2.5698018,1.4126306,-7.8034616,4.5793257,25.520166,-55.353035,-62.40222,-9.362902,18.298798,-12.210748,10.765876,-22.992712,25.755507,-61.388683,-2.385093,6.6516476,14.885718
15,1.628769874572754,1.6074316501617432,66.48271942138672,1.0415734980171907,2.256738579654833,-87.75797491687933,1.7393446,1.2921113,7.4337983,6.5303297,-10.250603,0.0,2.218619,-4.9926586,-10.357147,6.874443,-10.6990795,0.0,-3.0214763,1.2916242,-2.673872,1.5003694,-8.249122,4.6115837,25.621965,-55.526524,-62.784763,-8.958901,18.540962,-12.210748,10.657752,-22.992579,25.250954,-61.631176,-2.897679,6.4218283,14.581841
16,1.6874572038650513,1.6827033758163452,66.4922103881836,1.081734732595717,2.5212187107308357,-87.70536768622367,1.4026955,1.2026819,7.3867426,6.505331,-10.170275,0.0,1.8393538,-5.0946083,-10.402895,6.994559,-10.675412,0.0,-3.1199334,1.3681184,-2.7897327,1.5992482,-8.758412,4.6482143,25.7121,-55.5894,-63.177326,-8.276375,18.706955,-12.210748,10.523016,-22.986076,24.763144,-61.866943,-3.3645935,6.1931467,14.287525
17,1.7423405647277832,1.7770501375198364,66.50151824951172,1.1268450659111107,2.811593194499129,-87.65481591652843,1.0294572,1.1098394,7.3438396,6.4711504,-10.071011,0.0,1.410477,-5.201615,-10.44164,7.129082,-10.643421,0.0,-3.229291,1.4501233,-2.922114,1.7060328,-9.336281,4.7021265,25.793962,-55.54683,-63.56237,-7.2364793,18.798203,-12.210748,10.36231,-22.975248,24.297485,-62.102432,-3.785837,5.967391,14.004945
18,1.801780104637146,1.8787808418273926,66.50939178466797,1.1762897911014507,3.1252171750509,-87.60674080559811,0.62730646,1.009024,7.3051267,6.436277,-9.966865,0.0,0.9378397,-5.319739,-10.472819,7.2906528,-10.616933,0.0,-3.3485286,1.5374534,-3.0689375,1.8203489,-9.983752,4.7725253,25.869896,-55.401333,-63.94575,-5.88971,18.835579,-12.210748,10.17797,-22.961687,23.85667,-62.338478,-4.166061,5.7437925,13.725371
19,1.8610421419143677,1.987204909324646,66.5174560546875,1.223091560147207,3.4259630864097237,-87.56366917532894,0.22993167,0.9109309,7.270662,6.408387,-9.862055,0.0,0.44150305,-5.440983,-10.494601,7.5124707,-10.606789,0.0,-3.4716575,1.6742123,-3.222206,1.9462346,-10.710699,4.835218,25.941635,-55.124725,-64.35639,-4.369206,18.770296,-12.210748,9.969648,-22.946522,23.440777,-62.573498,-4.516294,5.526574,13.440558
20,1.9127808809280396,2.1143836975097656,66.52249908447266,1.2605868830156655,3.6772490902725767,-87.52820556676703,-0.13383053,0.82696384,7.240911,6.3836317,-9.743837,0.0,-0.081876375,-5.5594325,-10.504818,7.858152,-10.630342,0.0,-3.5932171,1.9051894,-3.3750823,2.0907161,-11.532866,4.874228,26.008118,-54.6689,-64.812996,-2.8272731,18.536636,-12.210748,9.734009,-22.930937,23.049541,-62.80556,-4.8468337,5.321871,13.14476
21,1.9670042991638184,2.254056453704834,66.54661560058594,1.2789136843502045,3.8785960234815477,-87.51128639440259,-0.47000462,0.76030874,7.225772,6.387754,-9.6325,0.0,-1.2849678,-5.7972884,-10.422396,9.705118,-11.405219,0.0,-3.7145307,2.237049,-3.5146914,2.4385905,-13.293708,5.159872,26.1258,-53.59531,-65.41856,-1.6948419,17.96682,-12.210748,9.411207,-22.902542,22.47089,-62.95417,-5.067581,5.1088223,13.014307
22,2.0220818519592285,2.3994998931884766,66.57726287841797,1.288514536062802,4.044023673370022,-87.507311460771,-0.71789116,0.693499,7.219662,6.2725444,-9.455156,0.0,-2.5044749,-6.034592,-10.305272,11.622294,-12.177874,0.0,-3.8380358,2.6426764,-3.655164,2.8290412,-15.035476,5.7363467,26.259106,-52.074505,-66.2976,-1.0059605,17.318844,-12.210748,9.067751,-22.869795,21.937845,-63.087017,-5.2392898,4.904655,12.884301
23,2.0694425106048584,2.549936532974243,66.59797668457031,1.3105199373135599,4.166407492369227,-87.49808718360833,-1.0633495,0.63683724,7.2053666,6.4429793,-9.420784,0.0,-3.820063,-6.2976294,-10.195211,13.817185,-13.034866,0.0,-3.967481,3.1342316,-3.8237066,3.120373,-16.39904,6.1690745,26.355556,-50.475533,-67.102104,0.14152233,16.53548,-12.210748,8.721196,-22.848518,21.587027,-63.293167,-5.4865656,4.7439327,12.60085
24,2.1157541275024414,2.7049992084503174,66.614501953125,1.3839587520905037,4.23904449208485,-87.46992169796428,-1.2360826,0.5136629,7.17665,6.327481,-9.223142,0.0,-5.1920877,-6.612136,-10.144289,16.238583,-13.90915,0.0,-4.109048,3.722893,-4.067098,3.4175558,-17.859297,6.8015733,26.466883,-48.246513,-68.02706,1.9076551,15.610524,-12.210748,8.372802,-22.830042,21.28115,-63.533974,-5.7306933,4.5880666,12.298661
25,2.164372205734253,2.896512269973755,66.61788940429688,1.5073793987460327,4.257744923607839,-87.42932111193095,-1.4197605,0.3433153,7.1379175,6.279659,-9.0263,0.0,-6.63147,-6.98931,-10.184278,18.872335,-14.722231,0.0,-4.2666454,4.4263897,-4.3851833,3.7694228,-19.563482,7.2528663,26.526249,-45.866467,-68.79877,4.895922,14.516647,-12.210748,8.0173435,-22.822538,21.080132,-63.866226,-5.925295,4.4727964,11.944872
26,2.1982996463775635,3.0998847484588623,66.60993957519531,1.664920613495335,4.227897153531681,-87.38054138249235,-1.6322505,0.15754932,7.0913396,6.367408,-8.884328,0.0,-8.140163,-7.4323435,-10.327671,21.720905,-15.42631,0.0,-4.4456463,5.2348228,-4.7622538,4.093264,-21.255205,7.770508,26.580467,-42.92815,-69.4326,8.693198,13.110189,-12.210748,7.6532683,-22.816813,20.92032,-64.263115,-6.065074,4.387184,11.574485
27,2.239232063293457,3.307084321975708,66.59321594238281,1.8573310477284646,4.149011871105727,-87.30263071474795,-1.7690305,-0.07109869,7.0191526,6.375487,-8.689855,0.0,-9.689477,-7.952313,-10.606418,24.836523,-16.016525,0.0,-4.6265135,6.115604,-5.192571,4.459792,-23.147375,8.343326,26.619953,-39.87724,-70.12564,12.780067,11.680869,-12.210748,7.3111424,-22.81641,20.797615,-64.64317,-6.293106,4.2660656,11.183196
28,2.281052350997925,3.4970815181732178,66.56616973876953,2.0790515972388826,4.023253528352158,-87.17245514324058,-1.8728311,-0.32531196,6.8965106,6.414346,-8.513024,0.0,-11.258549,-8.556228,-11.036215,28.291325,-16.4854,0.0,-4.797167,7.0368156,-5.6664166,4.7311254,-24.818344,8.986298,26.65106,-36.85514,-70.96479,16.69481,10.338828,-12.210748,7.031835,-22.823118,20.699425,-64.94436,-6.755428,4.045945,10.761503
29,2.310711145401001,3.7004191875457764,66.53118133544922,2.3387179376933998,3.8193998889300413,-86.9906230168676,-1.9549669,-0.60342175,6.7224874,6.521579,-8.348539,0.0,-12.836189,-9.288699,-11.664573,32.139053,-16.75619,0.0,-4.971871,8.040428,-6.2069736,4.9445357,-26.318668,9.568567,26.666502,-34.09013,-71.88228,20.789318,9.112445,-12.210748,6.7993717,-22.835842,20.607094,-65.148384,-7.513713,3.6654174,10.325884
30,2.344696521759033,3.9030187129974365,66.47822570800781,2.636421920216073,3.545744151069285,-86.76768318048315,-1.9754916,-0.92126304,6.5073085,6.62469,-8.172799,0.0,-14.381729,-10.1628685,-12.493983,36.24627,-16.724672,0.0,-5.155504,9.127698,-6.8142247,5.150289,-27.824053,10.080359,26.669188,-31.419125,-72.78815,25.210852,7.883152,-12.210748,6.6048694,-22.852968,20.526283,-65.29089,-8.479093,3.167432,9.88738
31,2.3724615573883057,4.103077411651611,66.41027069091797,2.9517401706933897,3.2593205208519693,-86.49622701203491,-2.0063734,-1.2501228,6.245801,6.757664,-8.002767,0.0,-15.864066,-11.122386,-13.399043,40.48926,-16.441378,0.0,-5.3072944,10.207699,-7.4363217,5.290035,-29.24517,10.556388,26.65723,-28.801157,-73.8603,29.200033,6.7809033,-12.210748,6.498809,-22.878607,20.485312,-65.37742,-9.575246,2.6438725,9.420506
32,2.396941661834717,4.287261009216309,66.32754516601562,3.264957971858382,3.0178407486518473,-86.16763086983465,-2.1081767,-1.5715187,5.932815,6.949896,-7.863384,0.0,-17.278782,-12.081568,-14.196747,44.784527,-16.049437,0.0,-5.3804846,11.190134,-8.016004,5.2602696,-30.000013,10.874743,26.623219,-26.368032,-75.12468,32.09806,5.8866835,-12.210748,6.5358915,-22.915663,20.511768,-65.41706,-10.730301,2.1878154,8.88979
33,2.4162752628326416,4.45538854598999,66.23124694824219,3.5930939311383328,2.8504436804738567,-85.76537726499748,-2.286644,-1.9043365,5.554317,7.1432424,-7.72349,0.0,-18.709375,-13.019001,-14.721427,49.25518,-15.762573,0.0,-5.36978,12.035447,-8.56036,5.056813,-30.000013,11.055877,26.561735,-23.975742,-76.63093,33.47131,5.2851315,-12.210748,6.737844,-22.97015,20.59098,-65.382744,-12.092735,1.7739222,8.215939
34,2.4240498542785645,4.603896141052246,66.11090087890625,3.9319534984415783,2.720807122163407,-85.29645366899848,-2.6043868,-2.2304254,5.1178923,7.556906,-7.701117,0.0,-20.170961,-13.915269,-14.984065,53.96283,-15.673762,0.0,-5.290908,12.799476,-9.0783825,4.7319903,-30.000013,10.965529,26.480883,-21.80025,-78.16123,33.86046,4.830356,-12.210748,7.071703,-23.03425,20.692791,-65.26362,-13.6329365,1.35603,7.458719
35,2.4182941913604736,4.739020347595215,65.96748352050781,4.256670712198369,2.5874004407869826,-84.79122019970332,-2.9539135,-2.532208,4.6517143,8.053328,-7.7216725,0.0,-21.536484,-14.692728,-15.072565,58.67343,-15.738415,0.0,-5.138877,13.535745,-9.547087,4.283892,-30.000013,10.717237,26.385305,-19.7217,-79.71519,33.79039,4.4556794,-12.210748,7.509919,-23.109718,20.887903,-65.12224,-15.052115,1.0076525,6.732216
36,2.406420946121216,4.86225700378418,65.80101776123047,4.5280475166612915,2.409341509727021,-84.27876401187015,-3.6077378,-2.7547321,4.1981163,9.313954,-8.148765,0.0,-22.697765,-15.298522,-15.122822,63.22399,-15.890369,0.0,-4.906608,14.298394,-9.928685,3.7072744,-30.000013,10.306081,26.264715,-17.745695,-81.158356,33.84187,4.0280266,-12.210748,8.01346,-23.198973,21.241997,-65.007904,-16.048437,0.8147142,6.1495633
37,2.392817974090576,4.973803997039795,65.60163879394531,4.70318418252248,2.1900705741522812,-83.75082928681904,-5.2366414,-2.8265448,3.7832873,12.758074,-9.731347,0.0,-23.656504,-15.717829,-15.206018,67.654915,-16.072392,0.0,-4.5759397,15.087785,-10.162086,2.9794507,-30.000013,9.688204,26.122856,-15.896788,-82.452805,34.035656,3.5123756,-12.210748,8.57092,-23.306356,21.753805,-64.88361,-16.530916,0.8280189,5.680294
38,2.372835636138916,5.075441837310791,65.3612289428711,4.803880877081723,1.9477956456406689,-83.1969095191931,-6.8661942,-2.8477993,3.347283,16.256716,-11.337832,0.0,-24.481525,-15.993132,-15.281195,72.09301,-16.228682,0.0,-4.148604,15.878676,-10.269049,2.1070268,-30.000013,8.88778,25.966019,-14.136723,-83.67056,34.097095,2.9908948,-12.210748,9.186362,-23.43172,22.384632,-64.712814,-16.664038,1.0022908,5.2822948
