Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
0,-0.030734872445464134,1.7981581687927246,66.46395111083984,-0.5300123718499596,-1.0131178580262745,-88.57709442387261,3.5943937,1.2191002,16.673157,6.7088337,-10.09416,0.0,3.915477,-2.31863,-11.024137,7.544707,-9.641019,0.0,-4.3177085,4.2171726,0.294605,3.5836084,-7.1598635,6.019378,20.559471,-36.78581,-52.61959,-10.900476,5.99623,-12.210748,4.6439643,-20.225634,29.608067,-45.46101,-6.2647057,9.528424,16.618856
1,-0.02805168367922306,1.7988542318344116,66.46470642089844,-0.5303965466393884,-1.0123187505058637,-88.57675188844247,3.5937726,1.2177935,16.672493,6.7085714,-10.0995655,0.0,3.9147687,-2.3184018,-11.017456,7.5439386,-9.652414,0.0,-4.317336,4.219076,0.29348227,3.5836344,-7.1599197,6.0190253,20.580875,-36.787315,-52.621155,-10.899928,5.9959307,-12.210748,4.6435175,-20.248158,29.609903,-45.462715,-6.2650313,9.528115,16.619484
2,-0.02972833439707756,1.8007919788360596,66.46288299560547,-0.5299553702026586,-1.0100632434171706,-88.57466041806727,3.5914555,1.2183342,16.669872,6.7061925,-10.101721,0.0,3.912906,-2.3170469,-11.011882,7.5426006,-9.663587,0.0,-4.315316,4.230903,0.28584117,3.583736,-7.1601562,6.0176425,20.660894,-36.793217,-52.627625,-10.897435,5.9946027,-12.210748,4.641452,-20.332779,29.618683,-45.470127,-6.265473,9.526653,16.622343
3,-0.032835643738508224,1.8066409826278687,66.46077728271484,-0.5290500603476492,-1.0092003265038791,-88.57349874427814,3.5878832,1.219735,16.668335,6.703738,-10.101006,0.0,3.9099762,-2.3147194,-11.006187,7.5407314,-9.672371,0.0,-4.313913,4.239998,0.2802284,3.5837865,-7.160283,6.016954,20.701588,-36.79622,-52.630955,-10.8960905,5.993888,-12.210748,4.640196,-20.37598,29.623928,-45.47419,-6.2651777,9.5257845,16.623947
4,-0.03525557741522789,1.8095057010650635,66.45793151855469,-0.5285031624832305,-1.0080430460967564,-88.5735187976858,3.586477,1.2206799,16.66789,6.7014008,-10.1031685,0.0,3.9083936,-2.3117762,-10.999945,7.5389423,-9.683864,0.0,-4.311256,4.2623615,0.2676552,3.583882,-7.160549,6.015476,20.777334,-36.802444,-52.63793,-10.893376,5.992226,-12.210748,4.6368513,-20.456602,29.635958,-45.483418,-6.263554,9.5235195,16.62757
5,-0.03903292864561081,1.8078491687774658,66.44542694091797,-0.5081698410680802,-1.153379152599942,-88.59818386120963,3.6592526,1.2199017,16.624926,6.8803377,-10.212663,0.0,4.020741,-2.3271508,-10.890835,7.604166,-9.736034,0.0,-4.3117743,4.5650697,0.16853908,3.8257651,-7.931608,6.7191157,21.896978,-37.47344,-55.606865,-9.283722,7.185325,-12.210748,5.249244,-21.625982,30.541306,-48.925694,-6.638681,10.80252,17.329184
6,-0.04011125862598419,1.807913899421692,66.44458770751953,-0.5081743857362213,-1.1531177191834003,-88.59835895851573,3.6594183,1.2202688,16.626692,6.8815217,-10.219248,0.0,4.0210295,-2.3240051,-10.887576,7.604666,-9.753258,0.0,-4.3117523,4.5655646,0.16836014,3.8257668,-7.931614,6.7191577,21.898579,-37.47363,-55.60689,-9.283705,7.185329,-12.210748,5.2492547,-21.627619,30.541603,-48.925755,-6.6386456,10.802508,17.3292
7,-0.04385865852236748,1.8102480173110962,66.4411392211914,-0.5091343538811453,-1.1506694717045063,-88.60100738926106,3.6590927,1.2230903,16.630396,6.8777747,-10.222816,0.0,4.018891,-2.3177648,-10.882664,7.602792,-9.768356,0.0,-4.3115997,4.5728264,0.16593465,3.8257797,-7.931669,6.7194448,21.911192,-37.47545,-55.60727,-9.283641,7.185263,-12.210748,5.2488866,-21.640608,30.54455,-48.92676,-6.637973,10.802177,17.329493
8,-0.047372762113809586,1.8144816160202026,66.43791961669922,-0.5129060673367531,-1.1478081190230622,-88.61672453511285,3.6597748,1.2276685,16.643867,6.8745832,-10.229851,0.0,4.012453,-2.3101954,-10.866446,7.597449,-9.775129,0.0,-4.310195,4.6090784,0.1558389,3.825829,-7.9319177,6.719765,21.959349,-37.48481,-55.6099,-9.284721,7.184354,-12.210748,5.244488,-21.690025,30.559252,-48.934097,-6.63307,10.799165,17.331203
9,-0.05285964533686638,1.8190056085586548,66.41424560546875,-0.5187062064634972,-1.3892646587602826,-88.74169630959153,3.7761672,1.2719837,16.71428,7.2183247,-10.449834,0.0,4.0863256,-2.328592,-10.689935,7.8863144,-9.916965,0.0,-4.232538,5.082336,0.09037601,3.9604077,-8.694508,6.9081573,22.652735,-38.373676,-57.052048,-9.449777,7.5811033,-12.210748,5.025604,-22.400568,31.773348,-51.161877,-5.6272707,11.0875225,17.667048
10,-0.056419648230075836,1.823311686515808,66.41179656982422,-0.518254918126182,-1.3901324128476542,-88.74431581299844,3.7759013,1.2733189,16.717474,7.2180276,-10.458771,0.0,4.05694,-2.3310354,-10.681256,7.9461913,-9.959481,0.0,-4.233112,5.084788,0.09021984,3.9604115,-8.694533,6.90808,22.65733,-38.37506,-57.052284,-9.45023,7.580998,-12.210748,5.02515,-22.405087,31.775036,-51.16253,-5.626762,11.087204,17.667116
11,-0.05839715152978897,1.8317434787750244,66.39521789550781,-0.5295907017590669,-1.588174232781053,-88.89617078376487,3.955176,1.2917088,16.851854,7.332915,-10.561436,0.0,3.9946449,-2.3644674,-10.504812,8.410058,-10.180745,0.0,-4.147801,5.4677734,0.06773228,4.0554223,-9.34194,6.8134513,23.152224,-39.40989,-58.03405,-10.726684,7.810944,-12.210748,4.594179,-22.910225,33.074104,-52.87721,-4.456433,11.043402,17.654913
