Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
0,-0.2063673436641693,2.1949610710144043,66.46481323242188,0.5256679426200207,-1.444586928359896,-91.88691789267766,6.421472,0.2796697,14.132269,6.269634,-8.743578,0.0,6.9777756,-1.4637759,-22.24178,6.42713,-12.870797,0.0,-1.5960782,2.0258427,-0.7390084,4.730256,-1.8678536,3.4160469,21.201382,-56.082016,-62.473953,-4.853014,15.10528,-12.210748,2.2399287,-20.971458,43.167084,-58.381176,-21.05088,21.336544,3.9993556
1,-0.21393850445747375,2.209850311279297,66.46688079833984,0.5283333166745898,-1.4367441317305982,-91.8661657735363,6.398107,0.28581816,14.11613,6.2619667,-8.720038,0.0,6.9626946,-1.4568218,-22.259487,6.4242415,-12.863783,0.0,-1.5869435,2.0447083,-0.7438287,4.7303534,-1.8677742,3.4157827,21.342947,-56.09045,-62.485073,-4.8491983,15.099957,-12.210748,2.2406304,-21.12053,43.177383,-58.39039,-21.055325,21.333368,4.003584
2,-0.2245587259531021,2.226494312286377,66.46886444091797,0.5312023124713554,-1.4218989629619223,-91.83597201470127,6.3638763,0.29510286,14.092511,6.2542596,-8.692154,0.0,6.9409337,-1.4465953,-22.284903,6.421757,-12.858383,0.0,-1.5754093,2.0724735,-0.7515673,4.7304306,-1.8675839,3.4151564,21.47496,-56.098515,-62.497902,-4.84484,15.093778,-12.210748,2.2413764,-21.259552,43.187984,-58.40079,-21.06012,21.329765,4.008373
3,-0.23330019414424896,2.2455623149871826,66.47129821777344,0.5331201123239677,-1.4018768869114664,-91.8003884817986,6.3210235,0.30475897,14.064865,6.2460136,-8.660741,0.0,6.9133306,-1.4361718,-22.314648,6.418057,-12.850667,0.0,-1.5635936,2.1056602,-0.76141226,4.7304873,-1.8672829,3.4140196,21.598545,-56.10619,-62.512383,-4.8400364,15.086774,-12.210748,2.2420812,-21.38969,43.198864,-58.41237,-21.065224,21.325733,4.0136724
4,-0.24215325713157654,2.271728038787842,66.47596740722656,0.5331281699058554,-1.3605179193312398,-91.7460560292535,6.246516,0.31894085,14.02248,6.2375803,-8.619329,0.0,6.862926,-1.421134,-22.359907,6.4126325,-12.840127,0.0,-1.553294,2.1545777,-0.77785736,4.7305427,-1.866469,3.4099,21.802269,-56.12044,-62.546314,-4.8295503,15.070353,-12.210748,2.2427745,-21.603712,43.22063,-58.43967,-21.076725,21.316105,4.025891
5,-0.25429096817970276,2.2985873222351074,66.48021697998047,0.5314445165566108,-1.3183516500262835,-91.69410218229501,6.169937,0.33671317,13.981446,6.229818,-8.577178,0.0,6.809086,-1.4027145,-22.403706,6.4093966,-12.830295,0.0,-1.5467378,2.1993728,-0.7954719,4.730539,-1.8654265,3.4043996,21.984575,-56.133545,-62.58442,-4.818338,15.051929,-12.210748,2.2432702,-21.794594,43.24322,-58.47045,-21.088985,21.305336,4.0397105
6,-0.26827698945999146,2.3313968181610107,66.48471069335938,0.5287468121971005,-1.2752943274974935,-91.64116886087261,6.088548,0.35675663,13.939473,6.219221,-8.528298,0.0,6.7501903,-1.3813914,-22.448927,6.4045124,-12.815717,0.0,-1.5413041,2.2452712,-0.81536025,4.7304716,-1.864145,3.3976,22.148489,-56.14544,-62.626137,-4.8066444,15.031803,-12.210748,2.2436728,-21.965605,43.266987,-58.504345,-21.101658,21.293686,4.055055
7,-0.2774888277053833,2.3648452758789062,66.48992919921875,0.5258427476500199,-1.2295491601329362,-91.58626718409376,6.003745,0.37385967,13.895841,6.2080235,-8.479096,0.0,6.6890454,-1.3632,-22.495886,6.396836,-12.79738,0.0,-1.5352213,2.2948847,-0.8360472,4.730339,-1.8626186,3.3894465,22.296446,-56.15601,-62.67102,-4.794551,15.010209,-12.210748,2.2440019,-22.119354,43.292004,-58.541023,-21.114544,21.281307,4.0717616
8,-0.2901398241519928,2.4159743785858154,66.49920654296875,0.5036975683349453,-1.0033119662777041,-91.44141216576041,5.6389475,0.4326926,13.718502,6.330155,-8.465911,0.0,6.4452615,-1.3205733,-22.675823,6.4036674,-12.78757,0.0,-1.6097912,2.2394857,-0.8462608,4.6043863,-0.77026397,3.7138793,23.024136,-56.3922,-65.37584,-3.7511914,15.329924,-12.210748,3.2077196,-22.846962,43.824997,-61.344856,-22.402548,21.559114,3.7003026
9,-0.3044164180755615,2.450098991394043,66.50312042236328,0.5096745610412352,-0.9927277742248529,-91.41259439213849,5.5960145,0.44139227,13.696123,6.3155365,-8.419118,0.0,6.4138646,-1.3098495,-22.701616,6.395808,-12.765788,0.0,-1.5936265,2.278141,-0.85305566,4.6043043,-0.7695863,3.715472,23.089392,-56.395493,-65.37714,-3.749707,15.329572,-12.210748,3.2103949,-22.91247,43.834328,-61.346085,-22.402704,21.559109,3.7004523
