Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
0,-0.052865851670503616,1.7394648790359497,66.59020233154297,0.0645520244421104,0.4375676816542362,-88.72864949454528,1.3712523,0.29798722,8.83035,6.443864,-8.517338,0.0,1.6725347,-1.0159879,-7.035469,6.5661716,-9.568006,0.0,-1.5134584,0.9084361,1.1319524,2.6836724,-6.650772,9.81179,19.882076,-27.132463,-44.302834,18.312199,11.803732,-12.210748,0.31805727,-19.263124,9.583832,-31.468937,5.7442884,5.6245766,19.026415
1,-0.05287069454789162,1.739464521408081,66.59056854248047,0.06455132496582286,0.4375675573477398,-88.72864949728627,1.3712399,0.29798824,8.830233,6.443864,-8.517324,0.0,1.6725341,-1.0159907,-7.0354977,6.566191,-9.568083,0.0,-1.5134584,0.9084361,1.1319524,2.6836724,-6.650772,9.81179,19.882076,-27.132463,-44.302834,18.312199,11.803732,-12.210748,0.31805727,-19.263124,9.583832,-31.468937,5.7442884,5.6245766,19.026415
2,-0.052877847105264664,1.7394638061523438,66.59065246582031,0.06454808015869527,0.43756759335507917,-88.72864950965635,1.3711822,0.29808554,8.830122,6.443737,-8.517162,0.0,1.6724939,-1.0159353,-7.035541,6.566189,-9.568103,0.0,-1.5134584,0.9084361,1.1319524,2.6836724,-6.650772,9.81179,19.882076,-27.132463,-44.302834,18.312199,11.803732,-12.210748,0.31805727,-19.263124,9.583832,-31.468937,5.7442884,5.6245766,19.026415
3,-0.053000934422016144,1.7394434213638306,66.59059143066406,0.06455996377657282,0.4375665908215726,-88.72871219362646,1.3712605,0.29820806,8.830058,6.443658,-8.517161,0.0,1.6725323,-1.0158294,-7.0355334,6.566247,-9.568257,0.0,-1.5135018,0.9084488,1.1319277,2.6836727,-6.6507735,9.811788,19.882595,-27.132492,-44.302876,18.31221,11.803726,-12.210748,0.31804377,-19.263683,9.583829,-31.468954,5.7442803,5.6245713,19.026438
4,-0.05588603764772415,1.7396390438079834,66.58987426757812,0.06466989857161656,0.4373160372315944,-88.73100137786933,1.3718894,0.30030113,8.83162,6.443965,-8.517472,0.0,1.6722567,-1.0136782,-7.033933,6.566134,-9.56796,0.0,-1.5153451,0.9089853,1.1308855,2.6836898,-6.6508193,9.8116665,19.904207,-27.133657,-44.304653,18.312738,11.803512,-12.210748,0.31747478,-19.287073,9.583711,-31.469633,5.743945,5.624323,19.027393
5,-0.055939432233572006,1.7395797967910767,66.59015655517578,0.0646857407223349,0.43731691579723186,-88.73103029339212,1.3725054,0.3002477,8.831686,6.442489,-8.5165205,0.0,1.6729798,-1.0135549,-7.033931,6.564771,-9.56725,0.0,-1.5153699,0.9089902,1.1308767,2.68369,-6.6508203,9.811665,19.904549,-27.133677,-44.30468,18.312748,11.803508,-12.210748,0.31746587,-19.287443,9.583709,-31.469645,5.74394,5.624319,19.027409
6,-0.05636648088693619,1.73905348777771,66.59002685546875,0.064832467074397,0.4373732461082983,-88.73118912565994,1.3728371,0.3004919,8.831847,6.4425125,-8.5168085,0.0,1.6732166,-1.0133395,-7.0338073,6.565,-9.567725,0.0,-1.5154606,0.9089845,1.1309052,2.683692,-6.650824,9.811657,19.906591,-27.133783,-44.304844,18.312798,11.80349,-12.210748,0.3174128,-19.28965,9.583695,-31.469706,5.7439065,5.6242957,19.0275
7,-0.05636279284954071,1.739058494567871,66.5901870727539,0.06483211457301911,0.4373771931997234,-88.73118912477219,1.3722135,0.30062684,8.831925,6.443725,-8.517343,0.0,1.6726418,-1.0133761,-7.0337763,6.5661182,-9.568222,0.0,-1.5154606,0.9089845,1.1309052,2.683692,-6.650824,9.811657,19.906591,-27.133783,-44.304844,18.312798,11.80349,-12.210748,0.3174128,-19.28965,9.583695,-31.469706,5.7439065,5.6242957,19.0275
8,-0.05635997653007507,1.7390532493591309,66.59031677246094,0.06483235221196608,0.4373730964449569,-88.73118912618301,1.372893,0.30052504,8.831959,6.442565,-8.516762,0.0,1.6732262,-1.0133178,-7.0337834,6.5650454,-9.567637,0.0,-1.5154606,0.9089845,1.1309052,2.683692,-6.650824,9.811657,19.906591,-27.133783,-44.304844,18.312798,11.80349,-12.210748,0.3174128,-19.28965,9.583695,-31.469706,5.7439065,5.6242957,19.0275
9,-0.05723872035741806,1.7371017932891846,66.5904769897461,0.06551136352818919,0.43768543353272393,-88.73142782660437,1.3736863,0.30060607,8.832002,6.443909,-8.519044,0.0,1.674093,-1.0133127,-7.033652,6.5661736,-9.57002,0.0,-1.5154469,0.90872085,1.1314808,2.6836972,-6.650836,9.811658,19.912718,-27.134117,-44.305305,18.312937,11.8034525,-12.210748,0.31724834,-19.296225,9.583642,-31.469896,5.743792,5.6242256,19.027773
