Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_pitch_joint,waist_roll_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint
0,0.15602846443653107,1.554211974143982,65.62667846679688,0.1436707110330484,-0.8195715752191745,-91.53898355358932,2.9505916,2.5381644,8.040981,10.192717,-10.314966,0.0,6.5404496,-2.2057445,-18.806606,6.2842865,-13.500657,0.0,-3.939155,6.4014583,-0.9666236,0.97934705,-13.999721,8.084534,21.462854,-39.688015,-62.8387,-5.342282,13.899423,-12.210748,4.495694,-19.91301,30.306437,-56.48986,0.37156484,5.291115,14.493305
1,0.1563388854265213,1.5484192371368408,65.62528991699219,0.14230157485535452,-0.8175849114662761,-91.5414682698655,2.931647,2.54114,8.039323,10.237893,-10.341647,0.0,6.542926,-2.2052648,-18.802713,6.284305,-13.508041,0.0,-3.9408355,6.403112,-0.9673308,0.97935134,-13.9997635,8.084632,21.480974,-39.68879,-62.839863,-5.341611,13.898852,-12.210748,4.495889,-19.935883,30.307245,-56.49103,0.37069997,5.290632,14.493768
2,0.1593383252620697,1.5464037656784058,65.6230239868164,0.138152887338949,-0.8147387674672669,-91.55004722386285,2.9036708,2.5457628,8.041969,10.29992,-10.3769245,0.0,6.538956,-2.205357,-18.793892,6.2849383,-13.510154,0.0,-3.9463499,6.409187,-0.9701771,0.97936404,-13.999858,8.084813,21.517172,-39.69032,-62.842464,-5.340157,13.89755,-12.210748,4.4962463,-19.981672,30.308792,-56.493492,0.36884943,5.2896233,14.494677
3,0.1700114756822586,1.5497817993164062,65.6216812133789,0.13095470235005055,-0.8099661828109739,-91.56652878367586,2.8661468,2.548739,8.051984,10.375603,-10.418653,0.0,6.5285473,-2.2086844,-18.77911,6.2801566,-13.500806,0.0,-3.9581547,6.4236293,-0.9768426,0.97939837,-14.000054,8.085083,21.584286,-39.69307,-62.848145,-5.3370223,13.894663,-12.210748,4.4967766,-20.066547,30.311636,-56.49867,0.36498123,5.2874985,14.496452
4,0.1787966936826706,1.5518150329589844,65.62098693847656,0.12519726891091268,-0.8050574791773657,-91.57484330890557,2.8296108,2.551257,8.057324,10.448087,-10.458728,0.0,6.5222087,-2.210777,-18.771454,6.275549,-13.495728,0.0,-3.9667935,6.4326453,-0.9808101,0.9794189,-14.000159,8.085185,21.617804,-39.694317,-62.851234,-5.3353205,13.893066,-12.210748,4.4969807,-20.108809,30.312859,-56.501305,0.3629471,5.286419,14.497289
5,0.19347643852233887,1.5521796941757202,65.61988067626953,0.11662112324038389,-0.7921992970588274,-91.58405724618164,2.7699213,2.5544045,8.065509,10.560665,-10.524786,0.0,6.508864,-2.2149131,-18.763712,6.270506,-13.489487,0.0,-3.988635,6.449743,-0.98781115,0.9794665,-14.000379,8.085193,21.679802,-39.69629,-62.858036,-5.331464,13.88951,-12.210748,4.497167,-20.187122,30.314909,-56.506805,0.35864106,5.2841434,14.498898
6,0.21008047461509705,1.542394757270813,65.6186752319336,0.10818933573329782,-0.7744452851717097,-91.58552610714555,2.711707,2.5555625,8.069395,10.671954,-10.596805,0.0,6.500523,-2.219936,-18.762184,6.267088,-13.493517,0.0,-4.0176597,6.46527,-0.993945,0.9795205,-14.000614,8.0849905,21.739317,-39.697678,-62.865616,-5.3269944,13.885498,-12.210748,4.497129,-20.262249,30.3165,-56.512573,0.35401073,5.2817235,14.500455
7,0.23293490707874298,1.524835467338562,65.61817169189453,0.10218000695100105,-0.7457619717183447,-91.56980719026213,2.6459877,2.549744,8.061284,10.778948,-10.668848,0.0,6.491412,-2.2306252,-18.774061,6.264404,-13.505516,0.0,-4.0807242,6.4848843,-1.0033594,0.9796442,-14.001124,8.084119,21.845598,-39.69928,-62.88273,-5.316615,13.876385,-12.210748,4.496487,-20.396358,30.318857,-56.525146,0.34381148,5.2763667,14.503602
8,0.26673009991645813,1.5072507858276367,65.57859802246094,0.16258014129205878,-0.6404040193564668,-91.33076753395855,2.127118,2.5234756,7.841072,11.568165,-11.053389,0.0,6.359469,-2.3358436,-19.052128,6.515765,-13.699893,0.0,-4.5017653,6.453244,-1.0905244,1.2013441,-14.709773,9.137841,22.734388,-39.704212,-65.55537,-3.5352573,13.884157,-12.210748,5.5420146,-21.435669,30.50506,-59.14126,-1.5783964,5.6417866,14.550448
9,0.28783708810806274,1.4925369024276733,65.57273864746094,0.151045409245381,-0.6312156761426638,-91.32519838894112,2.0353363,2.5293536,7.8387713,11.77677,-11.176905,0.0,6.364539,-2.3419173,-19.053438,6.51572,-13.708369,0.0,-4.506392,6.455062,-1.0894275,1.2013706,-14.709867,9.138535,22.75574,-39.704674,-65.55586,-3.5349643,13.883989,-12.210748,5.542898,-21.457344,30.505962,-59.141415,-1.5789003,5.641882,14.550204
10,0.32113945484161377,1.4752535820007324,65.57059478759766,0.13302103023047604,-0.6145533422608769,-91.30629428258426,1.9492161,2.5297375,7.828199,11.956486,-11.2850485,0.0,6.366967,-2.35035,-19.063612,6.515691,-13.717312,0.0,-4.5232096,6.4585433,-1.0838213,1.2014216,-14.710075,9.139888,22.795908,-39.70605,-65.557594,-3.5343642,13.88321,-12.210748,5.5445824,-21.49833,30.506683,-59.14167,-1.5806034,5.6421475,14.549321
11,0.36235055327415466,1.4449771642684937,65.56900024414062,0.1201447519042986,-0.5929829774166524,-91.26350365218202,1.8751218,2.5174122,7.7994046,12.105107,-11.381377,0.0,6.379563,-2.36804,-19.091972,6.5186315,-13.740159,0.0,-4.564956,6.4620905,-1.071999,1.2015172,-14.710533,9.142493,22.867828,-39.7099,-65.562874,-3.5330722,13.880585,-12.210748,5.547766,-21.572237,30.505983,-59.142166,-1.5854759,5.6427608,14.546819
12,0.4110040068626404,1.4242520332336426,65.56598663330078,0.12573019788253847,-0.5745423081548193,-91.18899865281894,1.8038268,2.4801815,7.745035,12.221262,-11.449584,0.0,6.3986726,-2.4059036,-19.148897,6.5173807,-13.758841,0.0,-4.642897,6.4653544,-1.0669112,1.201689,-14.711532,9.14762,22.986103,-39.7196,-65.577705,-3.5297265,13.87291,-12.210748,5.553981,-21.694859,30.50121,-59.14347,-1.5978972,5.6439686,14.540907
13,0.45931386947631836,1.400357723236084,65.56302642822266,0.13859101570034263,-0.5626457864897538,-91.12058824968963,1.764626,2.4319675,7.693919,12.288579,-11.4974375,0.0,6.424269,-2.4519956,-19.202978,6.5182343,-13.779111,0.0,-4.704946,6.4718585,-1.0781538,1.2018232,-14.712616,9.152735,23.092852,-39.731125,-65.59621,-3.5258157,13.863177,-12.210748,5.560312,-21.805534,30.493568,-59.14474,-1.6123618,5.6452384,14.534433
14,0.5162887573242188,1.381266474723816,65.55895233154297,0.155533998894181,-0.5575373097149823,-91.05816965460589,1.7356697,2.3721309,7.646558,12.345175,-11.540509,0.0,6.453179,-2.5094635,-19.253948,6.515703,-13.790047,0.0,-4.7478805,6.484304,-1.1022347,1.2019023,-14.713787,9.157771,23.189611,-39.74462,-65.61795,-3.5216956,13.851637,-12.210748,5.566992,-21.905823,30.483294,-59.145653,-1.6285468,5.6466784,14.527543
15,0.5919045209884644,1.3530930280685425,65.51567840576172,0.3222574202896326,-0.6196673260088328,-90.86692072770822,1.6690463,2.1530643,7.4148912,12.565549,-11.653953,0.0,6.6657004,-2.706367,-19.5558,6.3804603,-13.762777,0.0,-4.930366,6.566242,-1.3063802,1.2116454,-15.51488,10.140879,23.648298,-39.871784,-67.518295,-3.320391,13.887956,-12.210748,6.240521,-22.327394,30.450037,-60.01463,-2.9941738,5.90118,13.714636
16,0.660565197467804,1.325314998626709,65.506103515625,0.3236060965089468,-0.6174448774758595,-90.82371351351028,1.6081419,2.1049545,7.380849,12.727062,-11.770547,0.0,6.6976786,-2.7611272,-19.5862,6.3837852,-13.774217,0.0,-4.9239936,6.5741177,-1.3206288,1.2115147,-15.516615,10.150777,23.77126,-39.888542,-67.52853,-3.3203888,13.883644,-12.210748,6.2480903,-22.430136,30.446072,-60.014404,-3.0012643,5.9029913,13.711466
