Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
0,0.3150641918182373,1.1863887310028076,67.60110473632812,1.0578373097765488,1.3470708009900993,-113.4405938583716,12.989744,-10.363008,10.095013,-60.925346,34.46405,-45.590786,-6.4793053,6.2071056,8.192991,6.2125945,53.734688,52.67872,59.32685,-14.585841,-8.937958,-13.5335865,0.41223678,-5.390161,10.924623,24.368155,11.171169,-3.5956368,-12.385519,2.9761686,-7.2200356,-19.861397,10.947909,-13.560081,10.726751
1,0.3143569529056549,1.1921879053115845,67.60574340820312,1.0377118838791675,1.3754957290291,-113.47365226856888,13.0010395,-10.647835,10.140137,-60.85167,34.56433,-46.097286,-6.3258986,6.325332,8.162479,6.2702003,53.657356,52.69649,59.721546,-15.42981,-9.020887,-13.396312,0.39102444,-5.4180756,10.967186,24.426353,11.187115,-3.5903323,-12.403045,2.9161975,-7.190133,-19.799864,10.933823,-13.526086,10.703862
2,0.31543654203414917,1.2044671773910522,67.60987091064453,1.0178241008270021,1.4033569970435027,-113.50355520279881,13.010563,-10.932592,10.171783,-60.755833,34.70553,-46.58319,-6.2421584,6.4351587,8.130661,6.3206906,53.572144,52.738224,60.09774,-16.306723,-9.103508,-13.269867,0.36930132,-5.461543,11.01393,24.479467,11.22071,-3.5870283,-12.418578,2.8393276,-7.1654735,-19.73884,10.968091,-13.52215,10.679946
3,0.3165099620819092,1.2154244184494019,67.61434173583984,0.9972634416166457,1.4324157888232665,-113.53955348825639,13.024223,-11.218284,10.195823,-60.609566,34.907898,-47.1365,-6.177141,6.556973,8.118212,6.374747,53.456657,52.798313,60.53002,-17.181446,-9.183747,-13.1397085,0.34800947,-5.49764,11.059619,24.539183,11.243806,-3.580244,-12.434915,2.773129,-7.1346436,-19.673506,10.963462,-13.492763,10.654691
4,0.3178471624851227,1.2335501909255981,67.61943054199219,0.9755353342441799,1.4642142624023584,-113.5909521642848,13.048003,-11.506343,10.19778,-60.44614,35.155968,-47.78103,-6.0185003,6.697667,8.136141,6.407474,53.345467,52.879505,61.015667,-17.999449,-9.250421,-12.983608,0.32718667,-5.5314016,11.109141,24.613194,11.253651,-3.5601578,-12.452731,2.6894774,-7.100269,-19.591042,10.969308,-13.462091,10.621813
5,0.3171384334564209,1.2509852647781372,67.62511444091797,0.951853189872973,1.5014729914810174,-113.6569081907389,13.07986,-11.801081,10.176524,-60.282066,35.451904,-48.521397,-5.703697,6.879638,8.193978,6.4090147,53.251106,52.999268,61.55118,-18.716398,-9.307367,-12.821189,0.30775106,-5.560037,11.162609,24.700523,11.252719,-3.534325,-12.47377,2.5975955,-7.0604205,-19.494316,10.97584,-13.4319315,10.58421
6,0.31681394577026367,1.2675520181655884,67.63134002685547,0.9267316006434891,1.5425687581699203,-113.73339220119253,13.117964,-12.100753,10.130313,-60.09282,35.8287,-49.34001,-5.3255196,7.0896688,8.291571,6.3800416,53.160725,53.16798,62.12082,-19.379684,-9.352424,-12.659221,0.28928578,-5.589452,11.219301,24.79695,11.251757,-3.50781,-12.495531,2.4952352,-7.0195413,-19.386652,10.982132,-13.395779,10.544475
7,0.32058024406433105,1.2895450592041016,67.6380615234375,0.9009930902608433,1.5826340752836263,-113.82597900501659,13.167879,-12.3964,10.0498085,-59.855526,36.28375,-50.230907,-4.975663,7.2862287,8.406125,6.3078923,53.070545,53.38435,62.71095,-20.082209,-9.371991,-12.455949,0.27051845,-5.610695,11.275194,24.91001,11.238183,-3.4724197,-12.516108,2.3876202,-6.976657,-19.262152,10.980712,-13.348286,10.501163
8,0.32410529255867004,1.31891930103302,67.64436340332031,0.875985316313502,1.6169691576131895,-113.94030110444656,13.2352,-12.67929,9.944029,-59.601482,36.73941,-51.168747,-4.660485,7.428163,8.499437,6.1944084,53.00359,53.612736,63.295498,-20.878857,-9.361101,-12.159112,0.2503473,-5.6099434,11.331527,25.04728,11.198764,-3.421399,-12.541055,2.265443,-6.9333115,-19.113089,10.994923,-13.300909,10.450023
9,0.32551270723342896,1.3472065925598145,67.6496810913086,0.8513366097251446,1.6455523528908942,-114.07567062043147,13.319382,-12.946004,9.827417,-59.356937,37.181465,-52.148884,-4.311582,7.5137463,8.572073,6.0550327,52.969826,53.842995,63.87034,-21.779575,-9.331771,-11.7473,0.22554764,-5.576657,11.386774,25.213278,11.132008,-3.3629973,-12.573296,2.1443744,-6.8874183,-18.938847,11.008204,-13.252497,10.394683
10,0.3276098370552063,1.3818581104278564,67.6563949584961,0.8258155879515786,1.6702549716365396,-114.2302533940222,13.417894,-13.201493,9.7022,-59.11729,37.631977,-53.180374,-3.9256809,7.5616927,8.639791,5.8938184,52.962166,54.0859,64.450294,-22.746622,-9.289241,-11.248813,0.19859104,-5.502191,11.431928,25.406422,10.997174,-3.270497,-12.608581,2.0317495,-6.831264,-18.744507,10.989162,-13.181674,10.331927
11,0.3310607671737671,1.4171044826507568,67.66230010986328,0.8013972937323323,1.6892964726622686,-114.40670309163377,13.533926,-13.4502325,9.550702,-58.84573,38.093147,-54.26767,-3.6389043,7.5602617,8.689466,5.6850867,52.978966,54.34872,65.03113,-23.770144,-9.219903,-10.687762,0.17458746,-5.4093475,11.47542,25.619284,10.851351,-3.1747572,-12.645725,1.9097615,-6.7792716,-18.530476,10.989993,-13.11756,10.267439
12,0.33671146631240845,1.4544851779937744,67.66718292236328,0.7778605678548471,1.7009855275585772,-114.60870411928654,13.670431,-13.6954,9.288677,-58.39939,38.694897,-55.43726,-3.7394712,7.4953365,8.723828,5.273922,53.066353,54.771835,65.48981,-24.92016,-9.078097,-10.104196,0.16038167,-5.377812,11.555774,25.83188,10.853862,-3.1467628,-12.684355,1.7884958,-6.7279835,-18.301212,10.992511,-13.050377,10.2009945
13,0.34450608491897583,1.498120665550232,67.6690444946289,0.7583587017888492,1.7034387295267177,-114.83518836360707,13.826441,-13.938413,9.006212,-57.93179,39.232292,-56.651997,-4.0368905,7.3575606,8.6934805,4.7308507,53.260933,55.27177,65.82608,-26.145685,-8.866165,-9.446362,0.15758857,-5.3438487,11.638714,26.053986,10.871956,-3.1223817,-12.721788,1.6379184,-6.689666,-18.055817,11.052011,-13.002193,10.131698
