Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
0,-0.35044625401496887,0.001341104507446289,67.787841796875,0.5644061374294285,7.547718835763169,-110.30348856492425,8.297734,-16.771921,7.1025515,-61.44996,38.96814,-46.52872,-3.8478756,6.780647,7.725513,11.114421,50.780006,46.969807,59.949905,-9.172281,-9.290463,-15.5715685,2.1218374,4.1957498,-2.7687106,23.03934,9.866748,-10.284179,-6.85165,-9.274616,-15.754802,-5.268991,36.26882,8.503888,9.192293
1,-0.30709952116012573,-0.15206784009933472,67.73322296142578,0.5655454959637333,7.557507909035163,-110.48864530848685,8.291379,-16.922321,7.114238,-61.391247,38.86203,-47.468037,-3.5250301,6.849488,7.599158,11.2863035,50.653942,46.91603,60.07226,-9.107647,-9.318843,-15.5421,2.2473629,4.1998725,-2.811916,23.0213,10.167314,-10.638605,-6.9215107,-11.502636,-16.105627,-5.1170893,39.65979,9.58822,7.5024314
2,-0.26169028878211975,-0.30151158571243286,67.67068481445312,0.5681157995705808,7.567990006069126,-110.66589396083576,8.282864,-17.078505,7.109211,-61.29203,38.71852,-48.42617,-3.2234132,6.929189,7.3946085,11.557954,50.4746,46.800865,60.32413,-9.03334,-9.371122,-15.536854,2.365045,4.3399487,-2.9151106,22.995998,10.194992,-10.859977,-6.989877,-13.699976,-16.512089,-5.0106997,43.01253,10.690183,5.7755694
3,-0.21939650177955627,-0.4513107240200043,67.60042572021484,0.5694850973341925,7.580294509391115,-110.85779817330334,8.278557,-17.225706,7.086531,-61.20761,38.615875,-49.378685,-2.8875322,7.006007,7.22194,11.785661,50.336628,46.703487,60.5038,-8.946744,-9.404679,-15.515455,2.497395,4.47843,-3.0179737,22.97494,10.229219,-11.103316,-7.0594883,-15.87734,-16.963364,-4.970179,46.28622,11.741536,3.9112482
4,-0.1731170415878296,-0.6117351055145264,67.52571868896484,0.5618722551798405,7.597725813031336,-111.08678096885657,8.285387,-17.352047,7.0455804,-61.120422,38.518078,-50.38079,-2.4073195,7.1012034,7.0605955,12.001986,50.21353,46.593338,60.677418,-8.842221,-9.421267,-15.464053,2.6674697,4.782034,-3.1910405,22.954735,9.949877,-11.260099,-7.1276326,-18.030258,-17.437693,-5.0233974,49.410538,12.69499,1.8160652
5,-0.1141957938671112,-0.7792167663574219,67.4495620727539,0.5392143191309673,7.618991587766278,-111.37474467272267,8.311668,-17.45529,6.999174,-61.049717,38.436493,-51.445923,-1.6976163,7.22374,6.928864,12.15867,50.1304,46.510017,60.800873,-8.717847,-9.390006,-15.357693,2.884879,4.7572775,-3.2169,22.965374,10.353788,-11.803358,-7.1904445,-20.189318,-18.046442,-5.3352456,52.45752,13.757648,-0.9095438
6,-0.0606246292591095,-0.9591937065124512,67.3638916015625,0.5057681575257709,7.642948571116046,-111.7045157430227,8.351867,-17.543358,6.9414287,-60.975178,38.34366,-52.564354,-0.81545216,7.3689036,6.783573,12.305393,50.057217,46.419003,60.92659,-8.5725565,-9.331475,-15.211809,3.1358688,5.070719,-3.3900034,22.967402,10.096646,-12.099634,-7.2392673,-22.334389,-18.803638,-5.866071,55.42404,14.865167,-4.1308103
7,0.00013206154108047485,-1.1437870264053345,67.27836608886719,0.470898669198842,7.673295126055071,-112.04035334264378,8.391231,-17.614586,6.8767576,-60.89774,38.24468,-53.712517,0.10318574,7.5155272,6.652388,12.433581,49.997997,46.328003,61.02672,-8.435856,-9.2824,-15.078388,3.4112039,5.1579204,-3.4628482,22.986803,10.283916,-12.620088,-7.3050594,-24.38983,-19.455397,-6.284536,58.123936,15.614662,-7.0442147
8,0.04493836313486099,-1.3315081596374512,67.17864990234375,0.4437192868495156,7.71371441334184,-112.34650903724152,8.415416,-17.668034,6.790789,-60.79403,38.135536,-54.871174,0.91332656,7.6447134,6.531303,12.570441,49.940792,46.220295,61.111633,-8.3307295,-9.284395,-15.011561,3.7003517,5.225737,-3.526209,23.00802,10.4759865,-13.13119,-7.407375,-26.298819,-19.643291,-6.1963253,60.38087,15.667103,-8.738239
9,0.08463338017463684,-1.5252530574798584,67.08219909667969,0.4347844294598122,7.763788337798562,-112.62000317791475,8.426242,-17.6976,6.687583,-60.665382,38.035694,-56.046318,1.549129,7.7463546,6.4486074,12.705485,49.887608,46.112022,61.1594,-8.2455,-9.364686,-15.046603,4.0102506,5.5072937,-3.6857398,23.04001,10.201508,-13.422846,-7.5860686,-28.068226,-19.056705,-5.2816563,62.16443,14.738296,-8.600611
