Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
0,0.28189191222190857,1.3504743576049805,67.9062728881836,0.36726589102128965,1.2068431141894307,-96.09014585027475,2.8293781,0.040213272,6.689037,-63.81373,40.90747,-43.388935,11.320755,3.1766038,0.25449744,3.9027557,65.45874,34.15247,39.28582,8.317875,-2.1542575,-9.974905,3.2977014,-2.7285683,6.3393636,5.795468,10.80166,-8.095056,-7.3079324,-1.9175516,-6.7932706,-10.468976,10.959453,-12.297291,7.0045576
1,0.2805842161178589,1.3507362604141235,67.90643310546875,0.37083655123426623,1.2067683719546185,-96.08942257277366,2.83841,0.041818324,6.693941,-63.81099,40.90745,-43.402016,11.338926,3.172402,0.2505542,3.9012966,65.45874,34.155773,39.283283,8.343084,-2.1635532,-9.962893,3.2967086,-2.729754,6.336154,5.7956815,10.8042555,-8.094668,-7.309155,-1.9198401,-6.796857,-10.468386,10.96371,-12.299157,7.004145
2,0.27822378277778625,1.3527758121490479,67.90636444091797,0.37585525032285777,1.206916198652504,-96.08861528313899,2.8632474,0.04572725,6.699965,-63.80837,40.90798,-43.42326,11.359422,3.1732428,0.24782395,3.899118,65.45923,34.160404,39.27987,8.370221,-2.1752515,-9.95,3.2957716,-2.7313251,6.3322067,5.795853,10.802735,-8.089596,-7.3111324,-1.9217247,-6.8006334,-10.467968,10.963628,-12.297373,7.0025935
3,0.2798648178577423,1.352647304534912,67.90771484375,0.37907527829007637,1.2067989957760736,-96.08819539015914,2.8747249,0.047356494,6.7051787,-63.8067,40.909008,-43.438114,11.374988,3.170682,0.24564853,3.8976455,65.46068,34.162907,39.272972,8.394673,-2.1805298,-9.938469,3.2949874,-2.7280679,6.326017,5.796793,10.796993,-8.0856085,-7.3093114,-1.9190773,-6.8060865,-10.467851,10.959441,-12.29502,7.005263
4,0.2813476622104645,1.3546209335327148,67.90817260742188,0.3801849173488356,1.2064778912747542,-96.08749326303283,2.8935874,0.049622647,6.7133865,-63.80483,40.908173,-43.456802,11.38047,3.1717525,0.24510647,3.8942647,65.46361,34.169235,39.269054,8.406377,-2.1858146,-9.929815,3.2936149,-2.732088,6.323398,5.7968793,10.80116,-8.0851145,-7.3073134,-1.9239216,-6.8095274,-10.466403,10.964045,-12.294229,7.006677
5,0.2822861671447754,1.3552923202514648,67.90789031982422,0.37820537637108154,1.2056056258010555,-96.08657313554905,2.8966856,0.04966046,6.7165184,-63.804176,40.90651,-43.465847,11.366153,3.1694255,0.24169992,3.8926117,65.46517,34.17439,39.268826,8.4028845,-2.1850324,-9.92277,3.2908132,-2.7294364,6.324831,5.798296,10.797962,-8.084628,-7.3053284,-1.9218633,-6.807445,-10.464322,10.959332,-12.290926,7.006982
6,0.2811698615550995,1.3573851585388184,67.90694427490234,0.37356898947015565,1.2044151388963915,-96.08542452649901,2.8956914,0.04898337,6.718703,-63.803642,40.90415,-43.47181,11.3379135,3.1665158,0.23815142,3.8914778,65.46678,34.179432,39.269005,8.388797,-2.1795197,-9.917904,3.2870197,-2.7325718,6.332248,5.799271,10.804239,-8.088537,-7.30497,-1.9261453,-6.800435,-10.46057,10.962829,-12.290144,7.0038996
7,0.28006160259246826,1.3584915399551392,67.90691375732422,0.3691672970564258,1.2032968538492481,-96.08463614333797,2.8918488,0.04624344,6.7251325,-63.801632,40.89753,-43.481056,11.313107,3.1633842,0.23477122,3.888003,65.47266,34.19605,39.266155,8.364281,-2.1731374,-9.922097,3.2844117,-2.732239,6.3389635,5.7998633,10.804665,-8.0901165,-7.304548,-1.925398,-6.793001,-10.458288,10.960025,-12.2879505,7.0010505
8,0.2833939492702484,1.3601288795471191,67.90718078613281,0.36679927953880254,1.2026971521481478,-96.08513611174546,2.892372,0.044389762,6.7266555,-63.801277,40.8961,-43.48819,11.302383,3.162302,0.2329601,3.887621,65.47465,34.199085,39.269917,8.352177,-2.1662478,-9.917274,3.2852845,-2.7353396,6.338865,5.7985625,10.807429,-8.090799,-7.300309,-1.927723,-6.7936654,-10.458131,10.962042,-12.286644,7.003519
9,0.2792089283466339,1.3602607250213623,67.90784454345703,0.3693364740222214,1.2028651940649098,-96.08704892162332,2.8994286,0.03796023,6.7298994,-63.801414,40.895042,-43.498802,11.315865,3.1625443,0.23393324,3.886564,65.47885,34.210754,39.279465,8.340075,-2.1663504,-9.917919,3.2915363,-2.7371972,6.3398294,5.7936735,10.808148,-8.089291,-7.30384,-1.9263256,-6.7921705,-10.462931,10.962169,-12.288462,6.999539
