Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
0,0.6101669073104858,1.7600350379943848,67.28252410888672,0.8013858695192118,0.5206883810966864,-87.73673529804292,-4.9279695,-3.6063743,7.4875064,-67.155045,26.100971,-25.005136,-19.020447,2.1497273,-6.6786833,4.785242,64.87169,39.572594,32.783283,-29.825846,-11.2906275,2.6754363,2.1897018,1.6925039,4.0180006,24.783268,11.558357,-12.855496,-7.851915,3.406314,-8.385173,-28.061085,11.022092,-11.397073,11.594526
1,0.6235064268112183,1.7628986835479736,67.28323364257812,0.7926784789764204,0.5202907651059977,-87.74335838593207,-4.9386873,-3.6031337,7.5142236,-67.108795,25.960402,-24.93125,-18.959345,2.082204,-6.718361,4.8124056,64.83865,39.55291,32.765747,-29.826738,-11.235767,2.6983995,2.1882348,1.6741408,4.0232735,24.789755,11.5964575,-12.877659,-7.84133,3.4004679,-8.389646,-28.056448,11.023357,-11.385369,11.6031275
2,0.6344398260116577,1.7678916454315186,67.28357696533203,0.7841959794803243,0.5198108805459577,-87.74967170923108,-4.9480085,-3.6007645,7.5359564,-67.0453,25.777418,-24.872547,-18.862034,2.033632,-6.799196,4.8333035,64.799644,39.54434,32.75178,-29.834599,-11.182266,2.72639,2.1864295,1.6439483,4.0352197,24.795504,11.654607,-12.906166,-7.8320665,3.3923824,-8.392666,-28.051657,11.025495,-11.373315,11.609072
3,0.6448588371276855,1.7707020044326782,67.28390502929688,0.7740571163617588,0.5196341826227643,-87.75685033743854,-4.9601483,-3.5981054,7.5454135,-66.99108,25.628265,-24.77566,-18.795378,1.967394,-6.8457055,4.8412237,64.77055,39.5372,32.707767,-29.845934,-11.1255865,2.7526276,2.185399,1.615466,4.0499744,24.801308,11.712008,-12.935285,-7.824692,3.386374,-8.392618,-28.046896,11.025867,-11.3624,11.61502
4,0.6581928133964539,1.7749323844909668,67.28399658203125,0.7603102522841434,0.5200300523586828,-87.76582457552888,-4.9794006,-3.5981622,7.5520687,-66.9114,25.432907,-24.665846,-18.70091,1.918072,-6.883995,4.8436255,64.73252,39.515553,32.655968,-29.868273,-11.088522,2.7780867,2.1858451,1.5672818,4.0746765,24.805655,11.805994,-12.981111,-7.815044,3.3769298,-8.391559,-28.040794,11.028239,-11.350104,11.622335
5,0.6732309460639954,1.7821441888809204,67.28465270996094,0.7420940182535237,0.5208187685643179,-87.77801507704785,-5.0073757,-3.6013913,7.5572214,-66.80983,25.214378,-24.528734,-18.603317,1.8773538,-6.8837686,4.8393188,64.68928,39.46788,32.584236,-29.89613,-11.080549,2.8045483,2.1899889,1.5035712,4.1089234,24.808102,11.924644,-13.035999,-7.803606,3.3652236,-8.385772,-28.034138,11.02915,-11.33524,11.629501
6,0.6889076232910156,1.7844445705413818,67.2849349975586,0.7197508779248102,0.5219620715512496,-87.79264286240293,-5.0416336,-3.6064649,7.562922,-66.68715,24.986834,-24.374884,-18.512554,1.8413734,-6.857713,4.8291717,64.64246,39.398582,32.497395,-29.924812,-11.093469,2.8349247,2.1968186,1.4390527,4.1506815,24.809864,12.053516,-13.099448,-7.795082,3.3559856,-8.375751,-28.027523,11.032545,-11.325819,11.638409
7,0.7054702639579773,1.7875895500183105,67.28495788574219,0.6975854046595995,0.5236900108106963,-87.80700082063423,-5.080545,-3.6138978,7.568455,-66.55079,24.754095,-24.208574,-18.428015,1.8053254,-6.8120627,4.8159285,64.59328,39.317104,32.399986,-29.951979,-11.104402,2.8611743,2.2021735,1.3699228,4.1927886,24.812035,12.188985,-13.165562,-7.7851458,3.34527,-8.366508,-28.019367,11.034141,-11.31348,11.647448
8,0.7247744798660278,1.7965279817581177,67.28579711914062,0.674726360463191,0.5266846564678961,-87.81891551471149,-5.1223083,-3.6226912,7.572893,-66.40002,24.50601,-24.038342,-18.33894,1.7692783,-6.764629,4.802872,64.536514,39.23073,32.300766,-29.974905,-11.093461,2.8778749,2.2021215,1.2893016,4.234116,24.815716,12.335206,-13.233436,-7.769605,3.3270538,-8.360162,-28.007534,11.036675,-11.295062,11.655494
9,0.7419817447662354,1.805101752281189,67.28675079345703,0.6562184308446907,0.5299324302113586,-87.82845675167817,-5.167813,-3.6312819,7.5756955,-66.23544,24.24019,-23.864004,-18.23667,1.736095,-6.710393,4.793731,64.4678,39.14475,32.20967,-30.001259,-11.054119,2.877299,2.195626,1.2247605,4.2645802,24.823717,12.450582,-13.287375,-7.7544723,3.306721,-8.35801,-27.99174,11.039288,-11.274916,11.661279
