Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
0,0.1567191481590271,-1.3703356981277466,68.0822525024414,-0.4702122265864888,2.193490165775484,-102.90473938597661,6.204565,-0.27763575,9.595235,-66.15646,32.724583,-38.901897,-4.1605315,4.1570096,-2.6922185,4.402511,64.81671,53.50797,47.979824,9.310896,-5.114635,-2.0464003,4.4556723,3.5816352,6.4353485,20.283737,10.646648,-11.923855,-9.317024,-0.92555803,-5.0727153,-9.214559,11.840397,-12.626847,6.922849
1,0.15636906027793884,-1.4259576797485352,68.08744049072266,-0.4904629394367238,2.293244231607585,-102.95058853782268,6.242678,-0.3570548,9.648482,-66.10441,32.670105,-39.014263,-4.2019534,4.1864085,-2.6324065,4.393899,64.8067,53.489773,47.909508,9.325561,-5.1527605,-2.050597,4.472189,3.5231378,6.445314,20.321463,10.662955,-11.964588,-9.323705,-0.9718346,-5.0591693,-9.203331,11.793591,-12.629335,6.925239
2,0.15545599162578583,-1.4783415794372559,68.09248352050781,-0.5117409831327183,2.390154285130025,-102.99998517212792,6.2798624,-0.43525058,9.684399,-66.05341,32.623634,-39.111534,-4.255457,4.217948,-2.5764413,4.385487,64.79142,53.471016,47.843628,9.339669,-5.192749,-2.0506418,4.486965,3.4929223,6.4472775,20.366972,10.620623,-11.972915,-9.330588,-1.0246162,-5.04377,-9.185867,11.755308,-12.63152,6.9251475
3,0.15309816598892212,-1.534780502319336,68.09721374511719,-0.532556102914662,2.492852631491565,-103.04232051345383,6.317541,-0.5143322,9.715701,-65.99376,32.58695,-39.19355,-4.3042793,4.228614,-2.523807,4.3757653,64.76947,53.451496,47.780903,9.3503275,-5.226995,-2.0524926,4.5051684,3.4389212,6.4556108,20.400423,10.610276,-11.995308,-9.338238,-1.0771334,-5.0296106,-9.179961,11.718302,-12.640566,6.9268327
4,0.14963029325008392,-1.5929334163665771,68.10426330566406,-0.5527529881091837,2.610350586113851,-103.06678244755746,6.356743,-0.5958542,9.741601,-65.92266,32.556133,-39.315716,-4.334309,4.237489,-2.4954967,4.3645506,64.739105,53.42266,47.732452,9.357221,-5.2511992,-2.0428216,4.531934,3.346893,6.4685364,20.406425,10.636279,-12.03373,-9.343286,-1.1170934,-5.0151944,-9.204214,11.641808,-12.636442,6.932271
5,0.14391764998435974,-1.6495029926300049,68.11233520507812,-0.5712372453921745,2.742099410189572,-103.07920706296231,6.4053297,-0.6590445,9.765728,-65.82986,32.549576,-39.50837,-4.2993603,4.258836,-2.4983318,4.3509207,64.69333,53.386387,47.703342,9.366919,-5.2572055,-2.0190594,4.5641646,3.2465389,6.475009,20.393444,10.615128,-12.035467,-9.348157,-1.1859642,-5.0057845,-9.245488,11.596182,-12.648926,6.938896
6,0.13685552775859833,-1.7099701166152954,68.12118530273438,-0.5891150206364129,2.8843832418378406,-103.08226014050268,6.4603763,-0.71070945,9.783002,-65.72995,32.568764,-39.70867,-4.2173886,4.255475,-2.5109777,4.3379164,64.63809,53.351902,47.679058,9.373518,-5.2424574,-1.9987432,4.600857,3.122052,6.484988,20.363867,10.618416,-12.049798,-9.353593,-1.2500978,-4.9968033,-9.3025875,11.532971,-12.659052,6.9480143
7,0.1323329210281372,-1.768549919128418,68.13133239746094,-0.611021263923933,3.040520979663661,-103.0609297663153,6.501326,-0.7837002,9.786161,-65.638145,32.60346,-39.866505,-4.2001595,4.2244334,-2.5045483,4.327044,64.584564,53.30465,47.665714,9.372851,-5.238477,-1.9767104,4.650094,2.9122815,6.518279,20.295248,10.740292,-12.112764,-9.351192,-1.2976928,-4.9849005,-9.401376,11.423748,-12.651059,6.9633875
8,0.12779375910758972,-1.8258739709854126,68.14482879638672,-0.6400851784757927,3.214529786628281,-103.00002074105515,6.5030313,-0.9039154,9.771457,-65.535255,32.642193,-39.90402,-4.367872,4.1098447,-2.4709897,4.3166556,64.52428,53.237106,47.661343,9.349087,-5.255856,-1.952627,4.7200456,2.639677,6.5668926,20.1743,10.900257,-12.173011,-9.337524,-1.2900511,-4.9592547,-9.570374,11.200799,-12.5982685,6.9845166
9,0.12488001585006714,-1.8878910541534424,68.16085815429688,-0.6743122386916771,3.4112244015557245,-102.90349122947997,6.4540367,-1.0905081,9.724401,-65.39007,32.71754,-39.804047,-4.857661,3.8527358,-2.4075904,4.307062,64.440956,53.127743,47.703266,9.327039,-5.3208632,-1.9074546,4.8131185,2.4060524,6.586945,20.008028,10.900506,-12.147976,-9.309048,-1.2527491,-4.928949,-9.808363,10.911746,-12.5271225,7.0158324
