Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
0,1.1593106985092163,0.6130702495574951,67.817626953125,-0.18503081184092607,0.3941318721733712,-90.9124030879609,0.9058808,-4.591003,-3.5846934,-69.43418,58.70191,-40.329742,3.34806,11.088323,8.71315,1.0739548,71.702934,37.380104,37.941254,9.518503,-3.6199706,-2.3886697,2.3699281,1.4545392,5.173495,8.94185,11.212943,-12.287788,-7.3390183,1.800247,-5.8403034,-10.488143,10.919632,-12.166746,9.1348295
1,1.1853750944137573,0.6216827630996704,67.82783508300781,-0.1865095967414972,0.47869441965043474,-90.87955073551316,0.91529804,-4.708511,-3.632192,-69.480995,58.887566,-40.282326,3.4302332,11.154155,8.679301,1.071541,71.6757,37.07643,38.140106,9.314509,-3.433048,-2.4022706,2.361108,1.2396584,5.152699,8.901416,11.3907385,-12.343855,-7.296608,1.6896526,-5.8762746,-10.508377,10.928471,-12.142078,9.166292
2,1.2097622156143188,0.6348013877868652,67.83865356445312,-0.18799703924363714,0.5606443398399575,-90.8461218070919,0.92286235,-4.823177,-3.6794116,-69.51626,59.108036,-40.236004,3.4562328,11.220378,8.672994,1.0921309,71.62973,36.68702,38.371906,9.202668,-3.2460735,-2.3416085,2.3501809,1.0317105,5.132044,8.862803,11.554209,-12.389674,-7.254802,1.5793471,-5.9102125,-10.526586,10.934821,-12.113189,9.195553
3,1.235228180885315,0.6472151875495911,67.84943389892578,-0.189506550115182,0.6478661236068455,-90.81285407082338,0.9333775,-4.94404,-3.7301643,-69.54415,59.359184,-40.20985,3.496774,11.285192,8.660875,1.1442103,71.55873,36.24017,38.652508,9.074887,-3.055929,-2.298583,2.3427937,0.80952543,5.1113687,8.82044,11.73172,-12.440979,-7.212122,1.4650066,-5.9453354,-10.54874,10.938174,-12.081887,9.225833
4,1.2618213891983032,0.6598800420761108,67.86154174804688,-0.19414717162923725,0.7482511567577436,-90.78052539232655,0.9519265,-5.0844884,-3.7625418,-69.55862,59.624557,-40.24861,3.6335003,11.351431,8.618679,1.2040466,71.47707,35.768463,38.953285,8.825385,-2.8484838,-2.358642,2.3445714,0.55508244,5.0943985,8.76903,11.934915,-12.499697,-7.169012,1.3425462,-5.9777813,-10.580854,10.933276,-12.046184,9.256034
5,1.2933971881866455,0.668834924697876,67.87397003173828,-0.19916843850571303,0.8612839583301772,-90.74738532961423,0.9809478,-5.2453055,-3.7861974,-69.56501,59.972267,-40.33964,3.8388712,11.405697,8.576027,1.2856413,71.3666,35.160606,39.291756,8.483117,-2.6106195,-2.4916523,2.355134,0.26936412,5.075073,8.707899,12.168905,-12.571588,-7.1221676,1.2012787,-6.0175285,-10.623761,10.945878,-12.020124,9.290888
6,1.3301957845687866,0.6773568391799927,67.88735961914062,-0.20774963027632798,0.9835655234478423,-90.71422573536383,1.0176654,-5.420372,-3.7976835,-69.56412,60.341022,-40.475407,4.1281805,11.454159,8.510897,1.375886,71.241905,34.51953,39.643616,8.02419,-2.3529327,-2.7158325,2.373184,-0.040570237,5.055647,8.639084,12.4239435,-12.651236,-7.0715237,1.062924,-6.056792,-10.676734,10.938687,-11.9853115,9.329242
7,1.3678439855575562,0.6914306282997131,67.9024429321289,-0.21728515724794803,1.1188364170124063,-90.68306103246981,1.0576292,-5.611593,-3.7996643,-69.55629,60.747814,-40.65418,4.441759,11.512255,8.438975,1.4820161,71.099174,33.802803,40.03254,7.5621357,-2.0789716,-2.9428577,2.3987865,-0.38481164,5.037022,8.563081,12.700901,-12.732254,-7.019103,0.9059933,-6.096552,-10.734954,10.926591,-11.938649,9.367646
8,1.4067898988723755,0.7020719051361084,67.9178237915039,-0.22795283627964602,1.2709310698132152,-90.65617302716402,1.0969126,-5.8218327,-3.7911732,-69.53909,61.1519,-40.883347,4.772087,11.598672,8.339566,1.6190853,70.92945,33.05719,40.49263,7.1365743,-1.8040857,-3.1446702,2.4322584,-0.76310015,5.0194893,8.481424,13.006931,-12.82581,-6.965754,0.7191084,-6.1399455,-10.794428,10.942857,-11.9049015,9.408814
9,1.4527702331542969,0.7075455188751221,67.93582153320312,-0.24173644781159526,1.4386680805419365,-90.63141029639539,1.1294253,-6.0368576,-3.7685862,-69.5252,61.505653,-41.175564,5.2608805,11.7278385,8.148562,1.7148237,70.7982,32.423157,40.907967,6.6565447,-1.5116298,-3.4113314,2.4750402,-1.1479815,4.9956503,8.392837,13.294395,-12.911693,-6.905942,0.5369247,-6.1836553,-10.861714,10.925869,-11.855172,9.458269
