Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
0,0.5141529440879822,1.314828872680664,68.02269744873047,-0.2948036580451333,0.9315610091332249,-92.9291587410481,4.2494416,-6.332108,-2.3170147,-71.689476,45.21037,-35.102776,9.11715,2.1562884,8.6480465,0.6471277,69.27523,39.790356,32.85813,-10.182451,-2.164806,-4.6302905,4.3357577,-1.2109598,4.02284,16.89597,11.088531,-10.831586,-4.1468873,-0.7161657,-4.927738,-11.308851,11.273222,-10.278819,4.980016
1,0.517408549785614,1.3137671947479248,68.02310180664062,-0.29916238893739355,0.935891244996007,-92.93108602421101,4.237477,-6.4102187,-2.3448122,-71.69702,45.198498,-35.045033,9.09662,2.1272695,8.58868,0.62229115,69.26584,39.92979,32.929787,-9.977016,-2.2417104,-4.60123,4.337929,-1.2227302,4.02778,16.885798,11.10421,-10.845085,-4.161776,-0.7272405,-4.9236703,-11.289685,11.28618,-10.297661,4.997995
2,0.5164629220962524,1.3141039609909058,68.02165222167969,-0.3040399241875626,0.9401245982687342,-92.93266009889325,4.2259154,-6.486369,-2.379155,-71.6987,45.18038,-34.979668,9.069089,2.092937,8.531024,0.56720966,69.24598,40.14156,32.967934,-9.84903,-2.3102686,-4.5871716,4.3411145,-1.2344346,4.036733,16.87436,11.116814,-10.854337,-4.1806417,-0.7378464,-4.9161434,-11.27146,11.297349,-10.31534,5.011963
3,0.5141233801841736,1.3177990913391113,68.01934051513672,-0.3077492040811357,0.9449013121801136,-92.93539084536908,4.214106,-6.56671,-2.4201376,-71.68974,45.182396,-34.930363,9.0385,2.063341,8.447962,0.46803597,69.21547,40.414227,33.000603,-9.755808,-2.376361,-4.558194,4.342673,-1.2492588,4.0459604,16.865246,11.130527,-10.861707,-4.1981306,-0.752951,-4.9086714,-11.251436,11.3095665,-10.330786,5.0257897
4,0.5133042931556702,1.3182510137557983,68.01644134521484,-0.3135194400733096,0.9503200864911492,-92.94095326975363,4.201414,-6.657473,-2.4572039,-71.658676,45.22133,-34.934498,9.015425,2.0496585,8.309849,0.34693342,69.176094,40.714993,33.084373,-9.635941,-2.4468546,-4.4999394,4.3398824,-1.2628466,4.0569158,16.86242,11.14914,-10.875763,-4.212125,-0.7683016,-4.8998795,-11.22771,11.322474,-10.348715,5.0436125
5,0.5125823616981506,1.3166166543960571,68.01248168945312,-0.3225562548305807,0.9573586465404609,-92.94802674231538,4.184881,-6.7612147,-2.4898698,-71.59978,45.27967,-34.982033,8.935217,2.036246,8.099642,0.20454197,69.125824,41.046562,33.198437,-9.546767,-2.5191557,-4.3979287,4.333506,-1.278883,4.0720334,16.862555,11.175003,-10.89581,-4.2212586,-0.78682613,-4.8879848,-11.203322,11.3386965,-10.370503,5.0669184
6,0.5124412775039673,1.3136945962905884,68.00885009765625,-0.33397376570026,0.9655575077976839,-92.95629443709396,4.165784,-6.874342,-2.5175653,-71.51448,45.355286,-35.06943,8.81383,2.025436,7.835724,0.04118074,69.06596,41.4091,33.33328,-9.48404,-2.592587,-4.264145,4.324454,-1.2988383,4.090535,16.86487,11.209208,-10.921284,-4.2263293,-0.80763596,-4.8742747,-11.178295,11.356671,-10.39423,5.0943465
7,0.5105300545692444,1.314009666442871,68.00438690185547,-0.34476846355124874,0.9731703323863666,-92.96876475594154,4.1498075,-6.994346,-2.544576,-71.402596,45.492344,-35.231613,8.778606,2.0514162,7.5356374,-0.14403507,68.9869,41.829117,33.553673,-9.353685,-2.6735268,-4.1300983,4.310269,-1.3186438,4.1110163,16.876862,11.244745,-10.947086,-4.231666,-0.83322686,-4.859299,-11.145318,11.375352,-10.414456,5.1188025
8,0.5075140595436096,1.3162050247192383,67.99933624267578,-0.3539332997902696,0.9787160040521049,-92.9885259658438,4.1426516,-7.1194253,-2.5793328,-71.26394,45.740807,-35.497807,8.951216,2.1446047,7.2163515,-0.35186037,68.873856,42.338047,33.929558,-9.067087,-2.7695959,-4.0255227,4.288484,-1.3330673,4.1323023,16.90627,11.27865,-10.974143,-4.241144,-0.8627498,-4.8443074,-11.097235,11.394944,-10.429799,5.1358814
9,0.5016700625419617,1.3214666843414307,67.99397277832031,-0.3611315000293426,0.9766233789876017,-93.01438618627013,4.1466484,-7.2440968,-2.6280987,-71.10811,46.134174,-35.860462,9.353082,2.3096313,6.8286843,-0.58245593,68.723854,42.976963,34.459755,-8.637012,-2.8773413,-3.9466867,4.2557554,-1.3347591,4.155394,16.956367,11.309568,-11.002767,-4.256621,-0.8916721,-4.8279705,-11.031085,11.415369,-10.440443,5.143098
