Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
0,-0.019222497940063477,1.9570622444152832,67.74691009521484,0.12932642913967857,-0.5842939557356445,-93.44990823288116,5.1256866,-0.7845208,-6.6501594,-75.195175,61.57114,-39.362377,4.035253,8.305038,-0.17444755,-2.7612545,67.523186,51.900948,43.04966,-23.411386,-10.75174,-12.750241,1.6039088,2.6617894,3.6016319,14.493441,10.794697,-9.714129,-5.7978005,3.5146544,-5.612616,-23.149174,11.097119,-13.300956,7.6942153
1,-0.02585269883275032,1.9621394872665405,67.7556381225586,0.12091678808345713,-0.5256858088009762,-93.40271777751244,5.0636296,-0.4335414,-6.7716403,-75.31083,61.62384,-39.197243,3.9767437,8.264456,-0.15155569,-2.8138313,67.56209,51.952583,42.983017,-23.412407,-10.732644,-12.767871,1.6079421,2.564713,3.6160028,14.441896,10.805233,-9.690238,-5.7942247,3.454213,-5.598282,-23.198229,11.0932865,-13.292982,7.687857
2,-0.034618400037288666,1.9672621488571167,67.7645492553711,0.11308539954799979,-0.46818067097671173,-93.35627042746856,5.0036006,-0.08527711,-6.8801413,-75.4028,61.668312,-39.06436,3.9209309,8.229254,-0.13382006,-2.8589427,67.59304,52.00077,42.928658,-23.416182,-10.713236,-12.788491,1.6120461,2.4822829,3.6281304,14.391773,10.800254,-9.664259,-5.792334,3.3941166,-5.582638,-23.246645,11.08994,-13.285585,7.6795554
3,-0.041341524571180344,1.973492980003357,67.7738037109375,0.10428788011851005,-0.4087042041277858,-93.30848905181269,4.939573,0.26972365,-6.954354,-75.458176,61.688614,-38.99705,3.8879654,8.209154,-0.11525318,-2.8884056,67.61166,52.037525,42.901314,-23.407623,-10.704242,-12.805759,1.6158729,2.385827,3.6421413,14.339882,10.803207,-9.634471,-5.788648,3.3311887,-5.567837,-23.295881,11.086637,-13.276718,7.6723895
4,-0.04748164117336273,1.9820295572280884,67.78459167480469,0.09520085548776415,-0.34416359564400345,-93.25705525904168,4.865386,0.6415927,-7.0054064,-75.491356,61.68979,-38.9751,3.8786712,8.194702,-0.08939017,-2.90754,67.62318,52.06862,42.896027,-23.380947,-10.708347,-12.81343,1.6182998,2.2893481,3.6533873,14.286033,10.793264,-9.597871,-5.783569,3.259416,-5.5537844,-23.346584,11.083843,-13.264402,7.6642942
5,-0.05608268454670906,1.9912272691726685,67.79552459716797,0.08188231911787551,-0.27600717263150876,-93.20288096324731,4.7782645,1.0357987,-7.078216,-75.53759,61.687984,-38.90869,3.8818994,8.1621475,-0.07831697,-2.935456,67.63969,52.124672,42.878193,-23.355423,-10.7173395,-12.809916,1.6208947,2.1771212,3.6740103,14.228384,10.801276,-9.566774,-5.781503,3.182436,-5.5322647,-23.399395,11.082012,-13.252917,7.652038
6,-0.06597118824720383,2.005033254623413,67.8070068359375,0.06640320704630122,-0.20517819127257045,-93.14651077100203,4.6814528,1.4455627,-7.1092577,-75.55647,61.670403,-38.916664,3.9123428,8.151677,-0.044846684,-2.9470456,67.64743,52.15978,42.894703,-23.297571,-10.749115,-12.792037,1.6232685,2.0559926,3.6984448,14.168311,10.800747,-9.521075,-5.7801137,3.098286,-5.506409,-23.453278,11.079807,-13.237834,7.6356235
7,-0.07212259620428085,2.018169403076172,67.81982421875,0.051887397296109326,-0.12775610121430742,-93.0858598776994,4.5780554,1.8647069,-7.1414433,-75.57372,61.6397,-38.92553,3.9503016,8.138321,-0.015722224,-2.9587538,67.65548,52.20313,42.910873,-23.242306,-10.780296,-12.77522,1.6228126,1.9368558,3.7150862,14.107321,10.795221,-9.480588,-5.7744446,3.005408,-5.487119,-23.50836,11.079455,-13.220347,7.623219
8,-0.07891175150871277,2.031538963317871,67.83378601074219,0.040423478813777274,-0.03977774956322372,-93.01839703170852,4.4710617,2.2892814,-7.17877,-75.58897,61.600006,-38.927643,3.9801424,8.114867,0.007825939,-2.971752,67.66312,52.260654,42.919777,-23.206598,-10.798342,-12.773476,1.6169255,1.792159,3.7306325,14.043696,10.80726,-9.44258,-5.767032,2.9005458,-5.471918,-23.564915,11.0789175,-13.200816,7.611006
9,-0.09469201415777206,2.0482399463653564,67.8497543334961,0.03507665190562745,0.060368842529330516,-92.94131023291574,4.381806,2.631694,-7.1895823,-75.591095,61.586582,-38.972553,3.9738905,8.0952425,0.07679995,-2.9743233,67.66506,52.282776,42.947372,-23.145864,-10.825536,-12.769246,1.6023513,1.638449,3.7431753,13.97884,10.803219,-9.390805,-5.7630544,2.7774935,-5.4564757,-23.622202,11.079262,-13.17907,7.5904384
