Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
0,0.011733045801520348,1.3138175010681152,68.07974243164062,0.5541494632340659,0.7938336862097795,-90.29045831141471,3.1717002,-7.3026857,1.1941632,-69.71164,29.562355,-23.367884,-15.024991,-0.5051401,-1.6428322,0.73075837,71.786674,16.653751,27.373867,4.645472,-1.1811911,-6.159579,1.5707225,-1.9482311,1.4928513,8.957826,10.839307,-9.702607,-2.746429,-2.6024623,-3.13381,-7.1331267,12.73824,-11.634481,2.8049672
1,0.013720151036977768,1.3144317865371704,68.07994842529297,0.5496418269314344,0.7923452898104372,-90.30125269298227,3.1732705,-7.30832,1.2102911,-69.70575,29.560074,-23.369461,-15.050923,-0.51092887,-1.6365963,0.730421,71.79484,16.65195,27.371197,4.67246,-1.178511,-6.163062,1.5797621,-1.9453733,1.4972183,8.95884,10.83874,-9.703383,-2.7462766,-2.5855494,-3.1270087,-7.1328096,12.708055,-11.620025,2.8046722
2,0.014569424092769623,1.3135790824890137,68.08002471923828,0.5467329991392966,0.7910300986443978,-90.31302042754257,3.1746805,-7.314765,1.2146475,-69.70376,29.560614,-23.36348,-15.079296,-0.51466775,-1.6310169,0.7303089,71.797,16.653261,27.370625,4.697106,-1.1754012,-6.1632586,1.589843,-1.9439938,1.5015274,8.959736,10.839654,-9.704099,-2.7472515,-2.5717828,-3.1213713,-7.1323166,12.686194,-11.610948,2.803667
3,0.014560401439666748,1.3140678405761719,68.07979583740234,0.5447009093885976,0.7895332129565068,-90.32275920359228,3.1762803,-7.3207417,1.2216858,-69.70009,29.564182,-23.357592,-15.106872,-0.5189469,-1.6259931,0.7301344,71.80049,16.655745,27.36862,4.71649,-1.172464,-6.165812,1.5978488,-1.9413106,1.5050088,8.960834,10.839166,-9.704495,-2.748474,-2.5672362,-3.117182,-7.131227,12.679086,-11.607222,2.8020713
4,0.013060832396149635,1.3146430253982544,68.07937622070312,0.5437565944169204,0.7874984500599187,-90.32728154815058,3.177042,-7.3188596,1.2369024,-69.69127,29.57218,-23.363737,-15.131196,-0.51823753,-1.6203576,0.7297561,71.8073,16.657803,27.363146,4.726395,-1.1700007,-6.173405,1.6005604,-1.9395434,1.5083454,8.9621935,10.839364,-9.703994,-2.7505376,-2.5665894,-3.1139145,-7.1297145,12.68098,-11.60811,2.7997112
5,0.011631764471530914,1.3141859769821167,68.07876586914062,0.5472912794468341,0.7845273739974576,-90.32324334812441,3.1760483,-7.3079715,1.2450619,-69.68648,29.57481,-23.362045,-15.135852,-0.51353425,-1.6214558,0.72984,71.81046,16.656,27.35527,4.7222133,-1.1692674,-6.1797996,1.5944645,-1.9350642,1.5052809,8.964497,10.839054,-9.704965,-2.7509158,-2.5746377,-3.118537,-7.126897,12.702662,-11.618722,2.7996252
6,0.008542545139789581,1.3138808012008667,68.07804107666016,0.5542533366776683,0.7808619757395697,-90.31327358308502,3.1736476,-7.2862906,1.2626474,-69.67653,29.57647,-23.372473,-15.133586,-0.5057061,-1.6240661,0.73107886,71.81611,16.648317,27.34368,4.712633,-1.1687062,-6.188896,1.5821898,-1.9293456,1.4991138,8.967455,10.839154,-9.706805,-2.7516348,-2.5915475,-3.1274529,-7.123025,12.742291,-11.637643,2.7992887
7,0.007042789366096258,1.3133161067962646,68.07750701904297,0.5606624841964365,0.7773444415619879,-90.30248137575136,3.172051,-7.2614365,1.2732533,-69.67067,29.576763,-23.382887,-15.122906,-0.488012,-1.6260942,0.73243386,71.81887,16.638086,27.333544,4.7001963,-1.166218,-6.1951766,1.569462,-1.9234879,1.4918023,8.970123,10.838362,-9.708306,-2.7508836,-2.6042137,-3.137019,-7.1197157,12.774436,-11.653288,2.8006124
8,0.005214125849306583,1.3138670921325684,68.0772933959961,0.5652998785880498,0.7751708675251058,-90.29624945891952,3.173333,-7.2472467,1.2856742,-69.66383,29.575531,-23.386263,-15.108809,-0.48000363,-1.6292179,0.73446244,71.82159,16.62616,27.32792,4.690211,-1.1596717,-6.19851,1.5620444,-1.9207997,1.4874189,8.971698,10.837861,-9.708139,-2.751136,-2.6154234,-3.1430998,-7.117576,12.799041,-11.664385,2.8005085
9,0.003883778117597103,1.3124175071716309,68.0768814086914,0.5668603507575029,0.7747204014507593,-90.29623149658984,3.1802046,-7.2369785,1.2939681,-69.658936,29.573997,-23.388916,-15.086574,-0.46979442,-1.6316324,0.7355482,71.8233,16.616081,27.325756,4.6774583,-1.1435401,-6.1995773,1.5618248,-1.9183168,1.486847,8.971847,10.837702,-9.709736,-2.752667,-2.620746,-3.1445992,-7.1172776,12.813007,-11.672586,2.7997038
