Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,AAHead_yaw,Head_pitch,Left_Shoulder_Pitch,Left_Shoulder_Roll,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist_Pitch,Left_Wrist_Yaw,Left_Hand_Roll,Right_Shoulder_Pitch,Right_Shoulder_Roll,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist_Pitch,Right_Wrist_Yaw,Right_Hand_Roll,Waist,Left_Hip_Pitch,Left_Hip_Roll,Left_Hip_Yaw,Left_Knee_Pitch,Left_Ankle_Pitch,Left_Ankle_Roll,Right_Hip_Pitch,Right_Hip_Roll,Right_Hip_Yaw,Right_Knee_Pitch,Right_Ankle_Pitch,Right_Ankle_Roll
0,0.6207054853439331,0.7949855327606201,67.43241119384766,-0.4008303080861722,2.2520286502457574,-95.40364339541,1.042042,-11.755125,3.8993752,-66.98215,43.154125,-49.208088,5.6767464,7.9623036,3.6001909,-0.82132685,72.53263,37.589863,40.163216,2.299069,0.7526489,-5.735629,3.9196584,-1.9646641,4.635438,8.276556,11.908848,-9.975925,-5.319956,0.73460555,-6.1946216,-20.285595,11.089928,-14.111241,10.27176
1,0.6251274347305298,0.7860027551651001,67.43110656738281,-0.4090683219344769,2.2673408140707845,-95.43507784243666,1.1077162,-11.815295,3.9060044,-66.98048,43.10924,-49.234905,5.678463,7.931584,3.5703185,-0.8478787,72.548195,37.573685,40.133354,2.318624,0.7531779,-5.7614403,3.9349213,-2.0358653,4.649539,8.279422,12.02707,-10.036102,-5.3173766,0.71815944,-6.1897492,-20.268314,11.092429,-14.11792,10.275691
2,0.6310208439826965,0.7826756834983826,67.42911529541016,-0.4186601173255667,2.2816055483091375,-95.46537701022409,1.1736468,-11.87197,3.9231017,-66.97754,43.033154,-49.270195,5.7103486,7.9026575,3.519749,-0.8808959,72.56601,37.546448,40.104828,2.3484056,0.74640316,-5.776701,3.9444375,-2.1180596,4.665689,8.284864,12.161508,-10.100161,-5.3147855,0.69627994,-6.184247,-20.244583,11.093595,-14.117616,10.278006
3,0.644568920135498,0.7823020219802856,67.42759704589844,-0.42872901092283744,2.298081499659445,-95.49820891193013,1.2391132,-11.935621,3.9517953,-66.972374,42.94456,-49.319996,5.7399764,7.872372,3.4752722,-0.9157296,72.58298,37.514507,40.07077,2.378045,0.7455074,-5.7886057,3.9657388,-2.2222733,4.6774335,8.281812,12.323225,-10.173434,-5.303099,0.67351264,-6.185698,-20.232643,11.091523,-14.111727,10.28759
4,0.6607241034507751,0.7791463136672974,67.42520141601562,-0.43792713768265085,2.3198986176301064,-95.53740279817454,1.3034712,-12.013757,3.9948862,-66.961975,42.849953,-49.39331,5.739952,7.837447,3.4562457,-0.9524485,72.59692,37.474182,40.032402,2.4026513,0.75489205,-5.7961044,4.0163255,-2.3656504,4.688048,8.258315,12.541107,-10.271361,-5.2825813,0.6512533,-6.1938443,-20.2502,11.09681,-14.113982,10.304349
5,0.6856299042701721,0.772375226020813,67.42289733886719,-0.4479750852717389,2.3510585384112472,-95.58901647903174,1.3722992,-12.111631,4.0460005,-66.94447,42.76147,-49.477303,5.6674485,7.7845216,3.4934797,-0.9862802,72.604004,37.428547,40.004955,2.4257784,0.7713598,-5.798086,4.1104217,-2.5578375,4.6944385,8.208354,12.821314,-10.396198,-5.246946,0.63847464,-6.208956,-20.309591,11.088061,-14.11385,10.334202
6,0.7161393761634827,0.7554542422294617,67.41905975341797,-0.4593018708065408,2.388661986041544,-95.64955369853655,1.4441417,-12.223304,4.151686,-66.89858,42.622135,-49.64291,5.5850825,7.7391315,3.5466397,-1.041325,72.61025,37.370464,39.952614,2.4534943,0.80538857,-5.7759614,4.2352176,-2.7867107,4.699527,8.139485,13.161166,-10.553185,-5.202094,0.62752354,-6.232956,-20.398005,11.09405,-14.130555,10.375789
7,0.7515581846237183,0.7323559522628784,67.41566467285156,-0.46908663688950597,2.426453993187914,-95.7077135585285,1.5073574,-12.342787,4.231059,-66.86019,42.530792,-49.78157,5.473034,7.6866474,3.612179,-1.0758529,72.60765,37.31489,39.92024,2.4588373,0.8369582,-5.7748213,4.3692193,-3.006271,4.6948957,8.06191,13.488083,-10.707965,-5.1495295,0.6347861,-6.2616143,-20.501696,11.083887,-14.145296,10.426717
8,0.7887113094329834,0.7052116394042969,67.40966033935547,-0.4738550964869266,2.4584922999707617,-95.7523263904883,1.5506017,-12.464275,4.3499217,-66.802734,42.43308,-49.977577,5.4203253,7.653415,3.6348078,-1.1155077,72.593475,37.23999,39.875195,2.4405348,0.8681199,-5.776285,4.489874,-3.2163436,4.680671,7.9831076,13.817675,-10.868084,-5.0932417,0.6435408,-6.3031316,-20.602127,11.094337,-14.172436,10.484222
9,0.8271454572677612,0.6838887929916382,67.40333557128906,-0.4758821741396982,2.483654947099091,-95.78377289745877,1.5763206,-12.586798,4.449947,-66.75761,42.378284,-50.15796,5.416486,7.6314535,3.607967,-1.1383872,72.569214,37.158123,39.837467,2.3747938,0.89487886,-5.813102,4.6003127,-3.4125118,4.657738,7.900797,14.12764,-11.0138645,-5.0323772,0.6645469,-6.34626,-20.70191,11.087735,-14.186306,10.543313
10,0.8699772953987122,0.665473222732544,67.3956298828125,-0.47556742136366775,2.505054133765969,-95.80683946195767,1.5887326,-12.71342,4.5910764,-66.69685,42.320866,-50.393597,5.4600754,7.625798,3.550111,-1.1524973,72.51961,37.05327,39.8147,2.2778645,0.9190148,-5.851279,4.708867,-3.6181,4.6270156,7.8114896,14.457797,-11.165992,-4.9641685,0.68346876,-6.399936,-20.805906,11.093467,-14.202362,10.60847
11,0.9150097370147705,0.6370149850845337,67.38866424560547,-0.4708476490846726,2.522615359939091,-95.8172701848756,1.5790672,-12.841873,4.675289,-66.66541,42.313965,-50.565548,5.5027657,7.616348,3.4825594,-1.1524811,72.47693,36.955242,39.782272,2.1725934,0.94378597,-5.914952,4.803722,-3.776262,4.5822444,7.725417,14.724996,-11.299468,-4.892385,0.7242659,-6.459171,-20.90993,11.086211,-14.220409,10.681808
12,0.9618702530860901,0.6178140640258789,67.37993621826172,-0.46121554466470144,2.5361480438283412,-95.81074564835818,1.5386689,-12.970772,4.804904,-66.62074,42.303715,-50.791405,5.557669,7.6210513,3.4385705,-1.13516,72.3956,36.817707,39.771725,2.1016033,0.9649964,-5.9313726,4.8718467,-3.938417,4.529205,7.6454496,15.001694,-11.4362755,-4.8172555,0.74983954,-6.5309863,-21.001942,11.095537,-14.23391,10.756321
13,1.0055718421936035,0.5958724617958069,67.37171173095703,-0.44733946156040044,2.545392784928993,-95.78317217559854,1.4577123,-13.100511,4.9224873,-66.58447,42.312515,-51.004406,5.606394,7.627345,3.4208846,-1.1018177,72.30659,36.68469,39.758465,2.0564463,0.98924476,-5.9368916,4.901102,-4.0562596,4.468589,7.5820107,15.219679,-11.55575,-4.743436,0.7791946,-6.605636,-21.076664,11.1043215,-14.24747,10.830853
14,1.053831934928894,0.5788851380348206,67.36327362060547,-0.4308155934816145,2.5502442699262,-95.73784149990466,1.3433939,-13.231114,5.0281587,-66.55788,42.347507,-51.204403,5.6544003,7.636469,3.4198356,-1.0537922,72.208374,36.539238,39.744774,2.0321517,1.01554,-5.929596,4.901156,-4.15621,4.398011,7.5281777,15.413693,-11.666361,-4.663838,0.8112148,-6.6869326,-21.139923,11.101907,-14.246776,10.909717
15,1.1032297611236572,0.5572348833084106,67.35446166992188,-0.40683070987520364,2.551752003327166,-95.68150727570936,1.2126076,-13.361265,5.1263237,-66.54204,42.402084,-51.397232,5.7116685,7.6508503,3.412935,-0.9891634,72.09417,36.374393,39.736515,2.0210903,1.0356216,-5.9158244,4.892819,-4.2248507,4.3123155,7.472456,15.5648,-11.764099,-4.582107,0.8452275,-6.782798,-21.204674,11.116858,-14.257417,10.994909
16,1.1622992753982544,0.5335699915885925,67.34574127197266,-0.37426803740626396,2.5503725079650543,-95.62136559807077,1.0822116,-13.490978,5.206963,-66.54237,42.473488,-51.572243,5.7854843,7.6694574,3.3736203,-0.91895854,71.97403,36.194386,39.714333,2.0128202,1.0463359,-5.9104724,4.897482,-4.271344,4.2021017,7.4019036,15.678671,-11.847676,-4.4920564,0.89270335,-6.898883,-21.285608,11.128576,-14.266081,11.093752
17,1.2261321544647217,0.5077913403511047,67.33562469482422,-0.3344731273810442,2.5454502960322443,-95.55699745071065,0.9531571,-13.615916,5.277706,-66.560165,42.566227,-51.73924,5.889177,7.702183,3.2867486,-0.8396932,71.83937,35.995857,39.685963,2.0101998,1.0424212,-5.9039183,4.9194064,-4.300726,4.0728145,7.3116574,15.76537,-11.922072,-4.398326,0.95378774,-7.029674,-21.385887,11.1423025,-14.278787,11.202113
18,1.2926414012908936,0.4770469069480896,67.32554626464844,-0.28489652413614097,2.536924119380168,-95.48514006450795,0.81755924,-13.739171,5.338254,-66.5959,42.679077,-51.89491,6.0172067,7.745154,3.1685045,-0.75110054,71.691055,35.7821,39.652523,2.0135596,1.028382,-5.8938117,4.947578,-4.2922387,3.9227123,7.2102075,15.7941675,-11.9760475,-4.301711,1.0303041,-7.1753592,-21.499153,11.154999,-14.295389,11.319281
19,1.3617491722106934,0.4494529366493225,67.31391143798828,-0.2274437118037062,2.5262263248169163,-95.40945150470806,0.67924607,-13.864804,5.3865376,-66.648964,42.796265,-52.030792,6.1529202,7.781489,3.0472922,-0.65468824,71.528404,35.544796,39.615414,2.017961,1.0097358,-5.8882685,4.9808655,-4.276326,3.757195,7.0990357,15.807823,-12.020983,-4.2017612,1.105497,-7.336345,-21.621672,11.179077,-14.313293,11.441281
20,1.4373419284820557,0.4189401865005493,67.3033218383789,-0.16142350703900177,2.5148956408233234,-95.33353963250441,0.54206693,-13.998361,5.420108,-66.718475,42.90349,-52.137783,6.277991,7.79434,2.9525514,-0.5515422,71.35021,35.2703,39.577293,2.021242,0.99253625,-5.890753,5.018435,-4.2264476,3.569923,6.9835734,15.763678,-12.0404215,-4.095233,1.1916037,-7.5133486,-21.753887,11.19406,-14.32469,11.572849
21,1.514205813407898,0.38156622648239136,67.2913818359375,-0.08331264322348303,2.5060172479711422,-95.26155332045761,0.4095508,-14.145947,5.4358816,-66.78805,42.993534,-52.227978,6.3826904,7.774722,2.8885586,-0.4713566,71.19575,34.988304,39.475655,2.0111728,0.9824248,-5.9332466,5.0621214,-4.156488,3.3630638,6.8636327,15.689426,-12.049376,-3.9874635,1.2736385,-7.712774,-21.896069,11.232064,-14.351811,11.711784
22,1.5907797813415527,0.34772789478302,67.28010559082031,0.005087569802179065,2.49776727117054,-95.19027867560636,0.27842674,-14.304323,5.4329104,-66.93928,43.072784,-52.236244,6.5193677,7.727267,2.873454,-0.2911306,70.89775,34.583496,39.56646,2.0088615,0.9212723,-5.899742,5.1122184,-4.0618877,3.1383824,6.736429,15.563712,-12.0304165,-3.8786402,1.3603595,-7.923598,-22.05015,11.260245,-14.370639,11.852464
23,1.6738593578338623,0.3150123953819275,67.26596069335938,0.10031026764144825,2.484370812102414,-95.1126361396222,0.14373578,-14.461217,5.401751,-67.09377,43.15272,-52.21941,6.6379466,7.6712666,2.8455641,-0.11432643,70.61835,34.188583,39.613537,1.9959056,0.88549787,-5.914306,5.162767,-3.976775,2.9008703,6.6009817,15.464321,-12.022897,-3.7621236,1.4452895,-8.154191,-22.209187,11.309973,-14.391368,12.002355
24,1.7615599632263184,0.29399096965789795,67.24932861328125,0.19688068689899832,2.460023241530701,-95.02156339433971,-0.00010801516,-14.607255,5.349023,-67.25455,43.25105,-52.176777,6.7299547,7.622425,2.7994764,0.057296205,70.34249,33.75763,39.63348,2.0080054,0.89031106,-5.9291234,5.2092485,-3.9100866,2.6597679,6.455959,15.401101,-12.023269,-3.6368523,1.5383624,-8.388863,-22.36966,11.3527,-14.388121,12.154588
25,1.8487602472305298,0.27842187881469727,67.2307357788086,0.2971484721707038,2.4223081978042997,-94.91490907313104,-0.1570043,-14.745068,5.278777,-67.425735,43.362602,-52.11006,6.803307,7.5864725,2.728585,0.22652103,70.06638,33.285503,39.628723,2.0545604,0.9217345,-5.923887,5.2476535,-3.8453732,2.4150164,6.3036036,15.357889,-12.029236,-3.5065503,1.6425735,-8.627939,-22.530197,11.400239,-14.375727,12.307922
26,1.9361112117767334,0.26458650827407837,67.2204818725586,0.40145151652379785,2.3744024430598487,-94.79650491911178,-0.32313123,-14.879358,5.1925635,-67.60923,43.481503,-52.01929,6.862005,7.5549417,2.6440697,0.39477614,69.78621,32.774307,39.604248,2.1265256,0.97334033,-5.9069715,5.2813334,-3.6596673,2.1509104,6.148376,15.104399,-11.936617,-3.3712432,1.7476952,-8.880514,-22.693298,11.456243,-14.341862,12.468768
27,2.032275438308716,0.2510380148887634,67.21273803710938,0.5032882531451236,2.3185725165452964,-94.66796974092335,-0.49218217,-14.998002,5.0893703,-67.797485,43.613758,-51.90683,6.894748,7.522501,2.5518806,0.5617937,69.4956,32.234573,39.570267,2.203052,1.077658,-5.913615,5.315971,-3.4375658,1.8792601,5.9831944,14.794728,-11.817388,-3.2261856,1.853357,-9.136536,-22.861002,11.517772,-14.229774,12.640395
28,2.127795934677124,0.23815520107746124,67.20623016357422,0.5949891420234096,2.2570659729234683,-94.53100862273557,-0.6580666,-15.088154,4.9674883,-67.9785,43.769,-51.777912,6.8849273,7.484217,2.458131,0.7264656,69.18738,31.679754,39.536022,2.2597747,1.2672008,-5.978977,5.3572345,-3.2131999,1.6207898,5.802906,14.484947,-11.694846,-3.080675,1.9529753,-9.387118,-23.028057,11.583136,-13.936768,12.821557
29,2.2239186763763428,0.2315416932106018,67.201904296875,0.6750788972769544,2.1910030272662975,-94.38570011020414,-0.82138115,-15.154087,4.825138,-68.143425,43.95702,-51.637085,6.792103,7.4319115,2.3584728,0.8903938,68.855545,31.121553,39.50195,2.286585,1.5736036,-6.1263914,5.408537,-2.998008,1.3751789,5.602939,14.184244,-11.569018,-2.9298933,1.6095821,-9.823905,-23.111963,12.513618,-13.732733,13.0182
30,2.3247246742248535,0.2194482833147049,67.19969940185547,0.7467892921993444,2.1189986255621207,-94.23132122344488,-0.9846003,-15.198792,4.663477,-68.29278,44.175285,-51.486748,6.628777,7.371191,2.2513978,1.055101,68.499596,30.554613,39.467155,2.2925088,1.9715618,-6.3322825,5.4662704,-2.7569158,1.1336209,5.3871326,13.848536,-11.429316,-2.7722452,0.62877876,-10.534357,-23.051342,14.689689,-13.691936,13.226885
31,2.43023681640625,0.2086542546749115,67.19615936279297,0.8101408122596223,2.0398382008688554,-94.06853342270857,-1.1442124,-15.212864,4.4861617,-68.4292,44.41354,-51.3293,6.460693,7.3181453,2.1470747,1.2180935,68.12152,29.965141,39.43684,2.2857785,2.4085667,-6.561498,5.525896,-2.5261312,0.90286994,5.162784,13.542817,-11.30094,-2.614309,-0.32046512,-11.213829,-22.937021,16.777254,-13.158598,13.419954
32,2.5326614379882812,0.20212121307849884,67.1941909790039,0.8643719389582805,1.9525676780097352,-93.89801039927804,-1.2968168,-15.183242,4.2985773,-68.55624,44.659447,-51.16715,6.3558593,7.2883,2.0558927,1.3737862,67.724625,29.340015,39.412453,2.2739506,2.8325155,-6.778926,5.582676,-2.2839465,0.6905538,4.93794,13.2271185,-11.162248,-2.4692662,-1.2523832,-11.857615,-22.75704,18.79712,-12.1812315,13.578977
33,2.626741409301758,0.2016667276620865,67.18877410888672,0.9089783851966838,1.856767001955012,-93.71882683557506,-1.4421214,-15.115737,4.103327,-68.67732,44.911304,-51.001938,6.3443184,7.2871113,1.9870566,1.5173948,67.31241,28.672907,39.381626,2.2637799,3.2596,-6.9870653,5.63107,-2.0747395,0.50464886,4.7166495,12.982053,-11.0477495,-2.3439865,-2.1691456,-12.466353,-22.496151,20.751722,-10.841626,13.711161
34,2.7219061851501465,0.19603930413722992,67.18250274658203,0.9460879689720864,1.7532528486840482,-93.53072539374656,-1.5816662,-15.013542,3.9005659,-68.79208,45.170593,-50.832603,6.3912797,7.305837,1.9328965,1.6477185,66.88717,27.972935,39.338753,2.2503023,3.7098389,-7.200302,5.6747937,-1.8510224,0.33067316,4.495185,12.732171,-10.932607,-2.2270594,-3.0962574,-13.055567,-22.176186,22.70721,-9.364573,13.8193865
35,2.8119306564331055,0.1864369958639145,67.17939758300781,0.9685551132351721,1.6411870472321262,-93.3358463687199,-1.7150242,-14.862382,3.6927135,-68.89652,45.430965,-50.66038,6.4659295,7.338967,1.8785092,1.764279,66.44945,27.249075,39.29627,2.2241056,4.136181,-7.40133,5.723078,-1.5924644,0.17986162,4.2670455,12.436617,-10.7972555,-2.1213412,-4.0250916,-13.6258,-21.869307,24.673935,-8.042416,13.870593
36,2.905360460281372,0.17411746084690094,67.17736053466797,0.9754844958944741,1.520390279101024,-93.13631747589102,-1.8416942,-14.648772,3.4841394,-68.98407,45.684628,-50.48981,6.5376205,7.381606,1.8085258,1.8668519,65.99702,26.510817,39.26861,2.1749208,4.490363,-7.5729804,5.7852902,-1.3296655,0.050361775,4.026411,12.1503315,-10.667729,-2.0169973,-4.9330153,-14.172482,-21.639486,26.626797,-7.0092387,13.828357
37,2.9949376583099365,0.16504451632499695,67.1737289428711,0.9689046752197443,1.3854280144298872,-92.9358184680965,-1.9546521,-14.35422,3.2805042,-69.051575,45.925438,-50.32256,6.590322,7.4342227,1.7084163,1.9558666,65.5303,25.756807,39.26202,2.098957,4.750125,-7.7067733,5.85658,-1.0818269,-0.051085558,3.7865849,11.916852,-10.562351,-1.9201144,-5.8144703,-14.693255,-21.4598,28.546104,-5.997616,13.703582
38,3.080242395401001,0.15610791742801666,67.1749267578125,0.9484774658005345,1.2383349900142473,-92.7324233318607,-2.0569403,-13.99083,3.0842175,-69.097824,46.15519,-50.165607,6.645032,7.500079,1.5889288,2.0306592,65.04896,24.983315,39.268055,2.0020628,4.9439054,-7.812914,5.9345636,-0.7831489,-0.13001661,3.5461724,11.611914,-10.424475,-1.8319457,-6.692771,-15.201551,-21.302412,30.470715,-4.926642,13.505162
39,3.1647350788116455,0.13460665941238403,67.17926788330078,0.9088138327218556,1.0898696935176577,-92.51941249435117,-2.163296,-13.590818,2.893975,-69.11855,46.379852,-50.032112,6.724791,7.5785527,1.4727516,2.089851,64.55294,24.199127,39.278465,1.8802272,5.1005735,-7.899976,6.032253,-0.52697754,-0.17994015,3.2768512,11.394345,-10.3309555,-1.7486876,-7.562596,-15.695828,-21.210247,32.39343,-3.9405549,13.191365
40,3.24739933013916,0.1095898449420929,67.1886215209961,0.8418655316876905,0.9508696718059635,-92.29015638234362,-2.2883334,-13.187749,2.706442,-69.108345,46.607117,-49.93441,6.8501997,7.6684732,1.3822992,2.1313808,64.040985,23.413996,39.283672,1.7296436,5.2489843,-7.977074,6.162741,-0.4016569,-0.19170149,2.9503398,11.382641,-10.323257,-1.6688797,-8.411321,-16.176704,-21.226877,34.292973,-3.1761396,12.721764
41,3.334566116333008,0.07912516593933105,67.20093536376953,0.7444294371360511,0.8204898042869757,-92.04617243215952,-2.429152,-12.778092,2.5212903,-69.06443,46.845097,-49.88094,7.0484934,7.778605,1.312094,2.1536639,63.514206,22.639202,39.281784,1.5260963,5.3830543,-8.039292,6.347056,-0.29933468,-0.17342643,2.543937,11.3747225,-10.306932,-1.5873454,-9.243949,-16.660843,-21.388544,36.212948,-2.666147,11.985232
42,3.4330434799194336,0.03697127103805542,67.2190170288086,0.6217783726523617,0.6947303222035944,-91.78979428062773,-2.5805488,-12.348141,2.3393538,-68.98684,47.089474,-49.86585,7.298777,7.906965,1.2532133,2.1560683,62.97258,21.86822,39.272945,1.2781084,5.4926314,-8.083758,6.572499,-0.20613906,-0.13406257,2.0781994,11.369757,-10.290663,-1.5000665,-10.050735,-17.146168,-21.665945,38.124626,-2.3287966,11.031535
43,3.5291028022766113,-0.01313239336013794,67.23770141601562,0.47847484802988105,0.5789276640096256,-91.515949480302,-2.7534318,-11.914289,2.1578736,-68.875046,47.33045,-49.879196,7.547636,8.036283,1.2231847,2.1389318,62.41518,21.085222,39.250767,1.0267079,5.6015,-8.120963,6.801764,-0.12417785,-0.06842299,1.5881345,11.3682165,-10.277562,-1.4186127,-10.785419,-17.593079,-22.006546,39.873425,-2.1158144,10.067013
44,3.6167514324188232,-0.06469860672950745,67.26143646240234,0.3218289841714147,0.4791897053722166,-91.21918009516332,-2.9586036,-11.490027,1.972423,-68.72876,47.55957,-49.908623,7.74054,8.14926,1.2403628,2.1033244,61.840954,20.27373,39.209618,0.81301224,5.733661,-8.16115,6.9973545,-0.058934677,0.01910625,1.1094123,11.369869,-10.267201,-1.3462429,-11.419355,-17.960655,-22.352257,41.335495,-1.9928683,9.304611
45,3.6920456886291504,-0.13305284082889557,67.2839126586914,0.14637784942033527,0.40008737257331883,-90.89512359703923,-3.2074215,-11.071241,1.7756608,-68.539474,47.795174,-49.94976,7.848897,8.23483,1.3299822,2.0499802,61.25394,19.43349,39.153133,0.6622523,5.906558,-8.206118,7.158078,-0.0047438988,0.13843536,0.63827634,11.375764,-10.271715,-1.287974,-11.929213,-18.236267,-22.736738,42.477478,-1.9879267,8.809684
46,3.7708516120910645,-0.21130628883838654,67.30841827392578,-0.049346987361592785,0.3381996950310247,-90.5474293502841,-3.4912643,-10.651531,1.5669621,-68.30649,48.040348,-50.008083,7.900221,8.304161,1.4760902,1.9788419,60.655273,18.568766,39.079327,0.5503178,6.1046977,-8.249915,7.300887,0.035143964,0.27810633,0.16031358,11.384719,-10.283793,-1.2307098,-12.343849,-18.437408,-23.171247,43.380383,-2.1105964,8.474004
47,3.844193696975708,-0.3002181649208069,67.33211517333984,-0.2519636087526111,0.2874000966163904,-90.18290487744679,-3.7907536,-10.24564,1.35482,-68.04629,48.259216,-50.084316,7.9298654,8.373098,1.6356442,1.8903338,60.03662,17.668182,38.975952,0.44618106,6.3029423,-8.290693,7.415782,0.072280355,0.43119562,-0.30631456,11.3962,-10.306468,-1.1809361,-12.705645,-18.559755,-23.569817,44.06956,-2.2808185,8.252272
