Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,0.843879759311676,2.4904866218566895,78.48463439941406,1.6518995207785547,-1.7710077681724814,-113.01767756466198,-3.7111557,9.376228,23.589062,6.8649693,0.5675432,-6.8040614,4.5209656,-6.6279225,-18.79994,10.560019,-12.798544,5.8053184,4.3286543,-1.4618052,12.419813,4.04605,17.053656,-23.096895,52.44789,10.810748,1.5005205,9.125492,-0.8730496,-19.40463,42.02325,49.390675,7.281413,2.1418512,-14.380409
1,0.8543127179145813,2.498649835586548,78.48367309570312,1.6113590206670025,-1.7545784433697713,-113.07166511472913,-3.732215,9.443095,23.64067,6.8856564,0.5682938,-6.813155,4.503327,-6.5659413,-18.7532,10.498492,-12.7432785,5.790386,4.3466473,-1.4043735,12.528074,4.0031047,17.196396,-23.360416,51.947613,10.774105,1.5684748,8.980037,-0.87429065,-19.617386,42.194145,48.60159,8.269524,2.4481943,-14.171374
2,0.866736650466919,2.515272855758667,78.48057556152344,1.5722156659075588,-1.7391455711169854,-113.12267837173968,-3.7583225,9.508009,23.689476,6.903703,0.5766108,-6.8203635,4.454379,-6.5144672,-18.705755,10.497682,-12.715421,5.7732882,4.367439,-1.3497387,12.62998,3.9430292,17.32701,-23.68315,51.495865,10.669999,1.6449772,8.870758,-0.90199506,-19.809896,42.428867,47.878532,9.323198,2.7500937,-14.009462
3,0.8796716332435608,2.5300323963165283,78.47657012939453,1.5300241416802889,-1.7218125495084493,-113.17964219774056,-3.7845666,9.577958,23.743217,6.923826,0.582768,-6.8280587,4.400897,-6.4598007,-18.652433,10.501009,-12.689264,5.756116,4.3829346,-1.2902489,12.731915,3.8553815,17.450052,-24.047564,51.04877,10.581925,1.7216655,8.78897,-0.96825075,-19.98528,42.705967,47.182137,10.380183,3.038169,-13.860286
4,0.8942083716392517,2.5550239086151123,78.47187805175781,1.4801403939330486,-1.6995490824155064,-113.25133561402473,-3.820736,9.663968,23.807817,6.946226,0.5963059,-6.8362093,4.322568,-6.3937926,-18.584566,10.519961,-12.660964,5.7311997,4.389835,-1.2194263,12.840646,3.7164478,17.570074,-24.472485,50.57749,10.566642,1.7916524,8.743192,-1.1051079,-20.14612,43.036907,46.494587,11.414411,3.2992208,-13.701519
5,0.9069049954414368,2.5808002948760986,78.46601867675781,1.4210539662021937,-1.6684091777563712,-113.33595074163804,-4.053601,9.852125,23.848154,7.4021754,0.38517243,-6.8499866,4.231645,-6.311952,-18.50485,10.534821,-12.627176,5.700702,4.3900657,-1.1373885,12.958562,3.5199838,17.690845,-24.98233,50.080044,10.6586275,1.8669807,8.750463,-1.3232051,-20.294302,43.444897,45.81985,12.399674,3.5273373,-13.555396
6,0.9206230640411377,2.6066040992736816,78.45912170410156,1.3552542348460168,-1.6310518012238562,-113.42998319374297,-4.3373804,10.071872,23.886429,7.963431,0.12033358,-6.864782,4.12887,-6.2212787,-18.41606,10.55263,-12.591391,5.6678224,4.382586,-1.0472044,13.080806,3.2797954,17.814875,-25.573204,49.567017,10.806554,1.9468443,8.803255,-1.5983833,-20.430899,43.923622,45.158394,13.357668,3.728378,-13.427157
7,0.9403862953186035,2.638261556625366,78.45174407958984,1.2837726620170893,-1.5948677259232087,-113.54041821431146,-4.6229863,10.303017,23.93669,8.531101,-0.14468908,-6.877626,4.0120726,-6.1249814,-18.311052,10.581561,-12.552753,5.6328397,4.36993,-0.9486827,13.207234,2.9986775,17.94465,-26.227274,49.02924,10.943493,2.006034,8.874834,-1.9358642,-20.556852,44.452377,44.498695,14.367864,3.9113302,-13.265265
8,0.9600879549980164,2.6757729053497314,78.44396209716797,1.207505168972637,-1.5671439766793678,-113.67377022440577,-4.8939567,10.54906,24.004568,9.096195,-0.40744376,-6.8945694,3.8935103,-6.017695,-18.185085,10.614489,-12.511458,5.5925255,4.351263,-0.8406495,13.338234,2.6781456,18.082167,-26.919836,48.45865,11.004886,2.0183272,8.935447,-2.3342543,-20.672083,45.001827,43.824863,15.495539,4.0881824,-13.017942
9,0.9778178930282593,2.7083284854888916,78.43466186523438,1.125346256912142,-1.5476604216036693,-113.83276766766156,-5.157459,10.818025,24.090258,9.695483,-0.6955298,-6.918691,3.782842,-5.8984923,-18.036156,10.644831,-12.470252,5.550632,4.326737,-0.7225182,13.476289,2.319628,18.228487,-27.649157,47.863586,11.032284,1.9709876,8.98296,-2.7893238,-20.775873,45.561035,43.128204,16.752401,4.278461,-12.6577015
