Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,0.6903168559074402,2.571537494659424,78.40081787109375,3.875382815120127,6.469472456458084,-108.32263764738437,4.4687457,-9.385422,24.846249,6.2552805,-8.376438,0.75156903,-16.245836,-18.402042,-0.787206,53.89795,-2.2735462,7.031241,1.0658495,-5.211094,8.010934,3.9131489,17.971441,-26.085796,52.045654,12.43685,1.8043854,8.123925,5.1288543,-21.317606,38.000137,49.269875,-0.680868,0.9172426,-16.049206
1,0.7847760915756226,2.3596489429473877,78.27422332763672,4.022940278332313,6.374928062269987,-108.39043434374904,4.7597804,-9.723554,24.824047,6.245779,-8.657168,0.7519079,-17.863178,-18.830061,-0.56961966,56.490917,-0.9624074,5.347202,0.9276392,-5.3495235,8.227048,3.824325,18.112228,-26.183746,50.983356,12.52454,1.8742074,7.7986,5.3087296,-21.581585,38.049595,48.917526,-0.6813729,0.911921,-16.03351
2,0.8870187997817993,2.1528377532958984,78.13813781738281,4.168699117443187,6.278932575708416,-108.45748861275376,5.051198,-10.061883,24.799206,6.233648,-8.925468,0.75478065,-19.514278,-19.306818,-0.34164777,59.158737,0.30728573,3.6416228,0.79804397,-5.4858747,8.445261,3.7127433,18.233812,-26.292011,49.956577,12.580816,1.9461396,7.4805875,5.4756365,-21.825665,38.09464,48.600372,-0.6884428,0.90493053,-16.026064
3,0.9863626956939697,1.9458266496658325,77.99287414550781,4.314089195689336,6.185719056493715,-108.52385206602759,5.3462214,-10.405038,24.773523,6.2171974,-9.213389,0.7601452,-21.178722,-19.820492,-0.13633443,61.787003,1.5085651,1.8165395,0.65289223,-5.621764,8.657581,3.5885017,18.340353,-26.402872,48.936203,12.699293,2.0192711,7.1791415,5.627059,-22.052715,38.130325,48.31002,-0.7077666,0.8905461,-16.00784
4,1.0880351066589355,1.7266981601715088,77.84201049804688,4.452845354589367,6.099117818683932,-108.58840814236494,5.648713,-10.750538,24.746675,6.1902146,-9.549251,0.76847863,-22.829422,-20.350246,0.00062358973,64.25835,2.6220372,-0.22168806,0.46763778,-5.751738,8.858297,3.4525058,18.43739,-26.508957,47.90029,12.971619,2.0892003,6.9002433,5.757594,-22.264372,38.15123,48.038456,-0.74337405,0.8626308,-15.959121
5,1.2064481973648071,1.4976160526275635,77.68621826171875,4.583053074218644,6.019069653372903,-108.66296726232194,5.9720974,-11.11229,24.717005,6.138788,-9.951443,0.79605114,-24.471159,-21.03743,-0.06408804,66.58208,3.8745868,-2.8618145,0.23495986,-5.8810806,9.041832,3.3263905,18.52909,-26.606918,46.823875,13.488051,2.153715,6.6407847,5.8619804,-22.462257,38.150436,47.787052,-0.80865186,0.798107,-15.840436
6,1.317946195602417,1.2512644529342651,77.51461791992188,4.707153167430291,5.94359290287817,-108.7436011987007,6.3137493,-11.48901,24.683784,6.0612288,-10.397546,0.84055036,-26.110147,-21.872572,-0.27580488,68.81089,5.1713834,-5.954492,-0.0320744,-6.010836,9.211633,3.2104192,18.61837,-26.697012,45.711754,14.180625,2.212902,6.392644,5.9474435,-22.647566,38.12955,47.55226,-0.8978787,0.70743096,-15.669831
7,1.4308305978775024,1.0041255950927734,77.34625244140625,4.827784725554332,5.874200176373775,-108.8065486470156,6.6497207,-11.850908,24.648855,5.9811,-10.858876,0.8671039,-27.715572,-22.541683,-0.38541338,70.88,6.072264,-8.719704,-0.3282658,-6.132846,9.37621,3.0692616,18.709723,-26.777775,44.595894,14.899858,2.265237,6.1551013,6.0291753,-22.820122,38.095753,47.321,-0.9930053,0.6352333,-15.518307
8,1.501384973526001,0.7660830020904541,77.16748046875,4.946672691198703,5.812595370111532,-108.82892060023003,6.9519343,-12.162331,24.617489,5.9319773,-11.311315,0.8380408,-29.249935,-22.656937,-0.13785942,72.70488,6.2220435,-10.312414,-0.6468595,-6.239227,9.544932,2.8657072,18.808567,-26.847542,43.511982,15.495274,2.3093755,5.927168,6.1217866,-22.977755,38.0604,47.077522,-1.0716453,0.6273676,-15.45858
9,1.5339757204055786,0.5391438603401184,77.00593566894531,5.083308897834357,5.754995426316121,-108.80314361307994,7.1960273,-12.4121895,24.620941,5.9478908,-11.767231,0.7035586,-30.68892,-21.915607,0.67296165,74.279015,5.3321953,-10.175827,-0.9918847,-6.350268,9.725746,2.588974,18.922358,-26.901808,42.45755,15.913389,2.3494732,5.7009273,6.2288013,-23.117409,38.03469,46.801655,-1.147327,0.7264039,-15.535367
