Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,0.18405981361865997,2.8131771087646484,78.50414276123047,1.0510065854751893,-1.1173165776043448,-92.840152029817,0.30911392,2.8076923,5.6210337,6.570567,-4.9588814,-3.4606657,-0.0868278,-5.328024,-9.577327,8.078561,-9.571394,3.1436028,-4.2551856,-1.086794,8.338142,6.2810903,17.040981,-22.02699,56.33264,27.743223,-4.201977,0.48536927,1.2635877,-12.167327,16.798363,60.990868,-26.364746,-4.025501,-12.423614
1,0.1748056560754776,2.8118059635162354,78.50411224365234,1.0603635415694654,-1.119708908936166,-92.84069319732103,0.31394476,2.8046386,5.622068,6.56898,-4.957491,-3.4680953,-0.106274076,-5.3349366,-9.574119,8.12994,-9.601941,3.1377697,-4.2434983,-1.1253765,8.34402,6.33992,17.176905,-22.093367,56.2013,27.666615,-4.2314873,0.4497434,1.2670236,-12.192945,16.842049,60.974693,-26.321749,-4.040299,-12.395375
2,0.1653500348329544,2.8137624263763428,78.5037841796875,1.0715477892337553,-1.1219843674994188,-92.84117006842482,0.31535894,2.7998068,5.623376,6.568241,-4.9534693,-3.4752638,-0.13865183,-5.3454056,-9.569559,8.202096,-9.640425,3.1315315,-4.236661,-1.1620609,8.348889,6.388285,17.292494,-22.149433,56.092667,27.604536,-4.2565713,0.42162213,1.2743639,-12.207154,16.87427,60.961117,-26.302347,-4.050278,-12.372645
3,0.16162855923175812,2.8130569458007812,78.5052490234375,1.0799530508679482,-1.1245173926362617,-92.84177634527487,0.3195698,2.7933517,5.625098,6.567107,-4.9523864,-3.478047,-0.13753362,-5.35239,-9.567624,8.207474,-9.644801,3.130148,-4.2329936,-1.1944562,8.352517,6.429982,17.390856,-22.196142,56.000183,27.549343,-4.277726,0.3973839,1.2903618,-12.212418,16.894308,60.943924,-26.299715,-4.058221,-12.354508
4,0.15756480395793915,2.815138339996338,78.50544738769531,1.0838106897665674,-1.1272035735700126,-92.84251282575238,0.3212348,2.7927732,5.625575,6.566573,-4.9499836,-3.4811282,-0.14465599,-5.3544393,-9.56569,8.225189,-9.653298,3.1269393,-4.223465,-1.2211026,8.358169,6.4646072,17.474768,-22.236221,55.917446,27.498194,-4.294552,0.3742108,1.2883885,-12.211314,16.912773,60.94356,-26.28325,-4.0655065,-12.3401575
5,0.15238404273986816,2.8156301975250244,78.50462341308594,1.080618146669381,-1.1304857244902715,-92.84414541075923,0.32451633,2.801653,5.624789,6.5680404,-4.951835,-3.4852917,-0.14532699,-5.3460956,-9.564682,8.234049,-9.6592045,3.1214826,-4.212932,-1.2384368,8.36559,6.4921174,17.546377,-22.270544,55.843903,27.433582,-4.3074317,0.34825486,1.282118,-12.205303,16.931482,60.947716,-26.2556,-4.0737557,-12.332503
6,0.14402948319911957,2.8179354667663574,78.50321197509766,1.0718624505673118,-1.134255035734383,-92.84636893378601,0.32746145,2.8196955,5.622281,6.5694375,-4.953523,-3.4920802,-0.14331211,-5.327281,-9.564774,8.234697,-9.659871,3.1115434,-4.20304,-1.2486389,8.373178,6.5158715,17.607382,-22.298893,55.77787,27.361216,-4.317237,0.32123393,1.2801361,-12.195651,16.94832,60.94948,-26.225075,-4.0821304,-12.330342
7,0.13621239364147186,2.819345474243164,78.5029067993164,1.0631983636981484,-1.1377093537077227,-92.84773459921568,0.33014017,2.837023,5.619312,6.571272,-4.9557996,-3.498343,-0.126625,-5.3068867,-9.567055,8.205453,-9.645598,3.1022604,-4.19517,-1.256996,8.380182,6.535408,17.659403,-22.32276,55.720932,27.296444,-4.3251295,0.29747918,1.2791545,-12.183389,16.963633,60.949238,-26.195284,-4.08969,-12.33011
8,0.13591796159744263,2.8218886852264404,78.50312805175781,1.058866639908638,-1.1404998040541023,-92.84714193018948,0.33098474,2.8426661,5.616749,6.571696,-4.9553075,-3.4983888,-0.11349626,-5.2992983,-9.569358,8.180121,-9.630898,3.1005764,-4.193824,-1.2672659,8.384619,6.552514,17.701883,-22.34195,55.676212,27.254328,-4.3324122,0.2824739,1.2897842,-12.169355,16.974401,60.93697,-26.179045,-4.0958486,-12.329409
9,0.12912268936634064,2.8226678371429443,78.50376892089844,1.0635005449488615,-1.1422684037011177,-92.84295902047359,0.3308291,2.8418615,5.612221,6.5725174,-4.953526,-3.5028028,-0.11606752,-5.300708,-9.573513,8.191368,-9.6383705,3.0957656,-4.1936955,-1.2778373,8.389133,6.5580525,17.719883,-22.351765,55.6554,27.25917,-4.3384724,0.2816554,1.2875999,-12.161799,16.983059,60.927956,-26.162449,-4.0999756,-12.321988
