Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,0.7011734843254089,3.08158540725708,78.39134979248047,0.9209890060274104,-0.5869447711448117,-85.55276486573634,2.226456,2.0628712,24.567556,7.0743055,-9.588431,-1.7639847,2.8709972,-8.015661,-26.89984,8.783699,-9.179646,5.8511086,0.3923112,-0.7381687,5.007253,5.402484,12.595123,-8.39394,67.05237,0.6509381,1.0850497,-5.0874434,1.4715154,-11.488916,18.699913,64.22197,12.242823,10.413621,1.9633167
1,0.7296756505966187,3.0843610763549805,78.39103698730469,0.9315853739919223,-0.5839016381083574,-85.56131804087701,2.2248743,2.0255985,24.58048,7.072881,-9.599663,-1.7389988,2.8266926,-8.073981,-26.887186,8.8719015,-9.207559,5.8756332,0.43283582,-0.75322616,4.9864187,5.39121,12.674587,-8.340164,67.10875,0.6600706,1.0456785,-5.1202946,1.4897192,-11.55712,18.702003,64.275406,12.304188,10.34453,2.0061262
2,0.7526239156723022,3.091403007507324,78.38937377929688,0.9423465279114498,-0.5807584039735824,-85.56988534147129,2.2195377,1.9925119,24.59307,7.071449,-9.6057415,-1.7165164,2.7615025,-8.137293,-26.872416,9.001081,-9.255946,5.8950043,0.46966693,-0.7733968,4.9711814,5.382107,12.760381,-8.231031,67.15299,0.71573496,1.0077113,-5.185541,1.5011146,-11.62114,18.69118,64.328445,12.347046,10.275437,2.0612793
3,0.7735651135444641,3.0956225395202637,78.38732147216797,0.9522700196290205,-0.5779302670011257,-85.57850837291575,2.2161195,1.9624962,24.605114,7.0709314,-9.613253,-1.696754,2.698656,-8.197882,-26.857973,9.129998,-9.306811,5.913759,0.501645,-0.7971863,4.95792,5.3765097,12.852693,-8.087959,67.19852,0.7932652,0.9716641,-5.241046,1.5054883,-11.681886,18.669386,64.38823,12.38448,10.212834,2.1133895
4,0.7981252074241638,3.101602792739868,78.38456726074219,0.9603837511779003,-0.5761451839012117,-85.58733867332188,2.212349,1.9314827,24.617159,7.0718694,-9.622162,-1.6737777,2.632913,-8.26072,-26.842327,9.265221,-9.358803,5.9348536,0.5272261,-0.8233193,4.9460764,5.373407,12.9549,-7.913579,67.256966,0.8824427,0.93863827,-5.254051,1.5005374,-11.74181,18.627466,64.459946,12.420401,10.165852,2.154481
5,0.824575662612915,3.111353874206543,78.3819808959961,0.9658055532784908,-0.5764502290047567,-85.59560297473548,2.2064598,1.9022874,24.62818,7.0757785,-9.630688,-1.6482489,2.5691953,-8.321007,-26.827192,9.395464,-9.405991,5.9569135,0.54276615,-0.8515185,4.937052,5.374027,13.070092,-7.709187,67.33245,0.9781706,0.9090015,-5.2121954,1.4818592,-11.802588,18.556456,64.54594,12.454507,10.148014,2.1859486
6,0.850959300994873,3.114137887954712,78.3785171508789,0.9684558317124549,-0.5781646760721447,-85.60348881817107,2.2075262,1.8766475,24.637867,7.080793,-9.645041,-1.6258641,2.5156982,-8.376085,-26.813435,9.517375,-9.453976,5.9812107,0.5519892,-0.88227946,4.93093,5.378087,13.19907,-7.481226,67.41699,1.079428,0.88239974,-5.134531,1.454137,-11.864419,18.458563,64.639305,12.482524,10.1525545,2.2138264
7,0.878638505935669,3.118288278579712,78.3743896484375,0.9731402848781627,-0.5794429126827063,-85.6126230054157,2.2067482,1.8478698,24.648897,7.0869756,-9.659804,-1.6015136,2.452782,-8.43807,-26.79665,9.656861,-9.509265,6.0061703,0.5631848,-0.91695154,4.9247046,5.3828645,13.342858,-7.2319217,67.50441,1.1893046,0.85893,-5.037984,1.4288863,-11.928653,18.339167,64.732254,12.500254,10.15697,2.2366831
8,0.9095335602760315,3.1310360431671143,78.3708267211914,0.9794991824853745,-0.577919859734965,-85.62483479010608,2.196563,1.8141629,24.663317,7.0927963,-9.669464,-1.570985,2.372191,-8.508545,-26.774746,9.813002,-9.56478,6.029821,0.5841307,-0.957144,4.9157434,5.385668,13.50269,-6.961844,67.58867,1.3122245,0.83866984,-4.939899,1.4176496,-11.99811,18.205471,64.81692,12.504866,10.138656,2.2520483
9,0.9383090734481812,3.1436140537261963,78.36695098876953,0.9940969830400482,-0.5743158571969065,-85.64134541302101,2.1856918,1.7727622,24.682316,7.0965004,-9.677969,-1.5405242,2.270792,-8.595101,-26.745031,10.009898,-9.640603,6.0518093,0.61761713,-1.0052677,4.9034576,5.386047,13.678953,-6.672924,67.67052,1.4540143,0.8230897,-4.833606,1.427818,-12.074995,18.064861,64.882576,12.505184,10.090962,2.2541587
10,0.9649325013160706,3.148280143737793,78.36170196533203,1.0132369970277666,-0.5691985955809493,-85.66098056290785,2.1800208,1.7285063,24.703987,7.1001706,-9.691753,-1.5137953,2.161848,-8.690013,-26.710508,10.231557,-9.733966,6.074311,0.6589733,-1.0590883,4.8888083,5.3848877,13.871826,-6.3666573,67.75487,1.6078607,0.8103069,-4.714407,1.454198,-12.160662,17.918549,64.932014,12.50713,10.026499,2.2453165
11,0.9921009540557861,3.1560051441192627,78.35735321044922,1.0306939848592067,-0.5611487571850738,-85.68157583008052,2.1680217,1.6859486,24.72623,7.1049185,-9.703618,-1.4856519,2.0522068,-8.780522,-26.675737,10.440079,-9.817133,6.095325,0.7048227,-1.1135285,4.871341,5.3859,14.082508,-6.0404515,67.83217,1.7618656,0.8002651,-4.602749,1.490014,-12.257366,17.761168,64.97705,12.498637,9.952065,2.236096
12,1.0244336128234863,3.1664154529571533,78.3529281616211,1.0410242938292236,-0.5484626577470196,-85.70110936599876,2.1475062,1.6475533,24.746964,7.1124043,-9.716208,-1.4536958,1.9430908,-8.862732,-26.643202,10.630682,-9.887034,6.117875,0.7520323,-1.162018,4.850661,5.389726,14.312424,-5.69092,67.89917,1.904108,0.78887194,-4.5218744,1.5292764,-12.366822,17.586216,65.0259,12.468059,9.875861,2.2401903
13,1.0574538707733154,3.1842052936553955,78.34778594970703,1.0425342026030313,-0.5319136056791087,-85.72030148125631,2.114678,1.6193274,24.766228,7.1234655,-9.724631,-1.4199345,1.829744,-8.931945,-26.612408,10.806562,-9.943433,6.1376233,0.8036264,-1.2011122,4.828032,5.394861,14.562499,-5.316347,67.95523,2.0270562,0.7746458,-4.485127,1.5727439,-12.490079,17.390755,65.078285,12.409795,9.796603,2.2579935
14,1.090035080909729,3.1992263793945312,78.3418197631836,1.0369530712591561,-0.5119353160921104,-85.73993112469216,2.0782206,1.6007303,24.784405,7.1386952,-9.736277,-1.388802,1.7227919,-8.987802,-26.583708,10.962065,-9.990733,6.1565313,0.8602187,-1.2347035,4.803548,5.4010444,14.83302,-4.917803,68.00258,2.138747,0.75921565,-4.479745,1.6240425,-12.627745,17.175842,65.1273,12.329107,9.712679,2.2853312
15,1.1181683540344238,3.211308240890503,78.33657836914062,1.0287802720990966,-0.4867907129241683,-85.75747655057097,2.0370226,1.5888443,24.799677,7.1553464,-9.747996,-1.3620464,1.6195972,-9.033789,-26.559362,11.100305,-10.031255,6.1721187,0.9155708,-1.2681528,4.7753024,5.4121056,15.124606,-4.495171,68.03968,2.2524185,0.7442395,-4.488586,1.6811117,-12.781146,16.9399,65.17458,12.23015,9.630559,2.3281736
16,1.147741436958313,3.225933790206909,78.32991790771484,1.0227751321916319,-0.4547123137027043,-85.77027911358886,1.9843305,1.5725442,24.811455,7.1726193,-9.756915,-1.3317691,1.492116,-9.092422,-26.536423,11.275237,-10.087359,6.187629,0.963148,-1.3071836,4.741682,5.4317746,15.438206,-4.0482783,68.06495,2.3805761,0.73140436,-4.4949675,1.7403492,-12.952228,16.680664,65.224396,12.116556,9.555559,2.3930933
17,1.1788302659988403,3.2427477836608887,78.32272338867188,1.019849582195084,-0.4159025718069055,-85.77667572146717,1.9203582,1.5503455,24.81819,7.1911316,-9.763767,-1.2976333,1.3456564,-9.163015,-26.516937,11.477461,-10.154811,6.2029757,1.001471,-1.3540136,4.7000957,5.4649625,15.773819,-3.5735323,68.07657,2.5180864,0.71904415,-4.4964914,1.8070024,-13.1423025,16.393946,65.26687,11.990623,9.496753,2.4798677
18,1.210874319076538,3.255061388015747,78.3143539428711,1.017128174686297,-0.3710858685555846,-85.77847857956367,1.8510625,1.5269384,24.820642,7.2118316,-9.773636,-1.2634865,1.1917722,-9.237868,-26.50077,11.691888,-10.231063,6.2194614,1.0338941,-1.4046808,4.651901,5.509214,16.131245,-3.070651,68.0751,2.661928,0.70713156,-4.502966,1.8826911,-13.351877,16.079851,65.30125,11.848731,9.449483,2.5876982
19,1.2405136823654175,3.2766315937042236,78.3056869506836,1.0148531714331486,-0.3195060477382798,-85.77794822315795,1.7679048,1.5032723,24.8217,7.2276154,-9.771891,-1.2267109,1.0147655,-9.316773,-26.48526,11.926233,-10.309765,6.231334,1.0618997,-1.4575727,4.6018205,5.5564165,16.511728,-2.5461648,68.06307,2.827232,0.699972,-4.514342,1.9609973,-13.582771,15.7441025,65.3368,11.685436,9.403003,2.7187746
20,1.2721389532089233,3.301663637161255,78.29676818847656,1.0093282866800177,-0.2600125376619354,-85.77776448254708,1.6685425,1.4838861,24.823685,7.252794,-9.771804,-1.1874614,0.81998014,-9.396779,-26.469175,12.173307,-10.389096,6.243001,1.0868226,-1.5110469,4.5539827,5.5984597,16.91787,-2.0098085,68.04332,3.0254397,0.70183796,-4.529837,2.0359504,-13.837864,15.394858,65.38274,11.498232,9.346454,2.8744233
21,1.304405689239502,3.327523946762085,78.28683471679688,1.0026725191523234,-0.19109226611646898,-85.77819739788943,1.5598892,1.4645103,24.82705,7.273038,-9.7672415,-1.1472563,0.6052831,-9.480211,-26.452988,12.437827,-10.4729,6.2547164,1.1077771,-1.5658369,4.507118,5.632112,17.351782,-1.4659435,68.01977,3.2521083,0.71354944,-4.551008,2.1067908,-14.119423,15.034361,65.43849,11.316492,9.278865,3.065439
22,1.33987295627594,3.3553216457366943,78.27494049072266,0.9957431781011968,-0.11369488784631203,-85.77803130337472,1.4396409,1.4428287,24.830854,7.2934113,-9.761056,-1.1034744,0.36731532,-9.572172,-26.435892,12.730338,-10.566286,6.267977,1.1252431,-1.622264,4.459172,5.6613636,17.814291,-0.91483146,67.991646,3.497514,0.7326032,-4.578076,2.1783354,-14.42855,14.662506,65.497734,11.137425,9.205814,3.2882237
23,1.3695348501205444,3.3925247192382812,78.26325988769531,0.9854529376772533,-0.030982590965113334,-85.7774456080896,1.3048468,1.4296849,24.834497,7.313782,-9.74432,-1.0606107,0.11393307,-9.657405,-26.418541,13.026196,-10.653795,6.2737517,1.1414979,-1.6783483,4.4144416,5.689286,18.306644,-0.36198545,67.95428,3.762769,0.7583975,-4.608901,2.2520463,-14.767015,14.285267,65.562195,10.9113245,9.126066,3.5211883
24,1.3981269598007202,3.4342434406280518,78.25102996826172,0.9713784979928752,0.053789633883191294,-85.77635026810576,0.9940961,1.5040435,24.833065,7.731745,-9.932346,-1.0206913,-0.14683707,-9.737685,-26.398481,13.324797,-10.737506,6.276754,1.1593539,-1.7319993,4.376902,5.718768,18.830364,0.18477096,67.90306,4.0470448,0.79056966,-4.6404552,2.3287117,-15.137208,13.9123125,65.63402,10.592449,9.038255,3.7420719
25,1.4237499237060547,3.4758682250976562,78.2387924194336,0.9535678892467793,0.13991122306763842,-85.77432519324029,0.6558263,1.5982461,24.830845,8.209605,-10.150029,-0.9840836,-0.40599495,-9.808634,-26.376827,13.613991,-10.814556,6.275703,1.1747917,-1.7814462,4.3457255,5.75376,19.386139,0.72155607,67.835075,4.3488784,0.82879895,-4.669513,2.4078937,-15.539958,13.542802,65.717094,10.16068,8.933405,3.9311588
26,1.4524755477905273,3.5170178413391113,78.22535705566406,0.9331285350397864,0.2290825638505095,-85.77151319370736,0.31195492,1.6945873,24.829119,8.692986,-10.371289,-0.9456686,-0.670533,-9.879094,-26.352638,13.907609,-10.890763,6.2756157,1.1885449,-1.8278782,4.3188453,5.7920475,19.974407,1.2486379,67.75369,4.664589,0.87331504,-4.6986003,2.4908748,-15.975844,13.175846,65.80756,9.64784,8.815758,4.1046166
27,1.4808889627456665,3.5582351684570312,78.21218872070312,0.9099684716710318,0.3213932475280341,-85.76909461370725,-0.028406335,1.7911,24.827335,9.160259,-10.583612,-0.9078421,-0.9388847,-9.9454975,-26.326426,14.199679,-10.963249,6.2764306,1.2086875,-1.8740273,4.298092,5.8269143,20.596952,1.7643527,67.66436,4.9889627,0.9239022,-4.7333937,2.5818937,-16.448292,12.8236,65.8951,9.087221,8.703198,4.292579
28,1.5116736888885498,3.6011714935302734,78.1976318359375,0.8868520272780942,0.4169720440146258,-85.7683668238603,-0.3762999,1.8868941,24.825727,9.633143,-10.797989,-0.8677747,-1.2267303,-10.02007,-26.294085,14.523907,-11.047323,6.282809,1.243383,-1.921233,4.284884,5.852051,21.256004,2.266133,67.57303,5.3147025,0.97969633,-4.7808976,2.6866302,-16.962324,12.5057125,65.96642,8.52111,8.61372,4.525666
29,1.5383661985397339,3.6430933475494385,78.18084716796875,0.8610790699229444,0.520567035954042,-85.76650913302505,-0.7498918,1.9964727,24.818764,10.144583,-11.030125,-0.8315087,-1.5361388,-10.096169,-26.263968,14.879944,-11.146363,6.2903175,1.2908094,-1.9685364,4.279645,5.865966,21.954132,2.7458532,67.47652,5.6436067,1.0430081,-4.8455853,2.8048038,-17.523325,12.243311,66.010155,7.9659185,8.558389,4.817293
30,1.561119556427002,3.693854331970215,78.16232299804688,0.8328817622861211,0.6304969273482482,-85.76391154694228,-1.1514456,2.1174595,24.808182,10.686027,-11.268855,-0.79506403,-1.8721334,-10.173797,-26.23358,15.265998,-11.2530575,6.295306,1.3470973,-2.014701,4.2806764,5.871964,22.692493,3.202262,67.37553,5.970893,1.1122205,-4.924376,2.9353004,-18.134491,12.038252,66.03332,7.416872,8.524847,5.148377
31,1.5815280675888062,3.7399563789367676,78.1406021118164,0.8066291604539756,0.7373561580534492,-85.76668956269297,-1.55154,2.242692,24.801521,11.243925,-11.520115,-0.76277715,-2.2197106,-10.25737,-26.18853,15.6897955,-11.3806925,6.3051276,1.4164021,-2.061939,4.2871923,5.8712354,23.470797,3.6465673,67.28013,6.2832203,1.1812581,-5.0118217,3.0825543,-18.797857,11.873551,66.04949,6.8745995,8.496163,5.5001116
32,1.6016149520874023,3.783545970916748,78.13602447509766,0.7867623834987939,0.8317421410760136,-85.78107537938003,-1.7743244,2.2881303,24.814814,11.43074,-11.58089,-0.7301921,-2.7364848,-10.458611,-26.074816,16.540445,-11.713174,6.3514757,1.5037374,-2.1114063,4.2994065,5.8641033,24.287235,4.095462,67.200066,6.573074,1.2445215,-5.104151,3.252285,-19.5138,11.723363,66.06953,6.332514,8.457047,5.8569264
33,1.624003291130066,3.8376786708831787,78.13558959960938,0.7727894950192793,0.9136361304555722,-85.81267341976218,-1.9438587,2.3075879,24.849218,11.516834,-11.586706,-0.6925373,-3.2574797,-10.668276,-25.918255,17.414862,-11.988556,6.42295,1.6197915,-2.1635056,4.3194575,5.844786,25.139437,4.559071,67.144966,6.845397,1.2925572,-5.1927133,3.4489548,-20.283379,11.578287,66.09176,5.747137,8.399628,6.237186
34,1.6431413888931274,3.875124931335449,78.13727569580078,0.7626780301186009,0.9871813464510028,-85.85676759695131,-2.0600758,2.3157496,24.896729,11.539017,-11.572749,-0.66450906,-3.806299,-10.887841,-25.705011,18.350645,-12.176034,6.5422015,1.7593226,-2.2154999,4.348209,5.8139677,26.025818,5.035803,67.10705,7.1108713,1.3314079,-5.284276,3.6728346,-21.107246,11.438937,66.10468,5.1262074,8.335735,6.6462684
