Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,-0.4468817710876465,-0.8089057207107544,79.19937133789062,-0.21369880104361558,-2.147095656570829,-98.4757366492753,9.238912,4.369726,19.65993,5.030863,-8.827392,-4.4898415,4.87333,-2.2991743,-8.875802,6.897549,-9.737388,2.7550058,-0.54371643,0.48005086,13.1114435,5.518891,13.364509,-17.826962,55.51245,13.994085,-0.40010375,-3.8199666,2.9118006,-16.436285,35.67293,54.500828,-21.27992,-3.480781,-3.7376573
1,-0.4443109631538391,-0.8654189109802246,79.19766998291016,-0.2146449557473094,-2.083997024397642,-98.50346722787411,9.230292,4.360868,19.69592,5.010486,-8.848381,-4.4883075,4.847257,-2.3053563,-8.860708,6.889486,-9.757892,2.7654207,-0.56558555,0.47728974,13.195932,5.5103536,13.462928,-17.882637,55.368896,13.825803,-0.38043255,-3.792175,2.957203,-16.626259,35.678062,54.33902,-21.21052,-3.4461596,-3.7069244
2,-0.4431116282939911,-0.9162192940711975,79.1951904296875,-0.21870457473189403,-2.0253331024118455,-98.53639985833388,9.225973,4.35692,19.736547,4.9873686,-8.865576,-4.487872,4.821094,-2.3052435,-8.840872,6.880923,-9.773731,2.7722852,-0.58500147,0.4764387,13.286233,5.494073,13.552656,-17.91673,55.234444,13.6725025,-0.3576893,-3.7660398,2.9903796,-16.80211,35.66756,54.19832,-21.156828,-3.412826,-3.6754527
3,-0.4436388611793518,-0.9702070355415344,79.19197845458984,-0.21789345656738512,-1.9580012280634436,-98.55887192503884,9.201895,4.350506,19.76666,4.983167,-8.891158,-4.487212,4.788289,-2.3120224,-8.831371,6.8753643,-9.794765,2.7806664,-0.61070746,0.46836323,13.371618,5.4684887,13.636106,-17.939138,55.11371,13.540798,-0.34428686,-3.7460823,3.015807,-16.965374,35.648403,54.070717,-21.1128,-3.3838146,-3.640628
4,-0.44508135318756104,-1.021661400794983,79.19091033935547,-0.2069323006034714,-1.8688741316670112,-98.55504294964479,9.136376,4.333629,19.771591,4.9953604,-8.916458,-4.481845,4.7339277,-2.3344026,-8.847892,6.8703136,-9.816834,2.7925463,-0.6513533,0.4459437,13.444203,5.424786,13.717188,-17.956667,55.017323,13.438119,-0.35480532,-3.7389867,3.032295,-17.117962,35.622837,53.952366,-21.074316,-3.3638663,-3.598102
5,-0.4484966993331909,-1.0661550760269165,79.19029235839844,-0.18298495633487524,-1.7586848545906466,-98.53398928223173,9.0316515,4.3038507,19.756834,5.0182834,-8.93756,-4.4737616,4.6528635,-2.3729117,-8.880681,6.866819,-9.83617,2.8059585,-0.7029134,0.40566072,13.505149,5.375416,13.79969,-17.976393,54.903095,13.4245615,-0.37771672,-3.7610025,3.0381532,-17.261927,35.593273,53.84784,-21.046902,-3.367747,-3.547377
6,-0.4533255398273468,-1.112505555152893,79.19003295898438,-0.1509236117479209,-1.632915154312867,-98.49928229723812,8.896348,4.268004,19.72681,5.0627418,-8.966962,-4.464767,4.557654,-2.42248,-8.926484,6.864539,-9.858849,2.8219216,-0.76271707,0.35368145,13.557293,5.322441,13.8860235,-18.000704,54.776085,13.468697,-0.41056862,-3.8032868,3.0364943,-17.398468,35.561554,53.753048,-21.025938,-3.388422,-3.4907324
7,-0.4568173587322235,-1.1498219966888428,79.19168090820312,-0.11573912397402818,-1.4859338582911625,-98.42621604003111,8.470727,4.3201275,19.651812,5.668254,-9.274965,-4.4514203,4.439265,-2.4821808,-9.011274,6.861705,-9.878172,2.840854,-0.84139496,0.2928484,13.597441,5.2355676,13.977629,-18.02612,54.722935,13.4424,-0.48183155,-3.8359096,3.0299668,-17.527655,35.525627,53.654877,-20.995592,-3.397963,-3.428374
8,-0.46423500776290894,-1.1789549589157104,79.19599151611328,-0.08248471311888404,-1.3117293975797797,-98.2919284057279,8.043171,4.35438,19.5339,6.1583266,-9.497941,-4.428217,4.2960668,-2.5462327,-9.160172,6.859822,-9.899131,2.8597016,-0.94755965,0.22497617,13.620159,5.0871344,14.07491,-18.047558,54.827797,13.220535,-0.61995023,-3.8301334,3.0247076,-17.649313,35.47957,53.53895,-20.944216,-3.3690066,-3.3584776
9,-0.47141245007514954,-1.205276370048523,79.20052337646484,-0.041071204311977576,-1.1001885744423352,-98.09752052698666,7.6315594,4.3449492,19.371273,6.4729433,-9.608855,-4.389001,4.1210604,-2.630717,-9.372348,6.8573565,-9.922581,2.8855245,-1.0895311,0.13616118,13.613616,4.864645,14.178362,-18.066956,55.142426,12.699969,-0.8900597,-3.7753537,3.0227213,-17.761883,35.415955,53.378845,-20.895142,-3.2779686,-3.2706435
10,-0.47878366708755493,-1.224039077758789,79.2047348022461,0.01003522218288029,-0.8570433626990921,-97.85290465771926,7.215875,4.30236,19.170034,6.6707892,-9.638711,-4.3364973,3.9143527,-2.7342267,-9.636423,6.8553896,-9.94462,2.9159913,-1.2590942,0.030273272,13.583699,4.5824723,14.288419,-18.087997,55.613983,11.970193,-1.2600073,-3.691233,3.0219467,-17.864761,35.33291,53.18999,-20.851871,-3.1458454,-3.1671414
11,-0.4912334084510803,-1.2335115671157837,79.20824432373047,0.04809253799430718,-0.6013190041095057,-97.54853699599714,6.782222,4.2696123,18.93212,6.829359,-9.622325,-4.280145,3.6995475,-2.8263266,-9.961939,6.853889,-9.969847,2.9417555,-1.4415025,-0.06377999,13.553575,4.2514596,14.404112,-18.106236,56.171604,11.195445,-1.613033,-3.5936966,3.0197806,-17.959492,35.23715,53.018,-20.766924,-3.0116246,-3.0652046
12,-0.5033577084541321,-1.234253168106079,79.21710968017578,0.05537171722815957,-0.3514086098895388,-97.17473803847906,6.1987042,4.2789764,18.679096,7.258412,-9.70166,-4.168124,3.499314,-2.8898406,-10.356956,6.851503,-9.999627,2.962623,-1.6238197,-0.11569015,13.546699,3.8823583,14.522955,-18.111929,56.744648,10.543069,-1.8310308,-3.4959195,3.014111,-18.049202,35.139847,52.905025,-20.589275,-2.9135132,-2.9823654
13,-0.5151381492614746,-1.236496090888977,79.22232818603516,0.026905290428953173,-0.09708501651335777,-96.70606713197884,5.0190578,4.541272,18.436565,8.9403515,-10.303146,-3.9848607,3.3156369,-2.9233146,-10.847872,6.8487873,-10.043929,2.9802873,-1.8421295,-0.12021459,13.555543,3.4626036,14.642609,-18.092726,57.353832,10.030177,-1.8609473,-3.4093142,3.0099883,-18.13688,35.03158,52.836803,-20.378933,-2.8543937,-2.9576178
14,-0.5320992469787598,-1.2250405550003052,79.22372436523438,-0.026981269922907256,0.16724320854642993,-96.15535217377484,3.666071,4.91521,18.293236,10.933482,-10.901472,-3.7083948,3.1285026,-2.9315803,-11.42302,6.84631,-10.091169,2.9894786,-2.0916808,-0.08929884,13.572948,2.9909499,14.761361,-18.048508,58.024593,9.585273,-1.7730458,-3.3246415,3.008348,-18.2243,34.910065,52.792336,-20.138031,-2.816519,-2.967256
15,-0.5534884333610535,-1.1991941928863525,79.2138671875,-0.10634537941966536,0.41650883702340324,-95.57043974662709,2.281819,5.357492,18.275108,13.024581,-11.486197,-3.4176688,2.9559898,-2.908458,-12.0337715,6.845685,-10.140505,2.9907262,-2.300423,-0.022158837,13.622467,2.496888,14.877953,-17.989014,58.6921,9.239327,-1.6314045,-3.2199767,2.9982946,-18.314205,34.806717,52.80823,-19.724432,-2.8040414,-2.9414158
