Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,1.2523199319839478,1.2266789674758911,78.99822235107422,0.6438700365406377,0.11286601198884899,-88.52044524363912,2.8029063,1.432578,8.665172,6.688753,-9.395997,-3.0819738,2.3379061,-4.3856864,-9.8301735,7.8761287,-9.968537,5.186663,-5.8940535,-1.2874968,5.219286,-2.8306043,11.181221,-39.1134,63.374794,16.18863,3.086274,10.938401,-1.3019717,-6.8917327,21.588182,61.74737,-27.03804,-2.0634248,-3.733323
1,1.2854245901107788,1.264655351638794,79.00016021728516,0.6488484338356962,0.16313725576529936,-88.49631765680931,2.693373,1.3939341,8.646246,6.714784,-9.3703165,-3.0392413,2.2189488,-4.431964,-9.843308,7.9444,-9.962179,5.2150364,-6.0141273,-1.3118422,5.289277,-2.741462,11.31967,-39.18816,63.2224,16.219364,3.1436265,10.905737,-1.2439928,-6.9404187,21.485071,61.245995,-26.790703,-2.1513813,-3.623249
2,1.3176639080047607,1.3084827661514282,79.0020751953125,0.6527906594299355,0.21051277147213882,-88.47383653318653,2.583532,1.357028,8.6285,6.7409067,-9.3414135,-2.9963896,2.0934532,-4.47718,-9.854103,8.023241,-9.9572115,5.2420897,-6.1132917,-1.3339332,5.3617864,-2.6677115,11.455562,-39.28949,63.078384,16.217758,3.2070012,10.879353,-1.1747752,-6.9862685,21.303846,60.74483,-26.625393,-2.2521093,-3.4764035
3,1.3528188467025757,1.3536064624786377,79.00320434570312,0.6583996232899956,0.2635627911948943,-88.44816096884449,2.4653354,1.3151548,8.608681,6.7669196,-9.310295,-2.9504373,1.9503007,-4.5296135,-9.866836,8.124961,-9.962245,5.271827,-6.2173486,-1.3558463,5.434275,-2.5947845,11.589877,-39.416336,62.931892,16.235132,3.2641237,10.8511095,-1.1027994,-7.028595,21.073462,60.22855,-26.453026,-2.3632212,-3.3498077
4,1.3911536931991577,1.4040485620498657,79.00435638427734,0.6654166661156472,0.33097402129155035,-88.4146488760778,2.3247163,1.2666366,8.582816,6.7917585,-9.270799,-2.9001572,1.7801989,-4.5906534,-9.887,8.243491,-9.969872,5.304148,-6.3482385,-1.3776875,5.504845,-2.5094123,11.725269,-39.579124,62.76848,16.314724,3.3032367,10.813094,-1.030902,-7.065676,20.800673,59.676582,-26.200878,-2.4884465,-3.2928226
5,1.438669204711914,1.4533777236938477,79.00537109375,0.6769185525580931,0.411948781165952,-88.37145745427158,2.1664548,1.2040653,8.551082,6.817798,-9.229625,-2.8417282,1.5922494,-4.6678314,-9.915618,8.372752,-9.982266,5.3443503,-6.515021,-1.4006001,5.572713,-2.407035,11.864901,-39.78993,62.5944,16.471155,3.307985,10.7715645,-0.95715237,-7.0956583,20.483284,59.081795,-25.826311,-2.6269286,-3.3360865
6,1.4938896894454956,1.5051852464675903,79.00595092773438,0.6890169084219597,0.5030008675674058,-88.32132540263862,1.9935861,1.1328393,8.514637,6.8428006,-9.184348,-2.7766585,1.3886538,-4.7549567,-9.9504175,8.509504,-9.995063,5.3902087,-6.7053976,-1.4257582,5.638237,-2.292738,12.011169,-40.04747,62.410126,16.672876,3.2899442,10.72986,-0.8816609,-7.117598,20.125593,58.457706,-25.370739,-2.7763457,-3.4499795
7,1.550687551498413,1.5685988664627075,79.00724792480469,0.7038258855282198,0.6081486938830076,-88.26599368337395,1.7950711,1.0554625,8.474088,6.8660784,-9.1265135,-2.7075906,1.1497269,-4.850434,-9.988228,8.66936,-10.008227,5.4373207,-6.9072857,-1.4546913,5.7012997,-2.1651235,12.165698,-40.339478,62.18938,16.899544,3.279658,10.674467,-0.8100549,-7.130997,19.738333,57.81529,-24.89177,-2.9388423,-3.5923767
8,1.6086127758026123,1.631814956665039,79.00814056396484,0.7202837505245138,0.7314431051120386,-88.20695562613494,1.575744,0.97365546,8.429713,6.885758,-9.063066,-2.6362336,0.8815536,-4.9516544,-10.02756,8.848353,-10.027204,5.4873857,-7.110008,-1.489377,5.7618747,-2.021657,12.329746,-40.64669,61.90709,17.136608,3.307471,10.590847,-0.74914956,-7.136287,19.335155,57.1663,-24.445915,-3.114537,-3.7226036
9,1.6750186681747437,1.692884922027588,79.00961303710938,0.7366981167626742,0.8720602200999179,-88.14146650098787,1.3377686,0.8835267,8.379421,6.9028974,-8.996976,-2.557306,0.6024326,-5.0597544,-10.071276,9.012846,-10.034915,5.5465326,-7.323979,-1.5272398,5.821339,-1.8608702,12.504936,-40.970238,61.560307,17.46236,3.3726544,10.461412,-0.70156425,-7.133915,18.92522,56.503475,-24.028158,-3.3043394,-3.8325133
