Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,0.1287524551153183,2.7997164726257324,78.69093322753906,-0.5796446470474583,-1.1615386686588798,-88.58063260136034,0.5840339,2.1113536,16.772533,7.0156703,-7.5727158,1.0222427,-0.1312892,-2.5003638,-11.156637,11.107307,-9.239024,0.6802497,-4.9143677,0.37637195,8.052222,-3.6547859,8.411674,-24.576244,66.53109,26.347065,-5.5320916,11.234469,-2.91958,-7.916827,21.055233,66.26351,-7.5187836,-1.6035794,-6.62256
1,0.13219285011291504,2.8016622066497803,78.68509674072266,-0.5702578549637919,-1.1851254033617111,-88.58019251363363,0.5961635,2.101266,16.768038,7.047086,-7.598287,1.0093806,-0.18408197,-2.5243282,-11.134749,11.278507,-9.344287,0.70246327,-4.863019,0.35045362,8.123061,-3.7063694,8.476536,-24.602087,66.495766,26.301483,-5.541257,11.139134,-3.0208588,-7.9760137,21.163347,66.29973,-7.6435933,-1.5805423,-6.5432878
2,0.12855786085128784,2.807379722595215,78.67598724365234,-0.5608757874582505,-1.2073813497742254,-88.57838624871616,0.60186344,2.0965176,16.761417,7.081659,-7.620475,0.99200064,-0.26830634,-2.5499597,-11.113093,11.508603,-9.4783745,0.7191426,-4.818725,0.32225978,8.192793,-3.7611516,8.538135,-24.615013,66.47566,26.254414,-5.556265,11.05911,-3.133317,-8.030902,21.303679,66.3606,-7.7325816,-1.5589955,-6.4831276
3,0.12344184517860413,2.817784070968628,78.66490936279297,-0.5514298179188836,-1.2323999369895846,-88.57931913628047,0.6081684,2.0935235,16.757355,7.1162224,-7.640245,0.9759327,-0.365699,-2.5764132,-11.089734,11.7671995,-9.625481,0.7355464,-4.7755036,0.29492098,8.271471,-3.827497,8.600171,-24.62641,66.45142,26.21992,-5.5642643,10.951892,-3.26889,-8.08506,21.468744,66.41797,-7.818003,-1.5358411,-6.4126315
4,0.1209925189614296,2.823812484741211,78.65149688720703,-0.5468552402578776,-1.2643375445066074,-88.58708537871678,0.47841454,2.141746,16.753185,7.4801583,-7.8396153,0.9613453,-0.4602423,-2.599321,-11.063562,12.040044,-9.783581,0.7562792,-4.728774,0.27090588,8.37383,-3.922938,8.670006,-24.65436,66.409386,26.201487,-5.555126,10.775358,-3.453467,-8.144919,21.666485,66.45431,-7.9148483,-1.5098495,-6.3039618
5,0.11896777153015137,2.827538251876831,78.63424682617188,-0.5491255503545929,-1.301404989664359,-88.59954276528276,0.28939828,2.2188663,16.748734,7.9941154,-8.121142,0.9502946,-0.56456435,-2.6177728,-11.038209,12.348645,-9.964014,0.7820758,-4.677737,0.2517135,8.496841,-4.038226,8.752399,-24.699825,66.335304,26.121782,-5.5307374,10.506286,-3.6886353,-8.213708,21.89342,66.482635,-7.9675784,-1.4771905,-6.139391
6,0.11779417097568512,2.8297462463378906,78.61541748046875,-0.556378546615618,-1.342371301323694,-88.61558209312716,0.08528338,2.3081763,16.745064,8.556105,-8.430587,0.94254,-0.67258507,-2.6326597,-11.013294,12.67643,-10.156928,0.81163174,-4.623773,0.235588,8.635805,-4.1658926,8.849722,-24.762348,66.23178,25.997004,-5.495998,10.168282,-3.9598234,-8.292466,22.146769,66.50031,-7.986485,-1.4401941,-5.933146
7,0.11510418355464935,2.8357295989990234,78.59477233886719,-0.5647448093537609,-1.392205181031963,-88.64086109022223,-0.11587256,2.4044864,16.749613,9.132835,-8.748532,0.934436,-0.78290695,-2.6447797,-10.981085,13.022155,-10.357248,0.8388203,-4.565734,0.22013183,8.803081,-4.3276715,8.9675865,-24.865158,66.109665,25.964052,-5.4456053,9.791276,-4.2697134,-8.38626,22.447298,66.46763,-8.074424,-1.4073161,-5.707344
8,0.11228072643280029,2.8427491188049316,78.57416534423828,-0.5722086594837188,-1.4555179275117605,-88.6811506513108,-0.2761854,2.4971607,16.770927,9.659894,-9.045632,0.9229231,-0.87577546,-2.6529896,-10.934307,13.354408,-10.54765,0.860422,-4.501929,0.2026368,9.011368,-4.5478234,9.113813,-25.044325,65.98296,26.147028,-5.376546,9.406967,-4.6219187,-8.50333,22.828516,66.344025,-8.320987,-1.3876575,-5.485443
9,0.10758592188358307,2.8507020473480225,78.55484771728516,-0.5796900135924925,-1.5378487779256182,-88.73853880312996,-0.3841791,2.5876591,16.811892,10.127267,-9.317844,0.9059204,-0.9374036,-2.6530108,-10.870799,13.656746,-10.721249,0.8742506,-4.425739,0.18480112,9.266259,-4.8356004,9.293392,-25.333687,65.85453,26.559597,-5.28711,8.962439,-5.021632,-8.649466,23.328274,66.14665,-8.708039,-1.3939666,-5.2625937
