Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,-0.15933659672737122,3.0223536491394043,78.94833374023438,0.37196734488039385,-1.625371354149705,-91.8834471894172,4.3714743,0.7056291,14.600336,6.322879,-6.8777547,-0.88973707,2.907434,-4.8943243,-22.366116,9.995202,-11.899885,2.301704,-2.3719938,-0.4001812,8.178456,-8.778005,6.610215,-42.498905,62.56128,17.247847,1.7783908,0.5224459,-9.32183,-6.045844,37.299004,60.805546,10.10987,7.7446766,-14.482488
1,-0.17091049253940582,3.0465328693389893,78.9531021118164,0.36625805813846835,-1.5704174397115056,-91.83158499327341,4.2744675,0.7163565,14.54942,6.3264494,-6.8394623,-0.8900144,2.8719997,-4.8700967,-22.420424,9.9104395,-11.839318,2.2839484,-2.367644,-0.39976916,8.194836,-8.786584,6.6718144,-42.51496,62.450733,17.20631,1.7754531,0.51291615,-9.29448,-6.1073866,37.334404,60.7154,10.125985,7.7466993,-14.496997
2,-0.1853601485490799,3.071232795715332,78.95751190185547,0.36081985439249037,-1.5157133643245644,-91.78024128552626,4.1778216,0.72878695,14.498729,6.3296204,-6.8003316,-0.89215076,2.83366,-4.8447537,-22.474371,9.832129,-11.782833,2.2638805,-2.3652833,-0.39874673,8.209622,-8.800594,6.7265086,-42.526646,62.35304,17.16525,1.771796,0.5029149,-9.273637,-6.1615477,37.371166,60.637917,10.144981,7.745295,-14.515025
3,-0.19726777076721191,3.0983595848083496,78.96199798583984,0.3553830078099894,-1.4607988127481788,-91.72795666894217,4.0785728,0.739301,14.447415,6.332068,-6.758667,-0.89220524,2.791371,-4.8223696,-22.528639,9.757562,-11.725564,2.244892,-2.3614776,-0.39976597,8.227317,-8.818755,6.7753124,-42.533325,62.26308,17.133017,1.7674241,0.49654588,-9.258162,-6.2094593,37.40841,60.569225,10.159671,7.745496,-14.530156
4,-0.2081824690103531,3.130825996398926,78.96727752685547,0.3518639340388532,-1.405272845729205,-91.6733672803263,3.9727705,0.74714696,14.394158,6.336095,-6.713335,-0.8905525,2.7429366,-4.803753,-22.584377,9.685595,-11.665166,2.2249286,-2.35347,-0.40505633,8.253443,-8.840839,6.819308,-42.5322,62.176067,17.118649,1.7615124,0.49674612,-9.247502,-6.2520857,37.446346,60.503616,10.163734,7.7527065,-14.53617
5,-0.2236405313014984,3.165395498275757,78.9718017578125,0.3474009502567486,-1.3520471781017824,-91.61603030075506,3.868286,0.7582808,14.337395,6.337635,-6.66413,-0.8923208,2.6924152,-4.7820096,-22.64292,9.621687,-11.609753,2.200301,-2.3408349,-0.41663438,8.290897,-8.863673,6.859308,-42.51888,62.088184,17.13647,1.7538795,0.5041035,-9.241788,-6.290086,37.485188,60.43845,10.153351,7.7713633,-14.527091
6,-0.24150419235229492,3.2075412273406982,78.97631072998047,0.34301053558820577,-1.3002157907400964,-91.5566704786018,3.7569642,0.77147096,14.278332,6.34324,-6.610742,-0.89495564,2.6337106,-4.7600303,-22.70313,9.56701,-11.555026,2.1710262,-2.3253853,-0.43279502,8.336511,-8.887139,6.896009,-42.493378,62.000484,17.17955,1.7446183,0.5156802,-9.240541,-6.3239875,37.525295,60.374817,10.132836,7.7981377,-14.507326
7,-0.2534644901752472,3.251614809036255,78.98138427734375,0.34046974663244567,-1.2442436181347165,-91.4958790216784,3.6390436,0.7779349,14.218856,6.3471484,-6.5546036,-0.8924833,2.5659199,-4.7466555,-22.763414,9.517432,-11.498279,2.145846,-2.3073053,-0.45020726,8.386805,-8.916008,6.930289,-42.460762,61.914425,17.225067,1.7334564,0.52994424,-9.242492,-6.354616,37.567432,60.313606,10.109324,7.8259416,-14.486438
8,-0.2646554112434387,3.300427198410034,78.98670959472656,0.34066144527689557,-1.1783970209112695,-91.43401694104345,3.5037823,0.78085375,14.158954,6.3520555,-6.4923697,-0.8872744,2.4740849,-4.7411537,-22.823584,9.487577,-11.446265,2.119857,-2.2860923,-0.46615425,8.438471,-8.95584,6.9632635,-42.429127,61.832737,17.247765,1.7207245,0.5463752,-9.247693,-6.3834095,37.61279,60.257442,10.090936,7.847536,-14.474251
9,-0.2850692868232727,3.3594276905059814,78.99263000488281,0.34532033272814,-1.0995723017717483,-91.37124636109913,3.3459857,0.7849725,14.097973,6.357321,-6.419996,-0.8848013,2.349538,-4.737173,-22.884462,9.479116,-11.398739,2.0834353,-2.2613108,-0.4774167,8.489572,-9.010508,6.996023,-42.408974,61.752155,17.233625,1.7029182,0.5656076,-9.255925,-6.411589,37.663563,60.20451,10.077288,7.8633523,-14.475456
