Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,0.09261069446802139,2.1128339767456055,78.64964294433594,0.022082581146549225,0.31882054838195983,-88.72922550725465,-0.71810585,-1.038952,9.272704,6.4500904,-6.6832657,1.7719135,-0.23364161,0.48037058,-7.330496,6.5661016,-7.8187375,-1.259019,-3.218761,1.6923295,2.5918114,1.8908885,7.7375383,-7.106796,70.70454,4.478596,-2.624952,0.72046924,1.4782652,-5.811866,-1.8150089,63.847736,-24.759861,-0.40362552,-9.818961
1,0.09103833138942719,2.1134326457977295,78.64996337890625,0.020439154962735087,0.3131102091199698,-88.73092659036317,-0.7116799,-1.0354419,9.273121,6.451082,-6.6847224,1.7703775,-0.22780617,0.48396024,-7.329717,6.565864,-7.8188844,-1.2606484,-3.2288976,1.6837912,2.6001096,1.9057721,7.772671,-7.1349273,70.69112,4.4183154,-2.6309574,0.71068877,1.4736881,-5.8214107,-1.7939969,63.85888,-24.757076,-0.4179131,-9.817982
2,0.08985070139169693,2.112338066101074,78.64999389648438,0.020456695823275774,0.3070939784921136,-88.7325699314125,-0.7023893,-1.0343341,9.27378,6.4489303,-6.685682,1.7693821,-0.21962239,0.4854188,-7.3285627,6.564935,-7.8202705,-1.2614084,-3.2397442,1.6796678,2.6097434,1.9129863,7.7863493,-7.147235,70.68952,4.377944,-2.6367452,0.7123565,1.4695544,-5.824251,-1.785377,63.86564,-24.773134,-0.42669863,-9.8194475
3,0.08845485746860504,2.113204002380371,78.64961242675781,0.02059165386542968,0.30169985728728865,-88.73430954829095,-0.69778776,-1.0328135,9.274794,6.4512973,-6.687136,1.7685021,-0.21517268,0.48669878,-7.32736,6.5664377,-7.8210444,-1.2625175,-3.2489197,1.6778352,2.6182315,1.9179397,7.793056,-7.154093,70.69102,4.343843,-2.640105,0.7146614,1.4667249,-5.825443,-1.7809398,63.8709,-24.787777,-0.43405145,-9.822454
4,0.0848565325140953,2.1134729385375977,78.64920806884766,0.019746533406944846,0.2977562493858818,-88.73610453165796,-0.6934495,-1.0284635,9.275482,6.4508677,-6.68659,1.7653716,-0.21039458,0.49125224,-7.326443,6.565722,-7.8215985,-1.2658286,-3.2536461,1.6749935,2.6219053,1.9314692,7.812304,-7.173429,70.68302,4.3071017,-2.64059,0.7118197,1.4638379,-5.8284016,-1.7696614,63.879704,-24.78579,-0.44028148,-9.826564
5,0.0843120887875557,2.111971378326416,78.6490707397461,0.01979496090569929,0.29558510965414375,-88.73822026915008,-0.68863696,-1.0276358,9.277488,6.450557,-6.6887913,1.7645562,-0.20692915,0.4921873,-7.324386,6.565667,-7.8228407,-1.2663184,-3.2501678,1.6778396,2.6205804,1.9405538,7.824069,-7.183972,70.682465,4.291939,-2.6359096,0.70768994,1.4683166,-5.829902,-1.7649052,63.88144,-24.776768,-0.4409266,-9.831984
6,0.08320058882236481,2.1100547313690186,78.64910125732422,0.020840589800660305,0.29472954570095117,-88.74057967451601,-0.68520945,-1.0272769,9.280147,6.4495306,-6.6901193,1.763278,-0.20440896,0.49258885,-7.3218546,6.5649557,-7.8237824,-1.2671964,-3.241109,1.6833382,2.6147313,1.951272,7.8359776,-7.193179,70.68136,4.2867956,-2.6274087,0.70062953,1.4790254,-5.831256,-1.7628468,63.878338,-24.760704,-0.43854314,-9.83757
7,0.08427762985229492,2.1075050830841064,78.64942932128906,0.020931178394828102,0.2947518378841952,-88.74258867904405,-0.6828488,-1.0276529,9.282593,6.4504595,-6.6934814,1.7635003,-0.20274587,0.49205303,-7.3195148,6.565574,-7.8258758,-1.266307,-3.2309303,1.6893811,2.606701,1.9632343,7.847819,-7.2007556,70.68067,4.289487,-2.6182642,0.6925133,1.49228,-5.832394,-1.7633544,63.87234,-24.742243,-0.4375026,-9.841776
8,0.08452510833740234,2.1077778339385986,78.64981842041016,0.02095491157252938,0.2954242999133977,-88.7438152682075,-0.6837708,-1.0275286,9.284103,6.450392,-6.693139,1.7635329,-0.20367326,0.4920811,-7.318245,6.565097,-7.825059,-1.2662581,-3.225643,1.6959332,2.6010501,1.968917,7.8525324,-7.203037,70.69008,4.3008833,-2.611787,0.6898537,1.4974421,-5.832801,-1.7644148,63.8718,-24.725515,-0.43991742,-9.846968
9,0.0839596763253212,2.1053693294525146,78.6496810913086,0.019942224325588773,0.29748362680911483,-88.74405410822484,-0.68445015,-1.0258386,9.2838545,6.450942,-6.6948934,1.7623718,-0.20434906,0.49372205,-7.3185167,6.5653257,-7.826717,-1.2667713,-3.2259672,1.7008811,2.5942345,1.9792272,7.8591976,-7.2055707,70.6957,4.3198285,-2.6060507,0.68484116,1.5025593,-5.833281,-1.7666085,63.869286,-24.70823,-0.45299807,-9.8477745
10,0.08539613336324692,2.1027355194091797,78.64981079101562,0.019985392543330316,0.3009798317979319,-88.74368146970988,-0.68585896,-1.0271542,9.283295,6.4503474,-6.6965055,1.7629484,-0.20622338,0.49236205,-7.3190074,6.565615,-7.8284526,-1.2653089,-3.229725,1.7035022,2.585804,1.9974334,7.8723817,-7.2094197,70.692955,4.344522,-2.6002843,0.6757858,1.5047798,-5.8337374,-1.7706788,63.870617,-24.688826,-0.47471008,-9.845402
11,0.08559579402208328,2.100215196609497,78.64948272705078,0.018976306653614054,0.3037918454942777,-88.74261131596074,-0.68727654,-1.0264825,9.281753,6.450387,-6.6978865,1.7625167,-0.20683697,0.49314287,-7.3204923,6.5656157,-7.830655,-1.2650129,-3.234569,1.7078636,2.580573,2.0032191,7.8761897,-7.210058,70.707,4.3695617,-2.5987077,0.674598,1.5035193,-5.8337374,-1.771808,63.87159,-24.669758,-0.4928611,-9.84445
12,0.08736144751310349,2.0981457233428955,78.64936065673828,0.01781935106636959,0.30413292459016866,-88.74088996960509,-0.6847152,-1.0273393,9.279936,6.448693,-6.6992474,1.7635944,-0.2045542,0.49265358,-7.322158,6.5645266,-7.8320074,-1.2633145,-3.2389653,1.7107455,2.5789568,2.0106883,7.881724,-7.210149,70.71937,4.3808913,-2.602797,0.6789811,1.5015335,-5.833664,-1.773171,63.87152,-24.659853,-0.503668,-9.840269
13,0.08735397458076477,2.096021890640259,78.64881896972656,0.018550772121953475,0.3001464568832566,-88.73828546905716,-0.6794661,-1.0286102,9.277716,6.4504304,-6.7022967,1.7638097,-0.19867569,0.49132526,-7.323898,6.5658407,-7.835259,-1.2626575,-3.2432628,1.709944,2.5826821,2.0238,7.889927,-7.209102,70.7247,4.369409,-2.6173778,0.687899,1.4994934,-5.83325,-1.7748805,63.86989,-24.662851,-0.5055844,-9.828049
14,0.08779260516166687,2.093104600906372,78.64862823486328,0.01924006261453931,0.29325023554019647,-88.7348798313581,-0.6698738,-1.0304344,9.274863,6.450767,-6.705406,1.7644324,-0.18700917,0.4897725,-7.3260193,6.565498,-7.839678,-1.2614361,-3.2478776,1.7056701,2.5900824,2.040142,7.9042225,-7.205566,70.72769,4.344217,-2.6399453,0.69965,1.4990641,-5.8317413,-1.7756783,63.864212,-24.673723,-0.50119144,-9.810278
15,0.08889149129390717,2.0928752422332764,78.64840698242188,0.020735726817841093,0.2865596605799248,-88.73108099090265,-0.661591,-1.0339829,9.27208,6.448781,-6.705224,1.7662189,-0.177577,0.486616,-7.328288,6.5650105,-7.8418097,-1.2596768,-3.2512805,1.7034439,2.5985596,2.0475159,7.9123273,-7.2032022,70.7409,4.317389,-2.6625323,0.7173446,1.4990661,-5.830501,-1.7749181,63.856453,-24.686344,-0.49306786,-9.79479
16,0.08814732730388641,2.0935921669006348,78.6481704711914,0.021557026247130705,0.28331196086371974,-88.7273026428627,-0.6598592,-1.0349382,9.268908,6.450207,-6.705105,1.7663149,-0.17460044,0.4855175,-7.3312993,6.5659704,-7.842625,-1.2598296,-3.2543988,1.7003661,2.6033967,2.0588572,7.925518,-7.200474,70.742775,4.3015337,-2.6752653,0.7275573,1.4972329,-5.8281355,-1.7717965,63.855072,-24.6947,-0.48897374,-9.785262
17,0.0893118679523468,2.0926601886749268,78.64855194091797,0.021439537114112568,0.2855429033612552,-88.7233805147863,-0.66155654,-1.0366833,9.265614,6.450441,-6.7060075,1.7674496,-0.17612499,0.4837954,-7.3347178,6.566604,-7.8438306,-1.2584524,-3.2550688,1.7018263,2.6032958,2.0629873,7.932501,-7.2011867,70.74812,4.3031135,-2.6740344,0.7415039,1.494086,-5.8268332,-1.768788,63.858353,-24.703741,-0.4858509,-9.784307
