Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,0.40659433603286743,2.192000150680542,78.00662994384766,-0.15725512086187413,-0.9919173126051418,-91.47414814590798,2.704957,1.573673,8.255003,6.7922454,-6.7826023,-1.1264569,2.9328847,-4.9250994,-19.451218,9.080126,-12.233982,5.2484274,-5.0457582,-0.42808816,10.896289,1.7275251,11.398484,-26.500624,51.09617,20.527273,1.3001343,4.11566,-5.0109577,-4.6859107,20.1725,59.776283,-19.559353,-5.605403,-7.4418597
1,0.4006829559803009,2.1816725730895996,78.00267028808594,-0.1582723555078438,-0.9911791781183849,-91.48882916709555,2.6987698,1.5829983,8.264719,6.8260274,-6.8082657,-1.1301538,2.913374,-4.924813,-19.433262,9.133708,-12.273431,5.2482886,-5.044567,-0.46932256,10.927491,1.8457068,11.543568,-26.50305,50.83706,20.482035,1.2899281,4.044921,-5.0284357,-4.676773,20.159037,59.755333,-19.544731,-5.6008053,-7.4641523
2,0.39760804176330566,2.1795971393585205,77.99747467041016,-0.16015954191725262,-0.992783459994414,-91.5080883923331,2.6909661,1.5920405,8.278131,6.858693,-6.8288984,-1.1329328,2.8734226,-4.930088,-19.407963,9.221103,-12.323391,5.247285,-5.039166,-0.50996387,10.962114,1.959287,11.675945,-26.47054,50.588108,20.4736,1.2763352,3.959204,-5.0506735,-4.662675,20.128708,59.73981,-19.54906,-5.5978246,-7.482069
3,0.40358611941337585,2.1836905479431152,77.99275207519531,-0.16353844697581477,-0.989648312280532,-91.51808614167314,2.6715302,1.5953602,8.285456,6.8922377,-6.8447857,-1.126402,2.8271158,-4.94272,-19.393223,9.3044405,-12.364375,5.2525725,-5.048553,-0.548429,10.99184,2.0778852,11.797091,-26.421326,50.341248,20.469212,1.2586715,3.8790662,-5.077497,-4.6447635,20.088474,59.73164,-19.56088,-5.596381,-7.497124
4,0.40960925817489624,2.187241315841675,77.98802947998047,-0.16893294099674833,-0.9745847479355487,-91.50488800282471,2.633434,1.5969591,8.27507,6.928348,-6.857553,-1.1123075,2.7785447,-4.957617,-19.407541,9.378069,-12.402149,5.2612467,-5.0925226,-0.58265334,11.008378,2.2151334,11.90896,-26.367895,50.08262,20.440632,1.2357963,3.8218997,-5.1078167,-4.6245203,20.039745,59.731136,-19.5734,-5.598176,-7.507374
5,0.42210710048675537,2.190863609313965,77.98356628417969,-0.17843625808721691,-0.9403697552893492,-91.46053448821172,2.566695,1.5942283,8.241951,6.9668436,-6.8653307,-1.0844861,2.72663,-4.977614,-19.46142,9.429646,-12.42824,5.2785163,-5.18363,-0.6106113,11.004597,2.3826997,12.013986,-26.315498,49.799343,20.358948,1.2063553,3.8083694,-5.144206,-4.6033473,19.98244,59.742233,-19.59154,-5.6066256,-7.5063853
6,0.4383901059627533,2.1834895610809326,77.97874450683594,-0.1917017535393272,-0.8927054956827215,-91.39399857163838,2.48554,1.5893723,8.192376,7.0102344,-6.8784328,-1.048386,2.6857321,-4.9984493,-19.544365,9.45624,-12.449882,5.304329,-5.3081255,-0.63348204,10.986315,2.5725145,12.114184,-26.26556,49.49742,20.23851,1.1727213,3.825903,-5.1841965,-4.581924,19.918434,59.760723,-19.61321,-5.620184,-7.496911
7,0.4604756832122803,2.1683313846588135,77.97449493408203,-0.2037705475717647,-0.8432964816164249,-91.31629995895644,2.40607,1.5761477,8.13461,7.052567,-6.894458,-1.004945,2.6595156,-5.025884,-19.63998,9.466234,-12.467587,5.339104,-5.446402,-0.6556495,10.964141,2.7681093,12.210739,-26.221527,49.193474,20.12014,1.1389223,3.8419828,-5.2190037,-4.5614285,19.848526,59.77619,-19.626146,-5.632265,-7.4912086
8,0.4868115186691284,2.145024299621582,77.96849060058594,-0.2105848583804377,-0.8037816145113595,-91.23845331519655,2.2411468,1.5669763,8.073283,7.314889,-7.0334406,-0.958388,2.6326094,-5.070077,-19.7303,9.518577,-12.513055,5.3817577,-5.577926,-0.6822114,10.948611,2.95253,12.304163,-26.18798,48.905907,20.044617,1.1094543,3.824947,-5.2411146,-4.5440707,19.772821,59.779137,-19.618362,-5.635767,-7.5018406
9,0.5163626074790955,2.127436637878418,77.96186065673828,-0.21606379768701758,-0.7749359607654448,-91.15816754439234,2.0781913,1.5520201,8.008721,7.5921474,-7.1768293,-0.9077496,2.6033041,-5.122672,-19.81735,9.595708,-12.567763,5.426913,-5.704625,-0.70785165,10.940018,3.1227207,12.39479,-26.168379,48.63726,20.025011,1.0857165,3.7566059,-5.244375,-4.5317445,19.692257,59.758545,-19.573408,-5.6274676,-7.538462
