Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
0,1.0542017221450806,2.4803123474121094,101.63319396972656,1.783242223553166,-1.7687680101945105,-113.07531710484044,2.6915193,-0.98905456,11.561605,-19.66661,8.956309,-10.1763115,-10.451952,46.227207,63.289608,9.234123,-0.32206842,-15.869696,-4.577979,9.644414,-24.02643,64.80074,9.708798,-0.6798292,12.287418,-6.550117,7.935391,20.519148,12.211916,-9.351118,-3.0237744,2.0197413,-7.0268106,-18.119846,16.38565,8.960136,-15.464911
1,1.0548717975616455,2.5030465126037598,101.63040161132812,1.7386326277463806,-1.7548260619094758,-113.12904447868246,2.6946685,-0.9517543,11.686298,-20.05034,8.930195,-10.339456,-10.557633,46.367172,62.73611,10.199525,-0.028096605,-15.564468,-4.5642414,9.790482,-24.213774,64.27384,9.762422,-0.6018661,12.106025,-6.660181,8.02379,20.50173,12.349922,-9.366086,-3.0700781,1.9748514,-6.9695106,-18.047594,16.37281,8.939694,-15.439024
2,1.0585511922836304,2.5368354320526123,101.62495422363281,1.6955341202688419,-1.741735114433784,-113.17974823680198,2.7137203,-0.90744716,11.794595,-20.416578,8.886255,-10.4990015,-10.668041,46.58068,62.206333,11.261092,0.275099,-15.30089,-4.5572386,9.9294815,-24.52632,63.770844,9.687513,-0.5084938,11.959124,-6.7964516,8.116,20.464485,12.516652,-9.37935,-3.1238587,1.8957471,-6.920499,-17.956053,16.405748,8.917364,-15.429887
3,1.0624643564224243,2.5691676139831543,101.61834716796875,1.6491239484853213,-1.7268577962630691,-113.23639927631602,2.7442334,-0.85135174,11.892304,-20.771374,8.834616,-10.667638,-10.792762,46.871964,61.664986,12.380625,0.5703917,-15.056027,-4.5798755,10.071472,-24.981699,63.27534,9.5414505,-0.4136918,11.85492,-6.948842,8.216932,20.420576,12.7083435,-9.393346,-3.1899886,1.8107907,-6.8685403,-17.855227,16.442108,8.894716,-15.421581
4,1.066881775856018,2.6157374382019043,101.61094665527344,1.5943512065746348,-1.7074120321344073,-113.30771390615425,2.7779262,-0.7738063,11.980505,-21.119518,8.788681,-10.869632,-10.910946,47.211597,61.11471,13.481324,0.8433175,-14.800939,-4.643406,10.19191,-25.538273,62.7741,9.444941,-0.32892793,11.79952,-7.126879,8.335604,20.373358,12.921469,-9.4077425,-3.2579055,1.698217,-6.806094,-17.725885,16.491112,8.864695,-15.41028
5,1.067740797996521,2.6635794639587402,101.60244750976562,1.529835127037063,-1.6794206898585131,-113.39194232397303,2.8187158,-0.67468035,12.057625,-21.464663,8.741637,-11.103,-11.027827,47.652348,60.54401,14.564167,1.0910764,-14.572891,-4.74364,10.297126,-26.258257,62.25,9.40012,-0.22763541,11.821196,-7.3375645,8.475342,20.314936,13.170907,-9.424974,-3.3404784,1.5744123,-6.729091,-17.579407,16.53294,8.829853,-15.393349
6,1.0694406032562256,2.7116425037384033,101.59292602539062,1.4581837582557897,-1.645420616335971,-113.48557760291447,2.8581686,-0.5589538,12.123117,-21.802343,8.700521,-11.358235,-11.128802,48.147232,59.975548,15.60845,1.318171,-14.359367,-4.8730726,10.376383,-27.06579,61.726814,9.417098,-0.121231996,11.894765,-7.5767107,8.629834,20.244873,13.453248,-9.442643,-3.437185,1.4382312,-6.644193,-17.417147,16.57632,8.793549,-15.374523
7,1.0784897804260254,2.7693662643432617,101.58257293701172,1.3803629825441626,-1.6128177717872878,-113.59563574719584,2.8974025,-0.42490646,12.179985,-22.12435,8.672734,-11.659688,-11.215169,48.67371,59.41572,16.695133,1.5302125,-14.100489,-5.039189,10.436516,-27.935234,61.20199,9.433287,-0.045243826,11.986409,-7.826757,8.794875,20.18176,13.74968,-9.458084,-3.5358686,1.2846391,-6.554884,-17.229717,16.630222,8.754678,-15.3518
8,1.0867173671722412,2.838029384613037,101.57077026367188,1.2970547079730064,-1.588742728578913,-113.72865428492207,2.92689,-0.2734424,12.239265,-22.429995,8.675835,-12.02186,-11.280593,49.15769,58.859787,17.841822,1.7431608,-13.723596,-5.2379227,10.479651,-28.764227,60.657555,9.450223,-0.03598754,12.042468,-8.082447,8.978045,20.131094,14.071784,-9.477122,-3.643137,1.1166444,-6.458708,-17.012028,16.704481,8.710222,-15.332606
9,1.0913217067718506,2.9023406505584717,101.55624389648438,1.207078733446131,-1.5730426094101004,-113.88737856580768,2.964534,-0.10037501,12.293934,-22.709589,8.696444,-12.442618,-11.345232,49.668537,58.298378,19.15438,1.9685788,-13.230058,-5.479498,10.523962,-29.703934,60.102856,9.380068,-0.09029852,12.102628,-8.336213,9.181055,20.098686,14.424319,-9.5025015,-3.7687833,0.95450854,-6.3531775,-16.772867,16.781599,8.663818,-15.315479
