Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
0,0.14758974313735962,2.617522716522217,102.61561584472656,4.00039551331651,6.39762724554876,-108.26812565826742,-0.03529094,-5.5927825,6.0634384,-22.694252,4.1716795,-4.6316752,-10.233634,43.04191,65.27387,1.6453414,-1.1859043,-18.699965,-4.0990424,10.957694,-27.97965,65.43507,11.1153345,-0.12554207,11.136219,4.3702397,-9.256528,24.635628,8.315034,-3.4956872,-8.971213,-22.690443,-17.503307,9.198094,50.628235,8.713893,1.2831528
1,0.21234913170337677,2.3508424758911133,102.4934310913086,4.126363735787426,6.298527963940966,-108.33506395625284,-0.17511682,-5.7238255,6.2472973,-22.852995,4.176391,-4.563116,-10.268456,43.06853,65.18698,1.5447026,-1.1506985,-18.713383,-4.2376933,10.995436,-28.00738,64.691086,11.349509,-0.15764707,10.864632,4.63345,-9.490992,24.695196,8.349509,-3.5582533,-9.222152,-25.263712,-17.55335,10.518812,53.32966,6.8495364,2.6992052
2,0.28236499428749084,2.0905611515045166,102.35956573486328,4.251301593962201,6.198217140132396,-108.4021809750999,-0.30402637,-5.85314,6.443646,-23.072056,4.1741805,-4.4952226,-10.299722,43.102913,65.09432,1.4529202,-1.1096226,-18.745214,-4.374935,11.032361,-28.043507,63.92382,11.549052,-0.1735847,10.587649,4.900633,-9.725476,24.754917,8.3754,-3.6214933,-9.458294,-27.891468,-17.57589,11.9034605,56.091995,4.9615345,4.0898404
3,0.34430745244026184,1.8314685821533203,102.21330261230469,4.37704394726207,6.100882689468129,-108.4695312398754,-0.4422578,-5.9874325,6.6583705,-23.403511,4.1558537,-4.4280925,-10.358073,43.16912,64.95363,1.398869,-1.0631516,-18.783443,-4.486607,11.108227,-28.119463,63.06042,11.771972,-0.16332766,10.323359,5.1673946,-9.962375,24.815372,8.401886,-3.6852667,-9.714876,-30.528168,-17.55261,13.299729,58.807182,2.96421,5.4234605
4,0.4057258367538452,1.5586551427841187,102.05880737304688,4.49778413828271,6.010588427195278,-108.53584607541046,-0.6181744,-6.1215878,6.8386173,-23.605043,4.160954,-4.3664374,-10.409869,43.23121,64.82795,1.3413057,-1.0319599,-18.782053,-4.5794916,11.183693,-28.20861,62.182625,12.139661,-0.16680314,10.091347,5.43531,-10.199558,24.879051,8.425307,-3.7482314,-10.020665,-33.109093,-17.45576,14.641773,61.362328,0.78509796,6.677034
5,0.4789310395717621,1.2795209884643555,101.90037536621094,4.609097917192333,5.927788728857495,-108.61408463717918,-0.8309717,-6.2594585,6.998337,-23.766169,4.177939,-4.315196,-10.465813,43.29122,64.69249,1.2790594,-1.034453,-18.718021,-4.625064,11.277098,-28.32961,61.229298,12.729692,-0.16799946,9.8997,5.707565,-10.438735,24.950388,8.448922,-3.7988946,-10.398215,-35.67602,-17.352133,15.830215,63.78973,-1.9553022,8.087116
6,0.5342681407928467,0.9839067459106445,101.72411346435547,4.713207435772297,5.850590779355941,-108.70045353279055,-1.0669924,-6.3999386,7.145003,-23.902983,4.1997066,-4.265802,-10.521993,43.33667,64.540634,1.2034585,-1.0548137,-18.612005,-4.6280165,11.387778,-28.477839,60.195683,13.477843,-0.15464948,9.737775,5.982906,-10.67981,25.02811,8.469153,-3.8389494,-10.825276,-38.227196,-17.214851,16.936646,66.1277,-5.08093,9.591629
7,0.5997218489646912,0.6837089657783508,101.54840850830078,4.8175459433935535,5.7796330357603205,-108.76905039625125,-1.3213384,-6.543419,7.2884755,-24.02129,4.221444,-4.205848,-10.5881815,43.360233,64.36954,1.128419,-1.0610726,-18.517094,-4.6278543,11.548978,-28.676752,59.100483,14.206095,-0.14098562,9.594468,6.2513537,-10.917467,25.101915,8.488312,-3.8910677,-11.272694,-40.605316,-16.894508,18.087997,68.263535,-7.8060784,10.7463455
8,0.639153003692627,0.37926873564720154,101.34733581542969,4.929808860980023,5.71513895662515,-108.793644047975,-1.5956261,-6.6800175,7.436707,-24.13263,4.2405853,-4.130751,-10.645411,43.350952,64.195946,1.0534023,-1.0090768,-18.500338,-4.666995,11.735762,-28.896807,57.97563,14.788617,-0.12388965,9.4636,6.4979577,-11.144233,25.159887,8.518486,-3.977356,-11.715551,-42.638294,-16.270365,19.349571,70.07967,-9.341418,11.119744
9,0.6759650707244873,0.062126632779836655,101.15125274658203,5.074666126700937,5.651796057597512,-108.7637165051082,-1.8914005,-6.8405046,7.5962696,-24.23433,4.257198,-4.0326743,-10.696912,43.309265,64.008064,0.9655236,-0.8671081,-18.593773,-4.744835,12.00089,-29.181087,56.780094,15.12713,-0.10290511,9.3327465,6.7243676,-11.382805,25.215725,8.546583,-4.135521,-12.151553,-44.219692,-15.254078,20.821346,71.55196,-9.176428,10.346426
10,0.6935830116271973,-0.24650493264198303,100.9560317993164,5.240149113847296,5.590871381887666,-108.69390021228122,-2.2177253,-7.0154185,7.755302,-24.316101,4.2812014,-3.9352021,-10.720788,43.249023,63.844597,0.86720073,-0.6699658,-18.76367,-4.8416867,12.312062,-29.490683,55.526157,15.341647,-0.07631575,9.209049,6.936834,-11.6275625,25.268244,8.574965,-4.3453326,-12.59402,-45.42006,-13.929168,22.397993,72.74732,-7.825391,8.72398
11,0.7018910050392151,-0.5539215803146362,100.7669906616211,5.380245772671046,5.542515387387738,-108.59619731209729,-2.5685873,-7.1523623,7.8967166,-24.374264,4.3148527,-3.8521547,-10.712994,43.169815,63.747936,0.79491025,-0.48474538,-18.95693,-4.9819994,12.5925865,-29.771566,54.332535,15.547028,-0.06946437,9.11599,7.138881,-11.834131,25.288435,8.615148,-4.544264,-13.029282,-46.35527,-12.4563875,23.837624,73.681984,-6.053695,6.813471
12,0.7352017760276794,-0.8819031715393066,100.61675262451172,5.450258372214424,5.517150033663541,-108.48288716189111,-2.9243944,-7.2089977,8.020663,-24.421707,4.344662,-3.7801304,-10.687225,43.050526,63.711277,0.78108954,-0.3740386,-19.115108,-5.161845,12.840504,-30.03855,53.215176,15.791313,-0.07759769,9.071039,7.3379188,-11.965052,25.250055,8.671007,-4.6678843,-13.442995,-47.18487,-11.039943,24.89934,74.35936,-4.618926,5.212988
13,0.7572115659713745,-1.2103265523910522,100.4689712524414,5.425799994728328,5.522523694057248,-108.34624875531324,-3.289833,-7.159359,8.127569,-24.467838,4.3672247,-3.7148411,-10.654923,42.86915,63.720203,0.8599651,-0.37281445,-19.231396,-5.388422,13.063624,-30.312456,52.173126,16.058815,-0.108121924,9.086954,7.5372934,-11.996663,25.1244,8.74502,-4.68028,-13.833455,-47.949345,-9.712876,25.533236,74.75843,-3.6251888,4.0715027
14,0.7457002997398376,-1.5303281545639038,100.3182144165039,5.335147788767264,5.551787702421523,-108.18323864590077,-3.6649077,-7.0298815,8.223929,-24.509586,4.382559,-3.6464508,-10.620649,42.633057,63.754265,1.0047547,-0.43631935,-19.331455,-5.6624894,13.268729,-30.599348,51.18884,16.318964,-0.15778702,9.152327,7.737272,-11.957162,24.936457,8.824846,-4.6195464,-14.203201,-48.604717,-8.400872,25.898071,74.87481,-2.7079053,3.0782495
15,0.7471428513526917,-1.8876632452011108,100.18675231933594,5.213275343443392,5.593415052949748,-108.0131999728373,-4.0301967,-6.861158,8.31738,-24.538767,4.388291,-3.5708375,-10.584376,42.369137,63.81455,1.1493231,-0.51107,-19.406935,-5.970358,13.4576435,-30.883488,50.25441,16.597162,-0.20561118,9.2476015,7.9285035,-11.877961,24.735846,8.916489,-4.532656,-14.556019,-49.196144,-7.1643696,26.043674,74.73334,-1.9069767,2.1727967
16,0.7579119801521301,-2.2651000022888184,100.06632995605469,5.095592007824076,5.635468317976742,-107.85522982614381,-4.368556,-6.69316,8.414422,-24.547892,4.3845396,-3.4860048,-10.542201,42.10906,63.90413,1.2314564,-0.5434383,-19.450745,-6.295299,13.628922,-31.141024,49.363487,16.925879,-0.23208475,9.352411,8.1161,-11.798428,24.577099,8.997274,-4.4664984,-14.882404,-49.761345,-6.063432,26.012066,74.35882,-1.2607154,1.2977954
17,0.7553997039794922,-2.6564056873321533,99.95344543457031,4.994446107994263,5.670487382741941,-107.70972763413936,-4.6898174,-6.5397615,8.519168,-24.530912,4.3724537,-3.3975613,-10.489321,41.856155,64.03886,1.2171562,-0.5231579,-19.450323,-6.63744,13.780212,-31.363955,48.540012,17.329126,-0.24469061,9.485297,8.297702,-11.728594,24.47321,9.070617,-4.426054,-15.184039,-50.313065,-5.138199,25.771116,73.74364,-0.78670114,0.44027165
18,0.7330285906791687,-3.0470683574676514,99.84959411621094,4.889548439358689,5.706133726166004,-107.56778262907665,-5.002318,-6.378542,8.626512,-24.492477,4.355046,-3.3080633,-10.425313,41.60052,64.217255,1.1470162,-0.47836477,-19.414087,-7.0026393,13.910772,-31.557665,47.78229,17.789122,-0.250688,9.647894,8.476295,-11.647239,24.39695,9.138222,-4.3888035,-15.461275,-50.8351,-4.353638,25.314444,72.87582,-0.45583063,-0.3625701
19,0.7133357524871826,-3.447998046875,99.75470733642578,4.76876360391379,5.753579740108818,-107.43530586864195,-5.286911,-6.1954594,8.728096,-24.43932,4.3353353,-3.2132435,-10.354304,41.358326,64.4185,1.0749209,-0.41250867,-19.366322,-7.386032,14.02191,-31.719728,47.048603,18.27348,-0.23030476,9.793936,8.590193,-11.522157,24.314114,9.313406,-4.362926,-15.76622,-51.306267,-3.6457226,24.711525,71.77594,-0.23520353,-1.093354
20,0.6760841608047485,-3.8556885719299316,99.6715316772461,4.620006950550581,5.8237953765879285,-107.31814644150315,-5.526616,-5.9766254,8.815217,-24.378393,4.3184013,-3.108966,-10.283839,41.150276,64.61946,1.0563536,-0.3282237,-19.332504,-7.7786536,14.116558,-31.84378,46.292152,18.751152,-0.16430312,9.876154,8.644926,-11.346962,24.215334,9.579503,-4.3562574,-16.090866,-51.706856,-2.951599,24.03328,70.46352,-0.094140716,-1.7355186
21,0.639016330242157,-4.2761688232421875,99.59593200683594,4.438921971860713,5.922462898062199,-107.21282508121205,-5.714055,-5.7128677,8.883944,-24.309607,4.3053575,-2.9893365,-10.218801,40.980103,64.804504,1.1281084,-0.20096584,-19.324503,-8.186727,14.194291,-31.927488,45.499622,19.216959,-0.019728594,9.868087,8.686032,-11.136533,24.110945,9.841202,-4.3712597,-16.38479,-52.045715,-2.2796228,23.242952,68.92876,-0.076929554,-2.2967834
22,0.5818151235580444,-4.715714454650879,99.521240234375,4.2320992771219546,6.0428572899062925,-107.11796272629903,-5.8612475,-5.411682,8.939905,-24.229925,4.2954984,-2.8546803,-10.159855,40.840317,64.980835,1.2544209,-0.035494305,-19.327665,-8.612115,14.254658,-31.97317,44.695282,19.685167,0.1825905,9.797606,8.712156,-10.89594,24.007168,10.103384,-4.404079,-16.652395,-52.317642,-1.6457812,22.311565,67.16219,-0.17002052,-2.7800357
23,0.5245683193206787,-5.16501522064209,99.45449829101562,4.004288551171159,6.1771730421982785,-107.04289904186204,-5.97749,-5.0852094,8.989603,-24.144636,4.288543,-2.7159944,-10.107618,40.74488,65.16112,1.3974328,0.12233488,-19.326994,-9.033496,14.3023,-31.980492,43.88007,20.158571,0.3822473,9.69911,8.733378,-10.634838,23.91661,10.363407,-4.4529114,-16.90739,-52.489594,-1.0037127,21.329424,65.18329,-0.26616663,-3.161125
24,0.46969932317733765,-5.621037483215332,99.39021301269531,3.7603884343843346,6.3177682378635,-106.99696640293969,-6.0741887,-4.7464824,9.040129,-24.058962,4.2860575,-2.586402,-10.062827,40.713768,65.358955,1.5244098,0.22661056,-19.307545,-9.427255,14.3455715,-31.94794,43.05006,20.637808,0.5202387,9.607324,8.755932,-10.361591,23.850422,10.626877,-4.5154233,-17.16719,-52.53407,-0.30882353,20.39579,63.008934,-0.26268116,-3.4138455
