Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
0,0.06960146874189377,2.9673147201538086,101.72627258300781,1.0623313278130255,-1.0813309505723532,-92.82336502421143,-2.8645573,-0.031079097,8.5471,-7.8662987,2.4056175,-4.9399467,-6.825539,17.247932,69.58596,-26.15221,-5.3485565,-17.183603,-2.3531766,9.108692,-25.614367,67.43769,27.460361,-5.607755,4.499748,-1.9638395,5.090136,3.783621,12.313213,-6.735281,-8.589974,-2.5096846,-6.6375585,-7.553219,13.449133,6.1600685,-12.756742
1,0.06841126084327698,2.967522382736206,101.72653198242188,1.0657315835609273,-1.0826765918896288,-92.82377803002065,-2.8641987,-0.03142132,8.547488,-7.8662944,2.4056425,-4.9398565,-6.847117,17.249166,69.58614,-26.152649,-5.3485274,-17.182987,-2.3533611,9.123246,-25.616234,67.43727,27.46066,-5.6082597,4.499505,-1.952494,5.0865993,3.791448,12.298278,-6.7366095,-8.581303,-2.5131545,-6.6410427,-7.5502257,13.456728,6.159572,-12.760385
2,0.06644541025161743,2.9710144996643066,101.72598266601562,1.083183939056047,-1.0860216967844445,-92.82445275357394,-2.8487506,-0.045383684,8.569761,-7.8746333,2.4151213,-4.9292083,-6.901018,17.262505,69.54988,-26.152407,-5.351806,-17.126492,-2.3396792,9.160471,-25.644583,67.37582,27.47197,-5.6304345,4.4765625,-1.9139487,5.066998,3.817411,12.242905,-6.7372227,-8.552001,-2.5606263,-6.663789,-7.51766,13.529722,6.1595836,-12.792246
3,0.07075229287147522,2.9705910682678223,101.72801971435547,1.0919014533193379,-1.0885663268624748,-92.82514215425752,-2.8428805,-0.04760153,8.588638,-7.8877273,2.425643,-4.906615,-6.9520345,17.275377,69.50054,-26.147163,-5.3514442,-17.091562,-2.322735,9.196344,-25.671862,67.31597,27.461515,-5.637055,4.4604874,-1.8802642,5.0535984,3.840286,12.196813,-6.7348895,-8.529546,-2.5519753,-6.67567,-7.5212913,13.521338,6.163297,-12.788071
4,0.07414055615663528,2.973928213119507,101.72840118408203,1.0958162448893936,-1.09125750034544,-92.82596025412708,-2.8327959,-0.045304377,8.606879,-7.903651,2.4330564,-4.887381,-7.0003333,17.288748,69.447205,-26.12901,-5.3478823,-17.057974,-2.3054893,9.230769,-25.69863,67.25245,27.442303,-5.639817,4.44096,-1.8761873,5.0473576,3.8439813,12.192495,-6.732476,-8.525414,-2.5557752,-6.682409,-7.517134,13.52746,6.165291,-12.788372
5,0.07581853121519089,2.974902629852295,101.72747039794922,1.095355045189855,-1.0919465363761265,-92.82617514687004,-2.8327298,-0.045312904,8.6069,-7.9036555,2.4330587,-4.8873754,-7.0035257,17.288868,69.44719,-26.129007,-5.347894,-17.057932,-2.3054883,9.23303,-25.698786,67.2524,27.442251,-5.6398563,4.440939,-1.8855938,5.0474114,3.8380902,12.207364,-6.7301373,-8.5329485,-2.5656633,-6.6838784,-7.5102434,13.542171,6.16618,-12.794372
6,0.07283592224121094,2.9783873558044434,101.72572326660156,1.0826273635060357,-1.0981735378035762,-92.82994263974982,-2.8159199,-0.025701819,8.635279,-7.925385,2.4332902,-4.8705716,-7.0486364,17.303455,69.38872,-26.086702,-5.3538914,-17.022612,-2.292507,9.265435,-25.724216,67.17017,27.374554,-5.6437726,4.401238,-1.9257102,5.0656347,3.8128958,12.2785845,-6.730093,-8.567058,-2.5454197,-6.6660004,-7.518439,13.51932,6.163048,-12.78228
7,0.0698646679520607,2.980182409286499,101.72550964355469,1.0729153206394364,-1.1016366846655905,-92.8314073605349,-2.8071344,-0.0084054405,8.657611,-7.949101,2.4293134,-4.852882,-7.0914164,17.31876,69.33359,-26.04494,-5.360587,-16.99878,-2.2803023,9.296575,-25.749146,67.10152,27.31601,-5.6419425,4.371168,-1.9459095,5.0793138,3.7992413,12.314776,-6.730048,-8.585308,-2.5194793,-6.6509776,-7.5334992,13.4855175,6.160444,-12.766315
8,0.07495824992656708,2.983008623123169,101.72591400146484,1.067901298059288,-1.1043712835349249,-92.83086714229134,-2.8040264,0.0036521424,8.676322,-7.9729137,2.4255965,-4.827935,-7.13199,17.334661,69.27573,-26.009613,-5.3699045,-16.976562,-2.2663665,9.326625,-25.773893,67.03967,27.273493,-5.640319,4.349034,-1.9562418,5.082609,3.7916934,12.332257,-6.7260504,-8.593015,-2.5006313,-6.6468787,-7.5453486,13.459206,6.162999,-12.7521
9,0.06716369837522507,2.983262538909912,101.72684478759766,1.0723984437119072,-1.1061726083904793,-92.8266720032021,-2.799694,0.0055845142,8.690987,-7.995663,2.4221215,-4.806405,-7.170217,17.35202,69.2145,-25.972221,-5.3730807,-16.949247,-2.2508576,9.355546,-25.799406,66.98453,27.262758,-5.6390133,4.336369,-1.93757,5.081168,3.798662,12.305169,-6.7299423,-8.579013,-2.4962256,-6.647284,-7.552954,13.458231,6.1589117,-12.753037
10,0.06779135763645172,2.985811948776245,101.7267837524414,1.0767138229982764,-1.1074141308654981,-92.82308852565404,-2.8003814,0.0059821554,8.690844,-7.995714,2.422121,-4.8063345,-7.183149,17.353018,69.21403,-25.971931,-5.3735576,-16.948877,-2.251017,9.36574,-25.801455,66.984116,27.263382,-5.639338,4.336245,-1.9333278,5.0759444,3.7991452,12.296723,-6.7298603,-8.571606,-2.5070457,-6.6536784,-7.5482807,13.475236,6.1595345,-12.75984
11,0.06131502985954285,2.9857680797576904,101.72773742675781,1.0903328420034675,-1.1079114301506616,-92.81319797678412,-2.8000927,-0.0067754663,8.706777,-8.022709,2.4213731,-4.7754736,-7.2174177,17.373981,69.124596,-25.920391,-5.3849983,-16.903437,-2.2270675,9.39275,-25.829744,66.921,27.30407,-5.6419816,4.3357396,-1.8945031,5.062061,3.814119,12.23415,-6.7335377,-8.53938,-2.5265307,-6.6679654,-7.5470967,13.509702,6.157067,-12.777562
12,0.06405284255743027,2.988081216812134,101.72736358642578,1.0929240456022833,-1.1088315406000147,-92.81053646410187,-2.801251,-0.005603087,8.706474,-8.022831,2.4213848,-4.775472,-7.2343388,17.376038,69.12327,-25.919294,-5.3863754,-16.902487,-2.2270727,9.406823,-25.83364,66.92025,27.305117,-5.6425805,4.3354473,-1.8976986,5.057872,3.8106158,12.236996,-6.732807,-8.538114,-2.5366914,-6.6736155,-7.542144,13.524683,6.158759,-12.783043
13,0.06467606872320175,2.9964635372161865,101.72512817382812,1.0875894563700097,-1.1089527637416703,-92.80885177272087,-2.7938514,-0.0021557563,8.724997,-8.054916,2.421834,-4.7443867,-7.265428,17.399372,69.0308,-25.838938,-5.414459,-16.852325,-2.2009044,9.432012,-25.862469,66.848724,27.322994,-5.6351795,4.328816,-1.924687,5.0641985,3.791716,12.268529,-6.7343616,-8.547882,-2.5652068,-6.670072,-7.52659,13.558826,6.1569095,-12.793904
14,0.06563381105661392,2.99800968170166,101.72574615478516,1.0843697082437485,-1.1095582157399781,-92.80967124034673,-2.7941606,-0.0014945529,8.724876,-8.054957,2.4218392,-4.744482,-7.2722344,17.399855,69.03032,-25.838417,-5.4150043,-16.852077,-2.2008057,9.438027,-25.863434,66.848656,27.323114,-5.6351805,4.3287506,-1.9227997,5.0670424,3.7934058,12.26544,-6.7355413,-8.54637,-2.5519683,-6.665675,-7.5349736,13.5381565,6.156938,-12.783235
15,0.0700450912117958,2.995938301086426,101.72789001464844,1.0633347030892641,-1.109045019971056,-92.81366135736621,-2.7884357,0.02236127,8.741961,-8.091448,2.4256356,-4.712799,-7.301127,17.424076,68.94989,-25.742239,-5.466347,-16.807457,-2.1754537,9.461724,-25.891985,66.77951,27.314068,-5.6161547,4.317073,-1.9425147,5.0888724,3.7840073,12.297446,-6.7369833,-8.563626,-2.485984,-6.638244,-7.5730963,13.439321,6.1577377,-12.738044
16,0.06971711665391922,2.9974095821380615,101.72657012939453,1.0626640647583678,-1.10953382156621,-92.81431633373779,-2.7884512,0.022581534,8.74193,-8.091467,2.4256382,-4.712894,-7.304582,17.424395,68.949715,-25.742067,-5.4665303,-16.807371,-2.1753926,9.464729,-25.89243,66.77949,27.314085,-5.6161485,4.317033,-1.9537747,5.090456,3.777372,12.314136,-6.7372055,-8.571306,-2.50013,-6.638539,-7.5634565,13.459624,6.1571565,-12.746547
17,0.06935156881809235,2.999462127685547,101.72650909423828,1.0609119319232265,-1.1098197377122967,-92.81533087332082,-2.7884612,0.02291088,8.74194,-8.091485,2.4256415,-4.712989,-7.308255,17.424786,68.94946,-25.741867,-5.466793,-16.807236,-2.1752975,9.4679985,-25.89295,66.77945,27.314089,-5.616168,4.316949,-1.9578301,5.0927505,3.7761476,12.318997,-6.735778,-8.573132,-2.500104,-6.636085,-7.5631013,13.457383,6.1563964,-12.744155
18,0.07000047713518143,3.001585006713867,101.72637939453125,1.0592622634577604,-1.1094218108495115,-92.81692940739633,-2.7882578,0.023537239,8.742063,-8.091508,2.4256456,-4.713153,-7.3136806,17.425644,68.94901,-25.741602,-5.467267,-16.806927,-2.1750839,9.472847,-25.89385,66.77934,27.31399,-5.616289,4.316735,-1.96466,5.094605,3.774215,12.326766,-6.732537,-8.576315,-2.5015805,-6.634339,-7.5612683,13.455817,6.156159,-12.741875
19,0.06765905767679214,3.005521297454834,101.72782897949219,1.0558834201645206,-1.102735488673177,-92.82177537727868,-2.7671247,0.046951085,8.763892,-8.113314,2.4197562,-4.6856484,-7.338688,17.456812,68.86885,-25.693369,-5.4644885,-16.791067,-2.1479065,9.494239,-25.926912,66.69671,27.281713,-5.619451,4.283701,-1.98943,5.1007857,3.7682443,12.3492985,-6.729513,-8.584899,-2.4893956,-6.625439,-7.5635676,13.417666,6.1540384,-12.721344
