Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
0,0.9756659269332886,3.3301260471343994,101.4892349243164,1.1256181298222534,-0.5923918902827783,-85.55190000629364,-0.37092862,-0.9585155,7.239913,-10.932597,-6.4016757,-9.441791,-8.859026,19.339931,72.85993,13.737685,10.024183,1.6049274,-5.088996,10.379493,-7.9050317,75.09475,-0.44571653,0.4941648,-3.7264335,-2.086334,2.228311,22.39785,15.926592,-4.8318863,-13.783402,-0.07179017,-7.2194114,-25.779705,14.899794,8.496231,-12.110555
1,0.9970620274543762,3.3353664875030518,101.48883056640625,1.139512188297835,-0.5898299150023896,-85.55990728247541,-0.31316194,-0.97365814,7.2218394,-10.913888,-6.450524,-9.425299,-8.923792,19.348274,72.90551,13.812239,9.967238,1.6395739,-5.1246004,10.43578,-7.892395,75.17632,-0.4457556,0.45316836,-3.7353244,-2.071893,2.1935303,22.418116,15.896003,-4.817538,-13.773976,-0.10291949,-7.257226,-25.754948,14.936843,8.507848,-12.114453
2,1.0142492055892944,3.34442400932312,101.48649597167969,1.1535796299427303,-0.5871154294939298,-85.56797586383163,-0.24962676,-0.9977163,7.224261,-10.899624,-6.5383115,-9.373645,-9.04099,19.356634,72.86733,13.89345,9.926182,1.7089128,-5.174204,10.549948,-7.8375854,75.25106,-0.4130991,0.4018644,-3.8085723,-2.0749986,2.1658134,22.428223,15.890125,-4.804466,-13.772918,-0.15730064,-7.3009458,-25.715044,15.007451,8.516621,-12.132999
3,1.0297261476516724,3.3496174812316895,101.4834976196289,1.1665769321808408,-0.5847314737396827,-85.57608570164696,-0.19708215,-1.0246344,7.2288456,-10.905371,-6.6083317,-9.319555,-9.143818,19.355507,72.81272,13.963191,9.90611,1.7611046,-5.2016206,10.662178,-7.758968,75.29871,-0.3678955,0.3647786,-3.8588574,-2.0798626,2.14202,22.43632,15.892096,-4.7934885,-13.776968,-0.21023913,-7.342964,-25.675295,15.079887,8.525618,-12.154572
4,1.0488938093185425,3.3574771881103516,101.47932434082031,1.1776031008249987,-0.583475484648968,-85.58438073776749,-0.1568173,-1.0561668,7.2393403,-10.915593,-6.6714873,-9.286588,-9.258062,19.338148,72.782104,14.0337715,9.895637,1.8139831,-5.2287107,10.803152,-7.635113,75.35874,-0.3057998,0.32926145,-3.8773863,-2.0946913,2.121436,22.438751,15.910741,-4.780094,-13.788502,-0.26766503,-7.386471,-25.631405,15.158971,8.536247,-12.177347
5,1.0688174962997437,3.370755910873413,101.47496795654297,1.185578653682405,-0.5843904349618514,-85.59204504984355,-0.1339401,-1.0917647,7.25976,-10.940458,-6.7297263,-9.266132,-9.377654,19.295033,72.74786,14.100646,9.923844,1.8555632,-5.243947,10.971546,-7.466,75.41591,-0.2299275,0.30316812,-3.8499572,-2.119261,2.1064613,22.434847,15.94405,-4.7650704,-13.8043,-0.32760102,-7.4278293,-25.585583,15.240934,8.547132,-12.199366
6,1.0878552198410034,3.3751420974731445,101.46925354003906,1.190445038191725,-0.5867900394004374,-85.59928970101959,-0.12580861,-1.138055,7.29489,-10.983343,-6.7823772,-9.256284,-9.510343,19.220125,72.70428,14.152422,9.978884,1.9075251,-5.246684,11.18673,-7.241573,75.45748,-0.1306274,0.28456703,-3.8111765,-2.1448903,2.0987735,22.427761,15.992276,-4.75334,-13.831392,-0.37540555,-7.4633327,-25.546162,15.315507,8.560171,-12.222867
7,1.1088351011276245,3.3813397884368896,101.46268463134766,1.1974453320679876,-0.5888106202621339,-85.60776860401452,-0.118302695,-1.1906956,7.326196,-11.022869,-6.8377643,-9.257645,-9.631409,19.125881,72.687614,14.193078,10.024692,1.9485077,-5.2509265,11.414727,-7.0023766,75.51065,-0.027628273,0.269294,-3.7462049,-2.1742005,2.0884392,22.419956,16.044428,-4.7399564,-13.860041,-0.4338978,-7.505242,-25.498112,15.403756,8.573757,-12.250875
8,1.1355303525924683,3.3986427783966064,101.45706176757812,1.2065899458830818,-0.588123577391838,-85.61931329253713,-0.10394623,-1.2518262,7.3484163,-11.052977,-6.89712,-9.260229,-9.742919,19.018574,72.69391,14.218348,10.037594,1.9783599,-5.2573004,11.65576,-6.7484927,75.57044,0.085003555,0.25704527,-3.671623,-2.2084758,2.0699465,22.414387,16.088127,-4.720097,-13.880835,-0.5104001,-7.5557623,-25.43712,15.50262,8.586669,-12.2759905
9,1.1612296104431152,3.41560959815979,101.45149230957031,1.2249135405438616,-0.5854509654728437,-85.63511969293448,-0.08573204,-1.3335046,7.370647,-11.084247,-6.9573016,-9.248704,-9.860781,18.902237,72.68154,14.231117,10.020451,2.0073214,-5.2508926,11.944671,-6.458266,75.60618,0.22352734,0.2545232,-3.6068857,-2.232334,2.038074,22.419153,16.112125,-4.6997943,-13.893036,-0.6066109,-7.6214857,-25.35922,15.627714,8.59826,-12.312151
