Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
0,-0.5958219766616821,-1.528454303741455,102.51313781738281,-0.269759443440367,-2.1121339864622986,-98.47103393152989,-2.942597,0.4723265,12.929318,-9.837768,4.6621137,-5.01623,-8.141623,40.088104,65.756836,-20.456938,-4.224629,-6.6885014,-4.2480545,7.824823,-17.176682,67.07925,12.684596,-1.07905,-1.1603858,4.7396097,5.327777,20.651497,15.786309,-7.2659497,-13.7344475,1.8879344,-4.215338,-8.592794,14.09477,6.1240897,-13.3692465
1,-0.5978270173072815,-1.5893148183822632,102.51295471191406,-0.2696555870206454,-2.049892005068919,-98.49889157349638,-2.9676983,0.45009974,12.989576,-9.877238,4.6797357,-5.0566216,-8.1865635,40.114964,65.79404,-20.413471,-4.179137,-6.69994,-4.2854724,7.8750052,-17.179203,67.02491,12.5981,-1.0578759,-1.1265515,4.742917,5.313869,20.692198,15.73419,-7.2648997,-13.733739,1.8717189,-4.2173996,-8.574378,14.05608,6.125404,-13.371625
2,-0.6010382175445557,-1.6452856063842773,102.51229095458984,-0.27280011829556494,-1.9919275090359982,-98.53196620737438,-2.993836,0.43305036,13.072862,-9.950473,4.709718,-5.1223183,-8.230925,40.137207,65.83206,-20.368368,-4.1235375,-6.7104745,-4.340091,7.9246354,-17.179626,66.96397,12.493953,-1.0274122,-1.0870237,4.7418776,5.306754,20.734491,15.696891,-7.264457,-13.738481,1.8491061,-4.2157564,-8.546832,14.029307,6.1245165,-13.37675
3,-0.6067920923233032,-1.706333041191101,102.51084899902344,-0.27095262923501034,-1.9255172086436398,-98.554691638572,-3.0266416,0.41148427,13.158475,-10.046186,4.7483006,-5.197336,-8.274747,40.155655,65.871605,-20.325115,-4.0724406,-6.717996,-4.403824,7.9739866,-17.179115,66.90701,12.396636,-1.0060923,-1.0513144,4.7380915,5.292933,20.766417,15.645582,-7.2647347,-13.73697,1.8149765,-4.2196064,-8.523169,14.012859,6.1246367,-13.390942
4,-0.6147562861442566,-1.7647266387939453,102.51274108886719,-0.2584734850220212,-1.837586851112053,-98.55119141219674,-3.0742702,0.37853926,13.23232,-10.1533375,4.794337,-5.2759957,-8.3184,40.17075,65.908966,-20.283955,-4.032025,-6.718542,-4.4768395,8.023886,-17.179043,66.86204,12.323433,-1.0087135,-1.0276272,4.7179837,5.264201,20.768772,15.559317,-7.2629743,-13.712998,1.7684869,-4.2330017,-8.521616,13.9801655,6.1260667,-13.399763
5,-0.6259634494781494,-1.814874291419983,102.5154800415039,-0.23213281592542073,-1.728825494242401,-98.53046887643863,-3.1357572,0.32864988,13.29107,-10.257664,4.852807,-5.3559003,-8.361148,40.183723,65.94472,-20.254913,-4.014574,-6.707785,-4.553459,8.073581,-17.182919,66.81504,12.332415,-1.0377553,-1.0293452,4.675253,5.2196727,20.741617,15.448849,-7.2613616,-13.671581,1.6710222,-4.262126,-8.50936,13.983121,6.127393,-13.423599
6,-0.6393640041351318,-1.8678432703018188,102.51921081542969,-0.19686383275152275,-1.6041846480119428,-98.4958527301709,-3.2094343,0.26206762,13.377687,-10.4597025,4.986706,-5.4668,-8.444241,40.206703,65.94563,-20.204277,-4.0245333,-6.6712155,-4.655014,8.171947,-17.197132,66.74915,12.379687,-1.104547,-1.071907,4.629309,5.161336,20.699602,15.305262,-7.2603807,-13.6139765,1.5588807,-4.3001184,-8.503833,13.985376,6.130158,-13.45083
7,-0.6511735916137695,-1.9103724956512451,102.51580810546875,-0.16695049776321003,-1.4587319446083347,-98.4226266255412,-3.2953997,0.1995463,13.425772,-10.575842,5.062927,-5.535173,-8.536662,40.22389,65.924576,-20.154781,-4.021993,-6.63799,-4.742522,8.283846,-17.215157,66.70835,12.373734,-1.1842986,-1.1087285,4.45196,5.1379986,20.546886,15.304679,-7.2552,-13.610292,1.3659828,-4.3393736,-8.49017,14.074755,6.1335034,-13.517299
8,-0.6687654852867126,-1.942947506904602,102.51457977294922,-0.14060807740997183,-1.2862180622449597,-98.28813988194949,-3.4083438,0.13700834,13.455255,-10.742865,5.1252413,-5.5904503,-8.611398,40.23177,65.85308,-20.079033,-3.965497,-6.591062,-4.877241,8.377921,-17.229298,66.783035,12.168417,-1.3158163,-1.1228926,4.1915216,5.132388,20.30307,15.346153,-7.2426314,-13.607021,1.1671618,-4.3697643,-8.540756,14.132588,6.1346984,-13.570962
9,-0.6886540055274963,-1.9736049175262451,102.51270294189453,-0.10699368443709709,-1.076640342048497,-98.09349365251903,-3.5471468,0.05826209,13.472946,-11.007149,5.1374593,-5.634974,-8.718043,40.225998,65.70316,-19.991043,-3.840231,-6.532949,-5.138331,8.521258,-17.243462,67.103065,11.649324,-1.6148775,-1.116425,3.8421643,5.1293693,19.959995,15.42326,-7.2203865,-13.606622,0.9252761,-4.4090614,-8.633302,14.2045765,6.1381507,-13.636219
