Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
0,1.6003413200378418,1.2774357795715332,102.31058502197266,0.7483435446005303,0.15632276977891343,-88.52081285473454,-3.5421183,-0.95020586,5.576697,-11.5398655,1.8298509,-5.2131844,-3.5234222,21.581245,66.637856,-25.359562,-2.589795,-6.660336,-7.112457,4.875335,-41.94291,68.31787,16.074427,3.4625516,12.819873,0.45262408,3.2763689,7.737172,12.407806,-6.3232594,-12.41922,-0.7396726,-5.980239,-8.0749855,14.36796,8.163145,-13.298308
1,1.6499377489089966,1.3244664669036865,102.31281280517578,0.7536519830711714,0.20419887799433017,-88.49708695087912,-3.6697176,-0.9513945,5.6137457,-11.586761,1.8875182,-5.224252,-3.6640923,21.578642,66.25449,-25.04008,-2.745586,-6.557163,-7.048123,4.9767933,-42.052788,68.26929,16.065514,3.4847858,12.785978,0.3081534,3.2421024,7.6431913,12.474871,-6.2810082,-12.42112,-0.83240247,-6.0174413,-8.043623,14.366457,8.1934185,-13.26398
2,1.6967796087265015,1.378786563873291,102.31468963623047,0.7577878522579465,0.24989914655034665,-88.47467282401466,-3.7758403,-0.9623101,5.6756682,-11.6706,1.9712298,-5.2144914,-3.7948594,21.560385,65.83083,-24.72394,-2.894525,-6.439967,-6.9908786,5.0731983,-42.16509,68.1853,16.056185,3.5465474,12.763444,0.15048279,3.2114964,7.5419464,12.560537,-6.239627,-12.427968,-0.93751746,-6.052907,-8.003097,14.379787,8.221524,-13.232794
3,1.7449312210083008,1.43387770652771,102.3156509399414,0.763843938971103,0.30113894788712714,-88.44903445451561,-3.89442,-0.9797653,5.738162,-11.778925,2.0749154,-5.202262,-3.917278,21.524769,65.379395,-24.384174,-3.0369003,-6.3506675,-6.9293237,5.1653914,-42.282265,68.099014,16.07872,3.6079566,12.739832,-0.018033527,3.1779985,7.432446,12.650384,-6.1971292,-12.435745,-1.0583665,-6.092082,-7.956691,14.406257,8.250201,-13.20705
4,1.7924799919128418,1.4944874048233032,102.31721496582031,0.772084633859936,0.36640279175793095,-88.41540509800082,-4.049059,-1.0027486,5.793016,-11.9061575,2.2040386,-5.1971617,-4.0321198,21.46828,64.892914,-23.959766,-3.183455,-6.332996,-6.847121,5.25386,-42.409267,68.011116,16.179728,3.641759,12.704093,-0.20655069,3.1408203,7.306849,12.734326,-6.1541004,-12.4352455,-1.2028102,-6.1343255,-7.9073777,14.4374075,8.277746,-13.179678
5,1.8473899364471436,1.5527304410934448,102.3192138671875,0.7854888711077053,0.4450519834098195,-88.37205548974694,-4.2467046,-1.0299065,5.8378115,-12.047827,2.3656168,-5.2044525,-4.1401005,21.38703,64.37386,-23.404753,-3.3377082,-6.4191465,-6.7346506,5.339147,-42.55113,67.92466,16.385738,3.6305323,12.6578,-0.39755,3.091916,7.1746454,12.794108,-6.1068797,-12.422505,-1.3602748,-6.186335,-7.862254,14.4671,8.308576,-13.152621
6,1.9092566967010498,1.6139832735061646,102.32141876220703,0.8001220651032828,0.5336743891006156,-88.32164468689993,-4.4670796,-1.0596275,5.874314,-12.19942,2.5555985,-5.2219033,-4.2419086,21.280727,63.841434,-22.751923,-3.5023625,-6.588897,-6.598561,5.4217005,-42.709824,67.83792,16.673273,3.5849893,12.603003,-0.6028852,3.0365632,7.0304284,12.85096,-6.055864,-12.405765,-1.5314566,-6.2440896,-7.8179774,14.496867,8.342171,-13.123428
7,1.9708971977233887,1.6901582479476929,102.3252944946289,0.818094407326038,0.6361160621928937,-88.2658114481218,-4.693037,-1.0930994,5.9028935,-12.359798,2.762766,-5.2453794,-4.3380213,21.151545,63.303,-22.062302,-3.6827204,-6.802212,-6.4470735,5.501845,-42.88545,67.738884,17.012955,3.529244,12.529762,-0.831127,2.9759452,6.871254,12.899331,-6.0026593,-12.375437,-1.7347138,-6.3058867,-7.762522,14.533537,8.374932,-13.08793
8,2.0329129695892334,1.7659012079238892,102.3296127319336,0.8383796852464044,0.7563816507987062,-88.20599947232847,-4.9104223,-1.132292,5.924017,-12.530255,2.9728189,-5.2702928,-4.428888,21.003014,62.76311,-21.400982,-3.8811033,-7.017033,-6.288745,5.57986,-43.076176,67.614075,17.374308,3.491531,12.42741,-1.0742619,2.9104865,6.7017927,12.934289,-5.947929,-12.337414,-1.954648,-6.3694897,-7.7021513,14.5603285,8.410081,-13.045153
9,2.1049752235412598,1.838618278503418,102.33553314208984,0.8592488223666302,0.8937044403404146,-88.13957243513833,-5.1366987,-1.1756383,5.938069,-12.706625,3.1815944,-5.2982,-4.5148416,20.837404,62.210403,-20.779726,-4.098925,-7.215576,-6.1174545,5.6560287,-43.28528,67.46194,17.821188,3.4762337,12.283067,-1.327062,2.8367937,6.523298,12.950528,-5.8871436,-12.29033,-2.1752956,-6.4369106,-7.6478324,14.558013,8.453922,-12.987286
10,2.179133653640747,1.9333200454711914,102.34173583984375,0.8817666921470881,1.0465455190296942,-88.06677540179584,-5.374187,-1.223607,5.9430785,-12.886934,3.3892572,-5.3282347,-4.596238,20.654427,61.641964,-20.170519,-4.332135,-7.4168773,-5.9289155,5.730669,-43.5134,67.284035,18.347565,3.4753132,12.103711,-1.6264714,2.7592137,6.315381,12.986002,-5.8218994,-12.239109,-2.4446752,-6.508439,-7.5716496,14.577491,8.498785,-12.925868
11,2.2542808055877686,2.026299476623535,102.34851837158203,0.9096193091232511,1.2195302781009836,-87.99309768529969,-5.4369574,-1.2720981,5.988906,-13.269514,3.6698992,-5.263319,-4.74612,20.281641,60.950172,-19.55079,-4.6151414,-7.6232038,-5.723394,5.8762193,-43.965416,66.85056,18.789623,3.6055038,11.8770275,-1.9378458,2.6722822,6.101536,13.001482,-5.7555223,-12.17829,-2.7411726,-6.585667,-7.481292,14.5970955,8.545785,-12.861508
12,2.327587366104126,2.1177995204925537,102.3563003540039,0.9451450861333258,1.4122861542731813,-87.92546197181733,-5.4337516,-1.314675,6.03436,-13.697458,3.7283337,-5.129313,-4.9386554,19.734783,60.170616,-19.131767,-4.8861346,-7.756616,-5.5796237,6.08064,-44.597347,66.373116,18.75407,3.754793,11.678459,-2.2439148,2.574108,5.900222,12.972774,-5.6901155,-12.097425,-3.0678616,-6.6694984,-7.3700504,14.618867,8.592065,-12.793731
13,2.4079272747039795,2.2240347862243652,102.36477661132812,0.9899742551976326,1.6303141973784758,-87.86428262049604,-5.516645,-1.3886036,6.0279765,-13.978696,3.786381,-5.0856223,-5.048303,19.367418,59.554512,-18.6981,-5.1530232,-7.972441,-5.4571314,6.2071447,-44.980957,66.04156,18.596796,3.8891206,11.51463,-2.5694678,2.4581532,5.699202,12.914152,-5.6197076,-11.996007,-3.4588387,-6.7676477,-7.217784,14.6662445,8.640791,-12.723914
14,2.4955029487609863,2.3476738929748535,102.37416076660156,1.0423885619646,1.87092727019443,-87.8067439214327,-5.4978228,-1.4647062,6.053133,-14.468209,3.7848442,-4.976762,-5.1902943,18.825043,58.843372,-18.37624,-5.439267,-8.164042,-5.363401,6.3870053,-45.49871,65.562874,18.19364,4.1323185,11.356542,-2.9203122,2.3265934,5.4924073,12.836835,-5.5438485,-11.877333,-3.908877,-6.87763,-7.0291605,14.735043,8.692494,-12.649578
15,2.5827388763427734,2.458507537841797,102.38185119628906,1.100484294313016,2.1273278407132814,-87.75236464042557,-5.5520606,-1.5622069,6.043141,-14.830629,3.8243184,-4.9462175,-5.271879,18.459478,58.25684,-18.014463,-5.7067227,-8.423631,-5.2833524,6.5005608,-45.78898,65.195526,17.677837,4.281434,11.191956,-3.2679508,2.1866393,5.292,12.736673,-5.4687014,-11.754017,-4.3792005,-6.991824,-6.823619,14.809356,8.746008,-12.57949
16,2.6748738288879395,2.5750114917755127,102.38944244384766,1.1631151843149625,2.3924203281749046,-87.70142525868026,-5.574942,-1.6652362,6.0678244,-15.324734,3.850675,-4.922317,-5.3454447,18.0825,57.663998,-17.692772,-5.960311,-8.697224,-5.2529936,6.6131268,-46.021202,64.79168,16.889236,4.3355393,10.992786,-3.6295116,2.037783,5.0895715,12.636316,-5.3895235,-11.62745,-4.8773484,-7.111788,-6.593457,14.894989,8.802977,-12.50575
17,2.760976791381836,2.7209768295288086,102.39501953125,1.2330718398875156,2.6832997454465137,-87.65246558951458,-5.5795393,-1.7747711,6.105742,-15.914949,3.8506691,-4.911082,-5.4119253,17.697672,57.073734,-17.42031,-6.2044535,-8.976087,-5.2877545,6.7266197,-46.18647,64.382385,15.748438,4.2972455,10.695023,-4.0598,1.8818216,4.8562865,12.565894,-5.309044,-11.497978,-5.483437,-7.2364235,-6.2917128,15.054091,8.8553915,-12.448138
18,2.853970766067505,2.878357410430908,102.39739227294922,1.3099617361696532,2.9973023809001473,-87.60585896257366,-5.567908,-1.892447,6.1553288,-16.586733,3.8275998,-4.9118567,-5.472021,17.30788,56.488,-17.193478,-6.443047,-9.263558,-5.3777494,6.8422503,-46.280136,63.96471,14.314584,4.198138,10.322883,-4.5356765,1.7122651,4.6051917,12.513254,-5.222914,-11.370486,-6.166296,-7.370056,-5.935973,15.262137,8.911469,-12.403088
19,2.9464948177337646,3.0464653968811035,102.39708709716797,1.387179779215509,3.297860210951622,-87.56417120233365,-5.4701376,-2.009732,6.312835,-17.592289,3.727892,-4.892684,-5.550668,16.743458,55.83695,-17.087849,-6.6985855,-9.511027,-5.534141,7.0187187,-46.323627,63.42882,12.729802,3.9890347,9.961108,-5.029751,1.5429037,4.347208,12.507364,-5.135394,-11.259857,-6.872431,-7.502249,-5.554831,15.511505,8.96655,-12.362906
20,3.0269150733947754,3.243563413619995,102.38681030273438,1.457656061787349,3.5489181899799807,-87.52996780372926,-5.321846,-2.1322722,6.5253735,-18.523212,3.609401,-4.886814,-5.6168256,16.202013,55.228767,-16.95726,-6.9312525,-9.785404,-5.669499,7.1956134,-46.23074,62.82676,11.205769,3.5937905,9.731105,-5.5805225,1.3922998,4.0563917,12.662473,-5.0513415,-11.21068,-7.630786,-7.6247573,-5.1230683,15.899216,9.0113125,-12.359625
21,3.1110825538635254,3.459601402282715,102.39771270751953,1.5077231302456917,3.747983175390451,-87.51216527413088,-5.0742145,-2.232214,6.8807235,-19.700531,3.419225,-4.878745,-5.7018156,15.400817,54.585274,-16.982628,-7.193222,-9.975657,-5.743165,7.4863462,-45.8958,61.958206,10.135071,3.0183895,9.576074,-5.9349275,1.2557861,3.8846054,12.592098,-4.9648366,-11.052066,-8.759272,-7.745464,-4.394731,16.900133,9.049333,-12.617822
22,3.1963658332824707,3.6847877502441406,102.41482543945312,1.5439457026417036,3.912278998643954,-87.5069445844179,-4.8149743,-2.3253322,7.333941,-20.935501,3.2679024,-4.915202,-5.7856975,14.388344,53.973686,-17.180428,-7.500417,-10.055676,-5.6404176,7.9607515,-45.11877,60.6867,9.497955,2.3257143,9.382494,-6.2169495,1.1332912,3.7588732,12.467556,-4.8773603,-10.866495,-9.932465,-7.8455005,-3.6063278,18.006842,9.084713,-12.89464
23,3.2695679664611816,3.9162001609802246,102.42646026611328,1.594351728743478,4.033606267773189,-87.49729368225421,-4.687111,-2.4819896,7.897305,-22.30061,3.2588522,-5.046471,-5.818523,13.532594,53.396282,-17.377575,-7.789879,-10.1410055,-5.3084354,8.674171,-43.75761,58.892887,8.806605,1.5712726,9.146601,-6.4706755,1.0038763,3.639911,12.373131,-4.793926,-10.69056,-11.20882,-7.948846,-2.7577627,19.315935,9.115277,-13.199247
24,3.341120958328247,4.155168533325195,102.42794799804688,1.6868726708307562,4.10393554321374,-87.46605176612657,-4.685612,-2.7302117,8.531649,-23.740139,3.3706806,-5.2366295,-5.8072925,13.137677,52.8341,-17.35616,-7.9834695,-10.380913,-4.930536,9.419571,-42.046524,56.9205,7.333549,0.72554314,8.974002,-6.67864,0.8312674,3.5269442,12.295159,-4.707451,-10.515477,-12.645369,-8.080365,-1.8581831,20.91956,9.141695,-13.523122
25,3.416529655456543,4.448978900909424,102.41514587402344,1.8271773933543518,4.121864599936938,-87.4215025603809,-4.641343,-3.030712,9.250958,-25.31564,3.466896,-5.396478,-5.8057756,12.874204,52.191887,-17.322544,-8.085014,-10.670954,-4.6841774,10.0465555,-40.030056,55.019146,4.767126,-0.337332,8.878138,-6.914014,0.6068223,3.3916435,12.310843,-4.6085367,-10.353545,-14.252134,-8.253058,-0.93356496,22.774822,9.179917,-13.768754
26,3.4696593284606934,4.759655475616455,102.3915786743164,2.000865610490437,4.091224729528832,-87.36871037053983,-4.5634217,-3.3698218,10.062602,-27.024458,3.5581722,-5.544079,-5.8117175,12.637118,51.49396,-17.333033,-8.135223,-10.956005,-4.4313536,10.667911,-37.619938,52.980816,1.5185055,-1.5407014,8.755409,-7.130387,0.36025205,3.257735,12.373266,-4.516102,-10.201279,-16.005398,-8.462149,-0.011426478,24.856314,9.237833,-13.884051
27,3.5334343910217285,5.075824737548828,102.35343170166016,2.2043523170607666,4.011932274699226,-87.28559026670585,-4.475823,-3.7528682,10.939594,-28.733562,3.6332793,-5.6748996,-5.828359,12.430799,50.82125,-17.251749,-8.224251,-11.231435,-4.083148,11.320265,-35.00506,50.68713,-1.994029,-2.660603,8.535553,-7.347544,0.07893854,3.0954938,12.5232115,-4.4162726,-10.084835,-17.864458,-8.708886,0.85408545,27.216364,9.300534,-13.872385
