Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
0,-0.0007604685379192233,2.7724039554595947,102.02304077148438,-0.5049087273770475,-1.1430386427406451,-88.58095667298807,-4.054081,0.6265294,9.257305,-15.167495,3.8655262,-9.227133,-4.554414,20.305857,71.640854,-7.0714965,-2.4859934,-8.494556,-6.9337373,4.0222173,-26.436184,69.04111,26.206253,-5.4104304,13.772038,-2.9622784,3.246635,14.7565,14.90653,-2.345033,-11.763162,-2.931626,-3.9767063,-8.751546,16.898668,3.8580954,-12.346321
1,0.0030235350131988525,2.7722091674804688,102.0145263671875,-0.4974079993224143,-1.167472150445053,-88.58044461335793,-3.976676,0.6134728,9.31807,-15.213734,3.8287315,-9.232768,-4.6696515,20.400007,71.58135,-7.186283,-2.454122,-8.390923,-6.9563723,4.1500874,-26.532234,68.947365,26.115028,-5.423223,13.648304,-2.9726224,3.2457144,14.73212,14.972803,-2.3644724,-11.801501,-2.963956,-3.9909706,-8.701192,16.9966,3.8835318,-12.406553
2,-0.0012092480901628733,2.7745273113250732,102.00084686279297,-0.4899934211489171,-1.19042023994267,-88.57867095985546,-3.9060438,0.5989838,9.397784,-15.297069,3.7724853,-9.235514,-4.776951,20.50271,71.4978,-7.3011646,-2.4057882,-8.300317,-6.980046,4.2694354,-26.62483,68.83317,26.010456,-5.4201283,13.536451,-3.0239077,3.2566721,14.681832,15.098626,-2.3878732,-11.864594,-3.0362737,-4.006456,-8.628235,17.152111,3.9044287,-12.492646
3,-0.007215914782136679,2.7831459045410156,101.98411560058594,-0.482529255520568,-1.2161845356650125,-88.57964169760496,-3.8364453,0.5851154,9.483322,-15.404622,3.7054522,-9.2499485,-4.877339,20.615234,71.39872,-7.4299603,-2.3503022,-8.200986,-7.015132,4.3815036,-26.715958,68.721016,25.919693,-5.410193,13.4046335,-3.0985472,3.2739725,14.620678,15.262566,-2.4099367,-11.942701,-3.1277723,-4.022635,-8.542131,17.337004,3.9251404,-12.589982
4,-0.010366593487560749,2.786346912384033,101.96385192871094,-0.48009957618906884,-1.249020832148868,-88.58752001682602,-3.7631562,0.57286423,9.576266,-15.529474,3.6315525,-9.294925,-4.9720182,20.741432,71.27956,-7.594587,-2.2940636,-8.064111,-7.077138,4.48774,-26.809534,68.61804,25.862787,-5.39623,13.209568,-3.1898365,3.3022118,14.5555725,15.474843,-2.4285638,-12.047595,-3.2181864,-4.0352993,-8.450856,17.53663,3.9501731,-12.696935
5,-0.013832791708409786,2.786618709564209,101.93830871582031,-0.4847376309480995,-1.2872823480271574,-88.60018466461896,-3.6843503,0.5637529,9.679082,-15.670545,3.5507574,-9.37819,-5.0620933,20.880487,71.15641,-7.7413993,-2.23344,-7.875761,-7.1722293,4.589369,-26.904509,68.52188,25.77049,-5.3831983,12.929929,-3.3181052,3.3481066,14.472054,15.760852,-2.4430914,-12.188522,-3.318011,-4.0416555,-8.351222,17.762922,3.9804156,-12.819055
6,-0.016579994931817055,2.785161018371582,101.91059112548828,-0.4945034066448904,-1.3295791500861727,-88.61645911524005,-3.6025395,0.55749255,9.7899,-15.825894,3.4643428,-9.498515,-5.1483955,21.032818,71.03935,-7.870809,-2.1713512,-7.64776,-7.2988644,4.6873713,-27.001627,68.43684,25.647877,-5.371131,12.584052,-3.4669561,3.4050708,14.378905,16.0906,-2.454271,-12.351402,-3.4225583,-4.0436063,-8.246435,18.005697,4.014702,-12.950809
7,-0.021277597174048424,2.78951096534729,101.87973022460938,-0.5053411875974102,-1.3806975522504834,-88.64194761326358,-3.5187068,0.5515412,9.908868,-15.991292,3.377089,-9.655792,-5.231574,21.2071,70.90594,-8.092375,-2.1247325,-7.393781,-7.459656,4.7827544,-27.110254,68.37393,25.635895,-5.353705,12.194566,-3.6259136,3.4695172,14.288373,16.451696,-2.4649637,-12.528127,-3.5385401,-4.044633,-8.127176,18.275223,4.046603,-13.091613
8,-0.02587283030152321,2.79667067527771,101.8474349975586,-0.5149077368441548,-1.445074043562161,-88.68238411165545,-3.4318209,0.5413594,10.039481,-16.163174,3.2950618,-9.842907,-5.31222,21.416498,70.725624,-8.520254,-2.1143289,-7.13017,-7.6555376,4.876549,-27.244083,68.34269,25.885408,-5.3267713,11.788806,-3.7633603,3.534115,14.225178,16.807972,-2.477954,-12.705378,-3.651373,-4.0473185,-7.9954557,18.558037,4.0726404,-13.234655
9,-0.03286666050553322,2.806875228881836,101.81314849853516,-0.5247214442162625,-1.5285059398444543,-88.74012543713965,-3.339268,0.5149882,10.28146,-16.55472,3.1605196,-10.077123,-5.464683,21.89175,70.42244,-9.002454,-2.1674333,-6.855703,-7.9421425,5.056335,-27.555855,68.28007,26.324732,-5.2865868,11.301998,-3.8806648,3.6041155,14.190518,17.173855,-2.4949095,-12.890392,-3.7574914,-4.0493093,-7.8497763,18.859144,4.0908136,-13.383074
