Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
0,-0.287444531917572,3.329242706298828,102.3187484741211,0.49372162069754305,-1.5887640994457046,-91.86615618557207,-1.1361845,0.15513304,9.088568,-11.366944,4.7565565,-13.159578,-3.8250604,36.655334,63.7185,11.1169,7.0555587,-15.815576,-9.467226,3.3719108,-45.128716,61.99948,16.90611,2.6946747,2.3888016,1.9857627,1.9043168,14.734357,12.786509,-4.153699,-10.147288,-0.45016804,-5.023349,-21.171335,16.609148,5.1815586,-14.795355
1,-0.302022784948349,3.3603885173797607,102.32721710205078,0.48674924394728725,-1.534864120294433,-91.81433169204142,-1.1239103,0.15857068,9.124472,-11.234556,4.7222805,-13.117392,-3.9556463,36.721703,63.577988,11.1703825,7.057837,-15.810205,-9.460484,3.5166676,-45.20839,61.81088,16.813183,2.695824,2.3787043,1.904324,1.9182007,14.646735,12.755085,-4.1541653,-10.102243,-0.48307103,-4.9925833,-21.215342,16.530588,5.1658664,-14.746936
2,-0.32035160064697266,3.391428232192993,102.3355941772461,0.4797741041545518,-1.4808231695595753,-91.76284803978444,-1.1123147,0.16167498,9.170327,-11.032363,4.6665764,-13.067018,-4.0772104,36.78784,63.400852,11.224621,7.079358,-15.826871,-9.450302,3.6511106,-45.285297,61.596706,16.721653,2.7243965,2.3748274,1.8227881,1.9339441,14.558761,12.724041,-4.1567383,-10.057031,-0.51479983,-4.959066,-21.26025,16.450462,5.1479864,-14.698981
3,-0.3352280259132385,3.425161838531494,102.34416961669922,0.4728233943820578,-1.4266101876293353,-91.71041541140114,-1.0988283,0.16329248,9.216638,-10.785522,4.5950565,-13.015013,-4.1902847,36.853817,63.222633,11.273148,7.109439,-15.847209,-9.441677,3.7758772,-45.359303,61.38577,16.637987,2.7595146,2.3751488,1.7393019,1.9478207,14.469233,12.692246,-4.1573796,-10.010196,-0.5504239,-4.9281297,-21.303637,16.372862,5.131276,-14.64979
4,-0.3488333523273468,3.465153217315674,102.35394287109375,0.4677885619798746,-1.3718834669431044,-91.65567840699279,-1.0806329,0.16238448,9.2678385,-10.504253,4.5080614,-12.964297,-4.296162,36.91997,63.048904,11.3104725,7.1471,-15.861886,-9.4369545,3.8925152,-45.42998,61.1827,16.56793,2.792756,2.3825936,1.6559113,1.9581174,14.378094,12.651169,-4.1566668,-9.955511,-0.5895625,-4.899448,-21.347841,16.293163,5.113376,-14.596081
5,-0.3684083819389343,3.50761342048645,102.36280822753906,0.46184834964180604,-1.319474989340363,-91.5981789516602,-1.0574166,0.15786684,9.329571,-10.194218,4.4040647,-12.91775,-4.395028,36.986454,62.879284,11.332861,7.194915,-15.864766,-9.436371,4.0012856,-45.49655,60.98577,16.520966,2.8224428,2.3990598,1.5654827,1.973744,14.279334,12.62173,-4.1594443,-9.9037,-0.6339502,-4.868514,-21.392168,16.225145,5.0911827,-14.548383
6,-0.39108580350875854,3.5596418380737305,102.37174224853516,0.4559767447642071,-1.268527440811355,-91.53865473052352,-1.0306815,0.15014794,9.399534,-9.8614645,4.2843957,-12.876416,-4.487718,37.053062,62.714363,11.344175,7.250439,-15.858703,-9.439925,4.1031766,-45.55825,60.79677,16.49298,2.84851,2.423134,1.4664035,1.991796,14.173732,12.59869,-4.163093,-9.84948,-0.68887705,-4.837579,-21.433403,16.166586,5.064519,-14.50073
7,-0.4060192108154297,3.612994432449341,102.38166809082031,0.45205593051328696,-1.2135589984452584,-91.47767303888541,-1.0008281,0.14078006,9.472011,-9.510534,4.152612,-12.838378,-4.5747504,37.119675,62.555172,11.35087,7.3071623,-15.850341,-9.448937,4.1988516,-45.614796,60.616165,16.4682,2.8699987,2.4525905,1.3713136,2.0015092,14.070292,12.5575905,-4.162207,-9.786273,-0.7460838,-4.8120413,-21.474468,16.101574,5.0416365,-14.447277
8,-0.41967710852622986,3.6704659461975098,102.39231872558594,0.45096659158184166,-1.14892247566029,-91.41560404773269,-0.96841073,0.13103905,9.540514,-9.144576,4.0136104,-12.802323,-4.656702,37.1864,62.405132,11.359142,7.3581557,-15.846931,-9.465517,4.2889786,-45.666645,60.446182,16.428556,2.8862035,2.4849656,1.2681022,2.005915,13.962797,12.504185,-4.159171,-9.714059,-0.82151574,-4.7910104,-21.50704,16.040743,5.0186567,-14.392354
9,-0.44562971591949463,3.738656520843506,102.40422821044922,0.45457174619655505,-1.0715280863724237,-91.35255946123574,-0.9333291,0.12311826,9.600919,-8.7672615,3.8731017,-12.766537,-4.7338824,37.254063,62.263702,11.36741,7.4031544,-15.851751,-9.4913025,4.3740134,-45.715664,60.28447,16.367561,2.8918836,2.5179396,1.1477624,2.0103664,13.845915,12.4405155,-4.159395,-9.628945,-0.92325926,-4.7680187,-21.528969,15.983789,4.986254,-14.335414
