Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
0,-0.07874821126461029,2.692674398422241,102.27173614501953,0.08426949937229271,0.33784090656264837,-88.7318727682977,-2.0402184,2.178942,6.794468,-15.749416,4.145548,-8.612634,-4.3859634,-2.5075166,71.538704,-23.27336,-2.3845198,-13.451634,-8.454315,5.5580077,-6.5425344,75.840256,4.542668,-3.4449239,1.7367512,-1.8514876,0.92038757,7.799233,9.63434,-1.7231936,-8.58481,-2.7100017,-1.7446684,-5.4408607,11.832099,1.9645423,-10.700114
1,-0.07874839007854462,2.692674398422241,102.27220916748047,0.08426106247205312,0.3378423206385447,-88.7318727921318,-2.0402184,2.178942,6.794468,-15.749416,4.145548,-8.612634,-4.3859634,-2.5075166,71.538704,-23.27336,-2.3845198,-13.451634,-8.454315,5.5580077,-6.5425344,75.840256,4.542668,-3.4449239,1.7367512,-1.8446462,0.9196117,7.8027925,9.62357,-1.72297,-8.579967,-2.704264,-1.7442621,-5.444052,11.823094,1.9647843,-10.696054
2,-0.07939028739929199,2.691887378692627,102.2722396850586,0.08456390243031586,0.33793552574745145,-88.73200705369146,-2.0402043,2.178931,6.7944736,-15.749416,4.145548,-8.612631,-4.387191,-2.507523,71.538704,-23.273369,-2.3845181,-13.451637,-8.454309,5.55906,-6.5426087,75.84026,4.542655,-3.4449227,1.7367523,-1.8427864,0.91961205,7.8037133,9.621154,-1.7230242,-8.5792055,-2.7037208,-1.7441425,-5.4443045,11.822718,1.9646443,-10.696341
3,-0.08183030039072037,2.6921792030334473,102.27169036865234,0.08552782502050796,0.33704997492667593,-88.73299505916509,-2.040043,2.1788244,6.7945538,-15.74942,4.145544,-8.612593,-4.3958535,-2.5075395,71.53874,-23.27348,-2.3845057,-13.451653,-8.45423,5.5664825,-6.543139,75.84031,4.542508,-3.4449046,1.7367465,-1.8454064,0.9205641,7.802689,9.626774,-1.7239965,-8.581478,-2.7106946,-1.7442003,-5.4397697,11.834942,1.9632304,-10.701949
4,-0.0856238529086113,2.692490339279175,102.27099609375,0.0848529328395587,0.33348432240869585,-88.7356127635247,-2.039158,2.178492,6.7951546,-15.749432,4.145528,-8.612368,-4.4250135,-2.5075095,71.53897,-23.273895,-2.3845427,-13.451445,-8.453693,5.5915623,-6.545187,75.840614,4.5416965,-3.4447649,1.7365097,-1.8498589,0.9246651,7.801366,9.641465,-1.7261617,-8.588372,-2.71081,-1.7414552,-5.4375596,11.841284,1.9607897,-10.704931
5,-0.08573826402425766,2.6907100677490234,102.27082824707031,0.08475984847336233,0.33342557084634683,-88.73624578268716,-2.0390112,2.1784732,6.7952733,-15.749432,4.145526,-8.612328,-4.430431,-2.507513,71.539,-23.273947,-2.384552,-13.4514065,-8.453573,5.5962653,-6.545493,75.84069,4.5415635,-3.44472,1.7364775,-1.8475276,0.92481995,7.8029776,9.639919,-1.726438,-8.588688,-2.7086887,-1.7412014,-5.4380875,11.839804,1.9608388,-10.705166
6,-0.08635938912630081,2.6889851093292236,102.27093505859375,0.08497873090574327,0.33354750923937054,-88.73692616067565,-2.0388882,2.1785018,6.7953935,-15.74943,4.145525,-8.61229,-4.434725,-2.507531,71.53903,-23.27397,-2.384563,-13.451367,-8.45344,5.6000314,-6.5457315,75.84078,4.541454,-3.444658,1.7364583,-1.8432955,0.9247048,7.8056855,9.634984,-1.7270423,-8.587392,-2.7051592,-1.740808,-5.439372,11.83584,1.9605504,-10.704296
7,-0.08453129231929779,2.686537265777588,102.27135467529297,0.08449789377342472,0.3334510869426751,-88.73835724069214,-2.0386422,2.1786559,6.7956786,-15.749425,4.145525,-8.612214,-4.4428935,-2.5076022,71.53909,-23.273962,-2.384605,-13.451269,-8.453093,5.6072793,-6.5461993,75.841034,4.5412416,-3.4444811,1.736425,-1.8357917,0.92364013,7.8108206,9.626383,-1.7265517,-8.585193,-2.6963387,-1.7408184,-5.442676,11.824839,1.9616016,-10.700553
8,-0.08466457575559616,2.686612844467163,102.2718276977539,0.08440885622844407,0.33305599109497075,-88.73970545974792,-2.0384207,2.1789029,6.796,-15.749418,4.145527,-8.612151,-4.4509954,-2.507712,71.53912,-23.273903,-2.3846788,-13.451148,-8.452667,5.6145544,-6.5466847,75.841354,4.5410504,-3.4442513,1.7363906,-1.8317856,0.92348284,7.8138967,9.621455,-1.7268208,-8.583243,-2.6924932,-1.7403263,-5.443591,11.8190775,1.9614953,-10.69766
9,-0.08642550557851791,2.6837403774261475,102.27167510986328,0.08450499773017477,0.33322523524855274,-88.74089319476231,-2.0382726,2.1792588,6.796347,-15.74941,4.1455297,-8.612129,-4.4594874,-2.5078804,71.53911,-23.27377,-2.3848214,-13.451005,-8.452143,5.6222744,-6.547258,75.841774,4.5409102,-3.4439547,1.7363386,-1.8322378,0.9247634,7.8141713,9.625341,-1.7285002,-8.586665,-2.6916404,-1.7393999,-5.4431343,11.8202505,1.96048,-10.699828
