Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_roll_joint,left_ankle_pitch_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint,right_ankle_pitch_joint
0,0.3177962005138397,2.3483192920684814,101.00377655029297,-0.1064340067496544,-0.9650716084100269,-91.45353498241886,-3.464998,0.77552295,12.719105,-23.109428,0.8383375,-8.996489,-3.1287782,20.564194,62.68591,-18.177328,-7.2246747,-10.254367,-6.005085,5.2634673,-28.887611,59.372215,20.189632,-0.4055628,6.9776597,-0.8370787,3.7905555,6.9305453,14.697376,-4.4562397,-10.944153,-0.56767195,-5.185608,-17.470507,16.045183,8.091399,-15.522378
1,0.3205968141555786,2.3384921550750732,101.00225067138672,-0.10741469001594706,-0.9648074705728905,-91.46453019049673,-3.465491,0.77418756,12.718901,-23.109474,0.83840066,-8.99697,-3.1859493,20.5659,62.685036,-18.176311,-7.2251077,-10.254646,-6.005597,5.299653,-28.89297,59.370514,20.1888,-0.40725207,6.9766603,-0.84703547,3.7902968,6.930376,14.723476,-4.4521847,-10.960649,-0.5615944,-5.1860294,-17.4622,16.041283,8.097427,-15.5270405
2,0.32741960883140564,2.3388731479644775,100.98651885986328,-0.11379249440601692,-0.9678531768794366,-91.48924334567118,-3.4246087,0.797462,12.802737,-23.177433,0.86834407,-8.972739,-3.3336408,20.606222,62.50847,-18.031155,-7.2093725,-10.256527,-5.9763117,5.3977814,-28.982134,59.151073,20.075895,-0.4628663,6.8829064,-0.9569913,3.8035011,6.876625,14.907408,-4.449781,-11.048007,-0.652638,-5.203329,-17.367434,16.180075,8.104678,-15.591743
3,0.3454309105873108,2.3455703258514404,100.97505187988281,-0.12095725150151979,-0.9653796109819981,-91.49990366102035,-3.401203,0.8252376,12.870771,-23.268293,0.897312,-8.937611,-3.4691763,20.643526,62.34056,-17.92317,-7.1753182,-10.261211,-5.9377484,5.4912987,-29.061777,58.948273,19.984362,-0.4760505,6.8278356,-1.063214,3.8101115,6.8190413,15.065366,-4.437608,-11.119371,-0.7250038,-5.2208476,-17.305445,16.277304,8.1163025,-15.632171
4,0.363053560256958,2.3492860794067383,100.96414184570312,-0.12907782703271295,-0.9512595117411677,-91.48762439145723,-3.4128065,0.8503049,12.918473,-23.372023,0.92776865,-8.897925,-3.594109,20.676346,62.178104,-17.819948,-7.142107,-10.264571,-5.88085,5.580496,-29.132883,58.736687,19.874338,-0.4938006,6.79313,-1.1914083,3.8164546,6.734379,15.230758,-4.4176207,-11.192957,-0.79322207,-5.2364316,-17.275099,16.35845,8.129877,-15.668289
5,0.3883363902568817,2.3507256507873535,100.95320129394531,-0.14102456665546617,-0.9182205743447843,-91.44436096762988,-3.4696858,0.8772413,12.937223,-23.482815,0.9621194,-8.856434,-3.7097359,20.704048,62.02972,-17.722816,-7.115572,-10.26188,-5.798747,5.665783,-29.196075,58.51239,19.720406,-0.5278227,6.7922454,-1.3674185,3.8229105,6.603783,15.426571,-4.383836,-11.278595,-0.8640062,-5.2517266,-17.283089,16.42188,8.149291,-15.697838
6,0.41768375039100647,2.336272716522217,100.94164276123047,-0.1567664424427902,-0.8718209898400451,-91.37890782786569,-3.5635881,0.90672165,12.932905,-23.596024,1.0027827,-8.816198,-3.8168898,20.726685,61.897034,-17.634146,-7.0955286,-10.252654,-5.6933846,5.747435,-29.252432,58.27828,19.531658,-0.57524264,6.8182445,-1.5657489,3.8301103,6.44623,15.6376095,-4.341726,-11.375958,-0.91956574,-5.263558,-17.327702,16.461308,8.175027,-15.725147
7,0.45481106638908386,2.310852527618408,100.93074035644531,-0.17095300703884558,-0.8235606304530402,-91.30221358195955,-3.6819541,0.9348094,12.917862,-23.709614,1.0503212,-8.779163,-3.9166474,20.744287,61.77902,-17.545918,-7.078451,-10.245445,-5.571227,5.8258886,-29.303955,58.041676,19.344683,-0.62648106,6.8453765,-1.7640524,3.8300416,6.280923,15.851658,-4.292561,-11.478928,-0.9555619,-5.279964,-17.39456,16.483116,8.20872,-15.74942
8,0.49910712242126465,2.2748653888702393,100.91761016845703,-0.17906284881662576,-0.784982973153458,-91.225230693959,-3.808552,0.9558856,12.904726,-23.823189,1.1026388,-8.747367,-4.009926,20.756884,61.674454,-17.447441,-7.059942,-10.251303,-5.4406586,5.901306,-29.352928,57.81037,19.200254,-0.67009956,6.84501,-1.9382012,3.8176436,6.127521,16.0573,-4.2397666,-11.5831585,-0.98400086,-5.3107367,-17.458046,16.524307,8.251052,-15.786986
9,0.5484197735786438,2.246612071990967,100.90353393554688,-0.18481356777973384,-0.7568799684356996,-91.14579012398187,-3.9418805,0.973024,12.894962,-23.93709,1.1582828,-8.71954,-4.097643,20.764122,61.57752,-17.319614,-7.0388956,-10.280804,-5.305591,5.9739156,-29.401217,57.58638,19.11774,-0.70309657,6.7973466,-2.1062858,3.7981822,5.9742255,16.26879,-4.182942,-11.686066,-1.0153064,-5.3503914,-17.515379,16.584377,8.296804,-15.828923
